SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-107.73   	-119.93   	 20.12   	 788.40		 27.39   	 284.84		
-85.14   	-158.39   	 23.28   	-279.75		 28.52   	 320.45		
-44.86   	-151.98   	 22.16   	-1419.12		 29.81   	 289.93		
-24.72   	-123.90   	 16.48   	-1347.91		 30.97   	 279.75		
-29.60   	-103.76   	 11.09   	 -45.78		 32.09   	 345.88		
-41.81   	-101.01   	 10.91   	1124.11		 33.47   	 488.30		
-45.78   	-107.42   	 15.40   	1632.75		 35.42   	 610.37		
-39.37   	-112.61   	 21.93   	1556.45		 37.86   	 162.77		
-27.77   	-112.92   	 28.16   	1063.07		 38.51   	-696.84		
-15.56   	-109.25   	 32.41   	 701.93		 35.73   	-895.22		
 -6.71   	-103.76   	 35.22   	 452.69		 32.15   	-1276.70		
 -1.83   	-99.18   	 37.03   	 249.24		 27.04   	-1607.32		
  1.22   	-96.74   	 38.03   	 213.63		 20.61   	-818.92		
  6.10   	-95.52   	 38.88   	 254.32		 17.33   	-279.75		
 14.34   	-93.38   	 39.90   	 162.77		 16.22   	-284.84		
 23.80   	-89.42   	 40.55   	 147.51		 15.08(D)	 488.30		
 32.35   	-85.45   	 41.14   	 371.31		 17.03   	3189.20		
 46.08   	-80.26   	 42.62   	 152.59		 29.79   	1795.52		
 52.80   	-76.90   	 43.23   	 254.32		 36.97   	2100.70		
 59.81   	-71.72   	 44.25   	 259.41		 45.37   	1744.65		
 66.83   	-65.92   	 45.29   	 249.24		 52.35   	1200.40		
 73.55   	-60.73   	 46.29   	  96.64		 57.15   	 707.02		
 79.35   	-56.46   	 46.67   	 -71.21		 59.98   	   0.00		
 85.14   	-51.57   	 46.39   	 -61.04		 59.98   	-595.11		
 91.25   	-45.47   	 46.14   	  50.86		 57.60   	-910.47		
 97.35   	-38.15   	 46.35   	 162.77		 53.96   	-1251.27		
103.15   	-31.43   	 47.00   	 167.85		 48.95   	-1398.77		
107.73   	-27.47   	 47.67   	  30.52		 43.36   	-1185.14		
110.78   	-25.94   	 47.79   	 -71.21		 38.62   	-966.43		
113.22   	-25.02   	 47.51   	 -35.61		 34.75   	-635.81		
115.05   	-22.58   	 47.37   	  91.56		 32.21   	  81.38		
116.88   	-18.31   	 47.73   	 127.16		 32.53   	 696.84		
118.41   	-13.12   	 48.24   	  81.38		 35.32   	1017.29		
119.02   	 -8.24   	 48.57   	 101.73		 39.39   	1358.08		
119.32   	 -4.27   	 48.97   	 142.42		 44.82   	1485.24		
119.02   	 -0.31   	 49.54   	  91.56		 50.76   	1210.58		
118.10   	  5.19   	 49.91   	 -91.56		 55.61   	1063.07		
117.19   	 12.82   	 49.54   	-203.46		 59.86   	 925.73		
116.27   	 22.28   	 48.73   	-178.03		 63.56   	 422.18		
115.66   	 32.35   	 48.02   	 152.59		 65.25   	  55.95		
115.66   	 41.50   	 48.63   	 386.57		 65.47   	  10.17		
115.36   	 50.05   	 50.17   	  91.56		 65.51   	-305.19		
113.22   	 69.58   	 50.54   	 -91.56		 64.29   	-111.90		
111.39   	 84.53   	 50.17   	  25.43		 63.85   	-233.98		
109.86   	104.06   	 50.27   	 106.82		 62.91   	-208.54		
109.25   	127.56   	 50.70   	  81.38		 62.08   	-259.41		
108.95   	152.89   	 51.03   	  40.69		 61.04   	-488.30		
108.03   	179.14   	 51.19   	  10.17		 59.08   	-381.48		
104.68   	204.16   	 51.23   	  10.17		 57.56   	-132.25		
 97.66   	225.52   	 51.27(S)	 -25.43		 57.03   	-193.29		
 86.98   	239.87   	 51.17   	 -15.26		 56.26   	-213.63		
 72.63   	243.53   	 51.11   	  -5.09		 55.40   	  55.95		
 55.54   	235.29   	 51.09   	-101.73		 55.63   	 213.63		
 36.93   	216.67   	 50.68   	-335.71		 56.48   	 223.80		
 18.62   	190.43   	 49.34   	-437.43		 57.38   	 391.66		
  2.14   	159.91   	 47.59   	-274.67		 58.94   	 584.94		
-11.90   	127.56   	 46.49   	 -45.78		 61.28   	 493.39		
-24.11   	 96.13   	 46.31   	  96.64		 63.26   	 335.71		
-34.18   	 67.44   	 46.69   	  55.95		 64.60   	 432.35		
-42.42   	 43.64   	 46.92   	  10.17		 66.33   	 417.09		
-48.52   	 25.63   	 46.96   	   5.09		 68.00   	  50.86		
-53.10   	 11.90   	 46.98   	-188.20		 68.20(S)	-157.68		
-56.76   	  1.22   	 46.23   	-432.35		 67.57   	-213.63		
-59.81   	 -7.93   	 44.50   	-274.67		 66.71   	-564.60		
-61.95   	-15.87   	 43.40   	 -15.26		 64.46   	-844.35		
-62.87   	-21.06   	 43.34   	  86.47		 61.08   	-686.67		
-62.87   	-23.19   	 43.68   	  40.69		 58.33   	-564.60		
-61.95   	-23.50   	 43.85   	 -76.30		 56.07   	-462.87		
-61.65   	-23.50   	 43.54   	-218.72		 54.22   	 -96.64		
-61.34   	-24.41   	 42.67   	-386.57		 53.83   	  10.17		
-61.04   	-25.63   	 41.12   	-600.20		 53.88   	-249.24		
-60.42   	-25.94   	 38.72   	-544.25		 52.88   	-147.51		
-58.90   	-25.02   	 36.54   	-498.47		 52.29   	   0.00		
-57.07   	-23.50   	 34.55   	-584.94		 52.29   	-437.43		
-56.15   	-21.67   	 32.21   	-462.87		 50.54   	-457.78		
-55.85   	-20.45   	 30.36   	-295.01		 48.71   	-127.16		
-55.85   	-19.84   	 29.18   	-691.76		 48.20   	-788.40		
-56.15   	-18.62   	 26.41   	-752.79		 45.05   	-1042.72		
-56.15   	-16.48   	 23.40   	-493.39		 40.87   	 -30.52		
-56.46   	-14.65   	 21.42   	-859.61		 40.75   	  71.21		
-57.07   	-13.12   	 17.99   	-1103.76		 41.04   	-473.04		
