SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
197.45   	264.28   	 51.98   	 554.42		 44.01   	  30.52		
214.23   	281.98   	 54.20   	 534.08		 44.13   	  55.95		
227.05   	293.58   	 56.34   	 508.65		 44.35   	  71.21		
230.71   	292.36   	 58.37   	 478.13		 44.64   	  86.47		
220.34   	272.52   	 60.28   	 437.43		 44.98   	  91.56		
194.40   	231.93   	 62.03   	 401.83		 45.35   	  96.64		
155.33   	174.56   	 63.64   	 361.14		 45.74   	  91.56		
108.64   	108.34   	 65.09   	 315.36		 46.10   	  86.47		
 61.65   	 42.42   	 66.35   	 269.58		 46.45   	  71.21		
 20.45   	-15.56   	 67.43   	 198.37		 46.73   	  30.52		
-35.40   	-94.30   	 68.22   	 147.51		 46.86   	  10.17		
-51.57   	-115.97   	 68.81   	 111.90		 46.90(S)	 -15.26		
-62.56   	-128.78   	 69.26   	  66.12		 46.84   	 -40.69		
-69.27   	-134.89   	 69.52   	  35.61		 46.67   	 -61.04		
-72.33   	-134.89   	 69.66(S)	   0.00		 46.43   	 -76.30		
-70.19   	-127.87   	 69.66   	 -30.52		 46.12   	 -96.64		
-63.48   	-113.22   	 69.54   	 -50.86		 45.74   	-101.73		
-52.80   	-91.55   	 69.34   	 -71.21		 45.33   	-116.99		
-39.37   	-65.92   	 69.05   	 -96.64		 44.86   	-127.16		
-24.11   	-41.20   	 68.67   	-116.99		 44.35   	-142.42		
 -8.24   	-21.67   	 68.20   	-142.42		 43.78   	-167.85		
  5.80   	 -8.24   	 67.63   	-152.59		 43.11   	-203.46		
 14.04   	 -0.61   	 67.02   	-167.85		 42.30   	-254.32		
 14.95   	  3.97   	 66.35   	-183.11		 41.28   	-320.45		
 12.51   	  7.02   	 65.62   	-188.20		 40.00   	-391.66		
 12.82   	  4.88   	 64.86   	-193.29		 38.43   	-483.21		
 20.14   	 -7.32   	 64.09   	-198.37		 36.50   	-569.68		
 29.30   	-31.74   	 63.30   	-208.54		 34.22   	-661.24		
 27.77   	-67.14   	 62.46   	-223.80		 31.58   	-727.36		
  6.10   	-106.81   	 61.57   	-233.98		 28.67   	-768.05		
-33.87   	-141.60   	 60.63   	-244.15		 25.60   	-783.31		
-78.43   	-165.71   	 59.65   	-269.58		 22.46   	-778.23		
-110.17   	-178.22   	 58.58   	-289.93		 19.35   	-773.14		
-120.54   	-181.58   	 57.42   	-305.19		 16.26   	-747.71		
-114.44   	-180.66   	 56.20   	-361.14		 13.27   	-712.10		
-96.13   	-179.44   	 54.75   	-345.88		 10.42   	-615.46		
-95.83   	-181.27   	 53.37   	-325.53		  7.96   	-508.65		
-92.47   	-184.02   	 52.06   	-305.19		  5.92   	-401.83		
-60.42   	-190.73   	 50.84   	-269.58		  4.31   	-300.10		
 39.06   	-198.97   	 49.77   	-239.06		  3.11   	-213.63		
242.31   	-183.11   	 48.81   	-213.63		  2.26   	-127.16		
552.37   	-76.60   	 47.96   	-188.20		  1.75   	 -55.95		
877.99   	209.05   	 47.20   	-172.94		  1.53(D)	   0.00		
1025.39   	696.11   	 46.51   	-162.77		  1.53   	  50.86		
816.04   	1247.56   	 45.86   	-167.85		  1.73   	 101.73		
-474.85   	1496.89(R)	 45.19   	-167.85		  2.14   	 111.90		
-976.26   	938.42   	 44.52   	-162.77		  2.58   	 106.82		
-1018.07   	183.11   	 43.87   	-162.77		  3.01   	 101.73		
-652.47   	-390.32   	 43.21   	-157.68		  3.42   	  76.30		
-177.00   	-557.86   	 42.58   	-152.59		  3.72   	  55.95		
108.64   	-386.96   	 41.97   	-142.42		  3.95   	  25.43		
111.69   	-130.00   	 41.40   	-137.33		  4.05   	   5.09		
-44.56   	 -0.61   	 40.85   	-127.16		  4.07   	 -10.17		
-174.56   	-36.93   	 40.35   	-116.99		  4.03   	 -15.26		
-186.77   	-137.02   	 39.88   	-106.82		  3.97   	 -10.17		
-117.19   	-191.04   	 39.45   	 -96.64		  3.93   	   0.00		
-50.96   	-169.98   	 39.06   	 -91.56		  3.93   	  20.35		
-34.18   	-116.88   	 38.70   	 -86.47		  4.01   	  66.12		
-54.93   	-80.26   	 38.35   	 -81.38		  4.27   	 111.90		
-78.43   	-73.85   	 38.03   	 -81.38		  4.72   	 178.03		
-84.84   	-82.40   	 37.70   	 -76.30		  5.43   	 249.24		
-75.38   	-87.89   	 37.40   	 -76.30		  6.43   	 320.45		
-60.42   	-82.09   	 37.09   	 -76.30		  7.71   	 406.92		
-50.35   	-66.53   	 36.79   	 -81.38		  9.34   	 498.47		
-48.52   	-49.13   	 36.46   	 -81.38		 11.33   	 574.77		
-50.96   	-36.01   	 36.13   	 -81.38		 13.63   	 635.81		
-51.27   	-28.08   	 35.81   	 -81.38		 16.17   	 681.58		
-45.78   	-21.97   	 35.48   	 -76.30		 18.90   	 712.10		
-36.93   	-12.51   	 35.18   	 -71.21		 21.75   	 732.45		
-27.77   	  1.22   	 34.89   	 -76.30		 24.68   	 803.66		
-13.12   	 35.10   	 34.59   	 -66.12		 27.89   	 757.88		
 -4.27   	 51.57   	 34.32   	 -45.78		 30.93   	 681.58		
  7.32   	 67.75   	 34.14   	 -25.43		 33.65   	 605.29		
 21.36   	 84.23   	 34.04(D)	  10.17		 36.07   	 523.90		
 36.62   	101.62   	 34.08   	  61.04		 38.17   	 432.35		
 51.88   	119.93   	 34.32   	 122.07		 39.90   	 350.97		
 66.53   	139.47   	 34.81   	 193.29		 41.30   	 269.58		
