SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-22.58   	 97.66   	 66.88   	 -20.35		 70.62   	 111.90		
-14.95   	113.83   	 66.80   	  20.35		 71.07   	 122.07		
-10.99   	127.26   	 66.88   	  50.86		 71.56   	 152.59		
-12.21   	135.50   	 67.08   	  96.64		 72.17   	 167.85		
-18.31   	138.85   	 67.47   	 183.11		 72.84   	 193.29		
-27.16   	140.08   	 68.20   	 330.62		 73.61   	 208.54		
-34.48   	143.43   	 69.52   	 569.68		 74.45   	 228.89		
-37.54   	149.84   	 71.80   	2227.87		 75.36   	 284.84		
-27.47   	170.29   	 80.71   	1668.36		 76.50   	 289.93		
-20.45   	180.97   	 87.39   	1800.60		 77.66   	 289.93		
-18.31   	190.12   	 94.59   	1546.28		 78.82   	 279.75		
-21.97   	196.53   	100.77   	 905.39		 79.94   	 284.84		
-27.47   	198.97   	104.39   	 101.73		 81.08   	 274.67		
-30.21   	196.53   	104.80   	-579.86		 82.18   	 249.24		
-28.08   	189.82   	102.48   	-910.47		 83.17   	 172.94		
-23.19   	180.97   	 98.84   	-834.18		 83.87   	 116.99		
-19.84   	171.81   	 95.50   	-493.39		 84.33   	 228.89		
-21.67   	164.18   	 93.53   	 -45.78		 85.25   	 412.00		
-26.55   	157.78   	 93.35   	 386.57		 86.90   	 457.78		
-30.52   	152.28   	 94.89   	 737.54		 88.73   	 437.43		
-28.99   	146.79   	 97.84   	 966.43		 90.48   	 442.52		
-21.36   	140.69   	101.71   	1078.33		 92.25   	 391.66		
-10.68   	133.06   	106.02   	1073.24		 93.81   	 289.93		
 -3.36   	122.38   	110.31   	 915.56		 94.97   	 198.37		
 -2.75   	109.56   	113.98   	 600.20		 95.77   	 127.16		
 -7.93   	 95.52   	116.38   	 203.46		 96.28   	  50.86		
-14.34   	 81.18   	117.19(S)	-142.42		 96.48   	   0.00		
-17.70   	 67.44   	116.62   	-335.71		 96.48   	 -30.52		
-16.48   	 54.93   	115.28   	-371.31		 96.36   	 -50.86		
-14.34   	 44.86   	113.79   	-300.10		 96.15   	 -55.95		
-13.12   	 38.15   	112.59   	-178.03		 95.93   	 -50.86		
-13.12   	 35.40   	111.88   	 -50.86		 95.73   	 -40.69		
-12.82   	 34.48   	111.68   	  66.12		 95.56   	 -40.69		
-11.60   	 32.96   	111.94   	 188.20		 95.40   	 -40.69		
-10.68   	 28.69   	112.70   	 269.58		 95.24   	 -61.04		
-11.29   	 21.67   	113.77   	 289.93		 94.99   	-101.73		
-11.60   	 13.43   	114.93   	 213.63		 94.59   	-147.51		
 -9.77   	  5.49   	115.79   	  50.86		 94.00   	-223.80		
 -6.71   	 -1.53   	115.99   	-127.16		 93.10   	-300.10		
 -7.63   	 -7.02   	115.48   	-269.58		 91.90   	-391.66		
-14.65   	-10.99   	114.40   	-350.97		 90.34   	-483.21		
-25.33   	-13.73   	113.00   	-350.97		 88.40   	-574.77		
-32.96   	-16.17   	111.60   	-305.19		 86.10   	-661.24		
-30.82   	-18.62   	110.38   	-249.24		 83.46   	-737.54		
-20.14   	-21.36   	109.38   	-198.37		 80.51   	-808.75		
 -9.46   	-23.19   	108.59   	-152.59		 77.27   	-879.96		
