SAMPLE NUMBER:   9
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
 57.98   	 25.94   	 91.66   	-188.20		 12.29   	-208.54		
 55.54   	 26.55   	 90.91   	-178.03		 11.45   	-213.63		
 57.07   	 27.77   	 90.19   	-167.85		 10.60   	-249.24		
 62.87   	 30.21   	 89.52   	-157.68		  9.60   	-279.75		
 70.19   	 33.26   	 88.89   	-152.59		  8.48   	-264.50		
 77.21   	 35.40   	 88.28   	-147.51		  7.43   	-223.80		
 81.18   	 36.01   	 87.69   	-147.51		  6.53   	-167.85		
 80.57   	 32.65   	 87.10   	-137.33		  5.86   	-137.33		
 75.99   	 25.02   	 86.55   	-132.25		  5.31   	-132.25		
 69.27   	 13.73   	 86.02   	-122.07		  4.78   	-142.42		
 63.48   	  2.14   	 85.53   	-122.07		  4.21   	-178.03		
 61.95   	 -3.05   	 85.05   	-127.16		  3.50   	-218.72		
 66.83   	  2.75   	 84.54   	-122.07		  2.62   	-172.94		
 78.13   	 21.67   	 84.05   	-122.07		  1.93   	 -81.38		
 93.08   	 50.66   	 83.56   	-116.99		  1.61   	 -10.17		
107.12   	 85.75   	 83.09   	-101.73		  1.57   	  40.69		
115.66   	120.24   	 82.69   	-101.73		  1.73   	  40.69		
117.19   	148.62   	 82.28   	-106.82		  1.89   	  10.17		
111.69   	166.02   	 81.85   	-101.73		  1.93   	 -25.43		
103.76   	169.37   	 81.44   	 -96.64		  1.83   	 -45.78		
 97.96   	160.83   	 81.06   	 -86.47		  1.65   	 -30.52		
 99.18   	147.09   	 80.71   	 -76.30		  1.53   	   0.00		
109.86   	137.63   	 80.41   	 -76.30		  1.53   	  20.35		
127.26   	138.85   	 80.10   	 -76.30		  1.61   	  35.61		
144.65   	151.06   	 79.80   	 -66.12		  1.75   	  30.52		
154.42   	166.93   	 79.53   	 -61.04		  1.87   	  15.26		
152.59   	175.17   	 79.29   	 -61.04		  1.93   	  10.17		
140.69   	167.85   	 79.04   	 -45.78		  1.97   	  15.26		
125.43   	144.04   	 78.86   	 -45.78		  2.03   	  35.61		
114.14   	111.69   	 78.68   	 -40.69		  2.18   	  50.86		
109.56   	 82.40   	 78.51   	 -45.78		  2.38   	  61.04		
108.03   	 65.00   	 78.33   	 -45.78		  2.62   	  61.04		
104.06   	 61.04   	 78.15   	 -45.78		  2.87   	  61.04		
 93.08   	 63.17   	 77.97   	 -50.86		  3.11   	  55.95		
 75.38   	 60.42   	 77.76   	 -40.69		  3.34   	  50.86		
 55.85   	 44.86   	 77.60   	 -35.61		  3.54   	  45.78		
 40.28   	 15.56   	 77.46   	 -30.52		  3.72   	  35.61		
 31.43   	-19.53   	 77.33   	 -30.52		  3.87   	  40.69		
 29.60   	-48.83   	 77.21   	 -35.61		  4.03   	  40.69		
 32.04   	-63.17   	 77.07   	 -35.61		  4.19   	  45.78		
 36.32   	-59.20   	 76.93   	 -35.61		  4.37   	  50.86		
 40.59   	-41.81   	 76.79   	 -25.43		  4.58   	  50.86		
 44.86   	-18.01   	 76.68   	 -25.43		  4.78   	  40.69		
 48.22   	  5.80   	 76.58   	 -30.52		  4.94   	  30.52		
 49.44   	 25.02   	 76.46   	 -30.52		  5.07   	  -5.09		
 48.52   	 38.15   	 76.34   	 -35.61		  5.05   	-101.73		
 45.78   	 43.64   	 76.20   	 -40.69		  4.64   	-249.24		
 43.03   	 40.89   	 76.03   	 -35.61		  3.64   	-330.62		
 43.03   	 28.99   	 75.89   	 -35.61		  2.32   	-305.19		
 50.35   	  6.41   	 75.75   	 -30.52		  1.10   	-157.68		
 68.36   	-24.72   	 75.63   	 -30.52		  0.47(D)	  61.04		
 96.13   	-57.68   	 75.50   	 -30.52		  0.71(E)	 254.32		
128.17   	-73.24   	 75.38   	 -30.52		  1.73   	 340.79		
158.39   	-41.20   	 75.26   	 -40.69		  3.09   	 335.71		
185.24   	 71.41   	 75.10   	 -35.61		  4.44   	 254.32		
219.12   	280.76   	 74.95   	 -30.52		  5.45   	 147.51		
274.96   	574.34   	 74.83   	 -30.52		  6.04   	  66.12		
352.78   	915.83   	 74.71   	 -35.61		  6.31   	  50.86		
432.43   	1254.88   	 74.57   	 -45.78		  6.51   	  55.95		
465.39   	1631.16(R)	 74.38   	 -40.69		  6.73   	  45.78		
382.69   	1517.33   	 74.22   	 -40.69		  6.92   	  20.35		
252.99   	1172.49   	 74.06   	 -35.61		  7.00   	   0.00		
112.92   	668.95   	 73.92   	 -40.69		  7.00   	 -20.35		
 -0.61   	155.03   	 73.75   	 -35.61		  6.92   	 -25.43		
-59.81   	-221.25   	 73.61   	 -35.61		  6.82   	 -20.35		
-52.80   	-391.24   	 73.47   	 -35.61		  6.73   	  15.26		
  5.80   	-377.81   	 73.33   	 -25.43		  6.80   	  45.78		
 79.35   	-259.09   	 73.22   	 -30.52		  6.98   	  50.86		
130.92   	-119.02   	 73.10   	 -30.52		  7.18   	  50.86		
142.21   	-12.82   	 72.98   	 -30.52		  7.39   	  45.78		
122.07   	 42.72   	 72.86   	 -35.61		  7.57   	  61.04		
 94.60   	 56.15   	 72.72   	 -35.61		  7.81   	 172.94		
 80.57   	 46.08   	 72.57   	 -35.61		  8.50   	 356.05		
 82.09   	 29.30   	 72.43   	 -25.43		  9.93   	 523.90		
 89.72   	 16.48   	 72.33   	 -30.52		 12.02   	 640.89		
 94.60   	  7.32   	 72.21   	 -25.43		 14.59   	 625.63		
 95.52   	 -2.75   	 72.11   	 -40.69		 17.09   	 442.52		
 95.52   	-14.04   	 71.94   	 -40.69		 18.86   	 233.98		
 97.96   	-20.75   	 71.78   	 -45.78		 19.80   	 127.16		
101.62   	-17.70   	 71.60   	 -40.69		 20.31   	 203.46		
103.76   	 -6.10   	 71.43   	 -35.61		 21.12   	 366.22		
101.93   	  7.32   	 71.29   	 -35.61		 22.58   	 478.13		
 95.83   	 16.48   	 71.15   	 -35.61		 24.50   	 523.90		
 88.20   	 18.92   	 71.01   	 -40.69		 26.59   	 600.20		
 82.09   	 12.21   	 70.84   	 -45.78		 28.99   	 544.25		
 86.06   	  9.46   	 70.66   	 -40.69		 31.17   	 564.60		
 92.16   	 10.07   	 70.50   	 -40.69		 33.43   	 645.98		
 97.66   	 13.73   	 70.34   	 -40.69		 36.01   	 996.94		
100.40   	 18.62   	 70.17   	 -45.78		 40.00   	1398.77		
100.71   	 24.11   	 69.99   	 -45.78		 45.59   	1119.02		
 99.18   	 28.69   	 69.81   	 -45.78		 50.07   	 193.29		
 97.66   	 30.82   	 69.62   	 -40.69		 50.84   	-595.11		
 96.44   	 29.91   	 69.46   	 -40.69		 48.46   	-864.70		
 95.83   	 25.33   	 69.30   	 -40.69		 45.00   	-656.15		
 95.83   	 18.62   	 69.14   	 -35.61		 42.38   	-111.90		
 96.74   	 12.21   	 68.99   	 -40.69		 41.93   	 427.26		
 98.88   	  8.54   	 68.83   	 -40.69		 43.64   	 722.28		
102.23   	 10.38   	 68.67   	 -45.78		 46.53   	 691.76		
106.51   	 19.23   	 68.48   	 -45.78		 49.30   	 447.61		
110.17   	 33.26   	 68.30   	 -35.61		 51.09   	 152.59		
112.30   	 50.05   	 68.16   	 -30.52		 51.70   	 -55.95		
112.00   	 65.92   	 68.04   	 -30.52		 51.47   	-137.33		
110.78   	 78.43   	 67.91   	 -35.61		 50.93   	 -76.30		
109.25   	 86.67   	 67.77   	 -30.52		 50.62   	  61.04		
109.86   	 93.08   	 67.65   	 -30.52		 50.86   	 203.46		
112.30   	 99.49   	 67.53   	 -15.26		 51.68   	 284.84		
116.88   	107.12   	 67.47(D)	   0.00		 52.82   	 284.84		
122.07   	114.75   	 67.47   	  35.61		 53.96   	 233.98		
127.26   	120.24   	 67.61   	 167.85		 54.89   	 157.68		
132.14   	114.44   	 68.28   	 289.93		 55.52   	 162.77		
131.53   	102.23   	 69.44   	 422.18		 56.17   	 213.63		
129.39   	 86.98   	 71.13   	 508.65		 57.03   	 254.32		
126.95   	 73.85   	 73.16   	 503.56		 58.05   	 233.98		
125.12   	 67.75   	 75.18   	 437.43		 58.98   	 188.20		
124.82   	 72.02   	 76.93   	 366.22		 59.74   	 172.94		
125.73   	 87.28   	 78.39   	 330.62		 60.43   	 203.46		
126.34   	109.56   	 79.71   	 340.79		 61.24   	 244.15		
124.51   	134.28   	 81.08   	 371.31		 62.22   	 249.24		
118.71   	154.42   	 82.56   	 396.74		 63.21   	 203.46		
108.95   	165.41   	 84.15   	 406.92		 64.03   	 152.59		
 96.74   	164.18   	 85.78   	 412.00		 64.64   	 116.99		
 85.14   	151.67   	 87.43   	 412.00		 65.11   	  91.56		
 76.29   	131.84   	 89.07   	 406.92		 65.47   	  86.47		
 71.11   	108.34   	 90.70   	 406.92		 65.82   	 111.90		
 67.14   	 85.45   	 92.33   	 406.92		 66.27   	 122.07		
 62.56   	 65.61   	 93.96   	 417.09		 66.75   	 116.99		
 55.24   	 49.44   	 95.63   	 427.26		 67.22   	 122.07		
 44.86   	 35.71   	 97.33   	 417.09		 67.71   	 106.82		
 32.65   	 22.89   	 99.00   	 412.00		 68.14   	  76.30		
 20.14   	  8.24   	100.65   	 381.48		 68.44   	  40.69		
  9.46   	 -8.54   	102.18   	 356.05		 68.61   	  30.52		
  2.14   	-26.55   	103.60   	 345.88		 68.73   	  45.78		
 -0.92   	-43.03   	104.98   	 330.62		 68.91   	  76.30		
  0.31   	-54.93   	106.31   	 340.79		 69.22   	  55.95		
  8.85   	-58.90   	107.67   	 305.19		 69.44   	  20.35		
 11.60   	-50.96   	108.89   	 274.67		 69.52(S)	 -20.35		
 12.82   	-39.67   	109.99   	 244.15		 69.44   	 -55.95		
 12.82   	-28.08   	110.97   	 233.98		 69.22   	 -50.86		
 12.51   	-19.23   	111.90   	 208.54		 69.01   	   0.00		
 12.21   	-14.65   	112.74   	 183.11		 69.01   	  50.86		
 11.60   	-14.34   	113.47   	 137.33		 69.22   	  50.86		
 10.99   	-16.17   	114.02   	  81.38		 69.42   	  -5.09		
 11.29   	-17.40   	114.34   	  40.69		 69.40   	 -86.47		
 12.51   	-15.87   	114.51   	  30.52		 69.05   	-157.68		
 15.56   	-11.29   	114.63   	  45.78		 68.42   	-208.54		
 18.92   	 -4.58   	114.81   	  61.04		 67.59   	-228.89		
 21.06   	  0.92   	115.06   	  61.04		 66.67   	-233.98		
 21.36   	  2.75   	115.30   	  40.69		 65.74   	-228.89		
 19.53   	  1.22   	115.46(S)	   0.00		 64.82   	-218.72		
 16.78   	 -1.22   	115.46   	 -40.69		 63.95   	-249.24		
 15.56   	  0.00   	115.30   	 -76.30		 62.95   	-315.36		
 16.17   	  7.63   	114.99   	-132.25		 61.69   	-427.26		
 19.53   	 21.67   	114.47   	-142.42		 59.98   	-498.47		
 23.80   	 37.84   	113.90   	-137.33		 57.99   	-493.39		
 27.77   	 50.96   	113.35   	-167.85		 56.01   	-467.95		
 29.91   	 57.37   	112.68   	-178.03		 54.14   	-427.26		
 30.52   	 54.63   	111.96   	-162.77		 52.43   	-412.00		
 30.52   	 44.86   	111.31   	-137.33		 50.78   	-462.87		
 32.04   	 32.35   	110.76   	-122.07		 48.93   	-554.42		
 35.40   	 23.19   	110.27   	-132.25		 46.71   	-630.72		
 40.59   	 21.67   	109.75   	-152.59		 44.19   	-656.15		
 46.69   	 28.69   	109.13   	-183.11		 41.57   	-651.07		
 52.19   	 42.42   	108.40   	-203.46		 38.96   	-620.55		
 56.15   	 58.90   	107.59   	-218.72		 36.48   	-569.68		
 57.98   	 73.24   	106.71   	-213.63		 34.20   	-534.08		
 57.98   	 81.18   	105.86   	-213.63		 32.06   	-508.65		
 56.46   	 81.18   	105.00   	-203.46		 30.03   	-498.47		
 54.63   	 74.16   	104.19   	-213.63		 28.04   	-503.56		
 54.02   	 63.17   	103.34   	-213.63		 26.02   	-518.82		
 55.85   	 53.71   	102.48   	-228.89		 23.95   	-513.73		
 60.12   	 49.13   	101.57   	-239.06		 21.89   	-483.21		
 65.31   	 50.96   	100.61   	-249.24		 19.96   	-452.69		
 69.58   	 58.90   	 99.61   	-249.24		 18.15   	-432.35		
 70.80   	 70.19   	 98.62   	-233.98		 16.42   	-412.00		
 68.05   	 81.18   	 97.68   	-223.80		 14.77   	-386.57		
 61.95   	 89.11   	 96.78   	-223.80		 13.22   	-340.79		
 54.32   	 91.55   	 95.89   	-213.63		 11.86   	-289.93		
 48.22   	 89.11   	 95.04   	-193.29		 10.70   	-249.24		
 45.17   	 83.31   	 94.26   	-183.11		  9.70   	-218.72		
 45.78   	 77.21   	 93.53   	-178.03		  8.83   	-188.20		
 49.44   	 72.94   	 92.82   	-172.94		  8.08   	-183.11		
 54.32   	 70.80   	 92.13   	-162.77		  7.34   	-188.20		
 58.29   	 69.89   	 91.47   	-157.68		  6.59   	-198.37		
 59.81   	 67.75   	 90.84   	-147.51		  5.80   	-193.29		
 58.90   	 63.78   	 90.25   	-147.51		  5.03   	-178.03		
 55.24   	 58.29   	 89.66   	-152.59		  4.31   	-157.68		
 49.74   	 52.49   	 89.05   	-152.59		  3.68   	-172.94		
 44.25   	 49.44   	 88.44   	-152.59		  2.99   	-162.77		
 40.28   	 51.27   	 87.83   	-147.51		  2.34   	-101.73		
 40.28   	 59.51   	 87.24   	-137.33		  1.93   	 -35.61		
 45.47   	 74.46   	 86.69   	-127.16		  1.79   	 -20.35		
 54.63   	 94.60   	 86.18   	-127.16		  1.71   	 -15.26		
 66.83   	116.58   	 85.68   	-127.16		  1.65   	 -25.43		
 78.74   	137.02   	 85.17   	-122.07		  1.55   	 -30.52		
 87.89   	152.59   	 84.68   	-127.16		  1.42   	 -30.52		
 91.25   	160.83   	 84.17   	-116.99		  1.30   	 -25.43		
 88.81   	160.52   	 83.70   	-111.90		  1.20   	 -30.52		
 82.09   	152.28   	 83.26   	-106.82		  1.08   	 -25.43		
 76.29   	140.69   	 82.83   	-106.82		  0.98   	 -15.26		
 77.21   	133.36   	 82.40   	 -96.64		  0.92   	   0.00		
 87.59   	138.24   	 82.01   	 -91.56		  0.92   	  -5.09		
105.29   	158.08   	 81.65   	 -81.38		  0.90   	  -5.09		
122.99   	188.29   	 81.32   	 -76.30		  0.87   	  -5.09		
132.75   	217.59   	 81.02   	 -81.38		  0.85   	 -10.17		
130.92   	232.85   	 80.69   	 -86.47		  0.81   	  -5.09		
119.02   	227.36   	 80.35   	 -76.30		  0.79   	   5.09		
104.98   	202.94   	 80.04   	 -71.21		  0.81   	  15.26		
 94.60   	167.85   	 79.76   	 -66.12		  0.87   	  30.52		
 89.42   	131.53   	 79.49   	 -61.04		  1.00   	  50.86		
 85.14   	101.62   	 79.25   	 -61.04		  1.20   	  61.04		
 76.29   	 80.26   	 79.00   	 -55.95		  1.44   	  61.04		
 59.51   	 64.09   	 78.78   	 -55.95		  1.69   	  55.95		
 37.23   	 47.30   	 78.56   	 -50.86		  1.91   	  45.78		
 16.17   	 26.86   	 78.35   	 -50.86		  2.10   	  35.61		
  1.83   	  3.97   	 78.15   	 -45.78		  2.24   	  40.69		
 -3.36   	-14.65   	 77.97   	 -50.86		  2.40   	  40.69		
 -2.14   	-21.67   	 77.76   	 -45.78		  2.56   	  40.69		
  0.61   	-14.04   	 77.58   	 -50.86		  2.73   	  35.61		
  0.92   	  4.58   	 77.38   	 -40.69		  2.87   	  15.26		
 -1.83   	 25.02   	 77.21   	 -45.78		  2.93   	 -20.35		
 -5.49   	 39.67   	 77.03   	 -45.78		  2.85   	-127.16		
 -7.93   	 44.86   	 76.85   	 -40.69		  2.34   	-233.98		
 -8.54   	 41.20   	 76.68   	 -40.69		  1.40   	-274.67		
 -7.32   	 33.57   	 76.52   	 -30.52		  0.31   	-208.54		
 -4.88   	 25.63   	 76.40   	 -35.61		 -0.53   	 -50.86		
 -2.14   	 19.23   	 76.26   	 -35.61		 -0.73(D)	 122.07		
  1.22   	 13.43   	 76.11   	 -35.61		 -0.24   	 249.24		
  6.71   	  4.27   	 75.97   	 -40.69		  0.75   	 310.27		
 17.70   	-11.60   	 75.81   	 -40.69		  1.99   	 284.84		
 36.32   	-33.87   	 75.65   	 -40.69		  3.13   	 223.80		
 62.56   	-50.66   	 75.48   	 -30.52		  4.03   	 142.42		
 92.47   	-35.71   	 75.36   	 -35.61		  4.60   	  66.12		
123.29   	 46.08   	 75.22   	 -35.61		  4.86   	  45.78		
159.61   	220.64   	 75.08   	 -30.52		  5.05   	  66.12		
215.15   	488.89   	 74.95   	 -30.52		  5.31   	 101.73		
295.41   	821.84   	 74.83   	 -35.61		  5.72   	  91.56		
386.05   	1171.26   	 74.69   	 -40.69		  6.08   	  71.21		
454.41   	1470.03   	 74.53   	 -50.86		  6.37   	  35.61		
394.90   	1587.52(R)	 74.32   	 -40.69		  6.51(E)	  10.17		
259.70   	1310.42   	 74.16   	 -40.69		  6.55   	   5.09		
 95.52   	852.05   	 74.00   	 -35.61		  6.57   	   0.00		
-51.57   	338.75   	 73.86   	 -30.52		  6.57   	  15.26		
-142.82   	-79.35   	 73.73   	 -35.61		  6.63   	  20.35		
-155.64   	-309.45   	 73.59   	 -30.52		  6.71   	  40.69		
-97.96   	-346.98   	 73.47   	 -30.52		  6.88   	  61.04		
 -8.24   	-252.99   	 73.35   	 -30.52		  7.12   	  96.64		
 65.61   	-111.39   	 73.22   	 -35.61		  7.51   	 111.90		
 93.08   	  6.41   	 73.08   	 -25.43		  7.96   	  96.64		
 75.38   	 64.70   	 72.98   	 -25.43		  8.34   	  61.04		
 40.89   	 65.61   	 72.88   	 -30.52		  8.59   	  76.30		
 19.84   	 32.96   	 72.76   	 -25.43		  8.89   	 218.72		
 21.67   	 -0.92   	 72.65   	 -30.52		  9.77   	 422.18		
 35.40   	-14.04   	 72.53   	 -35.61		 11.45   	 549.34		
 44.86   	 -2.14   	 72.39   	 -30.52		 13.65   	 539.16		
 43.64   	 22.58   	 72.27   	 -25.43		 15.81   	 376.40		
 35.71   	 46.08   	 72.17   	 -30.52		 17.31   	 178.03		
 28.69   	 62.56   	 72.04   	 -35.61		 18.03   	 157.68		
 26.25   	 72.94   	 71.90   	 -30.52		 18.66   	 325.53		
 28.69   	 78.43   	 71.78   	 -35.61		 19.96   	 554.42		
 32.96   	 78.74   	 71.64   	 -35.61		 22.18   	 747.71		
 36.62   	 74.77   	 71.50   	 -35.61		 25.17   	 813.83		
 38.76   	 67.75   	 71.35   	 -35.61		 28.42   	 696.84		
 40.28   	 59.51   	 71.21   	 -40.69		 31.21   	 422.18		
 44.86   	 47.61   	 71.05   	 -35.61		 32.90   	 620.55		
 47.91   	 47.61   	 70.91   	 -40.69		 35.38   	1174.97		
 50.05   	 51.27   	 70.74   	 -35.61		 40.08   	1261.44		
 50.96   	 54.32   	 70.60   	 -35.61		 45.13   	 584.94		
 50.35   	 53.10   	 70.46   	 -40.69		 47.47   	-116.99		
 49.13   	 46.39   	 70.29   	 -45.78		 47.00   	-503.56		
 47.61   	 36.62   	 70.11   	 -35.61		 44.98   	-549.34		
 46.39   	 29.30   	 69.97   	 -30.52		 42.79   	-254.32		
 46.39   	 28.69   	 69.85   	 -30.52		 41.77   	 137.33		
 48.22   	 37.23   	 69.73   	 -30.52		 42.32   	 406.92		
 52.49   	 53.41   	 69.60   	 -40.69		 43.95   	 503.56		
 58.29   	 74.46   	 69.44   	 -40.69		 45.96   	 432.35		
 64.39   	 97.05   	 69.28   	 -45.78		 47.69   	 269.58		
 69.27   	116.27   	 69.09   	 -40.69		 48.77   	 116.99		
 72.63   	128.48   	 68.93   	 -40.69		 49.24   	  40.69		
 74.77   	130.92   	 68.77   	 -35.61		 49.40   	  45.78		
 76.29   	124.21   	 68.63   	 -35.61		 49.58   	 101.73		
 78.13   	110.78   	 68.48   	 -35.61		 49.99   	 172.94		
 80.26   	 94.91   	 68.34   	 -30.52		 50.68   	 223.80		
 83.31   	 81.18   	 68.22   	 -30.52		 51.58   	 228.89		
 86.98   	 72.63   	 68.10   	 -25.43		 52.49   	 203.46		
 90.94   	 70.80   	 68.00   	 -10.17		 53.31   	 172.94		
 94.30   	 75.99   	 67.95(D)	   0.00		 54.00   	 132.25		
 97.05   	 86.06   	 67.95   	  30.52		 54.53   	 132.25		
 98.88   	 98.88   	 68.08   	 178.03		 55.06   	 218.72		
 98.57   	122.99   	 68.79   	 284.84		 55.93   	 264.50		
 96.74   	132.14   	 69.93   	 406.92		 56.99   	 295.01		
 94.60   	139.77   	 71.56   	 493.39		 58.17   	 315.36		
 92.47   	146.18   	 73.53   	 503.56		 59.43   	 320.45		
 90.33   	149.84   	 75.54   	 442.52		 60.71   	 279.75		
 88.20   	151.06   	 77.31   	 381.48		 61.83   	 193.29		
 85.45   	149.84   	 78.84   	 340.79		 62.60   	 122.07		
 80.57   	147.71   	 80.20   	 350.97		 63.09   	 101.73		
 74.16   	145.87   	 81.61   	 371.31		 63.50   	 132.25		
 65.92   	142.52   	 83.09   	 396.74		 64.03   	 188.20		
 55.85   	134.58   	 84.68   	 406.92		 64.78   	 223.80		
 44.86   	119.93   	 86.31   	 412.00		 65.68   	 228.89		
 33.57   	100.40   	 87.95   	 412.00		 66.59   	 178.03		
 22.58   	 79.96   	 89.60   	 406.92		 67.30   	 111.90		
 13.12   	 62.87   	 91.23   	 401.83		 67.75   	  61.04		
  4.88   	 50.35   	 92.84   	 396.74		 68.00   	  61.04		
 -2.44   	 41.20   	 94.42   	 401.83		 68.24   	  76.30		
 -9.77   	 31.43   	 96.03   	 406.92		 68.55   	  66.12		
-17.70   	 19.84   	 97.66   	 406.92		 68.81   	  61.04		
-25.94   	  6.71   	 99.29   	 391.66		 69.05   	  61.04		
-33.57   	 -7.02   	100.85   	 366.22		 69.30   	  91.56		
-38.45   	-18.62   	102.32   	 340.79		 69.66   	 116.99		
-39.37   	-27.16   	103.68   	 315.36		 70.13   	 122.07		
-35.71   	-31.74   	104.94   	 315.36		 70.62   	  86.47		
-29.91   	-33.26   	106.21   	 330.62		 70.97(S)	   0.00		
-20.45   	-29.91   	107.53   	 300.10		 70.97   	 -25.43		
-18.01   	-24.72   	108.73   	 259.41		 70.86   	 -25.43		
-16.48   	-16.17   	109.77   	 223.80		 70.76   	 -10.17		
-14.65   	 -5.80   	110.66   	 188.20		 70.72   	 -10.17		
-11.90   	  4.88   	111.41   	 167.85		 70.68   	 -10.17		
 -9.16   	 14.04   	112.09   	 142.42		 70.64   	 -30.52		
 -6.41   	 19.84   	112.65   	 132.25		 70.52   	 -50.86		
 -3.97   	 21.36   	113.18   	 111.90		 70.32   	 -81.38		
 -1.53   	 18.01   	113.63   	  81.38		 69.99   	-127.16		
  1.22   	 10.38   	113.96   	  61.04		 69.48   	-172.94		
  3.66   	  0.92   	114.20   	  55.95		 68.79   	-208.54		
  5.80   	 -6.10   	114.42   	  45.78		 67.95   	-233.98		
  7.02   	 -5.49   	114.61   	  25.43		 67.02   	-249.24		
  7.32   	  4.58   	114.71(S)	 -15.26		 66.02   	-274.67		
  7.02   	 23.50   	114.65   	 -45.78		 64.92   	-310.27		
  7.02   	 47.61   	114.47   	 -61.04		 63.68   	-376.40		
  8.54   	 71.11   	114.22   	 -71.21		 62.18   	-427.26		
 11.29   	 87.89   	113.94   	 -91.56		 60.47   	-417.09		
 14.34   	 94.91   	113.57   	-111.90		 58.80   	-371.31		
 17.09   	 90.94   	113.12   	-157.68		 57.31   	-356.05		
 19.53   	 78.43   	112.49   	-198.37		 55.89   	-396.74		
 21.97   	 61.04   	111.70   	-198.37		 54.30   	-483.21		
 24.41   	 42.42   	110.90   	-172.94		 52.37   	-554.42		
 26.86   	 28.08   	110.21   	-132.25		 50.15   	-610.37		
 29.30   	 21.97   	109.68   	 -96.64		 47.71   	-656.15		
 32.04   	 26.25   	109.30   	-116.99		 45.09   	-681.58		
 34.48   	 39.67   	108.83   	-152.59		 42.36   	-651.07		
 36.93   	 58.29   	108.22   	-193.29		 39.76   	-590.03		
 38.45   	 77.21   	107.45   	-208.54		 37.40   	-518.82		
 39.06   	 91.86   	106.61   	-208.54		 35.32   	-488.30		
 39.67   	 99.79   	105.78   	-203.46		 33.37   	-488.30		
 41.50   	100.10   	104.96   	-213.63		 31.41   	-513.73		
 44.56   	 93.38   	104.11   	-223.80		 29.36   	-528.99		
 48.22   	 81.18   	103.21   	-244.15		 27.24   	-528.99		
 51.57   	 67.14   	102.24   	-239.06		 25.13   	-513.73		
 53.41   	 56.46   	101.28   	-239.06		 23.07   	-483.21		
 54.02   	 53.10   	100.33   	-228.89		 21.14   	-457.78		
 53.71   	 57.68   	 99.41   	-239.06		 19.31   	-432.35		
 53.10   	 68.36   	 98.45   	-239.06		 17.58   	-401.83		
 52.19   	 81.18   	 97.50   	-228.89		 15.97   	-366.22		
 50.66   	 91.25   	 96.58   	-218.72		 14.51   	-325.53		
 48.52   	 96.44   	 95.71   	-213.63		 13.20   	-289.93		
 45.47   	 96.13   	 94.85   	-208.54		 12.04   	-244.15		
 41.81   	 90.03   	 94.02   	-198.37		 11.07   	-203.46		
 39.37   	 80.26   	 93.22   	-183.11		 10.25   	-172.94		
 39.37   	 69.27   	 92.49   	-167.85		  9.56   	-162.77		
 41.81   	 61.34   	 91.82   	-167.85		  8.91   	-167.85		
 45.47   	 58.59   	 91.15   	-157.68		  8.24   	-167.85		
 47.61   	 61.04   	 90.52   	-162.77		  7.57   	-162.77		
 46.39   	 66.22   	 89.87   	-152.59		  6.92   	-147.51		
 42.42   	 70.50   	 89.26   	-157.68		  6.33   	-127.16		
 36.93   	 72.63   	 88.63   	-147.51		  5.82   	-132.25		
 32.35   	 73.24   	 88.04   	-147.51		  5.29   	-178.03		
 29.30   	 72.94   	 87.45   	-142.42		  4.58   	-228.89		
 27.47   	 71.41   	 86.88   	-137.33		  3.66   	-178.03		
 25.94   	 65.92   	 86.33   	-132.25		  2.95   	-101.73		
 25.33   	 56.15   	 85.80   	-127.16		  2.54   	 -50.86		
 25.63   	 42.72   	 85.29   	-122.07		  2.34   	 -15.26		
 28.38   	 31.13   	 84.80   	-122.07		  2.28   	  10.17		
 33.87   	 27.16   	 84.31   	-116.99		  2.32   	  15.26		
 42.42   	 36.93   	 83.85   	-116.99		  2.38   	   5.09		
 52.19   	 62.26   	 83.38   	-111.90		  2.40   	 -10.17		
 59.81   	 99.18   	 82.93   	 -96.64		  2.36   	 -35.61		
 61.65   	140.08   	 82.54   	 -96.64		  2.22   	 -30.52		
 57.37   	175.17   	 82.16   	 -86.47		  2.10   	 -15.26		
 50.66   	197.14   	 81.81   	 -91.56		  2.03   	  15.26		
 48.52   	204.47   	 81.44   	 -91.56		  2.10   	  40.69		
 56.15   	201.42   	 81.08   	 -81.38		  2.26   	  50.86		
 71.72   	194.09   	 80.75   	 -76.30		  2.46   	  45.78		
 88.20   	184.63   	 80.45   	 -66.12		  2.64   	  35.61		
 97.96   	170.90   	 80.18   	 -71.21		  2.79   	  15.26		
 97.96   	147.71   	 79.90   	 -66.12		  2.85   	   0.00		
 90.64   	113.53   	 79.63   	 -55.95		  2.85   	   0.00		
 81.18   	 74.16   	 79.41   	 -61.04		  2.85   	   5.09		
 74.16   	 39.98   	 79.17   	 -50.86		  2.87   	  25.43		
 68.36   	 21.67   	 78.96   	 -50.86		  2.97   	  30.52		
 60.12   	 24.41   	 78.76   	 -50.86		  3.09   	  45.78		
 45.17   	 43.64   	 78.56   	 -45.78		  3.28   	  40.69		
 23.19   	 67.14   	 78.37   	 -45.78		  3.44   	  45.78		
 -1.83   	 82.09   	 78.19   	 -50.86		  3.62   	  30.52		
