SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
220.34   	477.60   	 49.30   	-239.06		113.18   	 737.54		
215.15   	480.65   	 48.34   	-208.54		116.13   	 600.20		
207.82   	476.07   	 47.51   	-213.63		118.53   	 457.78		
197.45   	461.73   	 46.65   	-208.54		120.37   	 361.14		
182.19   	433.35   	 45.82   	-167.85		121.81   	 315.36		
160.83   	387.27   	 45.15   	-127.16		123.07   	 295.01		
135.19   	324.40   	 44.64   	-116.99		124.25   	 284.84		
107.42   	250.55   	 44.17   	-111.90		125.39   	 274.67		
 80.26   	174.56   	 43.72   	 -96.64		126.49   	 279.75		
 54.32   	102.84   	 43.34   	 -66.12		127.61   	 320.45		
 29.91   	 38.45   	 43.07   	 -35.61		128.89   	 340.79		
  7.93   	-18.92   	 42.93   	 -45.78		130.25   	 315.36		
-10.99   	-69.58   	 42.75   	 -55.95		131.52   	 274.67		
-25.63   	-113.83   	 42.52   	 -50.86		132.61   	 233.98		
-36.01   	-150.45   	 42.32   	 -25.43		133.55   	 183.11		
-43.03   	-178.53   	 42.22   	 -25.43		134.28   	 127.16		
-47.91   	-198.97   	 42.12   	 -35.61		134.79   	  50.86		
-51.88   	-214.23   	 41.97   	 -35.61		134.99   	 -30.52		
-55.24   	-225.83   	 41.83   	 -50.86		134.87   	 -81.38		
-57.68   	-234.38   	 41.63   	 -50.86		134.55   	-116.99		
-58.29   	-239.26   	 41.42   	 -55.95		134.08   	-188.20		
-57.98   	-240.48   	 41.20   	 -66.12		133.33   	-254.32		
-57.98   	-239.56   	 40.94   	 -91.56		132.31   	-269.58		
-58.90   	-237.12   	 40.57   	-111.90		131.23   	-233.98		
-61.04   	-234.68   	 40.12   	-137.33		130.29   	-208.54		
-63.78   	-232.54   	 39.57   	-162.77		129.46   	-244.15		
-65.61   	-231.32   	 38.92   	-213.63		128.48   	-295.01		
-67.14   	-230.71   	 38.07   	-269.58		127.30   	-305.19		
-67.75   	-230.71   	 36.99   	-305.19		126.08   	-254.32		
-67.75   	-230.71   	 35.77   	-345.88		125.07   	-208.54		
-67.44   	-229.49   	 34.38   	-406.92		124.23   	-198.37		
-66.83   	-227.66   	 32.76   	-462.87		123.44   	-233.98		
-66.53   	-226.14   	 30.91   	-534.08		122.50   	-259.41		
-66.83   	-225.83   	 28.77   	-610.37		121.46   	-239.06		
-67.75   	-226.44   	 26.33   	-635.81		120.51   	-188.20		
-68.97   	-227.66   	 23.78   	-600.20		119.76   	-167.85		
-70.19   	-228.27   	 21.38   	-590.03		119.08   	-203.46		
-71.41   	-227.36   	 19.02   	-595.11		118.27   	-269.58		
-72.02   	-225.52   	 16.64   	-615.46		117.19   	-284.84		
-72.02   	-223.39   	 14.18   	-625.63		116.05   	-249.24		
-70.80   	-222.17   	 11.68   	-600.20		115.06   	-213.63		
-68.97   	-223.08   	  9.28   	-534.08		114.20   	-249.24		
-66.83   	-225.22   	  7.14   	-467.95		113.20   	-340.79		
-64.70   	-227.36   	  5.27   	-432.35		111.84   	-386.57		
-61.95   	-227.97   	  3.54   	-406.92		110.29   	-350.97		
