SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
638.12   	-2054.75(R)	  8.42   	  50.86		 48.65   	 -50.86		
297.55   	-1953.74   	  8.63   	  50.86		 48.44   	 -45.78		
 12.21   	-1543.27   	  8.83   	  45.78		 48.26   	 -40.69		
-173.65   	-1065.37   	  9.01   	  40.69		 48.10   	 -35.61		
-296.63   	-710.75   	  9.18   	  30.52		 47.96   	 -30.52		
-404.66   	-550.54   	  9.30   	  25.43		 47.83   	 -30.52		
-499.88   	-549.93   	  9.40   	  10.17		 47.71   	 -30.52		
-544.74   	-609.13   	  9.44   	   5.09		 47.59   	 -30.52		
-506.29   	-622.25   	  9.46   	   0.00		 47.47   	 -40.69		
-394.29   	-521.85   	  9.46   	  10.17		 47.30   	 -40.69		
-254.52   	-311.28   	  9.50   	  10.17		 47.14   	 -55.95		
-137.94   	-68.66   	  9.54   	  15.26		 46.92   	 -66.12		
-72.94   	105.29   	  9.60   	  15.26		 46.65   	 -66.12		
-56.76   	161.13   	  9.66   	  25.43		 46.39   	 -55.95		
-67.75   	129.09   	  9.77   	  40.69		 46.16   	 -55.95		
-80.26   	 78.74   	  9.93   	  45.78		 45.94   	 -40.69		
-80.87   	 60.73   	 10.11   	  55.95		 45.78   	 -40.69		
-70.19   	 79.04   	 10.34   	  66.12		 45.62   	 -30.52		
-57.68   	107.73   	 10.60   	  86.47		 45.49   	 -30.52		
-50.96   	123.60   	 10.95   	 162.77		 45.37   	 -55.95		
-50.66   	114.44   	 11.60   	 188.20		 45.15   	 -55.95		
-49.13   	108.64   	 12.35   	 213.63		 44.92   	 -61.04		
-45.47   	108.64   	 13.20   	 239.06		 44.68   	 -55.95		
-40.89   	113.53   	 14.16   	 269.58		 44.46   	 -55.95		
-36.32   	119.93   	 15.24   	 279.75		 44.23   	 -50.86		
-31.74   	125.43   	 16.36   	 284.84		 44.03   	 -45.78		
-27.47   	128.48   	 17.50   	 289.93		 43.85   	 -35.61		
-23.50   	129.70   	 18.66   	 284.84		 43.70   	 -35.61		
-18.62   	132.14   	 19.80   	 274.67		 43.56   	 -45.78		
-13.43   	137.33   	 20.90   	 254.32		 43.38   	 -45.78		
 -7.32   	144.65   	 21.91   	 244.15		 43.19   	 -50.86		
 -1.22   	152.28   	 22.89   	 223.80		 42.99   	 -50.86		
  3.05   	157.47   	 23.78   	 203.46		 42.79   	 -40.69		
  6.41   	159.30   	 24.60   	 193.29		 42.62   	 -45.78		
  9.77   	159.61   	 25.37   	 178.03		 42.44   	 -40.69		
 14.04   	161.74   	 26.08   	 157.68		 42.28   	 -35.61		
 20.45   	168.15   	 26.71   	 137.33		 42.14   	 -30.52		
 28.38   	177.31   	 27.26   	 122.07		 42.01   	 -10.17		
 37.23   	185.55   	 27.75   	 111.90		 41.97   	  20.35		
 45.78   	190.43   	 28.20   	  96.64		 42.05   	  40.69		
 53.10   	192.57   	 28.59   	  76.30		 42.22   	  61.04		
 59.51   	194.40   	 28.89   	  66.12		 42.46   	 106.82		
 65.92   	198.67   	 29.16   	  55.95		 42.89   	 167.85		
 73.24   	205.08   	 29.38   	  45.78		 43.56   	 223.80		
 81.18   	210.27   	 29.56   	  40.69		 44.46   	 350.97		
 96.13   	213.01   	 29.73   	  30.52		 45.86   	 361.14		
102.23   	213.32   	 29.85   	  30.52		 47.30   	 366.22		
107.73   	214.23   	 29.97   	  30.52		 48.77   	 366.22		
