SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
106.81   	-165.71   	 71.86   	  45.78		 34.73   	-544.25		
107.42   	-165.10   	 72.04   	  40.69		 32.55   	-528.99		
107.73   	-165.10   	 72.21   	  40.69		 30.44   	-508.65		
107.42   	-165.71   	 72.37   	  40.69		 28.40   	-488.30		
106.81   	-165.71   	 72.53   	  35.61		 26.45   	-473.04		
106.51   	-165.41   	 72.68   	  35.61		 24.56   	-442.52		
106.81   	-164.49   	 72.82   	  35.61		 22.79   	-406.92		
107.42   	-164.18   	 72.96   	  30.52		 21.16   	-366.22		
109.56   	-165.10   	 73.08   	  30.52		 19.69   	-325.53		
112.61   	-166.32   	 73.20   	  30.52		 18.39   	-289.93		
116.88   	-166.93   	 73.33   	  20.35		 17.23   	-254.32		
121.15   	-166.02   	 73.41   	  15.26		 16.22   	-233.98		
124.51   	-163.88   	 73.47   	  15.26		 15.28   	-223.80		
125.73   	-162.66   	 73.53   	   5.09		 14.38   	-218.72		
125.43   	-163.27   	 73.55   	  10.17		 13.51   	-218.72		
125.12   	-165.71   	 73.59   	  10.17		 12.63   	-218.72		
126.34   	-168.15   	 73.63   	   5.09		 11.76   	-223.80		
129.70   	-169.07   	 73.65   	  10.17		 10.86   	-223.80		
134.58   	-167.54   	 73.69   	   5.09		  9.97   	-244.15		
139.77   	-165.41   	 73.71   	   0.00		  8.99   	-320.45		
144.04   	-163.27   	 73.71   	   0.00		  7.71   	-422.18		
145.87   	-162.96   	 73.71   	  -5.09		  6.02   	-447.61		
146.18   	-163.57   	 73.69   	 -10.17		  4.23   	-417.09		
145.87   	-164.18   	 73.65   	 -10.17		  2.56   	-361.14		
146.48   	-164.18   	 73.61   	 -10.17		  1.12   	-269.58		
148.62   	-162.66   	 73.57   	 -15.26		  0.04   	-162.77		
152.28   	-160.52   	 73.51   	 -10.17		 -0.61   	 -61.04		
157.17   	-158.69   	 73.47   	 -15.26		 -0.85   	  20.35		
162.66   	-158.69   	 73.41   	 -10.17		 -0.77   	  81.38		
169.37   	-159.61   	 73.37   	 -15.26		 -0.45   	 122.07		
178.22   	-158.08   	 73.31   	 -20.35		  0.04   	 147.51		
190.43   	-148.93   	 73.22   	 -25.43		  0.63   	 152.59		
204.77   	-128.48   	 73.12   	 -30.52		  1.24   	 157.68		
219.73   	-99.79   	 73.00   	 -25.43		  1.87   	 157.68		
231.02   	-71.11   	 72.90   	 -25.43		  2.50   	 152.59		
236.51   	-52.19   	 72.80   	 -25.43		  3.11   	 162.77		
235.60   	-50.05   	 72.70   	 -25.43		  3.76   	 132.25		
229.49   	-63.48   	 72.59   	 -25.43		  4.29   	  86.47		
222.17   	-84.53   	 72.49   	 -25.43		  4.64   	   5.09		
216.98   	-99.79   	 72.39   	 -25.43		  4.66   	 -50.86		
216.37   	-99.18   	 72.29   	 -30.52		  4.46   	 -91.56		
220.34   	-79.04   	 72.17   	 -30.52		  4.09   	-116.99		
227.05   	-48.52   	 72.04   	 -30.52		  3.62   	-116.99		
230.71   	-25.02   	 71.92   	 -35.61		  3.15   	-101.73		
227.66   	-19.23   	 71.78   	 -35.61		  2.75   	 -71.21		
216.06   	-29.91   	 71.64   	 -40.69		  2.46   	 -35.61		
199.58   	-46.39   	 71.47   	 -30.52		  2.32   	  25.43		
184.63   	-59.81   	 71.35   	 -35.61		  2.42   	  55.95		
175.48   	-72.63   	 71.21   	 -30.52		  2.64   	  81.38		
171.20   	-93.69   	 71.09   	 -40.69		  2.97   	  91.56		
166.63   	-127.56   	 70.93   	 -35.61		  3.34   	  81.38		
157.17   	-166.63   	 70.78   	 -40.69		  3.66   	  66.12		
144.35   	-195.01   	 70.62   	 -40.69		  3.93   	  45.78		
133.67   	-203.25   	 70.46   	 -40.69		  4.11   	  35.61		
129.70   	-192.87   	 70.29   	 -40.69		  4.25   	  15.26		
132.45   	-176.09   	 70.13   	 -45.78		  4.31   	  15.26		
137.02   	-165.41   	 69.95   	 -40.69		  4.37   	  15.26		
138.55   	-165.71   	 69.79   	 -40.69		  4.44   	  15.26		
136.11   	-173.03   	 69.62   	 -35.61		  4.50   	  20.35		
132.45   	-180.36   	 69.48   	 -40.69		  4.58   	  25.43		
130.31   	-182.50   	 69.32   	 -40.69		  4.68   	  30.52		
130.62   	-180.05   	 69.16   	 -40.69		  4.80   	  40.69		
132.14   	-176.39   	 68.99   	 -45.78		  4.96   	  50.86		
133.97   	-174.26   	 68.81   	 -40.69		  5.17   	  55.95		
134.89   	-174.26   	 68.65   	 -40.69		  5.39   	  66.12		
135.50   	-174.87   	 68.48   	 -40.69		  5.66   	  71.21		
135.80   	-174.87   	 68.32   	 -45.78		  5.94   	  81.38		
136.72   	-173.95   	 68.14   	 -40.69		  6.27   	  81.38		
138.55   	-173.03   	 67.98   	 -40.69		  6.59   	  61.04		
141.30   	-172.73   	 67.81   	 -45.78		  6.84   	  50.86		
145.57   	-170.59   	 67.63   	 -40.69		  7.04   	  25.43		
152.28   	-162.96   	 67.47   	 -40.69		  7.14   	  -5.09		
165.10   	-142.52   	 67.30   	 -35.61		  7.12   	 -20.35		
190.12   	-101.93   	 67.16   	 -40.69		  7.04   	 -30.52		
235.29   	-37.23   	 67.00   	 -40.69		  6.92   	 -20.35		
307.01   	 55.54   	 66.84   	 -40.69		  6.84   	  -5.09		
399.78   	184.94   	 66.67   	 -35.61		  6.82(E)	  30.52		
479.13   	360.11   	 66.53   	 -35.61		  6.94   	  55.95		
487.98   	573.12   	 66.39   	 -35.61		  7.16   	  71.21		
377.20   	776.98   	 66.25   	 -45.78		  7.45   	  76.30		
-178.83   	865.48(R)	 66.06   	 -40.69		  7.75   	  71.21		
-484.62   	662.54   	 65.90   	 -40.69		  8.04   	  71.21		
-700.68   	336.61   	 65.74   	 -40.69		  8.32   	  71.21		
-802.00   	-15.56   	 65.57   	 -35.61		  8.61   	  81.38		
-812.38   	-302.43   	 65.43   	 -40.69		  8.93   	  86.47		
-771.79   	-468.75   	 65.27   	 -40.69		  9.28   	  71.21		
-706.18   	-506.59   	 65.11   	 -40.69		  9.56   	  55.95		
-621.95   	-452.27   	 64.94   	 -35.61		  9.79   	  35.61		
-521.55   	-370.48   	 64.80   	 -30.52		  9.93   	   0.00		
-418.09   	-328.67   	 64.68   	 -40.69		  9.93   	 -25.43		
-331.12   	-361.02   	 64.52   	 -40.69		  9.83   	 -25.43		
-266.11   	-444.95   	 64.35   	 -40.69		  9.73   	   5.09		
-208.13   	-518.49   	 64.19   	 -40.69		  9.75   	  55.95		
-135.50   	-518.80   	 64.03   	 -35.61		  9.97   	 106.82		
-41.20   	-425.42   	 63.89   	 -35.61		 10.40   	 162.77		
 57.68   	-274.05   	 63.74   	 -30.52		 11.05   	 239.06		
134.58   	-130.00   	 63.62   	 -35.61		 12.00   	 330.62		
173.65   	-42.72   	 63.48   	 -30.52		 13.33   	 422.18		
179.75   	-22.28   	 63.36   	 -35.61		 15.02   	 473.04		
172.12   	-42.42   	 63.21   	 -30.52		 16.91   	 493.39		
168.76   	-67.14   	 63.09   	 -35.61		 18.88   	 539.16		
175.48   	-72.94   	 62.95   	 -35.61		 21.04   	 635.81		
187.38   	-58.90   	 62.81   	 -40.69		 23.58   	 747.71		
196.84   	-39.06   	 62.64   	 -40.69		 26.57   	 829.09		
199.89   	-27.16   	 62.48   	 -35.61		 29.89   	1057.98		
195.92   	-30.21   	 62.34   	 -35.61		 34.12   	1073.24		
195.92   	-33.57   	 62.20   	 -35.61		 38.41   	1073.24		
198.06   	-32.65   	 62.05   	 -30.52		 42.71   	1057.98		
200.50   	-27.77   	 61.93   	 -35.61		 46.94   	1017.29		
201.72   	-21.97   	 61.79   	 -40.69		 51.01   	 946.08		
201.42   	-17.09   	 61.63   	 -40.69		 54.79   	 849.44		
199.89   	-14.04   	 61.46   	 -40.69		 58.19   	 727.36		
198.67   	-12.21   	 61.30   	 -40.69		 61.10   	 600.20		
197.75   	-10.07   	 61.14   	 -35.61		 63.50   	 473.04		
196.84   	 -7.02   	 61.00   	 -30.52		 65.39   	 356.05		
195.92   	 -3.36   	 60.87   	 -35.61		 66.82   	 274.67		
194.70   	  0.92   	 60.73   	 -35.61		 67.91   	 213.63		
192.87   	  4.27   	 60.59   	 -25.43		 68.77   	 172.94		
190.73   	  7.02   	 60.49   	 -30.52		 69.46   	 178.03		
188.29   	  9.46   	 60.37   	 -30.52		 70.17   	 198.37		
185.55   	 12.21   	 60.24   	 -30.52		 70.97   	 213.63		
183.41   	 15.87   	 60.12   	 -35.61		 71.82   	 228.89		
181.58   	 20.75   	 59.98   	 -35.61		 72.74   	 239.06		
