SAMPLE NUMBER:   10
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  RV     	  RV'		  RFA     	  RFA'		
-451.97   	-286.25   	 -0.31   	-122.07		 89.26   	-213.63		
-441.28   	-273.13   	 -0.79   	-122.07		 88.40   	-208.54		
-438.23   	-259.70   	 -1.28   	-116.99		 87.57   	-198.37		
-444.64   	-248.41   	 -1.75   	-106.82		 86.77   	-172.94		
-455.93   	-241.09   	 -2.18   	 -96.64		 86.08   	-157.68		
-464.48   	-238.95   	 -2.56   	 -86.47		 85.45   	-137.33		
-465.39   	-243.84   	 -2.91   	 -81.38		 84.90   	-127.16		
-456.24   	-252.08   	 -3.23   	 -71.21		 84.39   	-132.25		
-442.81   	-259.70   	 -3.52   	 -61.04		 83.87   	-137.33		
-432.43   	-263.06   	 -3.76   	 -45.78		 83.32   	-137.33		
-429.99   	-264.28   	 -3.95   	 -35.61		 82.77   	-147.51		
-431.82   	-263.98   	 -4.09   	 -20.35		 82.18   	-142.42		
-433.35   	-265.50   	 -4.17(D)	   0.00		 81.61   	-137.33		
-431.52   	-270.39   	 -4.17   	  20.35		 81.06   	-137.33		
-426.33   	-279.54   	 -4.09   	  40.69		 80.51   	-132.25		
-422.36   	-291.75   	 -3.93   	  55.95		 79.98   	-127.16		
-422.67   	-303.04   	 -3.70   	  66.12		 79.47   	-132.25		
-427.25   	-309.75   	 -3.44   	  76.30		 78.94   	-122.07		
-433.96   	-309.45   	 -3.13   	  86.47		 78.45   	-116.99		
-442.50   	-305.79   	 -2.79   	  81.38		 77.99   	-116.99		
-452.27   	-304.87   	 -2.46   	  76.30		 77.52   	-111.90		
-461.43   	-311.28   	 -2.16   	  66.12		 77.07   	-101.73		
-466.31   	-324.40   	 -1.89   	  50.86		 76.66   	 -96.64		
-463.26   	-340.27   	 -1.69   	  35.61		 76.28   	 -91.56		
-449.52   	-351.26   	 -1.55   	  25.43		 75.91   	 -96.64		
-429.38   	-353.39   	 -1.44   	  10.17		 75.52   	 -91.56		
-412.60   	-349.73   	 -1.40   	   0.00		 75.16   	 -86.47		
-407.10   	-346.98   	 -1.40   	   0.00		 74.81   	 -81.38		
-413.82   	-351.56   	 -1.40   	   5.09		 74.49   	 -86.47		
-426.94   	-366.52   	 -1.38   	  10.17		 74.14   	 -86.47		
-434.88   	-384.83   	 -1.34   	  25.43		 73.79   	 -91.56		
-429.08   	-397.95   	 -1.24   	  30.52		 73.43   	 -96.64		
-409.55   	-400.09   	 -1.12   	  35.61		 73.04   	 -96.64		
-384.52   	-393.07   	 -0.98   	  35.61		 72.65   	 -86.47		
-364.99   	-386.35   	 -0.83   	  25.43		 72.31   	 -81.38		
-358.58   	-389.10   	 -0.73   	  25.43		 71.98   	 -71.21		
-366.82   	-403.75   	 -0.63   	  15.26		 71.70   	 -61.04		
-383.00   	-424.50   	 -0.57   	  15.26		 71.45   	 -61.04		
-397.95   	-440.06   	 -0.51   	  20.35		 71.21   	 -61.04		
-407.41   	-444.34   	 -0.43   	  15.26		 70.97   	 -66.12		
-411.07   	-436.10   	 -0.37   	  20.35		 70.70   	 -76.30		
-410.77   	-421.14   	 -0.28   	  20.35		 70.40   	 -71.21		
-410.77   	-408.94   	 -0.20   	  15.26		 70.11   	 -61.04		
-413.82   	-405.27   	 -0.14   	  25.43		 69.87   	 -61.04		
-422.06   	-411.68   	 -0.04   	  30.52		 69.62   	 -61.04		
-436.40   	-426.94   	  0.08   	  40.69		 69.38   	 -50.86		
-455.63   	-444.64   	  0.24   	  55.95		 69.18   	 -61.04		
-475.46   	-458.37   	  0.47   	  61.04		 68.93   	 -66.12		
-491.03   	-464.17   	  0.71   	  55.95		 68.67   	 -61.04		
-499.88   	-461.73   	  0.94   	  55.95		 68.42   	 -61.04		
-503.23   	-455.93   	  1.16   	  45.78		 68.18   	 -50.86		
-502.93   	-452.58   	  1.34   	  35.61		 67.98   	 -50.86		
-500.49   	-455.32   	  1.49   	  40.69		 67.77   	 -50.86		
-497.74   	-462.04   	  1.65   	  30.52		 67.57   	 -45.78		
-495.91   	-469.06   	  1.77   	  25.43		 67.39   	 -45.78		
-495.91   	-473.02   	  1.87   	  10.17		 67.20   	 -45.78		
-497.74   	-472.11   	  1.91   	  10.17		 67.02   	 -45.78		
-498.96   	-465.70   	  1.95   	  15.26		 66.84   	 -45.78		
-497.13   	-455.02   	  2.01   	  20.35		 66.65   	 -45.78		
-488.28   	-438.23   	  2.10   	  25.43		 66.47   	 -40.69		
-466.31   	-412.29   	  2.20   	  30.52		 66.31   	 -40.69		
-424.19   	-372.92   	  2.32   	  25.43		 66.14   	 -35.61		
-358.89   	-319.52   	  2.42   	  30.52		 66.00   	 -30.52		
-275.57   	-254.52   	  2.54   	  55.95		 65.88   	 -30.52		
-185.85   	-183.72   	  2.77   	  96.64		 65.76   	 -35.61		
-98.27   	-110.78   	  3.15   	 132.25		 65.62   	 -35.61		
 -3.36   	-25.33   	  3.68   	 157.68		 65.47   	 -35.61		
120.85   	 93.38   	  4.31   	 172.94		 65.33   	 -30.52		
427.55   	411.99   	  5.01   	 152.59		 65.21   	 -35.61		
478.21   	486.15   	  5.62   	 106.82		 65.07   	 -45.78		
370.48   	414.43   	  6.04   	  55.95		 64.88   	 -50.86		
114.44   	202.33   	  6.27   	   0.00		 64.68   	 -40.69		
-202.03   	-66.83   	  6.27   	 -55.95		 64.52   	 -30.52		
-466.92   	-281.98   	  6.04   	 -86.47		 64.39   	 -40.69		
-627.14   	-392.76   	  5.70   	 -91.56		 64.23   	 -55.95		
-707.40   	-431.52   	  5.33   	 -71.21		 64.01   	 -50.86		
-756.84   	-458.37   	  5.05   	 -50.86		 63.80   	 -40.69		
-798.03   	-503.23   	  4.84   	 -30.52		 63.64   	 -15.26		
-817.87(R)	-552.98   	  4.72(E)	 -10.17		 63.58   	   5.09		
-792.24   	-574.34   	  4.68   	  10.17		 63.60   	  15.26		
-715.94   	-548.40   	  4.72   	  30.52		 63.66   	  10.17		
-607.91   	-481.57   	  4.84   	  50.86		 63.70   	 -15.26		
-496.22   	-397.34   	  5.05   	  61.04		 63.64   	 -35.61		
-401.31   	-318.30   	  5.29   	  66.12		 63.50   	 -55.95		
-333.86   	-263.06   	  5.55   	  71.21		 63.28   	 -50.86		
-295.10   	-236.51   	  5.84   	  61.04		 63.07   	 -45.78		
-275.57   	-224.61   	  6.08   	  45.78		 62.89   	 -35.61		
-263.67   	-212.10   	  6.27   	  20.35		 62.75   	 -20.35		
-251.16   	-196.23   	  6.35   	 -10.17		 62.67   	 -15.26		
-239.56   	-188.60   	  6.31   	   5.09		 62.60   	 -15.26		
-233.15   	-197.75   	  6.33   	  96.64		 62.54   	 -15.26		
-230.10   	-216.37   	  6.71   	 228.89		 62.48   	 -15.26		
-224.91   	-226.44   	  7.63   	 478.13		 62.42   	 -25.43		
-206.60   	-195.62   	  9.54   	 518.82		 62.32   	 -20.35		
-200.81   	-181.58   	 11.62   	 523.90		 62.24   	 -15.26		
-198.36   	-183.72   	 13.71   	 503.56		 62.18   	 -15.26		
-195.92   	-196.53   	 15.73   	 498.47		 62.12   	 -15.26		
-192.87   	-210.27   	 17.72   	 473.04		 62.05   	 -20.35		
-192.57   	-219.73   	 19.61   	 422.18		 61.97   	 -30.52		
-195.31   	-224.30   	 21.30   	 345.88		 61.85   	 -30.52		
-197.75   	-226.14   	 22.69   	 239.06		 61.73   	 -30.52		
-195.01   	-227.66   	 23.64   	 152.59		 61.61   	 -20.35		
-184.33   	-229.49   	 24.25   	  91.56		 61.53   	 -15.26		
-169.07   	-231.32   	 24.62   	  61.04		 61.46   	 -10.17		
-153.81   	-232.54   	 24.86   	  50.86		 61.42   	  -5.09		
-141.60   	-232.85   	 25.07   	  45.78		 61.40   	  -5.09		
-133.36   	-229.19   	 25.25   	  40.69		 61.38   	 -10.17		
-128.48   	-218.81   	 25.41   	  35.61		 61.34   	 -20.35		
-123.90   	-198.36   	 25.55   	  30.52		 61.26   	 -20.35		
-118.41   	-172.42   	 25.68   	  40.69		 61.18   	 -30.52		
-111.08   	-149.84   	 25.84   	  55.95		 61.06   	 -30.52		
-103.15   	-141.30   	 26.06   	  61.04		 60.94   	 -25.43		
-95.83   	-149.23   	 26.31   	  66.12		 60.83   	 -15.26		
-89.72   	-166.32   	 26.57   	  61.04		 60.77   	  -5.09		
-84.53   	-181.88   	 26.82   	  61.04		 60.75(D)	   5.09		
-79.65   	-187.38   	 27.06   	  66.12		 60.77   	  20.35		
-73.55   	-182.19   	 27.32   	  61.04		 60.85   	  50.86		
-65.31   	-171.20   	 27.57   	  50.86		 61.06   	 228.89		
-47.61   	-154.11   	 27.77   	  20.35		 61.97   	 376.40		
-41.81   	-148.93   	 27.85   	   5.09		 63.48   	 513.73		
-37.23   	-141.91   	 27.87(S)	 -10.17		 65.53   	 579.86		
-30.52   	-130.00   	 27.83   	 -20.35		 67.85   	 554.42		
-18.31   	-113.22   	 27.75   	 -25.43		 70.07   	 462.87		
  0.31   	-93.38   	 27.65   	 -40.69		 71.92   	 361.14		
 21.06   	-74.46   	 27.49   	 -55.95		 73.37   	 305.19		
 38.76   	-57.98   	 27.26   	 -61.04		 74.59   	 315.36		
 50.66   	-45.17   	 27.02   	 -66.12		 75.85   	 381.48		
 57.68   	-33.26   	 26.75   	 -71.21		 77.38   	 457.78		
 61.95   	-18.92   	 26.47   	 -71.21		 79.21   	 523.90		
 65.31   	 -1.83   	 26.19   	 -71.21		 81.30   	 539.16		
 67.44   	 14.34   	 25.90   	 -61.04		 83.46   	 513.73		
 68.36   	 22.89   	 25.66   	 -30.52		 85.51   	 467.95		
 69.58   	 22.28   	 25.53   	 -15.26		 87.39   	 427.26		
 72.94   	 16.17   	 25.47   	 -15.26		 89.09   	 417.09		
 78.43   	 10.38   	 25.41   	 -15.26		 90.76   	 417.09		
 83.62   	  9.77   	 25.35   	 -15.26		 92.43   	 437.43		
 83.01   	 12.21   	 25.29   	 -15.26		 94.18   	 447.61		
 73.85   	 14.34   	 25.23   	 -10.17		 95.97   	 452.69		
 55.85   	 11.90   	 25.19   	   0.00		 97.78   	 437.43		
 34.18   	  5.80   	 25.19   	  -5.09		 99.53   	 396.74		
 13.43   	 -0.92   	 25.17   	 -15.26		101.12   	 345.88		
 -2.75   	 -5.19   	 25.11   	 -15.26		102.50   	 310.27		
-15.56   	 -6.41   	 25.05   	 -25.43		103.74   	 269.58		
-28.38   	 -8.24   	 24.94   	 -25.43		104.82   	 223.80		
-43.03   	-14.34   	 24.84   	 -30.52		105.72   	 203.46		
-60.12   	-26.55   	 24.72   	 -30.52		106.53   	 208.54		
-77.21   	-40.28   	 24.60   	 -30.52		107.36   	 239.06		
-91.55   	-48.22   	 24.48   	 -35.61		108.32   	 193.29		
-102.23   	-46.08   	 24.33   	 -35.61		109.09   	  91.56		
-109.86   	-36.62   	 24.19   	 -40.69		109.46   	  35.61		
-115.97   	-26.25   	 24.03   	 -30.52		109.60(S)	 -25.43		
-121.46   	-20.14   	 23.91   	 -35.61		109.50   	-106.82		
-125.12   	-16.48   	 23.76   	 -40.69		109.07   	-127.16		
-125.73   	-10.38   	 23.60   	 -35.61		108.57   	 -61.04		
-121.46   	  2.75   	 23.46   	 -40.69		108.32   	 -15.26		
-113.22   	 23.80   	 23.30   	 -50.86		108.26   	 -40.69		
-101.93   	 50.35   	 23.09   	 -61.04		108.10   	 -50.86		
-89.42   	 79.96   	 22.85   	 -66.12		107.89   	 -61.04		
-78.43   	109.25   	 22.58   	 -91.56		107.65   	-122.07		
-69.89   	138.24   	 22.22   	-127.16		107.16   	-172.94		
-64.09   	163.88   	 21.71   	-147.51		106.47   	-193.29		
-59.81   	185.24   	 21.12   	-142.42		105.70   	-203.46		
-56.15   	203.25   	 20.55   	-152.59		104.88   	-203.46		
-53.10   	217.90   	 19.94   	-172.94		104.07   	-162.77		
-50.96   	227.66   	 19.25   	-198.37		103.42   	-132.25		
-50.96   	231.32   	 18.45   	-213.63		102.89   	-162.77		
-53.71   	227.36   	 17.60   	-213.63		102.24   	-178.03		
-58.90   	216.98   	 16.74   	-208.54		101.53   	-172.94		
-66.53   	202.94   	 15.91   	-198.37		100.83   	-178.03		
-75.99   	188.60   	 15.12   	-198.37		100.12   	-172.94		
-84.53   	175.48   	 14.32   	-198.37		 99.43   	-167.85		
-86.98   	165.71   	 13.53   	-203.46		 98.76   	-157.68		
-81.79   	158.08   	 12.72   	-218.72		 98.13   	-167.85		
-71.11   	152.28   	 11.84   	-239.06		 97.46   	-193.29		
-63.48   	145.26   	 10.89   	-228.89		 96.68   	-208.54		
-65.92   	134.28   	  9.97   	-198.37		 95.85   	-223.80		
-80.26   	116.88   	  9.18   	-203.46		 94.95   	-233.98		
-101.01   	 95.52   	  8.36   	-193.29		 94.02   	-213.63		
-119.32   	 73.85   	  7.59   	-188.20		 93.16   	-188.20		
-128.78   	 57.07   	  6.84   	-183.11		 92.41   	-178.03		
-129.09   	 46.69   	  6.10   	-178.03		 91.70   	-183.11		
-124.21   	 41.20   	  5.39   	-157.68		 90.97   	-193.29		
-118.71   	 37.54   	  4.76   	-152.59		 90.19   	-198.37		
-116.58   	 32.96   	  4.15   	-132.25		 89.40   	-203.46		
-116.88   	 29.30   	  3.62   	-127.16		 88.59   	-193.29		
-119.32   	 28.99   	  3.11   	-127.16		 87.81   	-183.11		
-122.99   	 33.57   	  2.60   	-127.16		 87.08   	-167.85		
-129.09   	 39.37   	  2.10   	-127.16		 86.41   	-152.59		
-136.41   	 39.67   	  1.59   	-106.82		 85.80   	-147.51		
-143.13   	 29.91   	  1.16   	 -86.47		 85.21   	-147.51		
-145.87   	 12.82   	  0.81   	 -91.56		 84.62   	-142.42		
-143.13   	 -4.88   	  0.45   	-101.73		 84.05   	-162.77		
-136.72   	-17.40   	  0.04   	 -76.30		 83.40   	-167.85		
-132.75   	-23.50   	 -0.26   	  15.26		 82.73   	-142.42		
-133.36   	-26.86   	 -0.20   	 132.25		 82.16   	-122.07		
-137.94   	-33.26   	  0.33   	 142.42		 81.67   	-111.90		
-142.52   	-43.95   	  0.90   	 -10.17		 81.22   	-127.16		
-143.74   	-57.07   	  0.85   	-132.25		 80.71   	-122.07		
-141.91   	-71.72   	  0.33   	 -61.04		 80.22   	-127.16		
-140.99   	-88.50   	  0.08   	  66.12		 79.71   	-147.51		
-143.13   	-105.29   	  0.35   	  71.21		 79.12   	-147.51		
-147.71   	-119.32   	  0.63   	  -5.09		 78.53   	-122.07		
-151.06   	-126.04   	  0.61   	 -55.95		 78.05   	-101.73		
-151.06   	-123.90   	  0.39   	 -30.52		 77.64   	-111.90		
-149.54   	-117.49   	  0.26   	   5.09		 77.19   	-101.73		
-149.23   	-113.22   	  0.28   	  -5.09		 76.79   	 -91.56		
-151.98   	-114.75   	  0.26   	 -35.61		 76.42   	 -91.56		
-155.03   	-118.71   	  0.12   	 -61.04		 76.05   	 -96.64		
-154.72   	-119.63   	 -0.12   	 -45.78		 75.67   	-101.73		
-148.32   	-114.75   	 -0.31   	 -10.17		 75.26   	-101.73		
-135.19   	-105.29   	 -0.35(D)	  30.52		 74.85   	 -91.56		
-119.93   	-95.83   	 -0.22   	  55.95		 74.49   	 -81.38		
-107.42   	-90.64   	  0.00   	  55.95		 74.16   	 -71.21		
-101.32   	-90.64   	  0.22   	  40.69		 73.88   	 -61.04		
-100.10   	-91.55   	  0.39   	  35.61		 73.63   	 -66.12		
-99.49   	-86.98   	  0.53   	  45.78		 73.37   	 -86.47		
-95.52   	-72.94   	  0.71   	  55.95		 73.02   	-106.82		
-87.89   	-50.96   	  0.94   	  61.04		 72.59   	-106.82		
-77.82   	-28.08   	  1.18   	  55.95		 72.17   	 -86.47		
-68.05   	-14.34   	  1.40   	  35.61		 71.82   	 -76.30		
-61.34   	-15.56   	  1.55   	  15.26		 71.52   	 -55.95		
-55.85   	-26.55   	  1.61   	   0.00		 71.29   	 -50.86		
-50.66   	-36.62   	  1.61   	 -15.26		 71.09   	 -50.86		
-47.91   	-37.84   	  1.55   	 -30.52		 70.88   	 -71.21		
-51.27   	-31.13   	  1.42   	 -30.52		 70.60   	 -76.30		
-63.78   	-23.80   	  1.30   	 -15.26		 70.29   	 -66.12		
-85.14   	-24.11   	  1.24   	  10.17		 70.03   	 -45.78		
-110.17   	-34.18   	  1.28   	   0.00		 69.85   	 -45.78		
-130.00   	-49.44   	  1.28   	 -20.35		 69.66   	 -50.86		
-139.47   	-63.78   	  1.20   	 -25.43		 69.46   	 -61.04		
-140.38   	-73.55   	  1.10   	   5.09		 69.22   	 -66.12		
-140.08   	-76.90   	  1.12   	  45.78		 68.95   	 -76.30		
-144.65   	-73.55   	  1.30   	  50.86		 68.65   	 -76.30		
-153.81   	-62.87   	  1.51   	  35.61		 68.34   	 -55.95		
-162.35   	-45.47   	  1.65   	  30.52		 68.12   	 -40.69		
-163.27   	-23.50   	  1.77   	  40.69		 67.95   	 -45.78		
-157.78   	 -3.05   	  1.93   	  71.21		 67.77   	 -35.61		
-152.28   	  8.24   	  2.22   	  66.12		 67.63   	 -35.61		
-153.81   	  5.80   	  2.48   	  40.69		 67.49   	 -55.95		
-162.05   	 -7.02   	  2.64   	  30.52		 67.26   	 -50.86		
-170.59   	-22.89   	  2.77   	  40.69		 67.06   	 -35.61		
-171.81   	-32.35   	  2.93   	  10.17		 66.92   	 -30.52		
-163.57   	-28.69   	  2.97   	 -35.61		 66.80   	 -66.12		
-148.32   	-10.07   	  2.83   	  -5.09		 66.53   	 -50.86		
-122.68   	 23.80   	  2.81   	  96.64		 66.33   	 -20.35		
-78.43   	 74.77   	  3.19   	 111.90		 66.25   	 -25.43		
 -9.77   	142.52   	  3.64   	 -10.17		 66.14   	 -45.78		
 77.82   	220.03   	  3.60   	-127.16		 65.96   	 -35.61		
169.98   	296.02   	  3.09   	-127.16		 65.82   	   0.00		
263.06   	368.35   	  2.58   	 -55.95		 65.82   	 -20.35		
372.31   	452.58   	  2.36   	  30.52		 65.74   	-122.07		
513.31   	571.29   	  2.48   	 249.24		 65.25   	 -15.26		
740.05(R)	812.99   	  3.48   	 233.98		 65.19   	 -25.43		
666.20   	786.74   	  4.42   	  55.95		 65.09   	 -45.78		
420.23   	597.23   	  4.64   	 -91.56		 64.90   	 -20.35		
 70.50   	292.97   	  4.27(E)	 -40.69		 64.82   	   5.09		
-261.54   	 -6.10   	  4.11   	  61.04		 64.84   	 -40.69		
-482.79   	-195.01   	  4.35   	  50.86		 64.68   	 -86.47		
-584.11   	-259.09   	  4.56   	 -25.43		 64.33   	 -61.04		
-612.79   	-254.52   	  4.46   	 -20.35		 64.09   	 -40.69		
-615.23   	-245.36   	  4.37   	  61.04		 63.93   	 -40.69		
-604.25   	-256.65   	  4.62   	 127.16		 63.76   	 -30.52		
-565.80   	-268.55   	  5.13   	 116.99		 63.64   	   0.00		
-488.28   	-250.55   	  5.60   	  35.61		 63.64   	   0.00		
-377.81   	-193.79   	  5.74   	 -61.04		 63.64   	 -20.35		
-254.52   	-111.08   	  5.49   	 -91.56		 63.56   	 -30.52		
-139.47   	-21.67   	  5.13   	 -40.69		 63.44   	 -40.69		
-50.05   	 56.46   	  4.96   	  50.86		 63.28   	 -45.78		
  1.22   	110.17   	  5.17   	  81.38		 63.09   	 -40.69		
 11.60   	132.75   	  5.49   	  50.86		 62.93   	 -20.35		
 -5.49   	128.78   	  5.70   	   5.09		 62.85   	   5.09		
-26.86   	112.61   	  5.72   	 -15.26		 62.87   	   5.09		
-33.87   	100.10   	  5.66   	 -10.17		 62.89   	  -5.09		
-21.67   	 98.88   	  5.62   	 -10.17		 62.87   	 -15.26		
  1.53   	107.12   	  5.57   	 -15.26		 62.81   	 -25.43		
 24.11   	117.80   	  5.51   	  55.95		 62.71   	 -50.86		
 38.15   	123.29   	  5.74   	 544.25		 62.50   	 -45.78		
 42.11   	115.05   	  7.91   	 640.89		 62.32   	 -30.52		
 37.23   	107.42   	 10.48   	 569.68		 62.20   	 -25.43		
 33.57   	103.76   	 12.76   	 442.52		 62.10   	 -10.17		
 34.79   	106.20   	 14.53   	 417.09		 62.05   	   5.09		
 42.42   	113.83   	 16.20   	 462.87		 62.08   	 -10.17		
 54.63   	122.07   	 18.05   	 498.47		 62.03   	 -30.52		
 68.66   	127.26   	 20.04   	 462.87		 61.91   	 -35.61		
 81.79   	128.78   	 21.89   	 366.22		 61.77   	 -40.69		
 94.30   	130.00   	 23.36   	 279.75		 61.61   	 -30.52		
106.51   	134.89   	 24.48   	 233.98		 61.49   	 -20.35		
117.49   	146.18   	 25.41   	 213.63		 61.40   	  -5.09		
125.12   	159.30   	 26.27   	 167.85		 61.38   	 -10.17		
130.62   	170.59   	 26.94   	 111.90		 61.34   	  -5.09		
135.80   	178.22   	 27.39   	  66.12		 61.32   	  -5.09		
140.99   	183.72   	 27.65   	  50.86		 61.30   	 -15.26		
148.01   	189.82   	 27.85   	  30.52		 61.24   	 -30.52		
158.08   	195.31   	 27.98   	   0.00		 61.12   	 -40.69		
173.65   	199.28   	 27.98   	 -25.43		 60.96   	 -35.61		
194.40   	201.42   	 27.87   	 -15.26		 60.81   	 -30.52		
215.45   	204.77   	 27.81   	   0.00		 60.69   	 -20.35		
228.58   	211.18   	 27.81   	  15.26		 60.61(D)	   5.09		
230.10   	218.81   	 27.87   	  20.35		 60.63   	  35.61		
224.00   	224.61   	 27.96   	  35.61		 60.77   	  91.56		
219.12   	227.66   	 28.10   	  50.86		 61.14   	 178.03		
220.64   	229.49   	 28.30   	  50.86		 61.85   	 478.13		
234.68   	225.22   	 28.50   	  10.17		 63.76   	 590.03		
242.92   	214.84   	 28.55(S)	 -20.35		 66.12   	 600.20		
252.99   	200.81   	 28.46   	 -30.52		 68.52   	 534.08		
264.59   	190.73   	 28.34   	 -20.35		 70.66   	 432.35		
274.35   	190.12   	 28.26   	   0.00		 72.39   	 356.05		
278.93   	198.97   	 28.26   	   5.09		 73.81   	 330.62		
278.32   	211.18   	 28.28   	 -25.43		 75.14   	 371.31		
276.79   	222.47   	 28.18   	 -66.12		 76.62   	 442.52		
277.40   	231.93   	 27.91   	 -81.38		 78.39   	 513.73		
280.46   	239.26   	 27.59   	 -76.30		 80.45   	 549.34		
284.12   	240.78   	 27.28   	 -55.95		 82.64   	 549.34		
286.87   	234.07   	 27.06   	 -81.38		 84.84   	 498.47		
286.87   	220.03   	 26.73   	-137.33		 86.84   	 457.78		
284.12   	201.72   	 26.19   	-137.33		 88.67   	 447.61		
278.63   	184.63   	 25.64   	 -50.86		 90.46   	 447.61		
268.55   	169.07   	 25.43   	  25.43		 92.25   	 452.69		
256.04   	154.72   	 25.53   	  -5.09		 94.06   	 467.95		
243.84   	141.91   	 25.51   	-132.25		 95.93   	 473.04		
231.63   	132.14   	 24.98   	-213.63		 97.82   	 462.87		
219.42   	126.65   	 24.13   	-152.59		 99.67   	 422.18		
206.30   	120.54   	 23.52   	 -10.17		101.36   	 396.74		
191.96   	108.95   	 23.48   	  71.21		102.95   	 350.97		
175.48   	 90.64   	 23.76   	   0.00		104.35   	 279.75		
159.00   	 71.72   	 23.76   	-127.16		105.47   	 213.63		
142.21   	 58.90   	 23.26   	-147.51		106.33   	 228.89		
123.60   	 53.41   	 22.67   	 -40.69		107.24   	 279.75		
100.71   	 49.13   	 22.50   	  91.56		108.36   	 239.06		
 72.33   	 37.23   	 22.87   	  96.64		109.32   	 147.51		
 42.42   	 16.78   	 23.26   	  10.17		109.91   	 122.07		
 17.70   	 -3.36   	 23.30   	 -76.30		110.40   	 127.16		
  2.44   	-13.43   	 22.99   	 -86.47		110.90   	  86.47		
 -2.75   	 -9.46   	 22.64   	 -30.52		111.25   	  35.61		
 -2.44   	  4.58   	 22.52   	  25.43		111.39(S)	 -10.17		
 -2.14   	 20.45   	 22.62   	   0.00		111.35   	 -50.86		
 -2.75   	 32.96   	 22.62   	 -55.95		111.15   	 -61.04		
 -2.75   	 40.59   	 22.40   	 -61.04		110.90   	-101.73		
 -1.53   	 44.25   	 22.16   	 -61.04		110.50   	-147.51		
  0.61   	 46.08   	 21.91   	-122.07		109.91   	-152.59		
  2.14   	 47.00   	 21.42   	-188.20		109.30   	-162.77		
  3.36   	 47.30   	 20.67   	-198.37		108.65   	-142.42		
  4.58   	 48.22   	 19.88   	-152.59		108.08   	-122.07		
  5.80   	 50.05   	 19.27   	-137.33		107.59   	-111.90		
  5.19   	 52.19   	 18.72   	-178.03		107.14   	-122.07		
  1.22   	 54.63   	 18.01   	-228.89		106.65   	-132.25		
 -5.80   	 56.15   	 17.09   	-249.24		106.12   	-162.77		
-10.99   	 57.07   	 16.09   	-223.80		105.47   	-193.29		
 -8.85   	 58.90   	 15.20   	-203.46		104.70   	-203.46		
  1.83   	 65.31   	 14.38   	-233.98		103.89   	-178.03		
 17.40   	 78.13   	 13.45   	-269.58		103.17   	-198.37		
 31.43   	 96.44   	 12.37   	-284.84		102.38   	-208.54		
 39.67   	115.66   	 11.23   	-249.24		101.55   	-183.11		
 43.03   	131.53   	 10.23   	-198.37		100.81   	-162.77		
 43.64   	140.99   	  9.44   	-172.94		100.16   	-178.03		
 42.72   	144.96   	  8.75   	-188.20		 99.45   	-172.94		
 40.28   	146.79   	  8.00   	-218.72		 98.76   	-178.03		
 36.01   	146.18   	  7.12   	-208.54		 98.05   	-198.37		
 32.35   	142.21   	  6.29   	-157.68		 97.25   	-193.29		
 33.26   	133.67   	  5.66   	-106.82		 96.48   	-183.11		
 39.98   	124.51   	  5.23   	-111.90		 95.75   	-183.11		
 48.83   	119.93   	  4.78   	-147.51		 95.01   	-183.11		
 53.41   	122.99   	  4.19   	-183.11		 94.28   	-188.20		
 50.66   	130.00   	  3.46   	-188.20		 93.53   	-188.20		
 40.59   	133.36   	  2.71   	-172.94		 92.78   	-198.37		
 28.69   	128.48   	  2.01   	-116.99		 91.98   	-193.29		
 20.45   	118.71   	  1.55   	 -40.69		 91.21   	-188.20		
 17.09   	112.30   	  1.38   	  35.61		 90.46   	-183.11		
 16.78   	114.44   	  1.53   	  61.04		 89.72   	-162.77		
 16.17   	122.68   	  1.77   	  55.95		 89.07   	-116.99		
 14.34   	128.48   	  1.99   	  30.52		 88.61   	-106.82		
 14.04   	126.95   	  2.12   	 -10.17		 88.18   	-162.77		
 18.92   	119.93   	  2.08   	 -45.78		 87.53   	-218.72		
 28.69   	112.30   	  1.89   	 -20.35		 86.65   	-228.89		
 38.76   	106.81   	  1.81   	 -10.17		 85.74   	-228.89		
 43.95   	 99.49   	  1.77   	 -61.04		 84.82   	-198.37		
 45.47   	 87.59   	  1.53   	-106.82		 84.03   	-137.33		
 48.52   	 73.55   	  1.10   	-132.25		 83.48   	-111.90		
 58.29   	 66.22   	  0.57   	-122.07		 83.03   	-111.90		
 72.63   	 72.94   	  0.08   	 -71.21		 82.58   	 -96.64		
 83.62   	 92.47   	 -0.20   	 -15.26		 82.20   	-127.16		
 83.31   	112.92   	 -0.26   	 -15.26		 81.69   	-167.85		
 73.55   	122.99   	 -0.33   	 -20.35		 81.02   	-162.77		
 59.51   	117.80   	 -0.41   	 -35.61		 80.37   	-111.90		
 48.22   	100.71   	 -0.55   	 -86.47		 79.92   	 -91.56		
 44.56   	 81.18   	 -0.90   	 -50.86		 79.55   	 -81.38		
 48.52   	 66.83   	 -1.10(D)	 116.99		 79.23   	 -66.12		
 58.29   	 60.42   	 -0.63   	 203.46		 78.96   	 -86.47		
 70.50   	 61.04   	  0.18   	 101.73		 78.62   	-147.51		
 80.87   	 63.78   	  0.59   	 -25.43		 78.03   	-172.94		
