SAMPLE NUMBER:   10
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  RV     	  RV'		  RFA     	  RFA'		
-1027.53   	-924.99   	  4.74   	  50.86		 63.21   	 -40.69		
-913.39   	-841.67   	  4.94   	 -15.26		 63.05   	 -55.95		
-818.79   	-772.71   	  4.88   	 -25.43		 62.83   	   0.00		
-755.92   	-734.25   	  4.78   	   5.09		 62.83   	   5.09		
-727.84   	-731.51   	  4.80   	  55.95		 62.85   	 -20.35		
-725.71   	-757.75   	  5.03   	  50.86		 62.77   	 -25.43		
-730.59   	-794.68   	  5.23   	 -25.43		 62.67   	 -25.43		
-729.68   	-825.50   	  5.13   	 -66.12		 62.56   	 -10.17		
-721.44   	-839.54   	  4.86   	 -10.17		 62.52   	  10.17		
-713.50   	-836.18   	  4.82   	  76.30		 62.56   	   5.09		
-709.84   	-819.70   	  5.13   	 167.85		 62.58   	 -10.17		
-706.48   	-794.07   	  5.80   	 376.40		 62.54   	-106.82		
-679.93   	-733.03   	  7.30   	 473.04		 62.12   	-116.99		
-662.23   	-712.59   	  9.20   	 564.60		 61.65   	 -66.12		
-649.72   	-708.62   	 11.45   	 564.60		 61.38   	   0.00		
-644.53   	-724.49   	 13.71   	 442.52		 61.38   	  20.35		
-645.75   	-758.06   	 15.48   	 335.71		 61.46   	  25.43		
-650.33   	-797.42   	 16.83   	 330.62		 61.57   	   0.00		
-655.52   	-825.50   	 18.15   	 366.22		 61.57   	 -35.61		
-657.35   	-827.64   	 19.61   	 335.71		 61.42   	 -50.86		
-651.86   	-802.31   	 20.96   	 244.15		 61.22   	 -35.61		
-637.21   	-761.41   	 21.93   	 132.25		 61.08   	 -30.52		
-617.07   	-723.57   	 22.46   	  71.21		 60.96   	  15.26		
-597.84   	-704.65   	 22.75   	  61.04		 61.02   	  45.78		
-585.33   	-708.92   	 22.99   	  76.30		 61.20   	 -20.35		
-579.22   	-727.84   	 23.30   	  81.38		 61.12   	 -86.47		
-579.53   	-751.65   	 23.62   	  61.04		 60.77   	 -76.30		
-585.33   	-774.54   	 23.87   	  -5.09		 60.47   	 -50.86		
-594.18   	-793.15   	 23.85   	 -50.86		 60.26   	 -50.86		
-601.50   	-805.36   	 23.64   	  -5.09		 60.06   	 -20.35		
-601.50   	-806.27   	 23.62   	  96.64		 59.98   	  50.86		
-590.52   	-794.07   	 24.01   	 132.25		 60.18   	  76.30		
-570.07   	-770.57   	 24.54   	  96.64		 60.49   	 -10.17		
-545.04   	-743.41   	 24.92   	  61.04		 60.45   	 -55.95		
-519.41   	-719.60   	 25.17   	  81.38		 60.22   	 -25.43		
-495.91   	-702.82   	 25.49   	  91.56		 60.12   	   0.00		
-476.38   	-690.31   	 25.86   	  40.69		 60.12   	 274.67		
-455.63   	-668.64   	 26.02   	  40.69		 61.22   	 473.04		
-454.10   	-661.32   	 26.19   	  10.17		 63.11   	 620.55		
-451.66   	-657.04   	 26.23(S)	  -5.09		 65.59   	 651.07		
-445.25   	-653.69   	 26.21   	 -10.17		 68.20   	 539.16		
-435.18   	-649.41   	 26.16   	 -66.12		 70.36   	 381.48		
-421.14   	-643.01   	 25.90   	-106.82		 71.88   	 300.10		
-403.75   	-636.90   	 25.47   	 -76.30		 73.08   	 284.84		
-383.91   	-631.41   	 25.17   	 -50.86		 74.22   	 305.19		
-364.07   	-625.92   	 24.96   	 -66.12		 75.44   	 391.66		
-348.82   	-619.51   	 24.70   	-106.82		 77.01   	 488.30		
-343.63   	-613.71   	 24.27   	-116.99		 78.96   	 534.08		
-347.90   	-612.18   	 23.80   	 -81.38		 81.10   	 518.82		
-353.39   	-615.84   	 23.48   	 -50.86		 83.17   	 498.47		
-352.78   	-620.73   	 23.28   	 -81.38		 85.17   	 473.04		
-344.24   	-621.03   	 22.95   	-106.82		 87.06   	 447.61		
-332.95   	-615.23   	 22.52   	 -86.47		 88.85   	 442.52		
-324.71   	-607.91   	 22.18   	 -50.86		 90.62   	 432.35		
-325.93   	-606.99   	 21.97   	 -30.52		 92.35   	 422.18		
-338.44   	-615.84   	 21.85   	 -20.35		 94.04   	 437.43		
-359.80   	-631.10   	 21.77   	 -20.35		 95.79   	 457.78		
-387.27   	-645.75   	 21.69   	 -30.52		 97.62   	 452.69		
-416.56   	-653.99   	 21.57   	 -45.78		 99.43   	 417.09		
-443.42   	-657.96   	 21.38   	 -30.52		101.10   	 371.31		
-466.00   	-664.37   	 21.26   	   0.00		102.58   	 330.62		
-486.15   	-678.71   	 21.26   	  25.43		103.91   	 279.75		
-505.98   	-700.99   	 21.36   	   0.00		105.03   	 239.06		
-526.43   	-725.10   	 21.36   	 -30.52		105.98   	 213.63		
-547.18   	-743.71   	 21.24   	 -35.61		106.84   	 198.37		
-569.76   	-755.00   	 21.10   	 -10.17		107.63   	 213.63		
-595.70   	-763.24   	 21.06   	  15.26		108.48   	 172.94		
-623.78   	-774.23   	 21.12   	  10.17		109.18   	  55.95		
-648.80   	-790.41   	 21.16   	 -15.26		109.40(S)	 -25.43		
-664.37   	-809.02   	 21.10   	 -45.78		109.30   	 -61.04		
-668.34   	-826.11   	 20.92   	 -55.95		109.05   	 -50.86		
-663.76   	-838.32   	 20.69   	 -35.61		108.85   	 -25.43		
-658.87   	-845.34   	 20.55   	 -15.26		108.75   	 -10.17		
-659.18   	-849.00   	 20.49   	 -25.43		108.71   	 -15.26		
-664.67   	-849.00   	 20.39   	 -55.95		108.65   	 -45.78		
-672.61   	-846.25   	 20.16   	-101.73		108.46   	-106.82		
-679.93   	-842.29   	 19.76   	-122.07		108.04   	-147.51		
-682.98   	-838.62   	 19.27   	-127.16		107.45   	-137.33		
-681.15   	-837.40   	 18.76   	-127.16		106.90   	 -86.47		
-674.74   	-838.93   	 18.25   	-157.68		106.55   	 -66.12		
-663.45   	-841.37   	 17.62   	-198.37		106.29   	-142.42		
-648.50   	-841.98   	 16.83   	-228.89		105.72   	-193.29		
-632.02   	-838.01   	 15.91   	-239.06		104.94   	-193.29		
-617.68   	-829.16   	 14.95   	-223.80		104.17   	-198.37		
-608.83   	-819.09   	 14.06   	-228.89		103.38   	-208.54		
-605.47   	-811.46   	 13.14   	-259.41		102.54   	-172.94		
-605.16   	-808.72   	 12.11   	-264.50		101.85   	-147.51		
-603.94   	-809.02   	 11.05   	-249.24		101.26   	-152.59		
-599.98   	-809.63   	 10.05   	-223.80		100.65   	-152.59		
-594.48   	-809.02   	  9.16   	-213.63		100.04   	-147.51		
-590.21   	-809.02   	  8.30   	-223.80		 99.45   	-183.11		
-588.07   	-811.46   	  7.41   	-228.89		 98.72   	-223.80		
-588.38   	-816.35   	  6.49   	-203.46		 97.82   	-213.63		
-590.82   	-819.40   	  5.68   	-167.85		 96.97   	-172.94		
-596.62   	-821.84   	  5.01   	-137.33		 96.28   	-167.85		
-604.25   	-826.11   	  4.46   	-137.33		 95.60   	-178.03		
-612.49   	-837.10   	  3.91   	-147.51		 94.89   	-193.29		
-618.59   	-853.27   	  3.32   	-147.51		 94.12   	-193.29		
-621.64   	-868.53   	  2.73   	-127.16		 93.35   	-213.63		
-625.00   	-877.38   	  2.22   	-116.99		 92.49   	-228.89		
-631.41   	-878.60   	  1.75   	-116.99		 91.58   	-193.29		
-640.87   	-875.85   	  1.28   	-116.99		 90.80   	-178.03		
-647.89   	-871.58   	  0.81   	-106.82		 90.09   	-178.03		
-648.80   	-865.48   	  0.39   	 -76.30		 89.38   	-167.85		
-644.23   	-855.41   	  0.08   	 -35.61		 88.71   	-167.85		
-639.04   	-841.67   	 -0.06   	 -30.52		 88.04   	-172.94		
-638.12   	-828.86   	 -0.18   	 -45.78		 87.34   	-167.85		
-642.09   	-822.75   	 -0.37   	 -61.04		 86.67   	-152.59		
-648.80   	-826.72   	 -0.61   	 -61.04		 86.06   	-172.94		
-656.43   	-839.84   	 -0.85   	 -25.43		 85.37   	-178.03		
-665.59   	-857.85   	 -0.96   	  -5.09		 84.66   	-162.77		
-678.10   	-877.08   	 -0.98   	  -5.09		 84.01   	-152.59		
-690.92   	-894.47   	 -1.00   	 -30.52		 83.40   	-127.16		
-695.50   	-905.76   	 -1.12   	 -35.61		 82.89   	-111.90		
-685.73   	-904.54   	 -1.26   	 -30.52		 82.44   	-116.99		
-661.62   	-884.40   	 -1.38   	  -5.09		 81.97   	-122.07		
-633.54   	-849.30   	 -1.40   	   5.09		 81.48   	-122.07		
-615.23   	-813.60   	 -1.38   	 -15.26		 81.00   	-137.33		
-612.49   	-792.54   	 -1.44   	 -25.43		 80.45   	-167.85		
-620.73   	-791.32   	 -1.55   	 -10.17		 79.78   	-162.77		
-628.97   	-801.39   	 -1.59   	   0.00		 79.12   	-132.25		
-628.66   	-806.27   	 -1.59   	  10.17		 78.60   	-101.73		
-619.20   	-797.42   	 -1.55   	  20.35		 78.19   	 -71.21		
-608.22   	-781.25   	 -1.46   	  40.69		 77.90   	 -45.78		
-603.33   	-771.18   	 -1.30   	  45.78		 77.72   	 -76.30		
-608.52   	-777.89   	 -1.12   	  15.26		 77.42   	-132.25		
-621.03   	-800.17   	 -1.06   	 -15.26		 76.89   	-142.42		
-634.16   	-824.89   	 -1.12   	  -5.09		 76.32   	-116.99		
-642.70   	-837.71   	 -1.14   	  25.43		 75.85   	-111.90		
-644.23   	-830.69   	 -1.04   	  50.86		 75.40   	 -96.64		
-641.17   	-807.19   	 -0.83   	  55.95		 75.01   	 -66.12		
-636.60   	-777.28   	 -0.61   	  50.86		 74.75   	 -66.12		
-632.02   	-753.78   	 -0.41   	  61.04		 74.49   	 -76.30		
-625.31   	-740.66   	 -0.16   	  55.95		 74.18   	 -81.38		
-613.40   	-732.73   	  0.06   	  25.43		 73.86   	 -76.30		
-595.40   	-722.66   	  0.16   	   0.00		 73.55   	 -91.56		
-574.04   	-708.01   	  0.16   	 -10.17		 73.18   	 -86.47		
-552.67   	-690.31   	  0.12   	  20.35		 72.84   	 -71.21		
-535.58   	-673.22   	  0.20   	  40.69		 72.55   	 -71.21		
-524.90   	-657.96   	  0.37   	  25.43		 72.27   	 -86.47		
-517.58   	-640.87   	  0.47   	 -25.43		 71.92   	 -81.38		
-509.95   	-619.20   	  0.37   	 -66.12		 71.60   	 -61.04		
-500.18   	-593.57   	  0.10   	 -61.04		 71.35   	 -50.86		
-488.59   	-567.63   	 -0.14   	 -30.52		 71.15   	 -40.69		
-477.60   	-546.26   	 -0.26   	 -20.35		 70.99   	 -45.78		
-470.58   	-532.84   	 -0.35   	 -40.69		 70.80   	 -61.04		
-469.06   	-526.43   	 -0.51   	 -81.38		 70.56   	 -91.56		
-470.28   	-522.16   	 -0.83   	-111.90		 70.19   	-137.33		
-472.11   	-513.92   	 -1.28   	-132.25		 69.64   	-122.07		
-476.07   	-499.57   	 -1.81   	-132.25		 69.16   	 -50.86		
-484.31   	-482.79   	 -2.34   	 -96.64		 68.95   	  -5.09		
-497.74   	-470.58   	 -2.73   	 -15.26		 68.93   	   5.09		
-515.44   	-467.53   	 -2.79(D)	 106.82		 68.95   	   5.09		
-533.75   	-473.94   	 -2.36   	 188.20		 68.97   	 -40.69		
-547.79   	-486.76   	 -1.61   	 233.98		 68.81   	 -76.30		
-555.11   	-502.01   	 -0.67   	 264.50		 68.50   	-111.90		
-555.73   	-514.53   	  0.39   	 264.50		 68.06   	-106.82		
-553.89   	-523.38   	  1.44   	 223.80		 67.63   	 -66.12		
-552.98   	-530.09   	  2.34   	 172.94		 67.36   	 -35.61		
-556.34   	-540.77   	  3.03   	 137.33		 67.22   	 -25.43		
-568.54   	-568.54   	  3.58   	 157.68		 67.12   	 -25.43		
-594.79   	-629.88   	  4.21   	 152.59		 67.02   	 -45.78		
-635.38   	-724.79   	  4.82   	  81.38		 66.84   	 -61.04		
