SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
 51.13   	 249.24		 54.49   	 127.16		
 52.13   	 249.24		 54.99   	 122.07		
 53.12   	 239.06		 55.48   	 116.99		
 54.08   	 254.32		 55.95   	 111.90		
 55.10   	 264.50		 56.40   	 111.90		
 56.15   	 279.75		 56.85   	 111.90		
 57.27   	 295.01		 57.29   	 101.73		
 58.45   	 295.01		 57.70   	  96.64		
 59.63   	 300.10		 58.09   	  91.56		
 60.83   	 300.10		 58.45   	  81.38		
 62.03   	 300.10		 58.78   	  66.12		
 63.23   	 300.10		 59.04   	  55.95		
 64.44   	 315.36		 59.27   	  45.78		
 65.70   	 335.71		 59.45   	  30.52		
 67.04   	 350.97		 59.57   	  30.52		
 68.44   	 366.22		 59.69   	  15.26		
 69.91   	 371.31		 59.76   	  15.26		
 71.39   	 381.48		 59.82   	   5.09		
 72.92   	 376.40		 59.84   	  10.17		
 74.42   	 361.14		 59.88   	  15.26		
 75.87   	 315.36		 59.94   	  15.26		
 77.13   	 310.27		 60.00   	  15.26		
 78.37   	 310.27		 60.06   	  15.26		
 79.61   	 284.84		 60.12   	  15.26		
 80.75   	 233.98		 60.18   	   5.09		
 81.69   	 203.46		 60.20   	 -10.17		
 82.50   	 203.46		 60.16   	 -15.26		
 83.32   	 198.37		 60.10   	 -30.52		
 84.11   	 152.59		 59.98   	 -45.78		
 84.72   	 116.99		 59.80   	 -55.95		
 85.19   	  81.38		 59.57   	 -71.21		
 85.51   	  66.12		 59.29   	 -86.47		
 85.78   	  86.47		 58.94   	 -86.47		
 86.12   	 106.82		 58.60   	 -96.64		
 86.55   	  81.38		 58.21   	 -96.64		
 86.88   	  45.78		 57.82   	-101.73		
 87.06(S)	 -15.26		 57.42   	-101.73		
 87.00   	 -35.61		 57.01   	-106.82		
 86.86   	 -20.35		 56.58   	-106.82		
 86.77   	   5.09		 56.15   	-116.99		
 86.80   	 -30.52		 55.69   	-122.07		
 86.67   	 -76.30		 55.20   	-132.25		
 86.37   	 -61.04		 54.67   	-152.59		
 86.12   	 -30.52		 54.06   	-167.85		
 86.00   	-116.99		 53.39   	-244.15		
 85.53   	-116.99		 52.41   	-269.58		
 85.07   	 -91.56		 51.33   	-305.19		
 84.70   	-106.82		 50.11   	-340.79		
 84.27   	-122.07		 48.75   	-376.40		
 83.78   	-122.07		 47.24   	-396.74		
 83.30   	 -86.47		 45.66   	-396.74		
 82.95   	 -96.64		 44.07   	-417.09		
 82.56   	-147.51		 42.40   	-422.18		
 81.97   	-178.03		 40.71   	-437.43		
 81.26   	-157.68		 38.96   	-457.78		
 80.63   	-132.25		 37.13   	-493.39		
 80.10   	-127.16		 35.16   	-508.65		
 79.59   	-137.33		 33.12   	-513.73		
 79.04   	-147.51		 31.07   	-513.73		
 78.45   	-178.03		 29.01   	-498.47		
 77.74   	-198.37		 27.02   	-488.30		
 76.95   	-203.46		 25.07   	-473.04		
 76.13   	-193.29		 23.17   	-452.69		
 75.36   	-178.03		 21.36   	-417.09		
 74.65   	-162.77		 19.69   	-396.74		
 74.00   	-152.59		 18.11   	-366.22		
 73.39   	-147.51		 16.64   	-340.79		
 72.80   	-152.59		 15.28   	-315.36		
 72.19   	-147.51		 14.02   	-284.84		
 71.60   	-147.51		 12.88   	-259.41		
 71.01   	-137.33		 11.84   	-239.06		
 70.46   	-137.33		 10.89   	-223.80		
 69.91   	-127.16		  9.99   	-203.46		
 69.40   	-122.07		  9.18   	-183.11		
 68.91   	-111.90		  8.44   	-157.68		
 68.46   	-106.82		  7.81   	-142.42		
 68.04   	-106.82		  7.24   	-111.90		
 67.61   	-101.73		  6.80   	 -76.30		
 67.20   	-101.73		  6.49   	 -45.78		
 66.80   	-101.73		  6.31   	 -25.43		
 66.39   	-101.73		  6.21   	 -15.26		
 65.98   	 -96.64		  6.14   	 -10.17		
 65.59   	 -86.47		  6.10   	 -10.17		
 65.25   	 -81.38		  6.06   	 -10.17		
 64.92   	 -71.21		  6.02   	 -10.17		
 64.64   	 -66.12		  5.98   	 -10.17		
 64.37   	 -61.04		  5.94   	 -15.26		
 64.13   	 -61.04		  5.88   	 -20.35		
 63.89   	 -50.86		  5.80   	 -25.43		
 63.68   	 -61.04		  5.70   	 -25.43		
 63.44   	 -55.95		  5.60   	 -25.43		
 63.21   	 -61.04		  5.49   	 -25.43		
 62.97   	 -55.95		  5.39   	 -20.35		
 62.75   	 -50.86		  5.31   	 -10.17		
 62.54   	 -45.78		  5.27   	  -5.09		
 62.36   	 -35.61		  5.25   	   5.09		
 62.22   	 -35.61		  5.27   	  10.17		
 62.08   	 -30.52		  5.31   	  15.26		
 61.95   	 -35.61		  5.37   	  25.43		
 61.81   	 -35.61		  5.47   	  25.43		
 61.67   	 -40.69		  5.57   	  20.35		
 61.51   	 -40.69		  5.66   	  20.35		
 61.34   	 -40.69		  5.74   	  10.17		
 61.18   	 -40.69		  5.78   	  10.17		
 61.02   	 -40.69		  5.82   	   0.00		
 60.85   	 -35.61		  5.82   	   0.00		
 60.71   	 -35.61		  5.82   	   0.00		
 60.57   	 -35.61		  5.82   	   0.00		
 60.43   	 -35.61		  5.82   	  -5.09		
 60.28   	 -30.52		  5.80   	  -5.09		
 60.16   	 -40.69		  5.78   	   0.00		
 60.00   	 -35.61		  5.78   	   5.09		
 59.86   	 -40.69		  5.80   	   0.00		
 59.69   	 -35.61		  5.80   	   5.09		
 59.55   	 -35.61		  5.82   	   5.09		
 59.41   	 -35.61		  5.84   	   5.09		
 59.27   	 -40.69		  5.86   	   5.09		
 59.10   	 -45.78		  5.88   	   5.09		
 58.92   	 -40.69		  5.90   	   5.09		
 58.76   	 -40.69		  5.92   	  10.17		
 58.60   	 -40.69		  5.96   	   5.09		
 58.43   	 -40.69		  5.98   	  10.17		
 58.27   	 -30.52		  6.02   	   5.09		
 58.15   	 -35.61		  6.04   	  10.17		
