SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		  SVC     	  SVC'		
110.17   	 85.14   	 32.68(S)	   0.00		 74.10   	 193.29		  3.23   	   0.00		
108.03   	104.37   	 32.68   	 -40.69		 74.87   	 111.90		  3.23   	   0.00		
115.05   	142.52   	 32.51   	 -81.38		 75.32   	  30.52		  3.23   	   0.00		
129.39   	189.82   	 32.19   	-116.99		 75.44(S)	 -30.52		  3.23   	  -5.09		
147.40   	228.88   	 31.72   	-213.63		 75.32   	-152.59		  3.21   	   0.00		
181.88   	254.82   	 30.86   	-244.15		 74.71   	-198.37		  3.21   	  -5.09		
194.70   	255.43   	 29.89   	-274.67		 73.92   	-228.89		  3.19   	  -5.09		
199.89   	257.57   	 28.79   	-300.10		 73.00   	-264.50		  3.17   	   0.00		
193.48   	256.04   	 27.59   	-325.53		 71.94   	-289.93		  3.17   	  -5.09		
173.34   	238.04   	 26.29   	-345.88		 70.78   	-310.27		  3.15   	   0.00		
143.74   	195.92   	 24.90   	-366.22		 69.54   	-330.62		  3.15   	  -5.09		
111.39   	134.89   	 23.44   	-386.57		 68.22   	-335.71		  3.13   	  -5.09		
 79.35   	 67.14   	 21.89   	-396.74		 66.88   	-340.79		  3.11   	  -5.09		
 45.78   	  3.66   	 20.31   	-406.92		 65.51   	-325.53		  3.09   	  -5.09		
  8.85   	-47.91   	 18.68   	-412.00		 64.21   	-310.27		  3.07   	  -5.09		
-29.30   	-83.31   	 17.03   	-417.09		 62.97   	-289.93		  3.05   	   0.00		
-60.12   	-99.79   	 15.36   	-422.18		 61.81   	-259.41		  3.05   	  -5.09		
-75.07   	-99.49   	 13.67   	-417.09		 60.77   	-228.89		  3.03   	   0.00		
-74.46   	-90.64   	 12.00   	-412.00		 59.86   	-198.37		  3.03   	   5.09		
-66.83   	-84.53   	 10.36   	-401.83		 59.06   	-178.03		  3.05   	   0.00		
-61.34   	-86.67   	  8.75   	-391.66		 58.35   	-152.59		  3.05   	   5.09		
-62.56   	-95.21   	  7.18   	-376.40		 57.74   	-132.25		  3.07   	   5.09		
-68.05   	-104.06   	  5.68   	-356.05		 57.21   	-106.82		  3.09   	   5.09		
-72.94   	-108.03   	  4.25   	-310.27		 56.79   	 -91.56		  3.11   	   5.09		
-72.94   	-108.03   	  3.01   	-310.27		 56.42   	 -71.21		  3.13   	  10.17		
-72.63   	-105.90   	  1.77   	-269.58		 56.13   	 -55.95		  3.17   	   5.09		
-72.63   	-105.90   	  0.69   	-249.24		 55.91   	 -40.69		  3.19   	  15.26		
-66.53   	-107.42   	 -0.31   	-218.72		 55.75   	 -35.61		  3.26   	  10.17		
-66.53   	-107.42   	 -1.18   	-183.11		 55.61   	 -35.61		  3.30   	  20.35		
-49.13   	-127.26   	 -1.91   	-127.16		 55.46   	 -40.69		  3.38   	  20.35		
 25.33   	-178.22   	 -2.42   	-106.82		 55.30   	 -35.61		  3.46   	  20.35		
 25.33   	-178.22   	 -2.85   	 -61.04		 55.16   	 -50.86		  3.54   	  15.26		
182.80   	-120.85   	 -3.09   	 -50.86		 54.95   	 -45.78		  3.60   	  20.35		
182.80   	-120.85   	 -3.30(D)	   0.00		 54.77   	 -71.21		  3.68   	  20.35		
