SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		  SVC     	  SVC'		
 57.68   	 40.59   	  4.52   	 106.82		 46.59   	 -76.30		  3.54   	 -20.35		
 57.68   	 40.59   	  4.94   	 137.33		 46.29   	 -66.12		  3.46   	 -25.43		
 74.77   	 51.88   	  5.49   	 122.07		 46.02   	 -61.04		  3.36   	 -15.26		
 74.77   	 51.88   	  5.98   	 183.11		 45.78   	 -61.04		  3.30   	 -20.35		
 76.90   	 63.48   	  6.71   	 157.68		 45.53   	 -50.86		  3.21   	 -15.26		
 76.90   	 63.48   	  7.34   	 228.89		 45.33   	 -61.04		  3.15   	 -15.26		
 93.08   	 80.57   	  8.26   	 203.46		 45.09   	 -50.86		  3.09   	 -15.26		
 93.08   	 80.57   	  9.07   	 284.84		 44.88   	 -61.04		  3.03   	 -10.17		
116.88   	 93.99   	 10.21   	 249.24		 44.64   	 -50.86		  2.99   	 -10.17		
116.88   	 93.99   	 11.21   	 340.79		 44.44   	 -15.26		  2.95   	  -5.09		
138.55   	107.12   	 12.57   	 361.14		 44.37(D)	  30.52		  2.93   	  -5.09		
148.93   	113.83   	 14.02   	 376.40		 44.50   	 101.73		  2.91   	   0.00		
159.00   	119.02   	 15.52   	 386.57		 44.90   	 193.29		  2.91   	  -5.09		
167.85   	121.77   	 17.07   	 396.74		 45.68   	 289.93		  2.89   	   0.00		
173.95   	122.07   	 18.66   	 396.74		 46.84   	 386.57		  2.89   	   5.09		
176.70   	121.15   	 20.24   	 396.74		 48.38   	 473.04		  2.91   	   0.00		
177.00   	119.93   	 21.83   	 391.66		 50.27   	 544.25		  2.91   	   5.09		
175.17   	120.24   	 23.40   	 381.48		 52.45   	 584.94		  2.93   	  10.17		
173.03   	121.15   	 24.92   	 361.14		 54.79   	 620.55		  2.97   	   5.09		
169.98   	122.38   	 26.37   	 361.14		 57.27   	 712.10		  2.99   	   5.09		
162.05   	121.77   	 27.81   	 325.53		 60.12   	 691.76		  3.01   	   0.00		
157.47   	118.10   	 29.11   	 289.93		 62.89   	 661.24		  3.01   	   5.09		
153.20   	112.61   	 30.27   	 249.24		 65.53   	 610.37		  3.03   	   5.09		
149.23   	104.98   	 31.27   	 208.54		 67.98   	 549.34		  3.05   	   5.09		
144.35   	 95.83   	 32.11   	 162.77		 70.17   	 473.04		  3.07   	   0.00		
136.41   	 84.53   	 32.76   	 116.99		 72.06   	 386.57		  3.07   	   5.09		
125.43   	 72.63   	 33.22   	  76.30		 73.61   	 295.01		  3.09   	   0.00		
113.22   	 64.70   	 33.53   	  30.52		 74.79   	 208.54		  3.09(V)	   0.00		
104.06   	 68.36   	 33.65(S)	 -15.26		 75.63   	 122.07		  3.09   	  -5.09		
102.84   	 91.86   	 33.59   	 -50.86		 76.11   	  45.78		  3.07   	   0.00		
111.08   	133.67   	 33.39   	 -91.56		 76.30(S)	 -15.26		  3.07   	  -5.09		
126.65   	180.97   	 33.02   	-127.16		 76.24   	 -71.21		  3.05   	  -5.09		
144.96   	217.59   	 32.51   	-162.77		 75.95   	-122.07		  3.03   	   0.00		
162.66   	234.07   	 31.86   	-203.46		 75.46   	-167.85		  3.03   	   5.09		
177.31   	235.29   	 31.05   	-233.98		 74.79   	-198.37		  3.05   	   0.00		
187.68   	233.46   	 30.11   	-269.58		 74.00   	-239.06		  3.05   	   0.00		
191.35   	235.60   	 29.03   	-295.01		 73.04   	-269.58		  3.05   	  -5.09		
183.41   	234.07   	 27.85   	-320.45		 71.96   	-295.01		  3.03   	  -5.09		
162.96   	215.45   	 26.57   	-345.88		 70.78   	-315.36		  3.01   	  -5.09		
133.97   	173.34   	 25.19   	-361.14		 69.52   	-335.71		  2.99   	  -5.09		
102.84   	112.30   	 23.74   	-381.48		 68.18   	-330.62		  2.97   	   0.00		
 72.02   	 45.47   	 22.22   	-396.74		 66.86   	-330.62		  2.97   	  -5.09		
 39.37   	-15.87   	 20.63   	-406.92		 65.53   	-315.36		  2.95   	  -5.09		
  2.75   	-64.09   	 19.00   	-417.09		 64.27   	-289.93		  2.93   	  -5.09		
-35.10   	-95.21   	 17.33   	-417.09		 63.11   	-269.58		  2.91   	   0.00		
-65.61   	-108.64   	 15.67   	-427.26		 62.03   	-249.24		  2.91   	  -5.09		
-80.57   	-107.73   	 13.96   	-422.18		 61.04   	-218.72		  2.89   	   0.00		
-80.26   	-101.32   	 12.27   	-371.31		 60.16   	-193.29		  2.89   	   0.00		
-80.26   	-101.32   	 10.78   	-412.00		 59.39   	-183.11		  2.89   	  10.17		
-68.66   	-103.76   	  9.14   	-366.22		 58.66   	-152.59		  2.93   	   5.09		
-68.66   	-103.76   	  7.67   	-391.66		 58.05   	-127.16		  2.95   	   5.09		
-75.68   	-120.54   	  6.10   	-340.79		 57.54   	-116.99		  2.97   	  10.17		
-75.68   	-120.54   	  4.74   	-345.88		 57.07   	 -76.30		  3.01   	  10.17		
-79.65   	-123.29   	  3.36   	-305.19		 56.76   	 -71.21		  3.05   	   5.09		
-79.65   	-123.29   	  2.14   	-295.01		 56.48   	 -40.69		  3.07   	  15.26		
-74.46   	-119.02   	  0.96   	-254.32		 56.32   	 -35.61		  3.13   	  10.17		
-74.46   	-119.02   	 -0.06   	-228.89		 56.17   	 -35.61		  3.17   	  20.35		
-65.92   	-124.82   	 -0.98   	-193.29		 56.03   	 -25.43		  3.26   	  15.26		
-65.92   	-124.82   	 -1.75   	-152.59		 55.93   	 -45.78		  3.32   	  20.35		
-20.14   	-173.03   	 -2.36   	-116.99		 55.75   	 -50.86		  3.40   	  15.26		
 33.26   	-199.28   	 -2.83   	 -81.38		 55.54   	 -61.04		  3.46   	  15.26		
112.30   	-189.21   	 -3.15   	 -45.78		 55.30   	 -66.12		  3.52   	  20.35		
199.28   	-121.15   	 -3.34   	 -20.35		 55.04   	 -66.12		  3.60   	  15.26		
229.80   	-21.06   	 -3.42(D)	   5.09		 54.77   	 -66.12		  3.66   	  15.26		
107.42   	 34.18   	 -3.40   	  25.43		 54.51   	 -66.12		  3.72   	  15.26		
-225.52   	-28.38   	 -3.30   	  55.95		 54.24   	 -71.21		  3.78   	  20.35		
-709.53   	-207.82   	 -3.07   	  71.21		 53.96   	 -81.38		  3.87   	  15.26		
-1155.70   	-415.04   	 -2.79   	  91.56		 53.63   	 -86.47		  3.93   	  15.26		
-1335.75   	-527.04(R)	 -2.42   	 101.73		 53.29   	 -96.64		  3.99   	  15.26		
-1138.00   	-477.60   	 -2.01   	 111.90		 52.90   	-101.73		  4.05   	  10.17		
-663.76   	-308.84   	 -1.57   	 116.99		 52.49   	-106.82		  4.09   	   5.09		
-161.13   	-126.95   	 -1.10   	 127.16		 52.06   	-116.99		  4.11   	   0.00		
150.15   	-12.21   	 -0.59   	 122.07		 51.60   	-116.99		  4.11   	   0.00		
208.13   	 22.58   	 -0.10   	 122.07		 51.13   	-111.90		  4.11   	  -5.09		
108.64   	 11.60   	  0.39   	 122.07		 50.68   	-106.82		  4.09   	  -5.09		
 -0.92   	 -3.36   	  0.87   	 116.99		 50.25   	-101.73		  4.07   	 -10.17		
-33.87   	 -5.19   	  1.34   	 116.99		 49.85   	 -91.56		  4.03   	 -15.26		
  1.83   	  2.14   	  1.81   	 111.90		 49.48   	 -96.64		  3.97   	 -10.17		
 51.27   	 10.07   	  2.26   	 106.82		 49.09   	 -91.56		  3.93   	 -15.26		
 72.94   	 14.65   	  2.69   	 106.82		 48.73   	 -96.64		  3.87   	 -15.26		
 64.39   	 16.17   	  3.11   	 106.82		 48.34   	 -96.64		  3.80   	 -20.35		
 45.17   	 14.65   	  3.54   	 101.73		 47.96   	 -96.64		  3.72   	 -20.35		
 34.79   	 10.68   	  3.95   	 106.82		 47.57   	 -96.64		  3.64   	 -20.35		
 39.06   	  7.63   	  4.37   	 106.82		 47.18   	 -81.38		  3.56   	 -20.35		
 51.57   	  7.02   	  4.80   	 116.99		 46.86   	 -81.38		  3.48   	 -20.35		
 62.26   	  9.16   	  5.27   	 132.25		 46.53   	 -66.12		  3.40   	 -20.35		
 66.83   	 13.12   	  5.80   	 147.51		 46.27   	 -55.95		  3.32   	 -20.35		
 67.14   	 18.92   	  6.39   	 172.94		 46.04   	 -55.95		  3.23   	 -15.26		
 68.97   	 27.77   	  7.08   	 198.37		 45.82   	 -50.86		  3.17   	 -10.17		
 75.38   	 39.37   	  7.87   	 218.72		 45.62   	 -50.86		  3.13   	 -10.17		
 85.75   	 53.10   	  8.75   	 244.15		 45.41   	 -55.95		  3.09   	 -15.26		
 97.96   	 68.05   	  9.73   	 269.58		 45.19   	 -55.95		  3.03   	 -10.17		
110.78   	 82.40   	 10.80   	 295.01		 44.96   	 -45.78		  2.99   	 -15.26		
123.29   	 94.60   	 11.98   	 320.45		 44.78   	 -15.26		  2.93   	 -10.17		
135.19   	103.76   	 13.27   	 340.79		 44.72(D)	  35.61		  2.89   	 -10.17		
146.48   	111.08   	 14.63   	 361.14		 44.86   	 106.82		  2.85   	  -5.09		
157.17   	118.10   	 16.07   	 371.31		 45.29   	 203.46		  2.83   	   0.00		
165.71   	125.73   	 17.56   	 325.53		 46.10   	 172.94		  2.83   	  -5.09		
165.71   	125.73   	 18.86   	 391.66		 46.80   	 427.26		  2.81   	   5.09		
174.87   	137.94   	 20.43   	 345.88		 48.50   	 376.40		  2.83   	   0.00		
174.87   	137.94   	 21.81   	 386.57		 50.01   	 590.03		  2.83   	   5.09		
174.56   	146.18   	 23.36   	 340.79		 52.37   	 518.82		  2.85   	   5.09		
174.56   	146.18   	 24.72   	 361.14		 54.45   	 666.32		  2.87   	   5.09		
169.68   	151.98   	 26.16   	 315.36		 57.11   	 574.77		  2.89   	   5.09		
169.68   	151.98   	 27.43   	 315.36		 59.41   	 666.32		  2.91   	   5.09		
161.13   	147.40   	 28.69   	 279.75		 62.08   	 584.94		  2.93   	   5.09		
161.13   	147.40   	 29.81   	 249.24		 64.41   	 625.63		  2.95   	   0.00		
151.98   	133.97   	 30.80   	 223.80		 66.92   	 544.25		  2.95   	   5.09		
151.98   	133.97   	 31.70   	 172.94		 69.09   	 523.90		  2.97   	   0.00		
140.69   	119.02   	 32.39   	 137.33		 71.19   	 452.69		  2.97   	   0.00		
132.75   	110.17   	 32.94   	  96.64		 73.00   	 366.22		  2.97   	   0.00		
122.99   	101.32   	 33.33   	  45.78		 74.47   	 274.67		  2.97   	   0.00		
112.30   	 96.74   	 33.51   	  10.17		 75.56   	 183.11		  2.97   	  -5.09		
104.68   	104.37   	 33.55(S)	 -30.52		 76.30   	 101.73		  2.95   	   0.00		
104.06   	130.31   	 33.43   	 -71.21		 76.70   	  25.43		  2.95   	  -5.09		
112.30   	172.12   	 33.14   	-106.82		 76.81(S)	 -40.69		  2.93   	  -5.09		
127.26   	216.67   	 32.72   	-147.51		 76.64   	 -96.64		  2.91   	 -10.17		
145.57   	248.72   	 32.13   	-188.20		 76.26   	-142.42		  2.87   	 -10.17		
163.57   	262.76   	 31.37   	-218.72		 75.69   	-183.11		  2.83   	 -10.17		
179.44   	264.59   	 30.50   	-259.41		 74.95   	-218.72		  2.79   	  -5.09		
190.43   	266.11   	 29.46   	-284.84		 74.08   	-244.15		  2.77   	   0.00		
192.87   	271.00   	 28.32   	-310.27		 73.10   	-279.75		  2.77   	  -5.09		
182.50   	268.86   	 27.08   	-340.79		 71.98   	-305.19		  2.75   	 -10.17		
159.00   	245.97   	 25.72   	-361.14		 70.76   	-325.53		  2.71   	 -15.26		
127.87   	197.45   	 24.27   	-376.40		 69.46   	-340.79		  2.64   	 -15.26		
 95.83   	130.31   	 22.77   	-396.74		 68.10   	-345.88		  2.58   	 -15.26		
 63.78   	 58.29   	 21.18   	-406.92		 66.71   	-345.88		  2.52   	 -10.17		
 29.91   	 -7.02   	 19.55   	-422.18		 65.33   	-325.53		  2.48   	 -10.17		
 -7.93   	-58.29   	 17.86   	-422.18		 64.03   	-300.10		  2.44   	 -10.17		
-44.56   	-89.72   	 16.17   	-432.35		 62.83   	-274.67		  2.40   	  -5.09		
-71.41   	-100.40   	 14.45   	-432.35		 61.73   	-244.15		  2.38   	   0.00		
-81.79   	-94.91   	 12.72   	-427.26		 60.75   	-218.72		  2.38   	  -5.09		
-78.13   	-84.53   	 11.01   	-427.26		 59.88   	-193.29		  2.36   	   0.00		
-70.80   	-81.18   	  9.30   	-412.00		 59.10   	-167.85		  2.36   	   0.00		
-68.05   	-88.81   	  7.65   	-401.83		 58.43   	-152.59		  2.36   	   5.09		
-71.72   	-103.15   	  6.04   	-381.48		 57.82   	-127.16		  2.38   	  10.17		
-77.21   	-115.97   	  4.52   	-361.14		 57.31   	-106.82		  2.42   	   5.09		
-80.26   	-121.15   	  3.07   	-335.71		 56.89   	 -86.47		  2.44   	  10.17		
-79.35   	-119.32   	  1.73   	-315.36		 56.54   	 -66.12		  2.48   	   5.09		
-76.60   	-115.36   	  0.47   	-279.75		 56.28   	 -50.86		  2.50   	  10.17		
-74.16   	-111.69   	 -0.65   	-249.24		 56.07   	 -40.69		  2.54   	  15.26		
-72.94   	-111.39   	 -1.65   	-208.54		 55.91   	 -35.61		  2.60   	  15.26		
-68.66   	-117.49   	 -2.48   	-172.94		 55.77   	 -35.61		  2.67   	  15.26		
-53.71   	-136.11   	 -3.17   	-137.33		 55.63   	 -35.61		  2.73   	  20.35		
-19.84   	-166.63   	 -3.72   	 -96.64		 55.48   	 -45.78		  2.81   	  15.26		
 38.76   	-191.96   	 -4.11   	 -66.12		 55.30   	 -55.95		  2.87   	  20.35		
122.99   	-179.14   	 -4.37   	 -35.61		 55.08   	 -55.95		  2.95   	  15.26		
211.18   	-107.12   	 -4.52   	 -30.52		 54.85   	 -55.95		  3.01   	  15.26		
211.18   	-107.12   	 -4.64(D)	  25.43		 54.63   	 -71.21		  3.07   	  20.35		
107.73   	 41.81   	 -4.54   	  20.35		 54.34   	 -61.04		  3.15   	  20.35		
107.73   	 41.81   	 -4.46   	  76.30		 54.10   	 -81.38		  3.23   	  20.35		
-710.45   	-240.48   	 -4.15   	  71.21		 53.77   	 -66.12		  3.32   	  20.35		
-710.45   	-240.48   	 -3.87   	 122.07		 53.51   	 -91.56		  3.40   	  20.35		
-1327.51   	-571.29(R)	 -3.38   	 101.73		 53.14   	 -76.30		  3.48   	  15.26		
-1327.51   	-571.29   	 -2.97   	 132.25		 52.84   	-101.73		  3.54   	  10.17		
-673.52   	-315.25   	 -2.44   	 111.90		 52.43   	 -91.56		  3.58   	   5.09		
-673.52   	-315.25   	 -1.99   	 142.42		 52.06   	-116.99		  3.60   	   5.09		
126.34   	 -2.75   	 -1.42   	 116.99		 51.60   	-101.73		  3.62   	   5.09		
126.34   	 -2.75   	 -0.96   	 142.42		 51.19   	-122.07		  3.64   	  -5.09		
 97.05   	 10.68   	 -0.39   	 137.33		 50.70   	-116.99		  3.62   	   0.00		
-10.38   	 -8.24   	  0.16   	 137.33		 50.23   	-111.90		  3.62   	  -5.09		
-46.08   	-10.68   	  0.71   	 132.25		 49.79   	-101.73		  3.60   	 -10.17		
-14.65   	 -2.75   	  1.24   	 122.07		 49.38   	 -91.56		  3.56   	 -10.17		
 33.26   	  5.19   	  1.73   	 122.07		 49.01   	 -91.56		  3.52   	 -10.17		
 57.07   	  9.16   	  2.22   	 122.07		 48.65   	 -86.47		  3.48   	 -15.26		
 51.27   	 10.07   	  2.71   	 122.07		 48.30   	 -86.47		  3.42   	 -15.26		
 33.57   	  9.16   	  3.19   	 116.99		 47.96   	 -91.56		  3.36   	 -15.26		
 23.19   	  9.46   	  3.66   	 122.07		 47.59   	 -91.56		  3.30   	 -15.26		
 26.86   	 14.34   	  4.15   	 132.25		 47.22   	 -86.47		  3.23   	 -15.26		
 39.37   	 22.58   	  4.68   	 142.42		 46.88   	 -86.47		  3.17   	 -20.35		
 50.35   	 30.52   	  5.25   	 157.68		 46.53   	 -71.21		  3.09   	 -15.26		
 54.93   	 35.40   	  5.88   	 178.03		 46.25   	 -61.04		  3.03   	 -20.35		
 55.85   	 38.76   	  6.59   	 198.37		 46.00   	 -55.95		  2.95   	 -15.26		
 57.98   	 43.03   	  7.39   	 223.80		 45.78   	 -55.95		  2.89   	 -15.26		
 64.09   	 48.83   	  8.28   	 254.32		 45.55   	 -45.78		  2.83   	  -5.09		
 73.24   	 55.54   	  9.30   	 274.67		 45.37   	 -50.86		  2.81   	  -5.09		
 83.92   	 62.56   	 10.40   	 305.19		 45.17   	 -45.78		  2.79   	   0.00		
 94.91   	 71.41   	 11.62   	 330.62		 44.98   	 -35.61		  2.79   	  -5.09		
106.20   	 83.01   	 12.94   	 361.14		 44.84   	 -10.17		  2.77   	  -5.09		
117.80   	 96.13   	 14.38   	 376.40		 44.80(D)	  40.69		  2.75   	  -5.09		
128.78   	108.34   	 15.89   	 401.83		 44.96   	 106.82		  2.73   	  -5.09		
138.55   	116.88   	 17.50   	 412.00		 45.39   	 203.46		  2.71   	   5.09		
146.48   	121.46   	 19.15   	 417.09		 46.21   	 305.19		  2.73   	  10.17		
151.98   	123.90   	 20.81   	 422.18		 47.43   	 412.00		  2.77   	  10.17		
155.33   	125.12   	 22.50   	 422.18		 49.07   	 493.39		  2.81   	  10.17		
155.94   	126.65   	 24.19   	 417.09		 51.05   	 564.60		  2.85   	   5.09		
154.42   	127.87   	 25.86   	 401.83		 53.31   	 610.37		  2.87   	  10.17		
151.06   	128.78   	 27.47   	 381.48		 55.75   	 625.63		  2.91   	   5.09		
146.79   	128.78   	 28.99   	 356.05		 58.25   	 635.81		  2.93   	   5.09		
143.13   	128.48   	 30.42   	 325.53		 60.79   	 620.55		  2.95   	   5.09		
139.77   	127.87   	 31.72   	 295.01		 63.28   	 610.37		  2.97   	   5.09		
136.72   	126.34   	 32.90   	 259.41		 65.72   	 574.77		  2.99   	   5.09		
133.67   	122.07   	 33.94   	 218.72		 68.02   	 534.08		  3.01   	   5.09		
129.70   	113.83   	 34.81   	 172.94		 70.15   	 478.13		  3.03   	   0.00		
123.60   	102.84   	 35.50   	 137.33		 72.06   	 417.09		  3.03   	   0.00		
115.05   	 90.33   	 36.05   	  91.56		 73.73   	 335.71		  3.03   	   5.09		
104.68   	 79.35   	 36.42   	  45.78		 75.08   	 254.32		  3.05   	   0.00		
 94.60   	 75.07   	 36.60   	  40.69		 76.09   	 218.72		  3.05   	   0.00		
 94.60   	 75.07   	 36.76(S)	 -45.78		 76.97   	  81.38		  3.05   	   0.00		
 86.67   	108.03   	 36.58   	 -45.78		 77.29   	  66.12		  3.05   	   0.00		
 86.67   	108.03   	 36.40   	-127.16		 77.56(S)	 -66.12		  3.05   	   5.09		
107.12   	192.26   	 35.89   	-116.99		 77.29   	 -55.95		  3.07   	   0.00		
107.12   	192.26   	 35.42   	-203.46		 77.07   	-167.85		  3.07   	   0.00		
141.91   	242.61   	 34.61   	-183.11		 76.40   	-152.59		  3.07   	   0.00		
141.91   	242.61   	 33.88   	-274.67		 75.79   	-244.15		  3.07   	   0.00		
169.68   	246.89   	 32.78   	-239.06		 74.81   	-213.63		  3.07   	   0.00		
169.68   	246.89   	 31.82   	-340.79		 73.96   	-300.10		  3.07   	  -5.09		
164.49   	244.45   	 30.46   	-289.93		 72.76   	-259.41		  3.05   	   0.00		
164.49   	244.45   	 29.30   	-386.57		 71.72   	-340.79		  3.05   	   0.00		
116.58   	177.00   	 27.75   	-406.92		 70.36   	-350.97		  3.05   	   0.00		
 87.59   	115.97   	 26.12   	-412.00		 68.95   	-350.97		  3.05   	  -5.09		
 58.29   	 50.66   	 24.48   	-427.26		 67.55   	-356.05		  3.03   	  -5.09		
 26.55   	 -9.77   	 22.77   	-437.43		 66.12   	-335.71		  3.01   	   0.00		
-10.38   	-59.51   	 21.02   	-447.61		 64.78   	-320.45		  3.01   	  -5.09		
-48.22   	-93.99   	 19.23   	-447.61		 63.50   	-289.93		  2.99   	  -5.09		
-76.90   	-109.86   	 17.44   	-452.69		 62.34   	-259.41		  2.97   	  -5.09		
-89.11   	-108.95   	 15.63   	-447.61		 61.30   	-228.89		  2.95   	   0.00		
-85.75   	-99.79   	 13.84   	-442.52		 60.39   	-203.46		  2.95   	   5.09		
-76.29   	-92.47   	 12.07   	-432.35		 59.57   	-178.03		  2.97   	   5.09		
-71.11   	-93.08   	 10.34   	-417.09		 58.86   	-152.59		  2.99   	  10.17		
-73.24   	-100.40   	  8.67   	-401.83		 58.25   	-132.25		  3.03   	  10.17		
-79.35   	-108.34   	  7.06   	-381.48		 57.72   	-106.82		  3.07   	  10.17		
-83.92   	-113.83   	  5.53   	-361.14		 57.29   	 -91.56		  3.11   	  10.17		
-84.53   	-115.97   	  4.09   	-330.62		 56.93   	 -76.30		  3.15   	  15.26		
-82.40   	-117.19   	  2.77   	-305.19		 56.62   	 -61.04		  3.21   	  10.17		
-80.57   	-118.41   	  1.55   	-269.58		 56.38   	 -50.86		  3.26   	  20.35		
-79.96   	-121.46   	  0.47   	-239.06		 56.17   	 -40.69		  3.34   	  15.26		
-77.51   	-130.00   	 -0.49   	-203.46		 56.01   	 -40.69		  3.40   	  15.26		
-65.00   	-151.06   	 -1.30   	-167.85		 55.85   	 -40.69		  3.46   	  20.35		
-34.18   	-184.33   	 -1.97   	-127.16		 55.69   	 -40.69		  3.54   	  15.26		
 21.36   	-213.93   	 -2.48   	 -91.56		 55.52   	 -50.86		  3.60   	  20.35		
103.45   	-207.82   	 -2.85   	 -66.12		 55.32   	 -50.86		  3.68   	  20.35		
193.18   	-142.21   	 -3.11   	 -30.52		 55.12   	 -61.04		  3.76   	  20.35		
226.14   	-41.50   	 -3.23   	  -5.09		 54.87   	 -66.12		  3.85   	  25.43		
107.73   	 16.48   	 -3.26(D)	  20.35		 54.61   	 -71.21		  3.95   	  20.35		
-220.34   	-44.86   	 -3.17   	  40.69		 54.32   	 -81.38		  4.03   	  15.26		
-703.13   	-227.66   	 -3.01   	  66.12		 54.00   	 -86.47		  4.09   	  15.26		
-1153.56   	-444.34   	 -2.75   	  86.47		 53.65   	 -91.56		  4.15   	  10.17		
-1344.60   	-568.24(R)	 -2.40   	  96.64		 53.29   	 -91.56		  4.19   	  10.17		
-1159.67   	-526.12   	 -2.01   	 111.90		 52.92   	-101.73		  4.23   	  10.17		
-694.27   	-356.45   	 -1.57   	 116.99		 52.51   	-101.73		  4.27   	   5.09		
-193.48   	-166.93   	 -1.10   	 122.07		 52.11   	-106.82		  4.29   	   5.09		
121.46   	-44.25   	 -0.61   	 122.07		 51.68   	-111.90		  4.31   	  -5.09		
184.33   	 -7.02   	 -0.12   	 122.07		 51.23   	-116.99		  4.29   	  -5.09		
 87.28   	-21.67   	  0.37   	 122.07		 50.76   	-111.90		  4.27   	  -5.09		
-23.19   	-42.72   	  0.85   	 116.99		 50.32   	-106.82		  4.25   	 -15.26		
-58.90   	-46.69   	  1.32   	 116.99		 49.89   	-106.82		  4.19   	 -15.26		
-24.72   	-36.01   	  1.79   	 101.73		 49.46   	 -91.56		  4.13   	 -10.17		
-24.72   	-36.01   	  2.20   	 111.90		 49.09   	 -96.64		  4.09   	 -20.35		
 48.83   	-11.29   	  2.64   	  96.64		 48.71   	 -86.47		  4.01   	 -10.17		
 48.83   	-11.29   	  3.03   	 111.90		 48.36   	 -96.64		  3.97   	 -20.35		
 26.25   	 -9.46   	  3.48   	  96.64		 47.98   	 -81.38		  3.89   	 -15.26		
 26.25   	 -9.46   	  3.87   	 111.90		 47.65   	 -91.56		  3.83   	 -25.43		
 19.84   	-14.34   	  4.31   	  96.64		 47.28   	 -81.38		  3.72   	 -20.35		
 19.84   	-14.34   	  4.70   	 127.16		 46.96   	 -86.47		  3.64   	 -25.43		
 40.28   	 -6.71   	  5.21   	 111.90		 46.61   	 -76.30		  3.54   	 -20.35		
 40.28   	 -6.71   	  5.66   	 157.68		 46.31   	 -76.30		  3.46   	 -30.52		
 47.61   	  6.41   	  6.29   	 142.42		 46.00   	 -66.12		  3.34   	 -20.35		
 47.61   	  6.41   	  6.86   	 208.54		 45.74   	 -61.04		  3.26   	 -20.35		
 59.51   	 27.16   	  7.69   	 233.98		 45.49   	 -61.04		  3.17   	 -20.35		
 69.58   	 36.01   	  8.63   	 254.32		 45.25   	 -45.78		  3.09   	 -15.26		
 80.26   	 42.42   	  9.64   	 279.75		 45.07   	 -40.69		  3.03   	  -5.09		
 91.25   	 47.91   	 10.76   	 300.10		 44.90   	 -25.43		  3.01   	  -5.09		
102.84   	 54.02   	 11.96   	 325.53		 44.80(D)	   5.09		  2.99   	   0.00		
114.75   	 61.95   	 13.27   	 340.79		 44.82   	  66.12		  2.99   	 -10.17		
126.95   	 71.11   	 14.63   	 366.22		 45.09   	 137.33		  2.95   	  -5.09		
137.33   	 79.65   	 16.09   	 371.31		 45.64   	 239.06		  2.93   	 -10.17		
145.57   	 86.67   	 17.58   	 386.57		 46.59   	 350.97		  2.89   	   0.00		
151.06   	 90.64   	 19.13   	 386.57		 48.00   	 447.61		  2.89   	  -5.09		
154.42   	 93.08   	 20.67   	 391.66		 49.79   	 534.08		  2.87   	   5.09		
155.94   	 95.52   	 22.24   	 381.48		 51.92   	 600.20		  2.89   	  10.17		
156.56   	 99.49   	 23.76   	 371.31		 54.32   	 635.81		  2.93   	   5.09		
155.94   	104.37   	 25.25   	 356.05		 56.87   	 651.07		  2.95   	  10.17		
153.50   	108.03   	 26.67   	 335.71		 59.47   	 656.15		  2.99   	  10.17		
148.93   	108.03   	 28.02   	 305.19		 62.10   	 645.98		  3.03   	   5.09		
143.43   	103.76   	 29.24   	 279.75		 64.68   	 620.55		  3.05   	   0.00		
137.94   	 97.35   	 30.36   	 244.15		 67.16   	 590.03		  3.05   	   0.00		
133.36   	 90.33   	 31.33   	 203.46		 69.52   	 544.25		  3.05   	   5.09		
129.09   	 84.23   	 32.15   	 172.94		 71.70   	 478.13		  3.07   	   5.09		
123.90   	 77.82   	 32.84   	 127.16		 73.61   	 406.92		  3.09   	  10.17		
116.58   	 69.89   	 33.35   	  91.56		 75.24   	 320.45		  3.13   	   5.09		
106.81   	 61.65   	 33.71   	  50.86		 76.52   	 233.98		  3.15   	   5.09		
 96.74   	 58.29   	 33.92   	   5.09		 77.46   	 147.51		  3.17(V)	   0.00		
 90.64   	 67.44   	 33.94(S)	 -30.52		 78.05   	  71.21		  3.17   	 -10.17		
 91.55   	 94.91   	 33.81   	 -76.30		 78.33   	   5.09		  3.13   	  -5.09		
100.71   	137.02   	 33.51   	-111.90		 78.35(S)	 -55.95		  3.11   	  -5.09		
115.36   	180.36   	 33.06   	-142.42		 78.13   	-116.99		  3.09   	   5.09		
132.14   	210.88   	 32.49   	-183.11		 77.66   	-162.77		  3.11   	   0.00		
149.23   	224.00   	 31.76   	-213.63		 77.01   	-198.37		  3.11   	   0.00		
164.49   	226.75   	 30.91   	-244.15		 76.22   	-233.98		  3.11   	  -5.09		
175.78   	230.41   	 29.93   	-269.58		 75.28   	-259.41		  3.09   	  -5.09		
178.53   	235.90   	 28.85   	-300.10		 74.24   	-284.84		  3.07   	 -10.17		
168.46   	233.15   	 27.65   	-320.45		 73.10   	-295.01		  3.03   	 -10.17		
145.57   	209.05   	 26.37   	-345.88		 71.92   	-315.36		  2.99   	 -10.17		
115.36   	160.83   	 24.98   	-366.22		 70.66   	-320.45		  2.95   	  -5.09		
 83.62   	 96.44   	 23.52   	-381.48		 69.38   	-325.53		  2.93   	  -5.09		
 51.88   	 28.69   	 21.99   	-396.74		 68.08   	-325.53		  2.91   	   0.00		
