SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
-48.83   	-117.80   	 69.11   	 -30.52		 20.28   	 422.18		
-45.17   	-113.22   	 68.99   	 -15.26		 21.97   	 467.95		
-43.03   	-110.17   	 68.93   	  20.35		 23.85   	 498.47		
-41.81   	-108.03   	 69.01   	  66.12		 25.84   	 513.73		
-39.37   	-105.29   	 69.28   	 147.51		 27.89   	 493.39		
-35.71   	-101.62   	 69.87   	 244.15		 29.87   	 457.78		
-30.52   	-97.05   	 70.84   	 356.05		 31.70   	 396.74		
-25.02   	-92.47   	 72.27   	 467.95		 33.29   	 330.62		
-20.75   	-87.59   	 74.14   	 559.51		 34.61   	 269.58		
-16.78   	-81.79   	 76.38   	 630.72		 35.69   	 208.54		
-12.21   	-74.46   	 78.90   	 661.24		 36.52   	 152.59		
 -6.10   	-66.83   	 81.55   	 651.07		 37.13   	 101.73		
  1.22   	-59.20   	 84.15   	 610.37		 37.54   	  66.12		
  8.85   	-52.49   	 86.59   	 534.08		 37.80   	  35.61		
 15.87   	-47.00   	 88.73   	 437.43		 37.94   	  10.17		
 22.28   	-42.42   	 90.48   	 330.62		 37.99   	   0.00		
 28.99   	-37.84   	 91.80   	 228.89		 37.99   	   0.00		
 36.32   	-32.96   	 92.72   	 137.33		 37.99   	  -5.09		
 44.25   	-28.38   	 93.27   	  61.04		 37.97   	   5.09		
 52.49   	-23.50   	 93.51   	  10.17		 37.99   	   0.00		
 60.42   	-18.62   	 93.55   	 -25.43		 37.99   	   5.09		
 68.05   	-12.82   	 93.45   	 -35.61		 38.01   	   0.00		
 75.99   	 -6.41   	 93.31   	 -35.61		 38.01   	  -5.09		
 83.92   	  0.92   	 93.16   	 -10.17		 37.99   	 -10.17		
 92.47   	  9.16   	 93.12   	   0.00		 37.94   	 -15.26		
101.32   	 17.40   	 93.12   	  20.35		 37.88   	 -25.43		
111.69   	 25.33   	 93.20   	  66.12		 37.78   	 -35.61		
123.29   	 32.65   	 93.47   	 106.82		 37.64   	 -35.61		
135.50   	 39.37   	 93.90   	 137.33		 37.50   	 -35.61		
147.40   	 46.39   	 94.45   	 152.59		 37.35   	 -45.78		
158.39   	 53.71   	 95.06   	 183.11		 37.17   	 -55.95		
168.15   	 61.34   	 95.79   	 188.20		 36.95   	 -66.12		
177.61   	 68.97   	 96.54   	 193.29		 36.68   	 -71.21		
187.68   	 76.29   	 97.31   	 183.11		 36.40   	 -76.30		
197.75   	 83.01   	 98.05   	 183.11		 36.09   	 -76.30		
206.60   	 89.11   	 98.78   	 172.94		 35.79   	 -81.38		
214.23   	 95.52   	 99.47   	 162.77		 35.46   	 -81.38		
220.34   	102.23   	100.12   	 137.33		 35.14   	 -71.21		
226.44   	108.64   	100.67   	 132.25		 34.85   	 -76.30		
232.85   	113.83   	101.20   	 132.25		 34.55   	 -66.12		
238.65   	116.58   	101.73   	 132.25		 34.28   	 -55.95		
243.23   	117.49   	102.26   	 127.16		 34.06   	 -45.78		
245.97   	118.71   	102.77   	 132.25		 33.88   	 -30.52		
247.80   	121.46   	103.30   	 122.07		 33.75   	 -25.43		
249.02   	126.34   	103.78   	 122.07		 33.65   	 -15.26		
249.33   	132.75   	104.27   	 111.90		 33.59   	  -5.09		
247.50   	138.85   	104.72   	  86.47		 33.57   	   0.00		
241.39   	143.13   	105.07   	  66.12		 33.57   	  10.17		
231.02   	144.35   	105.33   	  40.69		 33.61   	  15.26		
216.06   	143.13   	105.49   	  10.17		 33.67   	  10.17		
198.36   	139.47   	105.53(S)	 -15.26		 33.71   	  10.17		
178.53   	134.58   	105.47   	 -30.52		 33.75   	  10.17		
157.47   	127.87   	105.35   	 -50.86		 33.79   	   5.09		
135.19   	119.02   	105.15   	 -71.21		 33.81   	   0.00		
112.30   	107.73   	104.86   	 -71.21		 33.81   	 -10.17		
 89.42   	 93.99   	104.58   	 -81.38		 33.77   	 -20.35		
 67.14   	 78.13   	104.25   	 -76.30		 33.69   	 -30.52		
 46.08   	 61.04   	103.95   	 -76.30		 33.57   	 -40.69		
 27.16   	 43.95   	103.64   	 -66.12		 33.41   	 -61.04		
 10.99   	 27.16   	103.38   	 -61.04		 33.16   	 -81.38		
 -1.83   	 11.60   	103.13   	 -45.78		 32.84   	-101.73		
-11.90   	 -1.83   	102.95   	 -45.78		 32.43   	-116.99		
-18.92   	-13.43   	102.77   	 -45.78		 31.96   	-147.51		
-23.80   	-22.89   	102.58   	 -50.86		 31.37   	-172.94		
-26.86   	-30.21   	102.38   	 -61.04		 30.68   	-183.11		
-28.99   	-35.40   	102.14   	 -81.38		 29.95   	-208.54		
-30.21   	-39.06   	101.81   	-111.90		 29.11   	-228.89		
-31.13   	-41.50   	101.36   	-132.25		 28.20   	-239.06		
-31.74   	-43.33   	100.83   	-157.68		 27.24   	-254.32		
-31.74   	-44.56   	100.20   	-193.29		 26.23   	-269.58		
-32.04   	-45.47   	 99.43   	-213.63		 25.15   	-264.50		
-31.74   	-47.00   	 98.58   	-233.98		 24.09   	-269.58		
-31.43   	-49.13   	 97.64   	-244.15		 23.01   	-264.50		
-31.43   	-52.49   	 96.66   	-233.98		 21.95   	-259.41		
-32.04   	-56.15   	 95.73   	-218.72		 20.92   	-254.32		
-32.96   	-59.51   	 94.85   	-193.29		 19.90   	-254.32		
-32.96   	-61.34   	 94.08   	-157.68		 18.88   	-274.67		
-32.04   	-62.56   	 93.45   	-122.07		 17.78   	-305.19		
-29.60   	-63.78   	 92.96   	 -91.56		 16.56   	-340.79		
-27.16   	-65.00   	 92.59   	 -71.21		 15.20   	-361.14		
-25.33   	-66.22   	 92.31   	 -50.86		 13.75   	-361.14		
-24.11   	-66.53   	 92.11   	 -40.69		 12.31   	-356.05		
-23.19   	-65.92   	 91.94   	 -40.69		 10.89   	-320.45		
-22.28   	-65.00   	 91.78   	 -45.78		  9.60   	-279.75		
-21.06   	-64.70   	 91.60   	 -55.95		  8.48   	-233.98		
-20.45   	-65.92   	 91.37   	 -71.21		  7.55   	-183.11		
-20.45   	-69.58   	 91.09   	 -81.38		  6.82   	-127.16		
-21.36   	-75.07   	 90.76   	 -96.64		  6.31   	 -96.64		
-23.50   	-81.48   	 90.38   	-101.73		  5.92   	 -66.12		
-26.25   	-87.28   	 89.97   	-111.90		  5.66   	 -40.69		
-28.38   	-90.94   	 89.52   	-116.99		  5.49   	 -30.52		
-30.82   	-92.47   	 89.05   	-111.90		  5.37   	 -15.26		
-32.96   	-93.38   	 88.61   	-111.90		  5.31   	 -15.26		
-35.10   	-93.69   	 88.16   	-111.90		  5.25   	  -5.09		
-37.23   	-94.30   	 87.71   	-101.73		  5.23   	   0.00		
-38.45   	-94.30   	 87.30   	 -96.64		  5.23   	   5.09		
-38.76   	-94.91   	 86.92   	 -91.56		  5.25   	  10.17		
-39.06   	-96.44   	 86.55   	 -86.47		  5.29   	   5.09		
-40.28   	-101.01   	 86.21   	 -81.38		  5.31   	   0.00		
-42.11   	-107.12   	 85.88   	 -76.30		  5.31   	   5.09		
-44.56   	-112.61   	 85.57   	 -76.30		  5.33   	  10.17		
-47.00   	-115.05   	 85.27   	 -66.12		  5.37   	  20.35		
-48.83   	-113.53   	 85.00   	 -71.21		  5.45   	  40.69		
-50.05   	-108.95   	 84.72   	 -66.12		  5.62   	  50.86		
-50.96   	-104.37   	 84.46   	 -71.21		  5.82   	  55.95		
-51.88   	-102.23   	 84.17   	 -66.12		  6.04   	  55.95		
-52.49   	-103.45   	 83.91   	 -66.12		  6.27   	  45.78		
-53.71   	-107.73   	 83.64   	 -61.04		  6.45   	  30.52		
