SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
115.05   	402.53   	 48.28   	  45.78		100.59   	 412.00		
108.95   	384.22   	 48.46   	  35.61		102.24   	 406.92		
104.98   	357.06   	 48.61   	  20.35		103.87   	 386.57		
102.54   	321.04   	 48.69   	   5.09		105.41   	 356.05		
100.10   	275.57   	 48.71   	 -10.17		106.84   	 305.19		
 97.05   	221.86   	 48.67   	 -15.26		108.06   	 259.41		
 93.08   	162.96   	 48.61   	 -25.43		109.09   	 203.46		
 89.42   	102.54   	 48.50   	 -35.61		109.91   	 142.42		
 87.28   	 46.08   	 48.36   	 -50.86		110.48   	  81.38		
 87.28   	 -2.44   	 48.16   	 -50.86		110.80   	  25.43		
 89.11   	-42.11   	 47.96   	 -30.52		110.90   	 -30.52		
 90.94   	-74.16   	 47.83   	 -15.26		110.78   	 -81.38		
 90.94   	-100.71   	 47.77   	 -15.26		110.46   	-111.90		
 88.50   	-123.90   	 47.71   	 -20.35		110.01   	-147.51		
 84.23   	-143.43   	 47.63   	 -35.61		109.42   	-178.03		
 79.96   	-158.39   	 47.49   	 -45.78		108.71   	-183.11		
 76.90   	-168.15   	 47.30   	 -76.30		107.98   	-193.29		
 75.07   	-174.26   	 47.00   	-116.99		107.20   	-183.11		
 74.16   	-178.22   	 46.53   	-152.59		106.47   	-162.77		
 72.94   	-182.19   	 45.92   	-198.37		105.82   	-157.68		
 71.41   	-185.55   	 45.13   	-259.41		105.19   	-152.59		
 69.89   	-187.38   	 44.09   	-330.62		104.58   	-137.33		
 68.36   	-187.38   	 42.77   	-386.57		104.03   	-132.25		
 67.44   	-186.16   	 41.22   	-432.35		103.50   	-132.25		
 67.44   	-184.63   	 39.49   	-452.69		102.97   	-127.16		
 69.58   	-183.72   	 37.68   	-412.00		102.46   	-132.25		
 74.16   	-182.50   	 36.03   	-528.99		101.93   	-137.33		
 80.26   	-180.66   	 33.92   	-645.98		101.38   	-132.25		
 86.36   	-178.53   	 31.33   	-544.25		100.85   	-142.42		
 90.94   	-176.39   	 29.16   	-584.94		100.28   	-152.59		
 92.77   	-175.48   	 26.82   	-808.75		 99.67   	-152.59		
 93.38   	-175.17   	 23.58   	-864.70		 99.06   	-157.68		
 94.60   	-174.87   	 20.12   	-747.71		 98.43   	-162.77		
 97.66   	-173.95   	 17.13   	-701.93		 97.78   	-172.94		
101.93   	-172.12   	 14.32   	-747.71		 97.09   	-172.94		
105.90   	-170.59   	 11.33   	-737.54		 96.40   	-183.11		
107.73   	-170.90   	  8.38   	-625.63		 95.67   	-188.20		
107.73   	-172.73   	  5.88   	-528.99		 94.91   	-193.29		
