SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 14.95   	105.90   	 24.66   	 295.01		 28.52   	 106.82		
 14.04   	106.20   	 25.84   	 300.10		 28.95   	 172.94		
 13.43   	106.20   	 27.04   	 284.84		 29.64   	 376.40		
 14.65   	107.42   	 28.18   	 274.67		 31.15   	 579.86		
 17.09   	111.08   	 29.28   	 244.15		 33.47   	 666.32		
 19.84   	114.75   	 30.25   	 218.72		 36.13   	 640.89		
 21.36   	117.49   	 31.13   	 203.46		 38.70   	 620.55		
 22.28   	118.41   	 31.94   	 203.46		 41.18   	 584.94		
 22.58   	119.32   	 32.76   	 213.63		 43.52   	 498.47		
 23.50   	121.15   	 33.61   	 233.98		 45.51   	 396.74		
 25.02   	125.12   	 34.55   	 239.06		 47.10   	 401.83		
 26.55   	130.31   	 35.50   	 244.15		 48.71   	 447.61		
 28.38   	136.41   	 36.48   	 239.06		 50.50   	 467.95		
 30.52   	143.43   	 37.44   	 228.89		 52.37   	 467.95		
 32.96   	150.76   	 38.35   	 223.80		 54.24   	 498.47		
 35.40   	157.17   	 39.25   	 218.72		 56.24   	 523.90		
 37.54   	162.35   	 40.12   	 218.72		 58.33   	 498.47		
 39.98   	166.02   	 41.00   	 213.63		 60.33   	 417.09		
 42.42   	169.98   	 41.85   	 218.72		 61.99   	 310.27		
 44.86   	174.87   	 42.73   	 213.63		 63.23   	 172.94		
 47.00   	180.05   	 43.58   	 208.54		 63.93   	  35.61		
 49.44   	184.94   	 44.41   	 203.46		 64.07(S)	 -40.69		
 51.57   	189.21   	 45.23   	 183.11		 63.91   	 -91.56		
 54.32   	193.18   	 45.96   	 172.94		 63.54   	 -86.47		
 57.37   	197.45   	 46.65   	 157.68		 63.19   	 -10.17		
 60.73   	201.42   	 47.28   	 147.51		 63.15   	  40.69		
 63.48   	204.47   	 47.87   	 142.42		 63.32   	   0.00		
 66.22   	207.21   	 48.44   	 142.42		 63.32   	 -20.35		
 69.58   	209.96   	 49.01   	 137.33		 63.23   	   0.00		
 73.55   	213.93   	 49.56   	 137.33		 63.23   	 -15.26		
 78.43   	219.42   	 50.11   	 132.25		 63.17   	 -96.64		
 83.01   	224.30   	 50.64   	 116.99		 62.79   	-183.11		
 86.67   	228.27   	 51.11   	 106.82		 62.05   	-208.54		
