SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
 63.95   	 -50.86		 11.86   	 208.54		
 63.74   	 -40.69		 12.70   	 223.80		
 63.58   	 -40.69		 13.59   	 244.15		
 63.42   	 -45.78		 14.57   	 254.32		
 63.23   	 -40.69		 15.58   	 269.58		
 63.07   	 -40.69		 16.66   	 284.84		
 62.91   	 -40.69		 17.80   	 305.19		
 62.75   	 -40.69		 19.02   	 320.45		
 62.58   	 -40.69		 20.31   	 340.79		
 62.42   	 -45.78		 21.67   	 350.97		
 62.24   	 -45.78		 23.07   	 356.05		
 62.05   	 -45.78		 24.50   	 361.14		
 61.87   	 -45.78		 25.94   	 406.92		
 61.69   	 -55.95		 27.57   	 391.66		
 61.46   	 -50.86		 29.14   	 376.40		
 61.26   	 -50.86		 30.64   	 356.05		
 61.06   	 -50.86		 32.06   	 340.79		
 60.85   	 -50.86		 33.43   	 315.36		
 60.65   	 -50.86		 34.69   	 295.01		
 60.45   	 -45.78		 35.87   	 269.58		
 60.26   	 -35.61		 36.95   	 244.15		
 60.12   	 -35.61		 37.92   	 223.80		
 59.98   	 -20.35		 38.82   	 203.46		
 59.90(D)	  10.17		 39.63   	 178.03		
 59.94   	  45.78		 40.35   	 152.59		
 60.12   	 116.99		 40.96   	 137.33		
 60.59   	 218.72		 41.51   	 111.90		
 61.46   	 335.71		 41.95   	  96.64		
 62.81   	 447.61		 42.34   	  76.30		
 64.60   	 539.16		 42.64   	  66.12		
 66.75   	 595.11		 42.91   	  50.86		
 69.14   	 625.63		 43.11   	  40.69		
 71.64   	 635.81		 43.28   	  35.61		
 74.18   	 620.55		 43.42   	  20.35		
 76.66   	 595.11		 43.50   	  20.35		
 79.04   	 549.34		 43.58   	  15.26		
 81.24   	 503.56		 43.64   	  10.17		
 83.26   	 473.04		 43.68   	  10.17		
 85.15   	 437.43		 43.72   	  10.17		
 86.90   	 406.92		 43.76   	  15.26		
 88.52   	 386.57		 43.82   	  10.17		
 90.07   	 391.66		 43.87   	  20.35		
 91.64   	 391.66		 43.95   	  20.35		
 93.20   	 406.92		 44.03   	  25.43		
 94.83   	 427.26		 44.13   	  25.43		
 96.54   	 442.52		 44.23   	  30.52		
 98.31   	 452.69		 44.35   	  35.61		
100.12   	 457.78		 44.50   	  35.61		
101.95   	 447.61		 44.64   	  35.61		
103.74   	 417.09		 44.78   	  40.69		
105.41   	 376.40		 44.94   	  40.69		
106.92   	 325.53		 45.11   	  40.69		
108.22   	 264.50		 45.27   	  35.61		
109.28   	 193.29		 45.41   	  35.61		
110.05   	 132.25		 45.55   	  30.52		
110.58   	  55.95		 45.68   	  30.52		
110.80(S)	  -5.09		 45.80   	  20.35		
110.78   	 -61.04		 45.88   	  20.35		
110.54   	-101.73		 45.96   	  10.17		
110.13   	-137.33		 46.00   	   5.09		
109.58   	-157.68		 46.02(S)	   0.00		
108.95   	-167.85		 46.02   	 -15.26		
108.28   	-203.46		 45.96   	 -40.69		
107.47   	-198.37		 45.80   	 -55.95		
106.67   	-183.11		 45.57   	 -76.30		
105.94   	-172.94		 45.27   	 -91.56		
105.25   	-162.77		 44.90   	-111.90		
104.60   	-157.68		 44.46   	-137.33		
103.97   	-152.59		 43.91   	-162.77		
103.36   	-152.59		 43.26   	-178.03		
102.75   	-152.59		 42.54   	-208.54		
102.14   	-157.68		 41.71   	-233.98		
101.51   	-157.68		 40.77   	-254.32		
100.87   	-167.85		 39.76   	-284.84		
100.20   	-178.03		 38.62   	-305.19		
 99.49   	-188.20		 37.40   	-325.53		
 98.74   	-198.37		 36.09   	-345.88		
 97.94   	-203.46		 34.71   	-366.22		
 97.13   	-208.54		 33.25   	-381.48		
 96.30   	-218.72		 31.72   	-391.66		
 95.42   	-213.63		 30.15   	-401.83		
 94.57   	-213.63		 28.55   	-406.92		
 93.71   	-213.63		 26.92   	-406.92		
 92.86   	-213.63		 25.29   	-412.00		
 92.00   	-213.63		 23.64   	-401.83		
 91.15   	-213.63		 22.03   	-396.74		
 90.29   	-223.80		 20.45   	-391.66		
 89.40   	-218.72		 18.88   	-376.40		
 88.52   	-223.80		 17.38   	-366.22		
 87.63   	-228.89		 15.91   	-350.97		
 86.71   	-228.89		 14.51   	-330.62		
 85.80   	-233.98		 13.18   	-315.36		
 84.86   	-228.89		 11.92   	-295.01		
 83.95   	-223.80		 10.74   	-274.67		
 83.05   	-218.72		  9.64   	-254.32		
 82.18   	-208.54		  8.63   	-228.89		
 81.34   	-198.37		  7.71   	-208.54		
 80.55   	-188.20		  6.88   	-188.20		
 79.80   	-167.85		  6.12   	-162.77		
 79.12   	-162.77		  5.47   	-142.42		
 78.47   	-147.51		  4.90   	-116.99		
 77.88   	-137.33		  4.44   	 -96.64		
 77.33   	-132.25		  4.05   	 -71.21		
 76.81   	-122.07		  3.76   	 -55.95		
 76.32   	-116.99		  3.54   	 -35.61		
 75.85   	-111.90		  3.40   	 -20.35		
 75.40   	-106.82		  3.32   	  -5.09		
 74.97   	-106.82		  3.30(D)	  10.17		
 74.55   	-106.82		  3.34   	  15.26		
 74.12   	-101.73		  3.40   	  30.52		
 73.71   	-106.82		  3.52   	  35.61		
 73.29   	 -96.64		  3.66   	  45.78		
 72.90   	-101.73		  3.85   	  50.86		
 72.49   	 -96.64		  4.05   	  55.95		
 72.11   	 -96.64		  4.27   	  55.95		
 71.72   	 -86.47		  4.50   	  61.04		
 71.37   	 -81.38		  4.74   	  55.95		
 71.05   	 -81.38		  4.96   	  55.95		
 70.72   	 -76.30		  5.19   	  55.95		
 70.42   	 -66.12		  5.41   	  50.86		
 70.15   	 -66.12		  5.62   	  50.86		
 69.89   	 -55.95		  5.82   	  40.69		
 69.66   	 -55.95		  5.98   	  35.61		
 69.44   	 -55.95		  6.12   	  40.69		
 69.22   	 -50.86		  6.29   	  30.52		
 69.01   	 -50.86		  6.41   	  40.69		
 68.81   	 -45.78		  6.57   	  35.61		
 68.63   	 -50.86		  6.71   	  35.61		
 68.42   	 -50.86		  6.86   	  40.69		
 68.22   	 -45.78		  7.02(E)	  45.78		
 68.04   	 -55.95		  7.20   	  40.69		
 67.81   	 -45.78		  7.37   	  40.69		
 67.63   	 -50.86		  7.53   	  40.69		
 67.43   	 -61.04		  7.69   	  45.78		
 67.18   	 -50.86		  7.87   	  50.86		
 66.98   	 -50.86		  8.08   	  50.86		
 66.77   	 -50.86		  8.28   	  61.04		
 66.57   	 -45.78		  8.52   	  66.12		
 66.39   	 -45.78		  8.79   	  71.21		
 66.21   	 -45.78		  9.07   	  81.38		
 66.02   	 -45.78		  9.40   	 101.73		
 65.84   	 -45.78		  9.81   	 111.90		
 65.66   	 -45.78		 10.25   	 127.16		
 65.47   	 -45.78		 10.76   	 142.42		
 65.29   	 -50.86		 11.33   	 157.68		
 65.09   	 -45.78		 11.96   	 167.85		
 64.90   	 -45.78		 12.63   	 178.03		
 64.72   	 -45.78		 13.35   	 198.37		
 64.54   	 -45.78		 14.14   	 213.63		
 64.35   	 -45.78		 14.99   	 233.98		
 64.17   	 -40.69		 15.93   	 249.24		
 64.01   	 -45.78		 16.93   	 269.58		
 63.82   	 -40.69		 18.01   	 284.84		
 63.66   	 -40.69		 19.15   	 310.27		
 63.50   	 -45.78		 20.39   	 325.53		
 63.32   	 -40.69		 21.69   	 330.62		
 63.15   	 -45.78		 23.01   	 345.88		
 62.97   	 -45.78		 24.39   	 345.88		
 62.79   	 -55.95		 25.78   	 391.66		
 62.56   	 -55.95		 27.34   	 376.40		
 62.34   	 -61.04		 28.85   	 361.14		
