SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-108.64   	 77.82   	  3.36   	  15.26		 65.03   	 -40.69		
-114.75   	 61.34   	  3.42   	  20.35		 64.86   	 -45.78		
-115.36   	 48.22   	  3.50   	  15.26		 64.68   	 -40.69		
-112.92   	 41.81   	  3.56   	  20.35		 64.52   	 -25.43		
-111.08   	 41.20   	  3.64   	  20.35		 64.41   	 -30.52		
-111.69   	 42.72   	  3.72   	  25.43		 64.29   	 -25.43		
-113.83   	 43.03   	  3.83   	  20.35		 64.19   	 -20.35		
-115.97   	 41.50   	  3.91   	  25.43		 64.11   	 -35.61		
-116.88   	 40.28   	  4.01   	  25.43		 63.97   	 -50.86		
-116.88   	 40.28   	  4.11   	  30.52		 63.76   	 -35.61		
-116.58   	 41.50   	  4.23   	  35.61		 63.62   	   0.00		
-116.58   	 42.72   	  4.37   	  30.52		 63.62   	 -25.43		
-117.49   	 42.11   	  4.50   	  25.43		 63.52   	 -55.95		
-120.24   	 38.15   	  4.60   	  15.26		 63.30   	 -35.61		
-126.95   	 28.99   	  4.66   	  10.17		 63.15   	 -30.52		
-140.69   	 13.73   	  4.70   	  10.17		 63.03   	 -10.17		
-162.05   	 -7.02   	  4.74   	   5.09		 62.99   	 -10.17		
-184.94   	-28.08   	  4.76   	  15.26		 62.95   	 -20.35		
-194.70   	-36.01   	  4.82   	  20.35		 62.87   	  -5.09		
-170.59   	-13.12   	  4.90   	  35.61		 62.85   	 -20.35		
-95.21   	 61.34   	  5.05   	  35.61		 62.77   	 -50.86		
 38.76   	204.77   	  5.19   	  30.52		 62.56   	 -35.61		
224.00   	420.84   	  5.31   	  20.35		 62.42   	 -10.17		
434.27   	699.46   	  5.39   	  15.26		 62.38   	 -20.35		
624.69   	1012.57   	  5.45   	  10.17		 62.30   	 -50.86		
744.93   	1303.41   	  5.49   	   0.00		 62.10   	 -10.17		
645.45   	1520.69(R)	  5.49   	 -10.17		 62.05   	  10.17		
436.71   	1340.33   	  5.45   	 -20.35		 62.10   	 -20.35		
175.78   	976.87   	  5.37   	 -20.35		 62.01   	 -40.69		
-84.23   	519.10   	  5.29   	 -25.43		 61.85   	 -10.17		
-294.49   	 84.84   	  5.19   	 -15.26		 61.81   	  35.61		
-418.09   	-229.49   	  5.13(E)	   0.00		 61.95   	   0.00		
-441.28   	-380.25   	  5.13   	  30.52		 61.95   	 -76.30		
-382.39   	-384.83   	  5.25   	  61.04		 61.65   	 -61.04		
-284.73   	-299.68   	  5.49   	  91.56		 61.40   	   0.00		
-195.01   	-183.11   	  5.86   	 116.99		 61.40   	   0.00		
-137.63   	-72.02   	  6.33   	 127.16		 61.40   	 -55.95		
-109.25   	 18.92   	  6.84   	 142.42		 61.18   	 -61.04		
-91.86   	 85.14   	  7.41   	 152.59		 60.94   	 -25.43		
-73.24   	124.21   	  8.02   	 203.46		 60.83   	 -35.61		
-55.54   	137.63   	  8.83   	 330.62		 60.69   	 -50.86		
-44.86   	133.97   	 10.15   	 442.52		 60.49   	 -10.17		
-41.20   	127.26   	 11.92   	 462.87		 60.45   	   0.00		
-39.37   	127.87   	 13.77   	 447.61		 60.45   	 -40.69		
-34.48   	137.33   	 15.56   	 442.52		 60.28   	 -50.86		
-26.55   	149.23   	 17.33   	 442.52		 60.08   	 -20.35		
-18.31   	156.86   	 19.10   	 452.69		 60.00   	  25.43		
-12.21   	159.61   	 20.92   	 442.52		 60.10   	  76.30		
 -7.63   	162.05   	 22.69   	 422.18		 60.41   	  40.69		
 -3.36   	166.63   	 24.37   	 406.92		 60.57   	 -66.12		
  1.83   	173.95   	 26.00   	 442.52		 60.30   	 -81.38		
 13.43   	189.51   	 27.77   	 427.26		 59.98   	 -96.64		
 19.23   	195.92   	 29.48   	 417.09		 59.59   	 -91.56		
 24.11   	201.72   	 31.15   	 401.83		 59.23   	 -76.30		
 27.77   	207.21   	 32.76   	 381.48		 58.92   	 -76.30		
 31.74   	213.62   	 34.28   	 376.40		 58.62   	 -61.04		
 36.32   	220.64   	 35.79   	 356.05		 58.37   	   5.09		
 42.11   	228.27   	 37.21   	 305.19		 58.39   	  55.95		
 48.22   	235.90   	 38.43   	 249.24		 58.62   	  -5.09		
 54.32   	243.53   	 39.43   	 188.20		 58.60   	 -76.30		
 60.12   	251.46   	 40.18   	 152.59		 58.29   	 -45.78		
 66.22   	259.09   	 40.79   	 116.99		 58.11   	  -5.09		
 72.63   	267.03   	 41.26   	 101.73		 58.09   	   0.00		
 79.65   	274.35   	 41.67   	  91.56		 58.09   	 -20.35		
 87.28   	281.68   	 42.03   	  76.30		 58.01   	 -20.35		
 95.52   	289.61   	 42.34   	  50.86		 57.92   	  -5.09		
104.37   	298.46   	 42.54   	  10.17		 57.90   	 -10.17		
113.53   	307.92   	 42.58   	  -5.09		 57.86   	 -20.35		
123.60   	317.08   	 42.56   	   0.00		 57.78   	 -55.95		
134.28   	325.32   	 42.56   	   5.09		 57.56   	 -50.86		
145.57   	332.64   	 42.58   	   5.09		 57.35   	 -10.17		
157.47   	340.58   	 42.60   	  10.17		 57.31   	  25.43		
169.37   	349.12   	 42.64   	  20.35		 57.42   	  45.78		
180.66   	358.28   	 42.73   	  25.43		 57.60   	 101.73		
191.04   	367.13   	 42.83   	  25.43		 58.01   	 218.72		
201.11   	374.76   	 42.93   	  30.52		 58.88   	 361.14		
220.64   	387.57   	 43.05   	  35.61		 60.33   	 300.10		
230.10   	393.98   	 43.19   	  40.69		 61.53   	 223.80		
238.34   	400.70   	 43.36   	  55.95		 62.42   	 223.80		
245.06   	407.10   	 43.58   	  55.95		 63.32   	 284.84		
250.24   	412.90   	 43.80   	  50.86		 64.46   	 284.84		
253.60   	417.48   	 44.01   	  35.61		 65.59   	 233.98		
255.13   	419.62   	 44.15   	  35.61		 66.53   	 228.89		
253.60   	418.40   	 44.29   	  35.61		 67.45   	 259.41		
247.80   	412.90   	 44.44   	  25.43		 68.48   	 279.75		
237.43   	402.83   	 44.54   	  15.26		 69.60   	 254.32		
222.78   	388.49   	 44.60   	  15.26		 70.62   	 228.89		
205.08   	369.87   	 44.66   	  25.43		 71.54   	 218.72		
184.94   	347.29   	 44.76   	  25.43		 72.41   	 208.54		
164.18   	322.27   	 44.86   	  25.43		 73.24   	 203.46		
144.04   	295.72   	 44.96   	  35.61		 74.06   	 213.63		
124.82   	270.08   	 45.11   	  35.61		 74.91   	 233.98		
107.73   	245.97   	 45.25   	  35.61		 75.85   	 239.06		
 92.47   	224.30   	 45.39   	  35.61		 76.81   	 249.24		
 79.65   	204.77   	 45.53   	  25.43		 77.80   	 259.41		
 69.27   	187.07   	 45.64   	  20.35		 78.84   	 218.72		
 61.04   	171.81   	 45.72   	   5.09		 79.71   	 193.29		
 54.32   	158.39   	 45.74(S)	  -5.09		 80.49   	 239.06		
 48.22   	147.09   	 45.72   	  -5.09		 81.44   	 264.50		
 41.50   	137.94   	 45.70   	 -20.35		 82.50   	 249.24		
 34.48   	130.62   	 45.62   	 -55.95		 83.50   	 274.67		
 20.14   	119.32   	 45.39   	 -55.95		 84.60   	 315.36		
 14.34   	114.44   	 45.17   	 -96.64		 85.86   	 320.45		
 10.07   	110.17   	 44.78   	-137.33		 87.14   	 315.36		
  7.63   	106.51   	 44.23   	-198.37		 88.40   	 203.46		
  7.02   	104.98   	 43.44   	-284.84		 89.22   	  20.35		
  8.24   	105.29   	 42.30   	-330.62		 89.30   	 -50.86		
 10.38   	106.81   	 40.98   	-356.05		 89.09   	 -76.30		
 12.51   	108.03   	 39.55   	-350.97		 88.79   	 -50.86		
 14.34   	108.64   	 38.15   	-356.05		 88.59   	  76.30		
 15.26   	108.64   	 36.72   	-396.74		 88.89   	 172.94		
