SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
-337.22   	566.71   	 60.85   	 -35.61		  5.51   	 -10.17		
-403.44   	-59.20   	 60.71   	 -30.52		  5.47   	 -15.26		
-404.05   	-571.59   	 60.59   	 -35.61		  5.41   	 -30.52		
-349.73   	-810.85   	 60.45   	 -35.61		  5.29   	 -30.52		
-266.42   	-761.72   	 60.30   	 -35.61		  5.17   	 -35.61		
-179.44   	-537.41   	 60.16   	 -35.61		  5.03   	 -35.61		
-106.20   	-290.22   	 60.02   	 -25.43		  4.88   	 -35.61		
-54.02   	-122.68   	 59.92   	 -25.43		  4.74   	 -30.52		
-22.89   	-55.24   	 59.82   	 -20.35		  4.62   	 -25.43		
 -7.93   	-52.49   	 59.74   	 -25.43		  4.52   	 -15.26		
 -1.83   	-68.36   	 59.63   	 -15.26		  4.46   	  15.26		
  1.22   	-76.29   	 59.57   	 -10.17		  4.52   	  71.21		
  4.58   	-72.02   	 59.53   	 -15.26		  4.80   	 111.90		
  8.85   	-61.34   	 59.47   	 -10.17		  5.25   	 122.07		
 14.34   	-51.27   	 59.43   	 -20.35		  5.74   	 152.59		
 19.53   	-45.17   	 59.35   	 -25.43		  6.35   	 203.46		
 24.11   	-41.20   	 59.25   	 -30.52		  7.16   	 233.98		
 27.16   	-36.32   	 59.12   	 -30.52		  8.10   	 249.24		
 28.38   	-28.69   	 59.00   	 -40.69		  9.09   	 300.10		
 27.47   	-20.75   	 58.84   	 -55.95		 10.29   	 371.31		
 25.63   	-14.65   	 58.62   	 -61.04		 11.78   	 406.92		
 24.11   	-11.29   	 58.37   	 -61.04		 13.41   	 422.18		
 23.50   	 -9.16   	 58.13   	 -71.21		 15.10   	 447.61		
 25.33   	 -5.80   	 57.84   	 -76.30		 16.89   	 473.04		
 29.60   	  0.61   	 57.54   	 -81.38		 18.78   	 467.95		
 35.40   	  9.77   	 57.21   	 -81.38		 20.65   	 447.61		
 40.89   	 20.45   	 56.89   	   0.00		 22.44   	   0.00		
 40.89   	 20.45   	 56.89   	-132.25		 22.44   	 762.97		
 47.30   	 39.67   	 56.36   	   0.00		 25.49   	   0.00		
 47.30   	 39.67   	 56.36   	 -96.64		 25.49   	 676.50		
 52.49   	 56.76   	 55.97   	   0.00		 28.20   	   0.00		
 52.49   	 56.76   	 55.97   	  20.35		 28.20   	 508.65		
 58.29   	 75.07   	 56.05   	   0.00		 30.23   	   0.00		
 58.29   	 75.07   	 56.05   	 295.01		 30.23   	 345.88		
 60.42   	 90.03   	 57.23   	   0.00		 31.62   	   0.00		
 60.42   	 90.03   	 57.23   	 661.24		 31.62   	 172.94		
 58.90   	100.40   	 59.88   	   0.00		 32.31   	   0.00		
 58.90   	100.40   	 59.88   	1002.03		 32.31   	  40.69		
 57.37   	118.10   	 63.89   	 579.86		 32.47(S)	 -30.52		
 58.29   	130.31   	 66.21   	 605.29		 32.35   	 -45.78		
 60.73   	143.74   	 68.63   	 635.81		 32.17   	 -55.95		
 65.31   	157.47   	 71.17   	 645.98		 31.94   	 -71.21		
 70.80   	171.81   	 73.75   	 630.72		 31.66   	 -86.47		
 75.99   	187.07   	 76.28   	 605.29		 31.31   	 -91.56		
 80.87   	202.64   	 78.70   	 554.42		 30.95   	 -91.56		
 85.14   	218.51   	 80.92   	 478.13		 30.58   	 -91.56		
 88.81   	234.38   	 82.83   	 376.40		 30.21   	 -96.64		
 92.77   	250.55   	 84.33   	 284.84		 29.83   	 -96.64		
 97.35   	267.94   	 85.47   	 198.37		 29.44   	 -96.64		
102.54   	287.78   	 86.27   	 111.90		 29.05   	-101.73		
108.03   	310.06   	 86.71   	  20.35		 28.65   	 -96.64		
113.22   	333.56   	 86.80   	 -35.61		 28.26   	 -86.47		
117.19   	355.22   	 86.65   	 -86.47		 27.91   	 -81.38		
119.32   	372.62   	 86.31   	-132.25		 27.59   	 -66.12		
120.24   	385.13   	 85.78   	-157.68		 27.32   	 -61.04		
120.24   	394.29   	 85.15   	-162.77		 27.08   	 -55.95		
119.93   	403.44   	 84.50   	-167.85		 26.86   	 -45.78		
120.24   	415.04   	 83.82   	-162.77		 26.67   	 -40.69		
121.77   	428.77   	 83.17   	-152.59		 26.51   	 -35.61		
122.99   	442.50   	 82.56   	-116.99		 26.37   	 -30.52		
123.60   	452.58   	 82.10   	 -66.12		 26.25   	 -20.35		
121.77   	456.24   	 81.83   	 -15.26		 26.16   	 -20.35		
116.58   	451.36   	 81.77   	  30.52		 26.08   	 -15.26		
109.25   	436.40   	 81.89   	  55.95		 26.02   	 -15.26		
100.40   	411.07   	 82.12   	  86.47		 25.96   	  -5.09		
 90.33   	375.06   	 82.46   	 137.33		 25.94   	   0.00		
 79.04   	329.90   	 83.01   	 172.94		 25.94   	   0.00		
 66.53   	278.63   	 83.70   	 193.29		 25.94   	   5.09		
 52.19   	224.61   	 84.48   	 193.29		 25.96   	  10.17		
 37.23   	171.51   	 85.25   	 188.20		 26.00   	  10.17		
 23.19   	121.77   	 86.00   	 188.20		 26.04   	  15.26		
 11.29   	 76.29   	 86.75   	 167.85		 26.10   	  10.17		
  1.83   	 35.71   	 87.43   	 147.51		 26.14   	  15.26		
 -5.19   	 -0.31   	 88.02   	 127.16		 26.21   	  10.17		
-10.99   	-31.74   	 88.52   	  81.38		 26.25   	  10.17		
-15.56   	-59.51   	 88.85   	  45.78		 26.29   	   5.09		
-19.84   	-82.40   	 89.03(S)	   0.00		 26.31   	   0.00		
-19.84   	-82.40   	 89.03   	   0.00		 26.31   	 -10.17		
-28.99   	-116.58   	 89.03   	   0.00		 26.27   	   0.00		
-28.99   	-116.58   	 89.03   	-122.07		 26.27   	 -91.56		
-36.93   	-137.33   	 88.54   	   0.00		 25.90   	   0.00		
-36.93   	-137.33   	 88.54   	-244.15		 25.90   	-198.37		
-36.62   	-146.48   	 87.57   	   0.00		 25.11   	   0.00		
-36.62   	-146.48   	 87.57   	-310.27		 25.11   	-330.62		
-32.65   	-149.23   	 86.33   	   0.00		 23.78   	   0.00		
-32.65   	-149.23   	 86.33   	-361.14		 23.78   	-478.13		
-30.52   	-148.01   	 84.88   	   0.00		 21.87   	   0.00		
-30.52   	-148.01   	 84.88   	-366.22		 21.87   	-590.03		
-27.16   	-139.16   	 83.42   	-178.03		 19.51   	-325.53		
-24.72   	-132.75   	 82.71   	-178.03		 18.21   	-320.45		
-22.58   	-126.65   	 81.99   	-167.85		 16.93   	-330.62		
-20.75   	-121.46   	 81.32   	-162.77		 15.61   	-371.31		
-19.23   	-117.80   	 80.67   	-157.68		 14.12   	-371.31		
-18.62   	-115.36   	 80.04   	-147.51		 12.63   	-361.14		
-18.92   	-113.83   	 79.45   	-147.51		 11.19   	-350.97		
-19.53   	-112.30   	 78.86   	-152.59		  9.79   	-356.05		
-19.53   	-109.56   	 78.25   	-167.85		  8.36   	-340.79		
-18.62   	-105.29   	 77.58   	-167.85		  7.00   	-325.53		
-16.78   	-100.40   	 76.91   	-167.85		  5.70   	-300.10		
-15.56   	-96.13   	 76.24   	-162.77		  4.50   	-284.84		
-14.95   	-93.69   	 75.58   	-167.85		  3.36   	-259.41		
-14.95   	-93.08   	 74.91   	-162.77		  2.32   	-233.98		
-14.95   	-93.38   	 74.26   	-152.59		  1.38   	-208.54		
-14.34   	-93.08   	 73.65   	-142.42		  0.55   	-183.11		
