SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
-60.42   	-109.56   	 60.81   	-101.73		 26.92   	 -71.21		
-61.95   	-112.61   	 60.41   	-127.16		 26.63   	 -76.30		
-62.87   	-115.05   	 59.90   	-142.42		 26.33   	 -96.64		
-62.56   	-116.58   	 59.33   	-137.33		 25.94   	-122.07		
-61.65   	-117.19   	 58.78   	-142.42		 25.45   	-147.51		
-61.04   	-117.19   	 58.21   	-137.33		 24.86   	-188.20		
-61.65   	-116.88   	 57.66   	-111.90		 24.11   	-218.72		
-62.87   	-116.58   	 57.21   	 -81.38		 23.23   	-254.32		
-64.09   	-116.27   	 56.89   	 -91.56		 22.22   	-274.67		
-65.00   	-115.66   	 56.52   	-142.42		 21.12   	-300.10		
-65.00   	-114.44   	 55.95   	-178.03		 19.92   	-300.10		
-64.39   	-113.22   	 55.24   	-203.46		 18.72   	-284.84		
-63.48   	-111.39   	 54.43   	-239.06		 17.58   	-269.58		
-62.26   	-109.56   	 53.47   	-279.75		 16.50   	-254.32		
-61.04   	-107.73   	 52.35   	-289.93		 15.48   	-233.98		
-59.81   	-105.90   	 51.19   	-279.75		 14.55   	-213.63		
-58.59   	-104.06   	 50.07   	-254.32		 13.69   	-198.37		
-57.37   	-101.93   	 49.05   	-213.63		 12.90   	-193.29		
-55.54   	-99.79   	 48.20   	-152.59		 12.13   	-193.29		
-54.02   	-97.35   	 47.59   	 -96.64		 11.35   	-193.29		
-53.10   	-95.21   	 47.20   	 -50.86		 10.58   	-193.29		
-53.10   	-93.69   	 47.00   	 -10.17		  9.81   	-172.94		
-53.41   	-91.25   	 46.96   	  10.17		  9.11   	-162.77		
-51.27   	-85.14   	 47.00   	  -5.09		  8.46   	-142.42		
-44.86   	-71.72   	 46.98   	 -30.52		  7.89   	-111.90		
-32.96   	-49.44   	 46.86   	 -76.30		  7.45   	 -96.64		
-16.17   	-20.45   	 46.55   	 -96.64		  7.06   	 -66.12		
  3.05   	  9.16   	 46.16   	-106.82		  6.80   	 -55.95		
 21.67   	 34.48   	 45.74   	-127.16		  6.57   	 -40.69		
 37.84   	 54.02   	 45.23   	-106.82		  6.41   	 -30.52		
 48.83   	 67.75   	 44.80   	 -81.38		  6.29   	 -30.52		
 52.19   	 74.46   	 44.48   	 -55.95		  6.16   	 -10.17		
 48.22   	 70.19   	 44.25   	 -35.61		  6.12   	 -10.17		
 37.84   	 50.05   	 44.11   	 -35.61		  6.08(D)	   5.09		
 23.80   	 14.65   	 43.97   	 -20.35		  6.10   	   5.09		
  8.24   	-28.08   	 43.89   	 -15.26		  6.12   	   5.09		
 -8.54   	-66.53   	 43.82   	 -20.35		  6.14   	   0.00		
-27.16   	-92.47   	 43.74   	 -30.52		  6.14   	   0.00		
-46.08   	-104.68   	 43.62   	 -66.12		  6.14   	  -5.09		
-62.26   	-107.73   	 43.36   	 -66.12		  6.12   	  15.26		
-71.11   	-107.42   	 43.09   	 -50.86		  6.19   	  30.52		
-72.33   	-106.81   	 42.89   	 -66.12		  6.31   	  45.78		
-68.97   	-107.12   	 42.62   	 -66.12		  6.49   	  71.21		
-66.53   	-108.64   	 42.36   	 -71.21		  6.78   	 101.73		
-68.05   	-110.78   	 42.08   	 -76.30		  7.18   	 111.90		
-72.33   	-112.61   	 41.77   	 -61.04		  7.63   	 101.73		
-76.90   	-113.53   	 41.53   	 -61.04		  8.04   	  40.69		
-79.35   	-113.53   	 41.28   	 -55.95		  8.20   	 -35.61		
-80.87   	-117.19   	 41.06   	 -55.95		  8.06   	-111.90		
-83.01   	-135.50   	 40.83   	 -50.86		  7.61   	-137.33		
-79.04   	-176.09   	 40.63   	 -50.86		  7.06   	-111.90		
-46.39   	-209.66   	 40.43   	 -61.04		  6.61   	 -55.95		
 48.22   	-159.61   	 40.18   	 -50.86		  6.39   	  20.35		
219.42   	 49.74   	 39.98   	 -50.86		  6.47   	  86.47		
414.12   	400.70   	 39.78   	 -50.86		  6.82   	 127.16		
519.10   	737.00   	 39.57   	 -91.56		  7.32   	 116.99		
159.61   	555.42   	 39.21   	 -45.78		  7.79   	  76.30		
-205.99   	  0.31   	 39.02   	 -40.69		  8.10   	  25.43		
-491.03   	-554.20   	 38.86   	 -40.69		  8.20   	   0.00		
-588.07   	-836.18(R)	 38.70   	 -35.61		  8.20   	  -5.09		
-507.81   	-763.24   	 38.56   	 -45.78		  8.18(E)	   0.00		
-343.63   	-466.61   	 38.37   	 -30.52		  8.18   	  30.52		
-188.90   	-161.13   	 38.25   	 -35.61		  8.30   	  81.38		
-86.98   	 10.99   	 38.11   	 -40.69		  8.63   	 137.33		
-36.93   	 37.84   	 37.94   	 -61.04		  9.18   	 167.85		
-20.14   	 -7.02   	 37.70   	 -61.04		  9.85   	 162.77		
-22.28   	-47.61   	 37.46   	 -50.86		 10.50   	 137.33		
-31.43   	-52.19   	 37.25   	 -45.78		 11.05   	  81.38		
-36.01   	-29.91   	 37.07   	 -35.61		 11.37   	   0.00		
-30.52   	 -3.36   	 36.93   	 -20.35		 11.37   	 -35.61		
-19.23   	 11.29   	 36.85   	  -5.09		 11.23   	  15.26		
-10.99   	 10.38   	 36.83   	   0.00		 11.29   	  76.30		
 -9.77   	  2.75   	 36.83   	  -5.09		 11.60   	 157.68		
-10.68   	 -0.31   	 36.81   	 -45.78		 12.23   	 269.58		
 -8.85   	  5.19   	 36.62   	-101.73		 13.31   	 340.79		
 -3.05   	 14.95   	 36.22   	 -96.64		 14.67   	 361.14		
  3.36   	 23.19   	 35.83   	 -71.21		 16.11   	 345.88		
  8.85   	 28.08   	 35.54   	 -55.95		 17.50   	 295.01		
 13.43   	 32.04   	 35.32   	 -25.43		 18.68   	 233.98		
 17.70   	 36.62   	 35.22   	 -10.17		 19.61   	 213.63		
 21.67   	 41.81   	 35.18(D)	  40.69		 20.47   	 249.24		
 29.30   	 51.27   	 35.34   	  30.52		 21.46   	 289.93		
 33.57   	 56.46   	 35.46   	  35.61		 22.62   	 315.36		
 37.54   	 62.26   	 35.61   	  76.30		 23.89   	 305.19		
 41.81   	 68.36   	 35.91   	 157.68		 25.11   	 274.67		
 46.08   	 74.46   	 36.54   	 259.41		 26.21   	 239.06		
 50.96   	 79.65   	 37.58   	 412.00		 27.16   	 183.11		
 55.24   	 84.84   	 39.23   	 559.51		 27.89   	 132.25		
 59.51   	 90.94   	 41.46   	 676.50		 28.42   	 106.82		
 63.48   	 97.96   	 44.17   	 732.45		 28.85   	  81.38		
 66.83   	105.29   	 47.10   	 732.45		 29.18   	  81.38		
 69.89   	111.69   	 50.03   	 701.93		 29.50   	  86.47		
 73.24   	117.19   	 52.84   	 630.72		 29.85   	  91.56		
 76.90   	122.07   	 55.36   	 534.08		 30.21   	  86.47		
 80.87   	126.95   	 57.50   	 427.26		 30.56   	  81.38		
 84.53   	131.84   	 59.21   	 315.36		 30.88   	  81.38		
 86.36   	135.50   	 60.47   	 213.63		 31.21   	  66.12		
 86.67   	137.33   	 61.32   	 167.85		 31.47   	  55.95		
 86.36   	138.24   	 61.99   	 132.25		 31.70   	  40.69		
 87.28   	139.47   	 62.52   	 122.07		 31.86   	  25.43		
 90.33   	142.21   	 63.01   	 122.07		 31.96   	  15.26		
 95.21   	145.87   	 63.50   	 127.16		 32.02   	  10.17		
 99.79   	149.54   	 64.01   	 132.25		 32.06   	  10.17		
102.84   	151.98   	 64.54   	 132.25		 32.11   	   0.00		
104.37   	152.28   	 65.07   	 116.99		 32.11   	   5.09		
105.90   	151.37   	 65.53   	 172.94		 32.13(S)	  -5.09		
114.14   	150.76   	 66.23   	  30.52		 32.11   	  -5.09		
120.24   	152.59   	 66.35   	  15.26		 32.09   	   0.00		
125.43   	155.33   	 66.41   	   0.00		 32.09   	 -15.26		
127.87   	157.47   	 66.41   	   5.09		 32.02   	 -25.43		
126.34   	157.47   	 66.43(S)	  -5.09		 31.92   	 -35.61		
120.85   	153.50   	 66.41   	 -50.86		 31.78   	 -30.52		
111.39   	144.35   	 66.21   	 -66.12		 31.66   	 -30.52		
 97.96   	128.78   	 65.94   	 -76.30		 31.54   	 -35.61		
 80.26   	106.81   	 65.64   	 -86.47		 31.39   	 -30.52		
 58.59   	 78.43   	 65.29   	 -81.38		 31.27   	 -30.52		
 34.79   	 46.08   	 64.96   	 -50.86		 31.15   	 -35.61		
 11.90   	 12.51   	 64.76   	 -25.43		 31.01   	 -35.61		
 -7.93   	-18.31   	 64.66   	 -66.12		 30.86   	 -40.69		
-23.19   	-44.25   	 64.39   	-111.90		 30.70   	 -45.78		
-34.48   	-64.09   	 63.95   	 -76.30		 30.52   	 -50.86		
-42.42   	-78.43   	 63.64   	 -50.86		 30.32   	 -61.04		
-48.52   	-89.11   	 63.44   	 -61.04		 30.07   	 -55.95		
-53.41   	-97.35   	 63.19   	-127.16		 29.85   	 -66.12		
-57.07   	-104.06   	 62.69   	-152.59		 29.58   	 -61.04		
-59.81   	-109.56   	 62.08   	-152.59		 29.34   	 -61.04		
-61.65   	-113.22   	 61.46   	-172.94		 29.09   	 -76.30		
-63.17   	-115.66   	 60.77   	-157.68		 28.79   	 -86.47		
-64.70   	-116.58   	 60.14   	-116.99		 28.44   	-122.07		
-66.53   	-117.19   	 59.67   	 -76.30		 27.96   	-142.42		
-67.75   	-117.19   	 59.37   	 -45.78		 27.39   	-178.03		
-68.36   	-116.58   	 59.19   	 -45.78		 26.67   	-218.72		
-67.75   	-115.36   	 59.00   	 -55.95		 25.80   	-244.15		
-66.22   	-113.22   	 58.78   	-122.07		 24.82   	-259.41		
-63.78   	-111.08   	 58.29   	-162.77		 23.78   	-279.75		
-61.34   	-109.86   	 57.64   	-178.03		 22.67   	-279.75		
-59.51   	-109.56   	 56.93   	-218.72		 21.55   	-269.58		
-57.98   	-109.86   	 56.05   	-249.24		 20.47   	-249.24		
-57.37   	-110.17   	 55.06   	-274.67		 19.47   	-249.24		
-57.37   	-109.25   	 53.96   	-284.84		 18.47   	-239.06		
-57.37   	-107.73   	 52.82   	-274.67		 17.52   	-223.80		
-57.68   	-104.68   	 51.72   	-259.41		 16.62   	-208.54		
-57.68   	-101.32   	 50.68   	-218.72		 15.79   	-203.46		
-57.98   	-98.57   	 49.81   	-178.03		 14.97   	-188.20		
-59.20   	-96.74   	 49.09   	-127.16		 14.22   	-193.29		
