SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
-69.58   	-130.31   	  3.23   	  30.52		 78.64   	 -91.56		
-68.05   	-130.31   	  3.36   	  30.52		 78.27   	 -86.47		
-70.50   	-130.31   	  3.48   	  35.61		 77.92   	 -81.38		
-75.38   	-130.31   	  3.62   	  30.52		 77.60   	 -76.30		
-80.57   	-131.23   	  3.74   	  25.43		 77.29   	 -71.21		
-83.62   	-134.89   	  3.85   	  10.17		 77.01   	 -66.12		
-85.14   	-140.99   	  3.89   	   5.09		 76.74   	 -61.04		
-87.28   	-143.13   	  3.91   	   0.00		 76.50   	 -55.95		
-84.84   	-129.39   	  3.91   	  -5.09		 76.28   	 -50.86		
-58.90   	-87.59   	  3.89(E)	  10.17		 76.07   	 -50.86		
 22.89   	 -3.97   	  3.93   	  30.52		 75.87   	 -45.78		
188.29   	131.23   	  4.05   	  50.86		 75.69   	 -40.69		
426.03   	312.50   	  4.25   	  81.38		 75.52   	 -40.69		
650.02   	515.75   	  4.58   	 116.99		 75.36   	 -40.69		
724.18   	700.07   	  5.05   	 157.68		 75.20   	 -40.69		
542.91   	823.36(R)	  5.68   	 223.80		 75.04   	 -40.69		
-401.31   	792.54   	  6.57   	 218.72		 74.87   	 -45.78		
-802.00   	635.68   	  7.45   	 193.29		 74.69   	 -40.69		
-944.52   	396.73   	  8.22   	 162.77		 74.53   	 -40.69		
-835.57   	111.08   	  8.87   	 111.90		 74.36   	 -35.61		
-597.84   	-145.26   	  9.32   	  66.12		 74.22   	 -40.69		
-367.74   	-288.39   	  9.58   	  15.26		 74.06   	 -40.69		
-214.23   	-277.10   	  9.64   	 -35.61		 73.90   	 -35.61		
-131.23   	-153.81   	  9.50   	 -76.30		 73.75   	 -40.69		
-84.84   	-22.89   	  9.20   	-116.99		 73.59   	 -35.61		
-51.57   	 24.72   	  8.73   	-127.16		 73.45   	 -40.69		
-26.86   	-23.80   	  8.22   	 -45.78		 73.29   	 -35.61		
-13.43   	-109.56   	  8.04   	  86.47		 73.14   	 -35.61		
-10.38   	-164.18   	  8.38   	 183.11		 73.00   	 -30.52		
-10.99   	-164.49   	  9.11   	 264.50		 72.88   	 -35.61		
-10.99   	-133.67   	 10.17   	 345.88		 72.74   	 -30.52		
 -9.77   	-108.64   	 11.56   	 462.87		 72.61   	 -30.52		
 -7.02   	-105.59   	 13.41   	 620.55		 72.49   	 -30.52		
 -2.44   	-115.66   	 15.89   	 742.62		 72.37   	 -25.43		
  3.36   	-124.51   	 18.86   	 803.66		 72.27   	 -25.43		
  7.63   	-125.12   	 22.08   	 854.52		 72.17   	 -25.43		
 10.38   	-119.63   	 25.49   	 920.65		 72.06   	 -25.43		
 11.29   	-113.53   	 29.18   	 976.60		 71.96   	 -25.43		
 11.60   	-109.25   	 33.08   	 991.86		 71.86   	 -20.35		
 11.60   	-106.51   	 37.05   	1002.03		 71.78   	 -25.43		
 12.51   	-104.68   	 41.06   	1073.24		 71.68   	 -25.43		
 17.40   	-101.32   	 45.35   	 981.68		 71.58   	 -20.35		
 20.14   	-100.40   	 49.28   	 879.96		 71.50   	 -25.43		
 21.36   	-100.40   	 52.80   	 762.97		 71.39   	 -20.35		
 21.67   	-99.49   	 55.85   	 645.98		 71.31   	 -25.43		
 23.80   	-96.44   	 58.43   	 528.99		 71.21   	 -30.52		
 29.30   	-92.16   	 60.55   	 417.09		 71.09   	 -30.52		
 38.45   	-88.20   	 62.22   	 310.27		 70.97   	 -25.43		
 48.22   	-86.67   	 63.46   	 233.98		 70.86   	 -30.52		
 56.15   	-86.67   	 64.39   	 162.77		 70.74   	 -35.61		
 62.26   	-85.75   	 65.05   	 116.99		 70.60   	 -35.61		
 68.05   	-82.70   	 65.51   	  86.47		 70.46   	 -40.69		
 74.46   	-78.43   	 65.86   	  71.21		 70.29   	 -40.69		
 80.87   	-74.46   	 66.14   	  76.30		 70.13   	 -45.78		
 86.06   	-72.02   	 66.45   	  86.47		 69.95   	 -50.86		
 90.33   	-69.58   	 66.80   	 101.73		 69.75   	 -55.95		
 95.52   	-65.00   	 67.20   	 116.99		 69.52   	 -55.95		
102.54   	-56.76   	 67.67   	 142.42		 69.30   	 -55.95		
110.78   	-45.78   	 68.24   	 157.68		 69.07   	 -50.86		
116.58   	-35.40   	 68.87   	 183.11		 68.87   	 -40.69		
118.71   	-26.86   	 69.60   	 188.20		 68.71   	 -15.26		
117.49   	-19.23   	 70.36   	 193.29		 68.65(D)	  25.43		
115.05   	-10.07   	 71.13   	 198.37		 68.75   	 106.82		
111.69   	  2.14   	 71.92   	 198.37		 69.18   	 233.98		
107.73   	 16.17   	 72.72   	 188.20		 70.11   	 386.57		
102.23   	 28.69   	 73.47   	 188.20		 71.66   	 528.99		
 95.83   	 38.15   	 74.22   	 193.29		 73.77   	 620.55		
 89.11   	 43.95   	 74.99   	 183.11		 76.26   	 645.98		
 83.01   	 48.83   	 75.73   	 172.94		 78.84   	 645.98		
 77.82   	 54.63   	 76.42   	 172.94		 81.42   	 630.72		
 73.24   	 62.26   	 77.11   	 172.94		 83.95   	 620.55		
 67.75   	 70.50   	 77.80   	 157.68		 86.43   	 605.29		
 60.12   	 77.51   	 78.43   	 157.68		 88.85   	 579.86		
 48.83   	 82.09   	 79.06   	 152.59		 91.17   	 528.99		
 34.79   	 83.92   	 79.67   	 147.51		 93.29   	 478.13		
 19.84   	 81.79   	 80.26   	 142.42		 95.20   	 437.43		
  5.80   	 75.38   	 80.83   	 137.33		 96.95   	 401.83		
 -6.10   	 63.78   	 81.38   	 132.25		 98.56   	 371.31		
-15.87   	 48.52   	 81.91   	 122.07		100.04   	 350.97		
-25.02   	 30.52   	 82.40   	 116.99		101.44   	 325.53		
-33.87   	 11.60   	 82.87   	 101.73		102.75   	 305.19		
-41.81   	 -7.02   	 83.28   	  86.47		103.97   	 284.84		
-48.83   	-25.33   	 83.62   	  76.30		105.11   	 269.58		
-52.80   	-41.50   	 83.93   	  55.95		106.18   	 249.24		
-53.10   	-54.63   	 84.15   	  40.69		107.18   	 223.80		
-50.35   	-64.09   	 84.31   	  15.26		108.08   	 203.46		
-45.78   	-71.72   	 84.37(S)	 -10.17		108.89   	 172.94		
-41.81   	-78.43   	 84.33   	 -35.61		109.58   	 137.33		
