SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
177.31   	254.52   	 29.14   	  66.12		 37.19   	 -10.17		
190.73   	272.52   	 29.40   	  66.12		 37.15   	  -5.09		
205.38   	291.75   	 29.66   	  50.86		 37.13   	  -5.09		
221.25   	313.11   	 29.87   	  40.69		 37.11   	   0.00		
237.43   	336.61   	 30.03   	  30.52		 37.11   	  10.17		
253.60   	361.33   	 30.15   	  25.43		 37.15   	  15.26		
269.47   	386.66   	 30.25   	  30.52		 37.21   	  40.69		
285.03   	410.77   	 30.38   	  35.61		 37.38   	  81.38		
300.29   	433.65   	 30.52   	  30.52		 37.70   	 127.16		
315.25   	455.02   	 30.64   	  35.61		 38.21   	 193.29		
329.90   	475.46   	 30.78   	  35.61		 38.98   	 239.06		
343.63   	495.00   	 30.93   	  35.61		 39.94   	 274.67		
356.75   	512.39   	 31.07   	  35.61		 41.04   	 274.67		
367.74   	525.82   	 31.21   	  30.52		 42.14   	 249.24		
375.06   	533.45   	 31.33   	  25.43		 43.13   	 218.72		
377.50   	533.14   	 31.43   	  20.35		 44.01   	 178.03		
374.15   	523.68   	 31.52   	  10.17		 44.72   	 142.42		
364.99   	504.15   	 31.56   	  10.17		 45.29   	 116.99		
350.95   	474.24   	 31.60   	   0.00		 45.76   	 111.90		
332.34   	434.57   	 31.60   	  -5.09		 46.21   	 111.90		
309.14   	386.35   	 31.58   	  -5.09		 46.65   	 127.16		
281.68   	332.34   	 31.56   	   0.00		 47.16   	 147.51		
249.94   	275.88   	 31.56   	  -5.09		 47.75   	 172.94		
215.15   	219.73   	 31.54   	   0.00		 48.44   	 208.54		
144.35   	115.36   	 31.54   	   0.00		 49.28   	 208.54		
110.78   	 67.14   	 31.54   	   0.00		 50.11   	 203.46		
 79.35   	 21.36   	 31.54   	   0.00		 50.93   	 198.37		
 50.35   	-21.36   	 31.54   	   0.00		 51.72   	 188.20		
