SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LPA     	  LPA'		  AO     	  AO'		  RV     	  RV'		
 26.86   	-120.85   	 88.30   	-198.37		 60.30   	 -40.69		  7.00   	-178.03		
 27.16   	-122.68   	 87.51   	-615.46		 60.14   	 -40.69		  6.29   	-183.11		
 27.47   	-125.12   	 85.05   	-1490.33		 59.98   	 -45.78		  5.55   	-330.62		
 28.38   	-127.56   	 79.08   	-391.66		 59.80   	 -40.69		  4.23   	-152.59		
 28.69   	-125.43   	 77.52   	-116.99		 59.63   	 -55.95		  3.62   	-162.77		
 28.99   	-121.15   	 77.05   	 -20.35		 59.41   	 -55.95		  2.97   	-152.59		
 29.91   	-114.14   	 76.97   	 -96.64		 59.19   	 -50.86		  2.36   	-142.42		
 32.96   	-103.45   	 76.58   	-218.72		 58.98   	 -50.86		  1.79   	-116.99		
 39.67   	-86.98   	 75.71   	-279.75		 58.78   	 -66.12		  1.32   	 -81.38		
 49.74   	-61.65   	 74.59   	-218.72		 58.51   	 -76.30		  1.00   	 -50.86		
 61.95   	-27.16   	 73.71   	 -76.30		 58.21   	 -71.21		  0.79   	 -30.52		
 72.94   	 13.12   	 73.41   	  61.04		 57.92   	 -71.21		  0.67   	 -10.17		
 78.74   	 51.88   	 73.65   	 122.07		 57.64   	 -81.38		  0.63(D)	  15.26		
 78.13   	 81.79   	 74.14   	 106.82		 57.31   	 -91.56		  0.69   	  35.61		
 73.24   	 98.57   	 74.57   	  45.78		 56.95   	 -91.56		  0.83   	  61.04		
 68.36   	103.76   	 74.75   	 -15.26		 56.58   	 -86.47		  1.08   	  81.38		
 67.75   	102.84   	 74.69   	  -5.09		 56.24   	 -66.12		  1.40   	  91.56		
 72.02   	101.01   	 74.67   	  55.95		 55.97   	 -71.21		  1.77   	  86.47		
 77.82   	 98.88   	 74.89   	 111.90		 55.69   	 -76.30		  2.12   	  91.56		
 79.65   	 92.16   	 75.34   	 111.90		 55.38   	 -71.21		  2.48   	  76.30		
 75.38   	 74.46   	 75.79   	  71.21		 55.10   	 -66.12		  2.79   	  71.21		
 66.83   	 42.42   	 76.07   	  10.17		 54.83   	 -50.86		  3.07   	  66.12		
 57.07   	 -2.14   	 76.11   	 -30.52		 54.63   	 -50.86		  3.34   	  55.95		
 48.22   	-50.96   	 75.99   	 -55.95		 54.43   	 -50.86		  3.56   	  45.78		
 38.15   	-93.99   	 75.77   	 -76.30		 54.22   	 -50.86		  3.74   	  30.52		
 25.02   	-123.90   	 75.46   	 -91.56		 54.02   	 -40.69		  3.87   	  20.35		
 11.29   	-140.69   	 75.10   	-106.82		 53.86   	 -35.61		  3.95   	  10.17		
  0.92   	-148.62   	 74.67   	-228.89		 53.71   	 -71.21		  3.99   	   0.00		
 -0.92   	-159.61   	 73.75   	-127.16		 53.43   	 -45.78		  3.99   	  -5.09		
  1.83   	-166.02   	 73.24   	-106.82		 53.24   	 -45.78		  3.97   	 -10.17		
  1.53   	-171.51   	 72.82   	 -45.78		 53.06   	 -40.69		  3.93   	 -10.17		
 -1.53   	-175.17   	 72.63   	 -35.61		 52.90   	 -40.69		  3.89   	  -5.09		
 -4.58   	-176.70   	 72.49   	-101.73		 52.74   	 -45.78		  3.87   	   0.00		
 -5.80   	-177.61   	 72.09   	-183.11		 52.55   	 -40.69		  3.87   	  10.17		
 -5.80   	-178.53   	 71.35   	-259.41		 52.39   	 -40.69		  3.91   	  15.26		
 -5.19   	-179.14   	 70.32   	-269.58		 52.23   	 -35.61		  3.97   	  15.26		
 -5.49   	-179.75   	 69.24   	-223.80		 52.09   	 -40.69		  4.03   	  15.26		
 -6.10   	-180.66   	 68.34   	-132.25		 51.92   	 -55.95		  4.09   	  20.35		
 -6.71   	-182.50   	 67.81   	 -61.04		 51.70   	 -50.86		  4.17   	  30.52		
 -7.02   	-184.94   	 67.57   	 -40.69		 51.50   	 -35.61		  4.29   	  30.52		
 -8.24   	-187.99   	 67.41   	 -45.78		 51.35   	 -45.78		  4.42   	  30.52		
 -9.77   	-190.73   	 67.22   	 -76.30		 51.17   	 -50.86		  4.54   	  30.52		
-11.60   	-191.04   	 66.92   	 -81.38		 50.97   	 -55.95		  4.66   	  25.43		
-12.21   	-188.60   	 66.59   	 -81.38		 50.74   	 -45.78		  4.76   	  35.61		
-10.99   	-184.63   	 66.27   	 -55.95		 50.56   	 -35.61		  4.90   	  45.78		
 -7.32   	-181.27   	 66.04   	 -15.26		 50.42   	 -25.43		  5.09   	  45.78		
 -0.61   	-181.58   	 65.98   	   0.00		 50.32   	 -25.43		  5.27   	  45.78		
  9.16   	-181.58   	 65.98   	  -5.09		 50.21   	 -40.69		  5.45   	  35.61		
 23.19   	-172.12   	 65.96   	  15.26		 50.05   	 -40.69		  5.60   	  35.61		
 44.56   	-140.69   	 66.02   	  30.52		 49.89   	 -45.78		  5.74   	  30.52		
 82.09   	-83.31   	 66.14   	  15.26		 49.70   	 -35.61		  5.86   	  30.52		
138.85   	 -7.63   	 66.21   	 -15.26		 49.56   	 -30.52		  5.98   	  20.35		
194.40   	 77.51   	 66.14   	 -55.95		 49.44   	 -25.43		  6.06   	  10.17		
197.45   	168.76   	 65.92   	 -71.21		 49.34   	 -30.52		  6.10   	  -5.09		
 86.98   	269.17   	 65.64   	 -35.61		 49.22   	 -25.43		  6.08   	 -15.26		
-165.41   	378.42   	 65.49   	 254.32		 49.11   	 -61.04		  6.02   	 -40.69		
-876.16   	555.42   	 66.51   	 269.58		 48.87   	 -35.61		  5.86   	 -35.61		
-1123.96   	532.84   	 67.59   	  86.47		 48.73   	 -35.61		  5.72   	 -25.43		
-1207.58   	374.76   	 67.93   	-208.54		 48.59   	 -30.52		  5.62   	 -20.35		
-1147.16   	 87.59   	 67.10   	-422.18		 48.46   	 -20.35		  5.53   	 -20.35		
-1007.08   	-253.91   	 65.41   	-473.04		 48.38   	 -15.26		  5.45   	 -20.35		
-845.95   	-526.12   	 63.52   	-361.14		 48.32   	 -10.17		  5.37   	 -20.35		
-687.56   	-622.25(R)	 62.08   	-183.11		 48.28   	 -30.52		  5.29   	 -15.26		
-524.90   	-524.60   	 61.34   	 -50.86		 48.16   	 -40.69		  5.23(E)	  -5.09		
-350.04   	-319.21   	 61.14   	 -35.61		 48.00   	 -45.78		  5.21   	  30.52		
-176.70   	-133.36   	 61.00   	-106.82		 47.81   	 -30.52		  5.33   	 106.82		
-34.48   	-49.44   	 60.57   	-188.20		 47.69   	 -20.35		  5.76   	 188.20		
 49.44   	-68.05   	 59.82   	-223.80		 47.61   	 -15.26		  6.51   	 274.67		
 72.63   	-130.62   	 58.92   	-178.03		 47.55   	 -20.35		  7.61   	 330.62		
 57.68   	-175.17   	 58.21   	-101.73		 47.47   	 -15.26		  8.93   	 361.14		
 37.54   	-178.22   	 57.80   	 -30.52		 47.41   	 -25.43		 10.38   	 391.66		
 34.18   	-154.72   	 57.68   	   5.09		 47.30   	 -30.52		 11.94   	 457.78		
 48.22   	-129.39   	 57.70   	   5.09		 47.18   	 -45.78		 13.77   	 544.25		
 67.14   	-117.19   	 57.72   	 -30.52		 47.00   	 -35.61		 15.95   	 656.15		
 78.43   	-117.80   	 57.60   	 -55.95		 46.86   	 -25.43		 18.58   	 742.62		
 79.96   	-123.90   	 57.38   	 -30.52		 46.75   	 -10.17		 21.55   	 813.83		
 77.21   	-127.56   	 57.25   	  15.26		 46.71   	 -15.26		 24.80   	 864.70		
 75.68   	-124.82   	 57.31   	  40.69		 46.65   	 -25.43		 28.26   	 905.39		
 76.29   	-117.19   	 57.48   	  30.52		 46.55   	 -35.61		 31.88   	 935.91		
 77.51   	-110.17   	 57.60   	   5.09		 46.41   	 -30.52		 35.63   	 956.25		
 77.51   	-107.12   	 57.62   	 -91.56		 46.29   	 -45.78		 39.45   	1917.59		
 75.38   	-107.73   	 57.25   	 -91.56		 46.10   	 -30.52		 47.12   	 925.73		
 75.38   	-104.98   	 56.89   	-101.73		 45.98   	 -25.43		 50.82   	 890.13		
 76.29   	-98.88   	 56.48   	 -86.47		 45.88   	 -15.26		 54.38   	 844.35		
 77.51   	-90.64   	 56.13   	 -66.12		 45.82   	  -5.09		 57.76   	 803.66		
 79.04   	-82.09   	 55.87   	 -40.69		 45.80   	  -5.09		 60.98   	 752.79		
 80.87   	-75.38   	 55.71   	 -25.43		 45.78   	 -10.17		 63.99   	 696.84		
 83.01   	-71.11   	 55.61   	 -55.95		 45.74   	 -25.43		 66.77   	 615.46		
 84.84   	-67.44   	 55.38   	-111.90		 45.64   	 -40.69		 69.24   	 508.65		
 85.75   	-63.48   	 54.93   	-127.16		 45.47   	 -35.61		 71.27   	 391.66		
 85.75   	-58.59   	 54.43   	 -61.04		 45.33   	 -15.26		 72.84   	 295.01		
 85.14   	-53.41   	 54.18(D)	  66.12		 45.27   	 -10.17		 74.02   	 198.37		
 84.84   	-48.52   	 54.45   	 208.54		 45.23   	 -15.26		 74.81   	 101.73		
 86.67   	-43.95   	 55.28   	 330.62		 45.17   	 -10.17		 75.22   	  10.17		
 89.72   	-38.45   	 56.60   	 412.00		 45.13   	 -10.17		 75.26   	 -66.12		
 93.69   	-31.74   	 58.25   	 457.78		 45.09   	 -25.43		 74.99   	-116.99		
 97.66   	-23.19   	 60.08   	 462.87		 44.98   	 -40.69		 74.53   	-147.51		
101.01   	-13.43   	 61.93   	 457.78		 44.82   	 -40.69		 73.94   	-137.33		
103.76   	 -3.05   	 63.76   	 488.30		 44.66   	 -15.26		 73.39   	-122.07		
106.20   	  7.93   	 65.72   	 549.34		 44.60(D)	  15.26		 72.90   	 -86.47		
108.03   	 18.31   	 67.91   	 625.63		 44.66   	  25.43		 72.55   	 -50.86		
108.64   	 27.47   	 70.42   	 666.32		 44.76   	  35.61		 72.35   	  -5.09		
108.64   	 35.10   	 73.08   	 635.81		 44.90   	  61.04		 72.33   	  55.95		
107.73   	 42.72   	 75.63   	 539.16		 45.15   	 111.90		 72.55   	 122.07		
106.81   	 51.88   	 77.78   	 447.61		 45.59   	 178.03		 73.04   	 188.20		
106.51   	 63.78   	 79.57   	 803.66		 46.31   	 651.07		 73.79   	 554.42		
107.42   	 90.33   	 82.79   	 396.74		 48.91   	 462.87		 76.01   	 361.14		
107.73   	101.01   	 84.37   	 361.14		 50.76   	 513.73		 77.46   	 406.92		
107.73   	108.64   	 85.82   	 274.67		 52.82   	 534.08		 79.08   	 427.26		
107.12   	115.66   	 86.92   	 178.03		 54.95   	 523.90		 80.79   	 432.35		
107.12   	125.12   	 87.63   	 106.82		 57.05   	 498.47		 82.52   	 457.78		
107.42   	138.55   	 88.06   	  86.47		 59.04   	 462.87		 84.35   	 473.04		
108.64   	155.33   	 88.40   	  86.47		 60.89   	 417.09		 86.25   	 452.69		
110.17   	173.65   	 88.75   	 101.73		 62.56   	 366.22		 88.06   	 412.00		
110.78   	191.04   	 89.16   	 106.82		 64.03   	 315.36		 89.70   	 366.22		
109.86   	206.60   	 89.58   	 106.82		 65.29   	 264.50		 91.17   	 310.27		
107.42   	219.73   	 90.01   	 101.73		 66.35   	 218.72		 92.41   	 249.24		
104.06   	231.63   	 90.42   	  96.64		 67.22   	 172.94		 93.41   	 203.46		
101.32   	242.92   	 90.80   	  96.64		 67.91   	 147.51		 94.22   	 132.25		
 99.49   	254.52   	 91.19   	 111.90		 68.50   	 142.42		 94.75   	  30.52		
 98.57   	266.72   	 91.64   	 137.33		 69.07   	 137.33		 94.87(S)	 -81.38		
 96.74   	278.63   	 92.19   	 162.77		 69.62   	 137.33		 94.55   	-172.94		
 93.69   	289.92   	 92.84   	 188.20		 70.17   	 152.59		 93.86   	-249.24		
 89.11   	299.38   	 93.59   	 198.37		 70.78   	 157.68		 92.86   	-315.36		
 83.31   	305.79   	 94.38   	 188.20		 71.41   	 152.59		 91.60   	-371.31		
 77.21   	307.31   	 95.14   	 178.03		 72.02   	 152.59		 90.11   	-391.66		
 71.11   	302.73   	 95.85   	 178.03		 72.63   	 162.77		 88.54   	-386.57		
 65.31   	291.44   	 96.56   	 208.54		 73.29   	 162.77		 87.00   	-366.22		
 61.04   	273.13   	 97.40   	 223.80		 73.94   	 172.94		 85.53   	-396.74		
 57.98   	249.33   	 98.29   	 218.72		 74.63   	 172.94		 83.95   	-473.04		
 56.15   	220.95   	 99.17   	 335.71		 75.32   	 350.97		 82.05   	-1164.80		
 52.49   	149.54   	100.51   	 116.99		 76.72   	 183.11		 77.40   	-615.46		
 50.96   	108.03   	100.98   	 111.90		 77.46   	 167.85		 74.93   	-615.46		
 49.44   	 65.61   	101.42   	 106.82		 78.13   	 142.42		 72.47   	-559.51		
 47.91   	 26.25   	101.85   	 106.82		 78.70   	 122.07		 70.23   	-437.43		
 45.78   	 -7.63   	102.28   	  91.56		 79.19   	  96.64		 68.48   	-300.10		
 43.64   	-35.10   	102.64   	  71.21		 79.57   	  76.30		 67.28   	-178.03		
 41.20   	-57.37   	102.93   	  25.43		 79.88   	  55.95		 66.57   	-106.82		
 38.45   	-75.68   	103.03(S)	 -20.35		 80.10   	  35.61		 66.14   	 -50.86		
 34.79   	-90.33   	102.95   	 -55.95		 80.24   	  10.17		 65.94   	  35.61		
 29.91   	-101.62   	102.73   	 -55.95		 80.28(S)	  -5.09		 66.08   	 132.25		
 24.72   	-109.56   	102.50   	 -45.78		 80.26   	 -40.69		 66.61   	 172.94		
 21.06   	-115.05   	102.32   	 -40.69		 80.10   	 -76.30		 67.30   	 142.42		
 20.14   	-119.32   	102.16   	 -40.69		 79.80   	-101.73		 67.87   	  91.56		
 21.67   	-123.29   	101.99   	 -81.38		 79.39   	-111.90		 68.24   	  30.52		
 23.80   	-127.26   	101.67   	-122.07		 78.94   	-122.07		 68.36   	 -25.43		
 25.33   	-131.53   	101.18   	-152.59		 78.45   	-127.16		 68.26   	 -71.21		
 25.63   	-134.89   	100.57   	-172.94		 77.94   	-132.25		 67.98   	-122.07		
 24.11   	-137.33   	 99.88   	-193.29		 77.42   	-152.59		 67.49   	-228.89		
 22.58   	-138.24   	 99.10   	-223.80		 76.81   	-162.77		 66.57   	-345.88		
 21.36   	-138.24   	 98.21   	-249.24		 76.15   	-157.68		 65.19   	-401.83		
 20.75   	-137.02   	 97.21   	-172.94		 75.52   	-152.59		 63.58   	-452.69		
 20.14   	-136.11   	 96.52   	   0.00		 74.91   	-157.68		 61.77   	-574.77		
 18.92   	-134.89   	 96.52   	 132.25		 74.28   	-147.51		 59.47   	-722.28		
 16.78   	-133.67   	 97.05   	  10.17		 73.69   	-132.25		 56.58   	-874.87		
 14.95   	-132.45   	 97.09   	-2502.53		 73.16   	-218.72		 53.08   	-2075.27		
 15.56   	-130.62   	 87.08   	-2731.42		 72.29   	-122.07		 44.78   	-1180.06		
 17.09   	-130.31   	 76.15   	-2232.95		 71.80   	-116.99		 40.06   	-1256.35		
 18.01   	-130.62   	 67.22   	-651.07		 71.33   	-116.99		 35.04   	-1220.75		
 17.09   	-132.14   	 64.62   	1017.29		 70.86   	-111.90		 30.15   	-1108.85		
 15.26   	-135.80   	 68.69   	2044.75		 70.42   	-106.82		 25.72   	-971.51		
 13.73   	-140.38   	 76.87   	1841.29		 69.99   	-106.82		 21.83   	-854.52		
 13.73   	-144.96   	 84.23   	 640.89		 69.56   	-111.90		 18.41   	-752.79		
 15.87   	-148.01   	 86.80   	-584.94		 69.11   	-116.99		 15.40   	-651.07		
 19.53   	-149.23   	 84.46   	-1057.98		 68.65   	-132.25		 12.80   	-518.82		
 23.50   	-149.23   	 80.22   	-574.77		 68.12   	-137.33		 10.72   	-371.31		
 27.47   	-148.62   	 77.92   	 381.48		 67.57   	-142.42		  9.24   	-249.24		
 30.82   	-147.40   	 79.45   	1093.59		 67.00   	-157.68		  8.24   	-162.77		
 32.65   	-145.57   	 83.82   	1113.93		 66.37   	-172.94		  7.59   	 -91.56		
 33.57   	-143.43   	 88.28   	 518.82		 65.68   	-167.85		  7.22   	 -40.69		
 33.57   	-141.30   	 90.36   	-244.15		 65.00   	-162.77		  7.06   	 -10.17		
 32.96   	-139.47   	 89.38   	-681.58		 64.35   	-152.59		  7.02   	  15.26		
 32.35   	-138.24   	 86.65   	-554.42		 63.74   	-142.42		  7.08   	   5.09		
 32.35   	-138.55   	 84.44   	 -45.78		 63.17   	-122.07		  7.10   	 -25.43		
 32.96   	-140.69   	 84.25   	 305.19		 62.69   	 -96.64		  7.00   	 -40.69		
 34.18   	-144.04   	 85.47   	 254.32		 62.30   	 -76.30		  6.84   	 -61.04		
 35.71   	-146.79   	 86.49   	-127.16		 61.99   	 -61.04		  6.59   	 -91.56		
 37.23   	-148.01   	 85.98   	-579.86		 61.75   	 -66.12		  6.23   	-116.99		
 37.84   	-148.32   	 83.66   	-808.75		 61.49   	 -61.04		  5.76   	-142.42		
 37.23   	-148.93   	 80.43   	-707.02		 61.24   	 -55.95		  5.19   	-142.42		
 36.01   	-151.37   	 77.60   	-559.51		 61.02   	 -81.38		  4.62   	-264.50		
 33.26   	-156.56   	 75.36   	 -35.61		 60.69   	 -35.61		  3.56   	-111.90		
 32.04   	-155.33   	 75.22   	 -91.56		 60.55   	 -40.69		  3.11   	-101.73		
 29.91   	-151.37   	 74.85   	-218.72		 60.39   	 -50.86		  2.71   	 -96.64		
 27.47   	-146.18   	 73.98   	-295.01		 60.18   	 -71.21		  2.32   	 -96.64		
 25.02   	-141.91   	 72.80   	-264.50		 59.90   	 -71.21		  1.93   	 -86.47		
 24.11   	-137.63   	 71.74   	-132.25		 59.61   	 -76.30		  1.59   	 -71.21		
 26.25   	-131.84   	 71.21   	  30.52		 59.31   	 -66.12		  1.30   	 -45.78		
 32.35   	-122.38   	 71.33   	 127.16		 59.04   	 -61.04		  1.12   	 -10.17		
 41.81   	-107.42   	 71.84   	 132.25		 58.80   	 -61.04		  1.08(D)	  15.26		
 52.49   	-85.14   	 72.37   	  76.30		 58.56   	 -76.30		  1.14   	  30.52		
 62.87   	-54.32   	 72.68   	  30.52		 58.25   	 -86.47		  1.26   	  30.52		
 71.41   	-15.87   	 72.80   	  30.52		 57.90   	 -91.56		  1.38   	  45.78		
 76.60   	 25.63   	 72.92   	  61.04		 57.54   	 -91.56		  1.57   	  55.95		
 77.21   	 61.34   	 73.16   	  96.64		 57.17   	 -81.38		  1.79   	  71.21		
 74.77   	 83.92   	 73.55   	 101.73		 56.85   	 -76.30		  2.08   	  76.30		
 72.33   	 90.94   	 73.96   	  66.12		 56.54   	 -66.12		  2.38   	  71.21		
 73.85   	 87.28   	 74.22   	   5.09		 56.28   	 -66.12		  2.67   	  61.04		
 80.26   	 80.57   	 74.24   	 -25.43		 56.01   	 -55.95		  2.91   	  61.04		
 87.89   	 74.16   	 74.14   	 -20.35		 55.79   	 -55.95		  3.15   	  66.12		
 91.25   	 65.92   	 74.06   	  10.17		 55.56   	 -55.95		  3.42   	  71.21		
 86.67   	 48.83   	 74.10   	  15.26		 55.34   	 -55.95		  3.70   	  66.12		
 75.99   	 19.84   	 74.16   	 -61.04		 55.12   	 -50.86		  3.97   	  50.86		
 64.39   	-19.23   	 73.92   	-167.85		 54.91   	 -50.86		  4.17   	  25.43		
 56.15   	-60.73   	 73.24   	-249.24		 54.71   	 -55.95		  4.27   	  15.26		
 48.83   	-95.83   	 72.25   	-503.56		 54.49   	 -71.21		  4.33   	   5.09		
 23.80   	-136.11   	 70.23   	-162.77		 54.20   	 -35.61		  4.35   	   5.09		
  7.02   	-147.40   	 69.58   	-101.73		 54.06   	 -45.78		  4.37   	   5.09		
 -5.49   	-157.47   	 69.18   	 -86.47		 53.88   	 -45.78		  4.39   	  -5.09		
-10.38   	-166.02   	 68.83   	-101.73		 53.69   	 -50.86		  4.37   	   0.00		
 -8.85   	-171.81   	 68.42   	-127.16		 53.49   	 -45.78		  4.37   	  15.26		
 -5.80   	-174.56   	 67.91   	-137.33		 53.31   	 -30.52		  4.44   	  15.26		
 -5.19   	-175.78   	 67.36   	-122.07		 53.18   	 -35.61		  4.50   	  25.43		
 -6.41   	-177.31   	 66.88   	 -81.38		 53.04   	 -45.78		  4.60   	  25.43		
 -7.32   	-179.44   	 66.55   	 -35.61		 52.86   	 -45.78		  4.70   	  20.35		
 -7.02   	-181.27   	 66.41   	 -10.17		 52.68   	 -61.04		  4.78   	  30.52		
 -5.80   	-181.58   	 66.37   	 -10.17		 52.43   	 -55.95		  4.90   	  40.69		
 -5.19   	-180.05   	 66.33   	 -20.35		 52.21   	 -40.69		  5.07   	  45.78		
 -5.49   	-177.61   	 66.25   	 -35.61		 52.04   	 -35.61		  5.25   	  45.78		
 -6.10   	-174.87   	 66.10   	 -40.69		 51.90   	 -45.78		  5.43   	  40.69		
 -6.71   	-173.65   	 65.94   	 -30.52		 51.72   	 -40.69		  5.60   	  35.61		
 -7.63   	-174.26   	 65.82   	 -30.52		 51.56   	 -35.61		  5.74   	  35.61		
 -9.46   	-176.09   	 65.70   	 -25.43		 51.41   	 -45.78		  5.88   	  45.78		
-12.21   	-177.92   	 65.59   	 -20.35		 51.23   	 -35.61		  6.06   	  50.86		
-14.34   	-179.14   	 65.51   	  50.86		 51.09   	 -40.69		  6.27   	  50.86		
-14.65   	-178.83   	 65.72   	 223.80		 50.93   	 -45.78		  6.47   	  25.43		
-13.12   	-177.00   	 66.61   	 371.31		 50.74   	 -45.78		  6.57   	  15.26		
 -9.77   	-174.87   	 68.10   	 254.32		 50.56   	 -35.61		  6.63   	  10.17		
 -3.97   	-173.65   	 69.11   	 -71.21		 50.42   	 -30.52		  6.67   	  20.35		
  5.80   	-171.20   	 68.83   	-386.57		 50.29   	 -20.35		  6.75   	  25.43		
 20.75   	-162.35   	 67.28   	-569.68		 50.21   	 -20.35		  6.86   	  20.35		
 42.72   	-137.33   	 65.00   	-508.65		 50.13   	 -30.52		  6.94   	   5.09		
 77.82   	-89.72   	 62.97   	-295.01		 50.01   	 -35.61		  6.96   	   0.00		
130.00   	-21.06   	 61.79   	-106.82		 49.87   	 -40.69		  6.96   	 -15.26		
185.85   	 62.56   	 61.36   	 -45.78		 49.70   	 -40.69		  6.90   	 -10.17		
201.11   	157.47   	 61.18   	 -86.47		 49.54   	 -30.52		  6.86   	 -15.26		
114.75   	263.37   	 60.83   	-172.94		 49.42   	 -20.35		  6.80   	 -15.26		
-112.00   	376.89   	 60.14   	-467.95		 49.34   	 -55.95		  6.73   	 -25.43		
-830.69   	569.46   	 58.27   	-142.42		 49.11   	 -20.35		  6.63   	 -25.43		
-1115.72   	573.43   	 57.70   	 -30.52		 49.03   	 -25.43		  6.53   	 -45.78		
-1239.32   	452.58   	 57.58   	  55.95		 48.93   	 -35.61		  6.35   	 -40.69		
-1205.14   	197.75   	 57.80   	  81.38		 48.79   	 -35.61		  6.19   	 -35.61		
-1073.30   	-138.55   	 58.13   	  50.86		 48.65   	 -45.78		  6.04   	 -30.52		
-910.95   	-443.73   	 58.33   	  15.26		 48.46   	 -35.61		  5.92   	 -15.26		
-750.73   	-598.14(R)	 58.39   	  -5.09		 48.32   	 -25.43		  5.86(E)	   5.09		
-588.99   	-550.54   	 58.37   	   5.09		 48.22   	 -20.35		  5.88   	  35.61		
-413.82   	-360.11   	 58.39   	  20.35		 48.14   	 -20.35		  6.02   	  96.64		
-231.63   	-151.98   	 58.47   	  50.86		 48.06   	 -20.35		  6.41   	 152.59		
-73.24   	-31.43   	 58.68   	  66.12		 47.98   	 -20.35		  7.02   	 203.46		
 30.21   	-25.02   	 58.94   	  40.69		 47.89   	 -25.43		  7.83   	 244.15		
 68.36   	-85.45   	 59.10   	 -10.17		 47.79   	 -35.61		  8.81   	 274.67		
 59.81   	-143.13   	 59.06   	 -55.95		 47.65   	 -40.69		  9.91   	 320.45		
 38.76   	-158.39   	 58.84   	 -96.64		 47.49   	 -35.61		 11.19   	 376.40		
 32.04   	-137.02   	 58.45   	-132.25		 47.34   	 -25.43		 12.70   	 452.69		
 43.95   	-107.42   	 57.92   	-162.77		 47.24   	 -15.26		 14.51   	 544.25		
 62.56   	-90.94   	 57.27   	-152.59		 47.18   	  -5.09		 16.68   	 640.89		
 73.55   	-90.64   	 56.66   	-111.90		 47.16   	 -10.17		 19.25   	 722.28		
 73.24   	-97.35   	 56.22   	 -71.21		 47.12   	 -30.52		 22.14   	 793.49		
 67.44   	-101.62   	 55.93   	 -81.38		 47.00   	 -40.69		 25.31   	 859.61		
 64.39   	-99.49   	 55.61   	-116.99		 46.84   	 -45.78		 28.75   	 925.73		
 66.22   	-93.99   	 55.14   	-147.51		 46.65   	 -25.43		 32.45   	 961.34		
 70.80   	-90.64   	 54.55   	-152.59		 46.55   	 -20.35		 36.30   	 971.51		
 74.46   	-89.72   	 53.94   	-233.98		 46.47   	 -40.69		 40.18   	1958.28		
 76.90   	-79.04   	 53.00   	 -81.38		 46.31   	 -10.17		 48.02   	 961.34		
 76.90   	-66.83   	 52.68   	 -66.12		 46.27   	  -5.09		 51.86   	 935.91		
 77.21   	-54.93   	 52.41   	 -76.30		 46.25   	 -10.17		 55.61   	 879.96		
 78.43   	-46.39   	 52.11   	 -76.30		 46.21   	 -25.43		 59.12   	 818.92		
 79.65   	-41.50   	 51.80   	 -81.38		 46.10   	 -35.61		 62.40   	 747.71		
 81.48   	-38.76   	 51.47   	 -71.21		 45.96   	 -25.43		 65.39   	 651.07		
 83.01   	-36.32   	 51.19   	 -45.78		 45.86   	 -20.35		 68.00   	 539.16		
 84.23   	-34.48   	 51.01(D)	  20.35		 45.78   	 -20.35		 70.15   	 417.09		
 84.84   	-33.26   	 51.09   	 101.73		 45.70   	 -15.26		 71.82   	 289.93		
 84.53   	-32.35   	 51.50   	 188.20		 45.64   	 -20.35		 72.98   	 178.03		
 84.23   	-30.82   	 52.25   	 295.01		 45.55   	 -20.35		 73.69   	  76.30		
 83.31   	-28.08   	 53.43   	 401.83		 45.47   	 -20.35		 74.00   	 -15.26		
 82.70   	-23.80   	 55.04   	 467.95		 45.39   	 -20.35		 73.94   	 -81.38		
 82.70   	-18.62   	 56.91   	 503.56		 45.31   	 -20.35		 73.61   	-137.33		
 84.23   	-12.51   	 58.92   	 493.39		 45.23   	 -15.26		 73.06   	-162.77		
 86.98   	 -3.97   	 60.89   	 452.69		 45.17   	 -20.35		 72.41   	-152.59		
 90.03   	  7.63   	 62.71   	 447.61		 45.09   	 -20.35		 71.80   	-127.16		
 92.77   	 21.36   	 64.50   	 539.16		 45.00   	 -20.35		 71.29   	 -96.64		
 94.30   	 34.79   	 66.65   	 712.10		 44.92   	 -15.26		 70.91   	 -55.95		
 95.21   	 46.39   	 69.50   	 854.52		 44.86   	  -5.09		 70.68   	  10.17		
 97.05   	 54.93   	 72.92   	 844.35		 44.84(D)	  10.17		 70.72   	  81.38		
 99.18   	 62.26   	 76.30   	 656.15		 44.88   	  30.52		 71.05   	 152.59		
101.93   	 69.58   	 78.92   	 386.57		 45.00   	  76.30		 71.66   	 223.80		
104.68   	 77.51   	 80.47   	 193.29		 45.31   	 147.51		 72.55   	 274.67		
106.51   	 86.06   	 81.24   	 432.35		 45.90   	 518.82		 73.65   	 712.10		
106.51   	104.37   	 82.97   	 371.31		 47.98   	 381.48		 76.50   	 422.18		
105.29   	114.44   	 84.46   	 386.57		 49.50   	 447.61		 78.19   	 447.61		
104.06   	125.12   	 86.00   	 279.75		 51.29   	 478.13		 79.98   	 462.87		
103.76   	136.11   	 87.12   	 101.73		 53.20   	 498.47		 81.83   	 467.95		
104.37   	147.40   	 87.53   	 -40.69		 55.20   	 488.30		 83.70   	 462.87		
