SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
  5.80   	-74.77   	 61.85   	 -45.78		 93.47   	-203.46		
  2.75   	-79.65   	 61.67   	 -35.61		 92.65   	-244.15		
 -1.53   	-84.84   	 61.53   	 -30.52		 91.68   	-289.93		
 -5.19   	-89.11   	 61.40   	 -35.61		 90.52   	-345.88		
 -6.71   	-92.47   	 61.26   	 -30.52		 89.13   	-412.00		
 -5.80   	-93.99   	 61.14   	 -35.61		 87.49   	-478.13		
 -3.66   	-94.60   	 61.00   	 -50.86		 85.57   	-549.34		
 -0.61   	-93.99   	 60.79   	 -55.95		 83.38   	-610.37		
  3.05   	-93.69   	 60.57   	 -76.30		 80.94   	-666.32		
  6.41   	-93.38   	 60.26   	 -91.56		 78.27   	-727.36		
  8.85   	-93.38   	 59.90   	-111.90		 75.36   	-773.14		
 10.38   	-93.69   	 59.45   	-132.25		 72.27   	-808.75		
 11.60   	-93.99   	 58.92   	-152.59		 69.03   	-844.35		
 13.73   	-94.30   	 58.31   	-172.94		 65.66   	-864.70		
 17.70   	-94.30   	 57.62   	-178.03		 62.20   	-879.96		
 22.28   	-93.69   	 56.91   	-183.11		 58.68   	-879.96		
 25.63   	-93.08   	 56.17   	-178.03		 55.16   	-874.87		
 26.86   	-92.77   	 55.46   	-178.03		 51.66   	-859.61		
 26.55   	-93.38   	 54.75   	-162.77		 48.22   	-834.18		
 25.94   	-94.91   	 54.10   	-147.51		 44.88   	-818.92		
 26.25   	-96.13   	 53.51   	-127.16		 41.61   	-783.31		
 27.16   	-96.44   	 53.00   	-101.73		 38.47   	-762.97		
 28.08   	-95.83   	 52.59   	 -76.30		 35.42   	-722.28		
 29.60   	-94.60   	 52.29   	 -55.95		 32.53   	-686.67		
 31.43   	-92.77   	 52.06   	 -15.26		 29.79   	-686.67		
 33.26   	-90.33   	 52.00   	   0.00		 27.04   	-640.89		
 33.26   	-89.72   	 52.00   	  20.35		 24.48   	-584.94		
 32.96   	-89.42   	 52.09   	  25.43		 22.14   	-539.16		
 33.26   	-88.50   	 52.19   	  40.69		 19.98   	-488.30		
 33.87   	-87.28   	 52.35   	  35.61		 18.03   	-442.52		
 34.18   	-85.14   	 52.49   	  40.69		 16.26   	-396.74		
 34.18   	-82.09   	 52.65   	  35.61		 14.67   	-350.97		
 34.18   	-78.74   	 52.80   	  25.43		 13.27   	-310.27		
 34.18   	-75.38   	 52.90   	  15.26		 12.02   	-269.58		
 33.26   	-72.94   	 52.96   	   5.09		 10.95   	-244.15		
 31.74   	-71.72   	 52.98   	 -10.17		  9.97   	-223.80		
 29.30   	-72.02   	 52.94   	 -20.35		  9.07   	-218.72		
 26.55   	-72.94   	 52.86   	 -35.61		  8.20   	-223.80		
 23.80   	-73.24   	 52.72   	 -50.86		  7.30   	-218.72		
 21.36   	-72.63   	 52.51   	 -61.04		  6.43   	-208.54		
 19.23   	-71.72   	 52.27   	 -71.21		  5.60   	-203.46		
 18.01   	-71.11   	 51.98   	 -76.30		  4.78   	-183.11		
 17.09   	-71.41   	 51.68   	 -86.47		  4.05   	-162.77		
 15.87   	-72.63   	 51.33   	 -86.47		  3.40   	-132.25		
 13.73   	-73.85   	 50.99   	 -86.47		  2.87   	-101.73		
 10.38   	-75.07   	 50.64   	 -86.47		  2.46   	 -76.30		
  7.32   	-76.29   	 50.29   	 -81.38		  2.16   	 -45.78		
  5.80   	-76.90   	 49.97   	 -71.21		  1.97   	 -25.43		
  5.80   	-76.60   	 49.68   	 -66.12		  1.87   	   5.09		
  6.71   	-75.68   	 49.42   	 -55.95		  1.89   	  40.69		
  7.93   	-72.94   	 49.20   	 -45.78		  2.05   	  55.95		
  8.54   	-71.72   	 49.01   	 -35.61		  2.28   	  66.12		
