SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
 40.90   	 300.10		 67.10   	 -40.69		
 42.10   	 249.24		 66.94   	 -45.78		
 43.09   	 213.63		 66.75   	 -61.04		
 43.95   	 183.11		 66.51   	 -55.95		
 44.68   	 172.94		 66.29   	 -55.95		
 45.37   	 152.59		 66.06   	 -81.38		
 45.98   	 142.42		 65.74   	 -91.56		
 46.55   	 142.42		 65.37   	 -66.12		
 47.12   	 132.25		 65.11   	 -61.04		
 47.65   	 127.16		 64.86   	 -61.04		
 48.16   	 106.82		 64.62   	 -61.04		
 48.59   	  86.47		 64.37   	 -50.86		
 48.93   	  76.30		 64.17   	 -45.78		
 49.24   	  76.30		 63.99   	 -25.43		
 49.54   	  71.21		 63.89(D)	  20.35		
 49.83   	  71.21		 63.97   	 106.82		
 50.11   	  76.30		 64.39   	 503.56		
 50.42   	  76.30		 66.41   	 727.36		
 50.72   	  71.21		 69.32   	 813.83		
 51.01   	  76.30		 72.57   	 691.76		
 51.31   	  96.64		 75.34   	 467.95		
 51.70   	  96.64		 77.21   	 315.36		
 52.09   	 106.82		 78.47   	 325.53		
 52.51   	 101.73		 79.78   	 422.18		
 52.92   	  91.56		 81.46   	 498.47		
 53.29   	  91.56		 83.46   	 493.39		
 53.65   	  86.47		 85.43   	 452.69		
 54.00   	  81.38		 87.24   	 417.09		
 54.32   	  76.30		 88.91   	 412.00		
 54.63   	  66.12		 90.56   	 447.61		
 54.89   	  45.78		 92.35   	 447.61		
 55.08   	  35.61		 94.14   	 417.09		
 55.22   	  35.61		 95.81   	 391.66		
 55.36   	  15.26		 97.37   	 366.22		
 55.42   	   5.09		 98.84   	 330.62		
 55.44(S)	  -5.09		100.16   	 320.45		
 55.42   	 -15.26		101.44   	 320.45		
 55.36   	 -30.52		102.73   	 295.01		
 55.24   	 -40.69		103.91   	 244.15		
 55.08   	 -45.78		104.88   	 223.80		
 54.89   	 -50.86		105.78   	 218.72		
 54.69   	 -66.12		106.65   	 152.59		
 54.43   	 -81.38		107.26   	 101.73		
 54.10   	 -71.21		107.67   	 106.82		
 53.81   	 -55.95		108.10   	  76.30		
 53.59   	 -15.26		108.40   	   5.09		
 53.53   	  45.78		108.42(S)	  -5.09		
 53.71   	  61.04		108.40   	   0.00		
 53.96   	  61.04		108.40   	 -40.69		
 54.20   	  45.78		108.24   	 -86.47		
 54.38   	   0.00		107.89   	-101.73		
 54.38   	 -61.04		107.49   	-116.99		
 54.14   	-147.51		107.02   	-127.16		
 53.55   	-213.63		106.51   	-137.33		
 52.70   	-269.58		105.96   	-142.42		
 51.62   	-350.97		105.39   	-162.77		
 50.21   	-447.61		104.74   	-188.20		
 48.42   	-473.04		103.99   	-188.20		
 46.53   	-503.56		103.23   	-172.94		
 44.52   	-559.51		102.54   	-167.85		
 42.28   	-579.86		101.87   	-172.94		
 39.96   	-595.11		101.18   	-178.03		
 37.58   	-605.29		100.47   	-183.11		
 35.16   	-605.29		 99.74   	-193.29		
 32.74   	-590.03		 98.96   	-193.29		
 30.38   	-564.60		 98.19   	-188.20		
 28.12   	-544.25		 97.44   	-198.37		
 25.94   	-523.90		 96.64   	-203.46		
 23.85   	-503.56		 95.83   	-198.37		
 21.83   	-478.13		 95.04   	-193.29		
 19.92   	-457.78		 94.26   	-203.46		
 18.09   	-432.35		 93.45   	-208.54		
 16.36   	-396.74		 92.61   	-218.72		
 14.77   	-381.48		 91.74   	-228.89		
 13.25   	-345.88		 90.82   	-233.98		
 11.86   	-325.53		 89.89   	-233.98		
 10.56   	-295.01		 88.95   	-228.89		
  9.38   	-274.67		 88.04   	-223.80		
  8.28   	-249.24		 87.14   	-228.89		
  7.28   	-233.98		 86.23   	-218.72		
  6.35   	-203.46		 85.35   	-203.46		
  5.53   	-183.11		 84.54   	-188.20		
  4.80   	-162.77		 83.78   	-183.11		
  4.15   	-137.33		 83.05   	-157.68		
  3.60   	-111.90		 82.42   	-142.42		
  3.15   	 -91.56		 81.85   	-137.33		
  2.79   	 -71.21		 81.30   	-147.51		
  2.50   	 -55.95		 80.71   	-142.42		
  2.28   	 -40.69		 80.14   	-122.07		
  2.12   	 -25.43		 79.65   	-116.99		
  2.01   	 -15.26		 79.19   	-116.99		
  1.95   	 -10.17		 78.72   	 -96.64		
  1.91   	 -10.17		 78.33   	 -81.38		
  1.87   	  -5.09		 78.01   	 -91.56		
  1.85   	 -10.17		 77.64   	 -91.56		
  1.81   	  -5.09		 77.27   	 -61.04		
  1.79   	 -10.17		 77.03   	 -50.86		
  1.75   	 -10.17		 76.83   	 -55.95		
  1.71   	 -10.17		 76.60   	 -30.52		
  1.67   	 -30.52		 76.48   	 -40.69		
  1.55   	 -66.12		 76.32   	 -61.04		
  1.28   	 -96.64		 76.07   	 -45.78		
  0.90   	 -96.64		 75.89   	 -25.43		
  0.51   	 -96.64		 75.79   	 -35.61		
  0.12   	 -81.38		 75.65   	 -20.35		
 -0.20   	 -61.04		 75.56   	   5.09		
 -0.45   	 -30.52		 75.58   	 -20.35		
 -0.57   	 -15.26		 75.50   	 -45.78		
 -0.63(D)	   5.09		 75.32   	 -35.61		
 -0.61   	  20.35		 75.18   	 -25.43		
 -0.53   	  25.43		 75.08   	 -25.43		
 -0.43   	  45.78		 74.97   	 -10.17		
 -0.24   	  50.86		 74.93   	 -10.17		
 -0.04   	  61.04		 74.89   	 -20.35		
  0.20   	  66.12		 74.81   	 -35.61		
  0.47   	  66.12		 74.67   	 -20.35		
  0.73   	  66.12		 74.59   	 -20.35		
  1.00   	  50.86		 74.51   	 -35.61		
  1.20   	  40.69		 74.36   	 -25.43		
  1.36   	  40.69		 74.26   	 -30.52		
  1.53   	  45.78		 74.14   	 -45.78		
  1.71   	  40.69		 73.96   	 -40.69		
  1.87   	  50.86		 73.79   	 -40.69		
  2.08   	  45.78		 73.63   	 -55.95		
  2.26   	  35.61		 73.41   	 -55.95		
  2.40(E)	  40.69		 73.18   	 -40.69		
  2.56   	  30.52		 73.02   	 -40.69		
  2.69   	  25.43		 72.86   	 -50.86		
  2.79   	  15.26		 72.65   	 -55.95		
