SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-21.97   	-18.92   	 65.96   	 -96.64		 12.66   	-305.19		
-24.11   	-19.23   	 65.57   	-101.73		 11.43   	-269.58		
-26.25   	-19.23   	 65.17   	-101.73		 10.36   	-218.72		
-28.99   	-19.23   	 64.76   	-101.73		  9.48   	-183.11		
-32.04   	-19.23   	 64.35   	-101.73		  8.75   	-147.51		
-34.48   	-19.84   	 63.95   	 -96.64		  8.16   	-111.90		
-36.93   	-20.75   	 63.56   	-101.73		  7.71   	 -71.21		
-38.76   	-21.97   	 63.15   	 -91.56		  7.43   	 -45.78		
-40.89   	-22.58   	 62.79   	 -86.47		  7.24   	 -20.35		
-43.03   	-22.28   	 62.44   	 -81.38		  7.16   	   0.00		
-45.47   	-21.67   	 62.12   	 -81.38		  7.16   	  15.26		
-47.61   	-22.28   	 61.79   	 -76.30		  7.22   	  30.52		
-49.13   	-25.94   	 61.49   	 -76.30		  7.34   	  35.61		
-47.91   	-33.26   	 61.18   	 -71.21		  7.49   	  45.78		
-42.42   	-43.33   	 60.89   	 -71.21		  7.67   	  40.69		
-32.65   	-53.41   	 60.61   	 -76.30		  7.83   	  40.69		
-18.01   	-58.90   	 60.30   	 -71.21		  8.00   	  40.69		
 -1.22   	-57.07   	 60.02   	 -71.21		  8.16   	  35.61		
 15.56   	-46.69   	 59.74   	 -66.12		  8.30   	  35.61		
 31.13   	-27.47   	 59.47   	 -61.04		  8.44   	  25.43		
 46.69   	 -0.61   	 59.23   	 -66.12		  8.55   	  20.35		
 63.78   	 30.21   	 58.96   	 -61.04		  8.63   	  20.35		
 82.40   	 60.12   	 58.72   	 -61.04		  8.71   	  15.26		
 99.18   	 82.09   	 58.47   	 -55.95		  8.77   	  10.17		
107.42   	 90.33   	 58.25   	 -55.95		  8.81   	  10.17		
103.15   	 83.62   	 58.03   	 -55.95		  8.85   	   5.09		
 88.50   	 65.61   	 57.80   	 -55.95		  8.87   	   5.09		
 69.89   	 40.89   	 57.58   	 -50.86		  8.89   	   0.00		
 54.32   	 15.26   	 57.38   	 -55.95		  8.89   	   0.00		
 43.95   	 -6.10   	 57.15   	 -55.95		  8.89   	   0.00		
 35.71   	-18.62   	 56.93   	 -55.95		  8.89   	   0.00		
 24.11   	-21.67   	 56.70   	 -55.95		  8.89   	   5.09		
  7.02   	-18.92   	 56.48   	 -55.95		  8.91   	   0.00		
-13.43   	-16.48   	 56.26   	 -55.95		  8.91   	   5.09		
-33.26   	-20.14   	 56.03   	 -61.04		  8.93   	   5.09		
-51.27   	-30.82   	 55.79   	 -55.95		  8.95   	   5.09		
-68.05   	-44.86   	 55.56   	 -55.95		  8.97   	  10.17		
-84.84   	-57.68   	 55.34   	 -55.95		  9.01   	  10.17		
-99.79   	-65.92   	 55.12   	 -50.86		  9.05   	  15.26		
-109.25   	-69.58   	 54.91   	 -55.95		  9.11   	  15.26		
-111.39   	-70.19   	 54.69   	 -55.95		  9.18   	  15.26		
-108.64   	-70.19   	 54.47   	 -50.86		  9.24   	  20.35		
-105.59   	-71.11   	 54.26   	 -61.04		  9.32   	  20.35		
-105.29   	-72.63   	 54.02   	 -55.95		  9.40   	  25.43		
-108.03   	-75.07   	 53.79   	 -55.95		  9.50   	  20.35		
-112.00   	-77.51   	 53.57   	 -55.95		  9.58   	  25.43		
-115.05   	-80.26   	 53.35   	 -61.04		  9.68   	  25.43		
-116.58   	-82.09   	 53.10   	 -55.95		  9.79   	  25.43		
-116.58   	-83.62   	 52.88   	 -55.95		  9.89   	  25.43		
-115.97   	-83.92   	 52.65   	 -50.86		  9.99   	  25.43		
-115.66   	-83.92   	 52.45   	 -50.86		 10.09   	  30.52		
-115.66   	-83.92   	 52.25   	 -50.86		 10.21   	  25.43		
-115.97   	-83.92   	 52.04   	 -55.95		 10.32   	  30.52		
-116.27   	-84.84   	 51.82   	 -45.78		 10.44   	  30.52		
-116.58   	-85.75   	 51.64   	 -45.78		 10.56   	  25.43		
-116.88   	-86.98   	 51.45   	 -40.69		 10.66   	  35.61		
-116.58   	-87.89   	 51.29   	 -45.78		 10.80   	  30.52		
-115.97   	-88.20   	 51.11   	 -45.78		 10.93   	  30.52		
-115.97   	-86.98   	 50.93   	 -50.86		 11.05   	  35.61		
-118.71   	-83.01   	 50.72   	 -50.86		 11.19   	  30.52		
-126.34   	-74.77   	 50.52   	 -45.78		 11.31   	  30.52		
-140.69   	-61.65   	 50.34   	 -40.69		 11.43   	  30.52		
-158.39   	-46.08   	 50.17   	 -40.69		 11.56   	  30.52		
-170.90   	-30.82   	 50.01   	 -35.61		 11.68   	  30.52		
-164.49   	-15.87   	 49.87   	 -40.69		 11.80   	  20.35		
-129.09   	  0.00   	 49.70   	 -40.69		 11.88   	  20.35		
-72.33   	  4.58   	 49.54   	 -40.69		 11.96   	  10.17		
-37.84   	-39.67   	 49.38   	 -40.69		 12.00   	   5.09		
-100.71   	-178.22   	 49.22   	 -40.69		 12.02   	   0.00		
-319.82   	-427.55   	 49.05   	 -40.69		 12.02   	  -5.09		
-690.00   	-745.24   	 48.89   	 -40.69		 12.00   	 -15.26		
-1126.10   	-1041.57   	 48.73   	 -40.69		 11.94   	 -20.35		
-1499.33   	-1238.10   	 48.57   	 -40.69		 11.86   	 -20.35		
-1708.68   	-1322.02   	 48.40   	 -40.69		 11.78   	 -30.52		
-1731.57   	-1333.92(R)	 48.24   	 -30.52		 11.66(E)	 -20.35		
-1614.07   	-1319.58   	 48.12   	 -15.26		 11.58   	 -25.43		
-1421.20   	-1283.57   	 48.06   	 -15.26		 11.48   	 -20.35		
-1198.12   	-1195.07   	 48.00   	 -20.35		 11.39   	 -20.35		
-967.41   	-1033.94   	 47.91   	 -25.43		 11.31   	 -25.43		
-744.63   	-821.53   	 47.81   	 -25.43		 11.21   	 -15.26		
-540.16   	-599.06   	 47.71   	 -30.52		 11.15   	 -15.26		
-358.89   	-398.86   	 47.59   	 -35.61		 11.09   	   0.00		
-198.67   	-229.80   	 47.45   	 -30.52		 11.09   	   5.09		
-61.04   	-88.81   	 47.32   	 -35.61		 11.11   	  20.35		
 43.95   	 19.53   	 47.18   	 -35.61		 11.19   	  40.69		
113.53   	 98.57   	 47.04   	 -25.43		 11.35   	  55.95		
 97.66   	 86.06   	 46.94   	 -25.43		 11.58   	  76.30		
 84.23   	 70.50   	 46.84   	 -20.35		 11.88   	  91.56		
 89.42   	 68.05   	 46.75   	 -20.35		 12.25   	 111.90		
109.25   	 78.43   	 46.67   	 -15.26		 12.70   	 132.25		
130.31   	 92.47   	 46.61   	 -20.35		 13.22   	 152.59		
142.21   	101.62   	 46.53   	 -15.26		 13.84   	 178.03		
144.96   	104.37   	 46.47   	 -20.35		 14.55   	 208.54		
144.65   	104.98   	 46.39   	 -15.26		 15.38   	 233.98		
147.40   	107.12   	 46.33   	 -15.26		 16.32   	 264.50		
154.42   	111.08   	 46.27   	 -20.35		 17.38   	 295.01		
162.66   	116.58   	 46.18   	 -25.43		 18.56   	 325.53		
170.59   	121.77   	 46.08   	 -20.35		 19.86   	 356.05		
177.00   	126.04   	 46.00   	 -20.35		 21.28   	 381.48		
182.80   	129.70   	 45.92   	 -20.35		 22.81   	 412.00		
189.21   	133.36   	 45.84   	 -15.26		 24.46   	 432.35		
195.92   	137.02   	 45.78   	 -15.26		 26.19   	 447.61		
202.94   	141.60   	 45.72   	 -10.17		 27.98   	 462.87		
209.66   	147.09   	 45.68   	 -15.26		 29.83   	 473.04		
215.76   	152.59   	 45.62   	 -20.35		 31.72   	 467.95		
221.25   	158.08   	 45.53   	 -15.26		 33.59   	 467.95		
226.75   	162.96   	 45.47   	 -10.17		 35.46   	 467.95		
232.85   	167.54   	 45.43   	 -10.17		 37.33   	 457.78		
239.56   	172.12   	 45.39   	 -10.17		 39.17   	 442.52		
245.67   	177.00   	 45.35   	 -15.26		 40.94   	 432.35		
250.85   	181.88   	 45.29   	 -15.26		 42.67   	 417.09		
255.43   	187.07   	 45.23   	 -10.17		 44.33   	 401.83		
259.70   	192.57   	 45.19   	 -10.17		 45.94   	 381.48		
264.28   	198.06   	 45.15   	 -10.17		 47.47   	 356.05		
269.47   	202.94   	 45.11   	 -10.17		 48.89   	 335.71		
275.27   	207.82   	 45.07   	 -15.26		 50.23   	 305.19		
280.76   	213.01   	 45.00   	   0.00		 51.45   	 279.75		
286.25   	218.20   	 45.00   	  -5.09		 52.57   	 264.50		
291.75   	224.30   	 44.98   	   5.09		 53.63   	 233.98		
297.55   	231.02   	 45.00   	  25.43		 54.57   	 208.54		
303.34   	237.73   	 45.11   	  40.69		 55.40   	 188.20		
