SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
 43.95   	-183.72   	  2.77   	  50.86		 51.27   	 -81.38		
 30.21   	-192.87   	  2.97   	  50.86		 50.95   	 -66.12		
 27.77   	-184.33   	  3.17   	  40.69		 50.68   	 -61.04		
 31.74   	-181.27   	  3.34   	  20.35		 50.44   	 -71.21		
 33.26   	-184.33   	  3.42   	   5.09		 50.15   	 -66.12		
 35.40   	-180.66   	  3.44   	 -15.26		 49.89   	 -66.12		
 33.87   	-179.14   	  3.38   	 -25.43		 49.62   	 -61.04		
 30.52   	-178.83   	  3.28   	 -25.43		 49.38   	 -55.95		
 28.69   	-177.31   	  3.17   	 -20.35		 49.16   	 -55.95		
 27.16   	-178.83   	  3.09   	 -15.26		 48.93   	 -61.04		
 25.94   	-191.96   	  3.03   	   5.09		 48.69   	 -55.95		
 43.03   	-230.41   	  3.05   	  15.26		 48.46   	 -50.86		
100.40   	-291.14   	  3.11   	  35.61		 48.26   	 -50.86		
174.26   	-343.63   	  3.26   	  45.78		 48.06   	 -50.86		
268.25   	-336.30   	  3.44   	  50.86		 47.85   	 -45.78		
358.58   	-236.21   	  3.64   	  50.86		 47.67   	 -55.95		
387.57   	 47.61   	  3.85   	  35.61		 47.45   	 -50.86		
327.76   	465.09   	  3.99   	  30.52		 47.24   	 -50.86		
117.49   	926.21   	  4.11   	  10.17		 47.04   	 -50.86		
-221.86   	1363.22   	  4.15   	   5.09		 46.84   	 -50.86		
-829.47   	1323.24   	  4.17   	   5.09		 46.63   	 -50.86		
-853.58   	822.14   	  4.19   	  10.17		 46.43   	 -50.86		
-681.15   	372.01   	  4.23   	  20.35		 46.23   	 -45.78		
-463.56   	-11.60   	  4.31   	  30.52		 46.04   	 -45.78		
-320.74   	-165.10   	  4.44   	  35.61		 45.86   	 -40.69		
-287.48   	-67.75   	  4.58   	  40.69		 45.70   	 -40.69		
-329.90   	-139.77   	  4.74   	  40.69		 45.53   	 -35.61		
-344.24   	-225.22   	  4.90   	  50.86		 45.39   	 -40.69		
-354.92   	-301.21   	  5.11   	  35.61		 45.23   	 -40.69		
-335.39   	-385.74   	  5.25   	  30.52		 45.07   	 -35.61		
