SAMPLE NUMBER:   25
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 10.99   	-122.07   	  3.83   	  81.38		 69.11   	  35.61		
 14.65   	-109.56   	  4.15   	  76.30		 69.26   	 -40.69		
 16.17   	-97.35   	  4.46   	  81.38		 69.09   	 -61.04		
 16.48   	-85.14   	  4.78   	  76.30		 68.85   	 -30.52		
 17.09   	-73.24   	  5.09   	  66.12		 68.73   	  10.17		
 18.01   	-63.17   	  5.35   	  61.04		 68.77   	  35.61		
 18.62   	-57.07   	  5.60   	  61.04		 68.91   	  30.52		
 16.78   	-56.46   	  5.84   	  61.04		 69.03   	   5.09		
 11.29   	-62.26   	  6.08   	  55.95		 69.05   	 -15.26		
  3.36   	-72.94   	  6.31   	  61.04		 68.99   	 -20.35		
 -3.66   	-85.75   	  6.55   	  61.04		 68.91   	 -20.35		
 -6.41   	-99.18   	  6.80   	  61.04		 68.83   	 -15.26		
 -3.66   	-114.14   	  7.04   	  55.95		 68.77   	 -15.26		
  1.22   	-136.41   	  7.26   	  55.95		 68.71   	 -10.17		
  3.36   	-170.59   	  7.49   	  61.04		 68.67   	 -15.26		
 -1.53   	-215.45   	  7.73   	  45.78		 68.61   	   5.09		
-13.43   	-261.84   	  7.91   	  45.78		 68.63   	  25.43		
-28.08   	-298.16   	  8.10   	  45.78		 68.73   	   0.00		
-41.50   	-318.60   	  8.28   	  45.78		 68.73   	 -35.61		
-50.05   	-326.84   	  8.46   	  45.78		 68.59   	 -45.78		
-54.63   	-332.34   	  8.65   	  35.61		 68.40   	 -35.61		
-57.07   	-341.80   	  8.79   	  35.61		 68.26   	 -25.43		
-60.12   	-355.53   	  8.93   	  25.43		 68.16   	  -5.09		
-64.09   	-369.26   	  9.03   	  10.17		 68.14   	 -15.26		
-68.66   	-380.86   	  9.07   	  10.17		 68.08   	 -50.86		
-73.55   	-389.71   	  9.11   	  20.35		 67.87   	 -45.78		
-78.43   	-397.95   	  9.20   	  25.43		 67.69   	 -20.35		
-82.70   	-405.88   	  9.30   	  35.61		 67.61   	 -10.17		
-85.75   	-412.90   	  9.44   	  71.21		 67.57   	 -20.35		
-87.28   	-418.09   	  9.73   	 122.07		 67.49   	 -40.69		
-87.28   	-421.75   	 10.21   	 101.73		 67.32   	 -71.21		
-86.36   	-425.72   	 10.62   	  45.78		 67.04   	 -76.30		
-86.36   	-430.30   	 10.80   	  20.35		 66.73   	 -50.86		
-88.81   	-436.40   	 10.89   	 -10.17		 66.53   	 -25.43		
-92.77   	-442.81   	 10.84   	 -35.61		 66.43   	 -20.35		
-97.05   	-448.30   	 10.70   	 -30.52		 66.35   	 -30.52		
-100.10   	-452.88   	 10.58   	 -25.43		 66.23   	 -55.95		
-101.62   	-457.15   	 10.48   	 -15.26		 66.00   	 -55.95		
-102.23   	-463.87   	 10.42   	   0.00		 65.78   	 -40.69		
-104.06   	-479.13   	 10.42(E)	  20.35		 65.62   	 -20.35		
-107.12   	-505.98   	 10.50   	  20.35		 65.53   	 -25.43		
-105.29   	-539.25   	 10.58   	  35.61		 65.43   	 -55.95		
-84.84   	-557.86   	 10.72   	  45.78		 65.21   	 -76.30		
-31.43   	-518.19   	 10.91   	  45.78		 64.90   	 -66.12		
 55.24   	-364.69   	 11.09   	  35.61		 64.64   	 -35.61		
141.91   	-66.53   	 11.23   	  40.69		 64.50   	 -45.78		
173.65   	342.41   	 11.39   	  25.43		 64.31   	 -35.61		
111.08   	746.46   	 11.50   	   5.09		 64.17   	 -15.26		
-40.59   	982.36(R)	 11.52   	 -10.17		 64.11   	 -40.69		
-227.36   	920.41   	 11.48   	 -20.35		 63.95   	 -45.78		
-378.72   	552.98   	 11.39   	 -30.52		 63.76   	 -45.78		
-455.93   	 13.12   	 11.27   	 -35.61		 63.58   	 -45.78		
-469.97   	-499.27   	 11.13   	 -45.78		 63.40   	 -35.61		
-454.41   	-827.03   	 10.95   	 -35.61		 63.26   	 -35.61		
-432.43   	-930.18   	 10.80   	 -15.26		 63.11   	 -45.78		
-403.44   	-879.21   	 10.74   	 -10.17		 62.93   	 -40.69		
-356.45   	-777.89   	 10.70   	   5.09		 62.77   	 -55.95		
-287.17   	-690.61   	 10.72   	  15.26		 62.54   	 -66.12		
-209.05   	-627.44   	 10.78   	  30.52		 62.28   	 -50.86		
-143.13   	-574.65   	 10.91   	  40.69		 62.08   	 -25.43		
-103.15   	-528.56   	 11.07   	  50.86		 61.97   	 -35.61		
-90.64   	-500.49   	 11.27   	  71.21		 61.83   	 -50.86		
-95.83   	-498.66   	 11.56   	  96.64		 61.63   	 -50.86		
-106.20   	-516.36   	 11.94   	 137.33		 61.42   	 -35.61		
-111.39   	-534.67   	 12.49   	 178.03		 61.28   	 -25.43		
