SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  FA     	  FA'		  RV     	  RV'		
102.81   	 -10.17		 75.08   	-193.29		
102.77   	 -15.26		 74.30   	-249.24		
102.71   	 -30.52		 73.31   	-315.36		
102.58   	 -50.86		 72.04   	-345.88		
102.38   	 -96.64		 70.66   	-371.31		
101.99   	-142.42		 69.18   	-432.35		
101.42   	-183.11		 67.45   	-508.65		
100.69   	-213.63		 65.41   	-569.68		
 99.84   	-244.15		 63.13   	-645.98		
 98.86   	-254.32		 60.55   	-712.10		
 97.84   	-259.41		 57.70   	-778.23		
 96.81   	-249.24		 54.59   	-844.35		
 95.81   	-233.98		 51.21   	-890.13		
 94.87   	-213.63		 47.65   	-925.73		
 94.02   	-193.29		 43.95   	-930.82		
 93.24   	-172.94		 40.22   	-910.47		
 92.55   	-157.68		 36.58   	-864.70		
 91.92   	-152.59		 33.12   	-798.57		
 91.31   	-147.51		 29.93   	-727.36		
 90.72   	-157.68		 27.02   	-645.98		
 90.09   	-167.85		 24.44   	-574.77		
 89.42   	-188.20		 22.14   	-498.47		
 88.67   	-203.46		 20.14   	-437.43		
 87.85   	-218.72		 18.39   	-386.57		
 86.98   	-233.98		 16.85   	-335.71		
 86.04   	-239.06		 15.50   	-300.10		
 85.09   	-239.06		 14.30   	-274.67		
 84.13   	-223.80		 13.20   	-264.50		
 83.23   	-208.54		 12.15   	-259.41		
 82.40   	-188.20		 11.11   	-254.32		
 81.65   	-162.77		 10.09   	-259.41		
 81.00   	-137.33		  9.05   	-269.58		
 80.45   	-116.99		  7.98   	-279.75		
 79.98   	-101.73		  6.86   	-274.67		
 79.57   	 -91.56		  5.76   	-254.32		
 79.21   	 -96.64		  4.74   	-233.98		
 78.82   	-101.73		  3.80   	-213.63		
 78.41   	-106.82		  2.95   	-157.68		
 77.99   	-116.99		  2.32   	-101.73		
 77.52   	-132.25		  1.91   	 -50.86		
 76.99   	-137.33		  1.71   	  10.17		
 76.44   	-147.51		  1.75   	  61.04		
 75.85   	-152.59		  1.99   	  96.64		
 75.24   	-147.51		  2.38   	 122.07		
 74.65   	-142.42		  2.87   	 132.25		
 74.08   	-132.25		  3.40   	 122.07		
 73.55   	-116.99		  3.89   	  91.56		
 73.08   	-106.82		  4.25   	  66.12		
 72.65   	 -86.47		  4.52   	  30.52		
 72.31   	 -81.38		  4.64   	   0.00		
 71.98   	 -71.21		  4.64   	 -20.35		
 71.70   	 -61.04		  4.56   	 -30.52		
 71.45   	 -66.12		  4.44   	 -30.52		
 71.19   	 -66.12		  4.31   	 -20.35		
 70.93   	 -66.12		  4.23   	 -15.26		
 70.66   	 -71.21		  4.17   	   5.09		
 70.38   	 -71.21		  4.19   	  25.43		
 70.09   	 -81.38		  4.29   	  30.52		
 69.77   	 -76.30		  4.42   	  35.61		
 69.46   	 -81.38		  4.56   	  50.86		
 69.14   	 -81.38		  4.76   	  45.78		
 68.81   	 -76.30		  4.94   	  45.78		
 68.50   	 -71.21		  5.13   	  40.69		
 68.22   	 -66.12		  5.29   	  40.69		
 67.95   	 -66.12		  5.45   	  35.61		
 67.69   	 -61.04		  5.60   	  25.43		
 67.45   	 -55.95		  5.70   	  25.43		
 67.22   	 -50.86		  5.80   	  20.35		
 67.02   	 -50.86		  5.88   	  10.17		
 66.82   	 -50.86		  5.92   	   5.09		
 66.61   	 -50.86		  5.94   	   5.09		
 66.41   	 -55.95		  5.96   	  -5.09		
 66.18   	 -55.95		  5.94   	  -5.09		
 65.96   	 -61.04		  5.92   	  -5.09		
 65.72   	 -61.04		  5.90   	   0.00		
 65.47   	 -66.12		  5.90   	   0.00		
 65.21   	 -66.12		  5.90   	  10.17		
 64.94   	 -66.12		  5.94   	  15.26		
 64.68   	 -61.04		  6.00   	  25.43		
 64.44   	 -61.04		  6.10   	  25.43		
 64.19   	 -61.04		  6.21   	  40.69		
 63.95   	 -50.86		  6.37   	  40.69		
 63.74   	 -50.86		  6.53   	  45.78		
 63.54   	 -45.78		  6.71   	  45.78		
 63.36   	 -45.78		  6.90   	  40.69		
 63.17   	 -40.69		  7.06   	  50.86		
 63.01   	 -45.78		  7.26   	  40.69		
 62.83   	 -40.69		  7.43   	  40.69		
 62.67   	 -40.69		  7.59   	  40.69		
 62.50   	 -40.69		  7.75   	  45.78		
 62.34   	 -40.69		  7.93   	  40.69		
 62.18   	 -45.78		  8.10   	  35.61		
 61.99   	 -45.78		  8.24   	  30.52		
 61.81   	 -50.86		  8.36   	  30.52		
 61.61   	 -40.69		  8.48   	  30.52		
 61.44   	 -45.78		  8.61   	  25.43		
 61.26   	 -45.78		  8.71   	  20.35		
 61.08   	 -50.86		  8.79(E)	   0.00		
 60.87   	 -50.86		  8.79   	 -15.26		
 60.67   	 -50.86		  8.73   	 -20.35		
 60.47   	 -45.78		  8.65   	 -30.52		
 60.28   	 -40.69		  8.52   	 -35.61		
 60.12   	 -40.69		  8.38   	 -35.61		
 59.96   	 -40.69		  8.24   	 -25.43		
 59.80   	 -35.61		  8.14   	 -15.26		
 59.65   	 -40.69		  8.08   	 -10.17		
 59.49   	 -40.69		  8.04   	  25.43		
 59.33   	 -40.69		  8.14   	  66.12		
 59.17   	 -45.78		  8.40   	 127.16		
 58.98   	 -45.78		  8.91   	 188.20		
 58.80   	 -45.78		  9.66   	 249.24		
 58.62   	 -45.78		 10.66   	 315.36		
 58.43   	 -45.78		 11.92   	 366.22		
 58.25   	 -45.78		 13.39   	 427.26		
 58.07   	 -40.69		 15.10   	 488.30		
 57.90   	 -45.78		 17.05   	 554.42		
 57.72   	 -35.61		 19.27   	 595.11		
 57.58   	 -35.61		 21.65   	 635.81		
 57.44   	 -35.61		 24.19   	 686.67		
 57.29   	 -30.52		 26.94   	 727.36		
 57.17   	 -30.52		 29.85   	 737.54		
 57.05   	 -25.43		 32.80   	 732.45		
 56.95   	 -35.61		 35.73   	 768.05		
 56.81   	 -30.52		 38.80   	 681.58		
 56.68   	 -35.61		 41.53   	 595.11		
 56.54   	 -30.52		 43.91   	 503.56		
 56.42   	 -35.61		 45.92   	 396.74		
 56.28   	 -35.61		 47.51   	 305.19		
 56.13   	 -40.69		 48.73   	 223.80		
 55.97   	 -40.69		 49.62   	 167.85		
 55.81   	 -45.78		 50.29   	 116.99		
 55.63   	 -50.86		 50.76   	  86.47		
 55.42   	 -50.86		 51.11   	  71.21		
 55.22   	 -50.86		 51.39   	  61.04		
 55.02   	 -55.95		 51.64   	  61.04		
 54.79   	 -50.86		 51.88   	  91.56		
 54.59   	 -45.78		 52.25   	 172.94		
 54.40   	 -35.61		 52.94   	 269.58		
 54.26   	 -25.43		 54.02   	 330.62		
 54.16   	   0.00		 55.34   	 345.88		
 54.16   	  40.69		 56.72   	 340.79		
 54.32   	 122.07		 58.09   	 320.45		
 54.81   	 228.89		 59.37   	 284.84		
 55.73   	 371.31		 60.51   	 239.06		
 57.21   	 513.73		 61.46   	 198.37		
 59.27   	 630.72		 62.26   	 172.94		
 61.79   	 712.10		 62.95   	 142.42		
 64.64   	 757.88		 63.52   	 116.99		
