SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
196.23   	129.70   	 44.09   	 101.73		 60.65   	 539.16		
200.20   	140.99   	 44.50   	 101.73		 62.81   	 513.73		
195.31   	152.89   	 44.90   	 101.73		 64.86   	 478.13		
184.63   	162.96   	 45.31   	 101.73		 66.77   	 437.43		
174.26   	169.07   	 45.72   	 106.82		 68.52   	 386.57		
169.37   	172.12   	 46.14   	 106.82		 70.07   	 345.88		
167.54   	171.81   	 46.57   	 106.82		 71.45   	 310.27		
161.44   	167.85   	 47.00   	  96.64		 72.70   	 274.67		
149.23   	161.74   	 47.39   	  91.56		 73.79   	 259.41		
135.80   	158.39   	 47.75   	  91.56		 74.83   	 254.32		
125.12   	157.17   	 48.12   	  91.56		 75.85   	 264.50		
115.66   	152.89   	 48.48   	  91.56		 76.91   	 274.67		
100.40   	140.08   	 48.85   	  86.47		 78.01   	 295.01		
 72.94   	118.71   	 49.20   	  76.30		 79.19   	 305.19		
 34.79   	 92.47   	 49.50   	  66.12		 80.41   	 305.19		
 -3.66   	 67.75   	 49.77   	  50.86		 81.63   	 300.10		
-33.26   	 47.00   	 49.97   	  50.86		 82.83   	 279.75		
-52.80   	 24.41   	 50.17   	  40.69		 83.95   	 254.32		
-66.83   	 -3.05   	 50.34   	  30.52		 84.96   	 223.80		
-84.23   	-36.01   	 50.46   	  30.52		 85.86   	 183.11		
-109.86   	-72.94   	 50.58   	  15.26		 86.59   	 142.42		
-139.47   	-109.25   	 50.64   	   0.00		 87.16   	  91.56		
-161.74   	-137.94   	 50.64   	 -10.17		 87.53   	  55.95		
-165.41   	-153.20   	 50.60   	 -10.17		 87.75   	  15.26		
-149.54   	-154.72   	 50.56   	 -25.43		 87.81   	 -40.69		
-118.10   	-150.15   	 50.46   	 -25.43		 87.65   	 -55.95		
-126.34   	-162.35   	 50.36   	 -40.69		 87.43   	 -66.12		
-138.85   	-177.61   	 50.19   	 -45.78		 87.16   	 -81.38		
-139.77   	-184.02   	 50.01   	 -50.86		 86.84   	 -86.47		
-126.34   	-180.05   	 49.81   	 -61.04		 86.49   	-101.73		
-113.22   	-175.17   	 49.56   	 -61.04		 86.08   	-101.73		
-115.36   	-178.83   	 49.32   	 -71.21		 85.68   	-111.90		
-132.75   	-191.65   	 49.03   	 -81.38		 85.23   	-111.90		
-148.93   	-202.33   	 48.71   	 -91.56		 84.78   	-116.99		
-147.09   	-199.89   	 48.34   	-106.82		 84.31   	-127.16		
-126.34   	-186.46   	 47.91   	-127.16		 83.80   	-122.07		
-101.62   	-174.87   	 47.41   	-152.59		 83.32   	-132.25		
-89.72   	-176.39   	 46.80   	-172.94		 82.79   	-137.33		
-97.96   	-191.65   	 46.10   	-198.37		 82.24   	-137.33		
-116.27   	-209.05   	 45.31   	-223.80		 81.69   	-142.42		
-127.26   	-213.93   	 44.41   	-259.41		 81.12   	-147.51		
-122.07   	-202.33   	 43.38   	-279.75		 80.53   	-152.59		
-105.90   	-184.02   	 42.26   	-300.10		 79.92   	-152.59		
-92.16   	-173.03   	 41.06   	-305.19		 79.31   	-157.68		
-92.16   	-177.61   	 39.84   	-320.45		 78.68   	-157.68		
-107.42   	-192.87   	 38.56   	-325.53		 78.05   	-162.77		
-128.17   	-205.99   	 37.25   	-345.88		 77.40   	-167.85		
-144.35   	-207.82   	 35.87   	-371.31		 76.72   	-172.94		
-151.67   	-199.58   	 34.38   	-401.83		 76.03   	-172.94		
