SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 13.12   	-12.51   	 41.81   	 111.90		 25.17   	 473.04		
 33.26   	  2.14   	 42.26   	 203.46		 27.06   	 473.04		
 12.51   	 -4.88   	 43.07   	 284.84		 28.95   	 462.87		
 46.39   	  4.27   	 44.21   	 381.48		 30.80   	 442.52		
 65.00   	 16.17   	 45.74   	 452.69		 32.57   	 422.18		
 50.05   	 25.33   	 47.55   	 513.73		 34.26   	 396.74		
 87.28   	 62.87   	 49.60   	 539.16		 35.85   	 366.22		
 65.92   	 65.61   	 51.76   	 528.99		 37.31   	 345.88		
 97.35   	 61.95   	 53.88   	 483.21		 38.70   	 320.45		
114.75   	 66.22   	 55.81   	 401.83		 39.98   	 284.84		
130.62   	 72.94   	 57.42   	 315.36		 41.12   	 259.41		
138.24   	 85.75   	 58.68   	 233.98		 42.16   	 239.06		
128.17   	108.95   	 59.61   	 147.51		 43.11   	 223.80		
141.60   	129.70   	 60.20   	  61.04		 44.01   	 213.63		
137.33   	131.84   	 60.45   	   0.00		 44.86   	 203.46		
151.37   	150.15   	 60.45   	 -15.26		 45.68   	 193.29		
159.61   	163.57   	 60.39   	   5.09		 46.45   	 188.20		
144.96   	167.24   	 60.41   	  45.78		 47.20   	 183.11		
154.72   	180.36   	 60.59   	  86.47		 47.93   	 183.11		
162.96   	183.72   	 60.94   	 127.16		 48.67   	 193.29		
144.96   	184.02   	 61.44   	 178.03		 49.44   	 193.29		
161.13   	199.58   	 62.16   	 239.06		 50.21   	 188.20		
145.57   	199.58   	 63.11   	 289.93		 50.97   	 193.29		
126.34   	192.87   	 64.27   	 315.36		 51.74   	 193.29		
143.13   	205.99   	 65.53   	 325.53		 52.51   	 188.20		
129.70   	200.20   	 66.84   	 310.27		 53.27   	 188.20		
149.54   	199.89   	 68.08   	 295.01		 54.02   	 183.11		
123.90   	199.89   	 69.26   	 274.67		 54.75   	 172.94		
114.44   	183.72   	 70.36   	 233.98		 55.44   	 157.68		
 86.36   	148.62   	 71.29   	 193.29		 56.07   	 137.33		
 41.20   	116.88   	 72.06   	 142.42		 56.62   	 122.07		
 26.86   	 78.13   	 72.63   	 122.07		 57.11   	 101.73		
 -7.63   	 37.54   	 73.12   	 101.73		 57.52   	  96.64		
-10.99   	 -0.31   	 73.53   	  86.47		 57.90   	  76.30		
-30.52   	-45.47   	 73.88   	  71.21		 58.21   	  66.12		
-26.25   	-77.82   	 74.16   	  61.04		 58.47   	  50.86		
-48.83   	-111.69   	 74.40   	  55.95		 58.68   	  40.69		
-71.72   	-126.95   	 74.63   	  55.95		 58.84   	  30.52		
-63.78   	-129.70   	 74.85   	  55.95		 58.96   	  25.43		
-94.60   	-150.45   	 75.08   	  40.69		 59.06   	  10.17		
-65.92   	-140.38   	 75.24   	  30.52		 59.10   	  10.17		
-59.20   	-144.35   	 75.36   	  15.26		 59.15(S)	   0.00		
-75.99   	-153.81   	 75.42   	   5.09		 59.15   	   0.00		
-65.31   	-147.71   	 75.44(S)	   0.00		 59.15   	  -5.09		
-82.70   	-161.74   	 75.44   	 -25.43		 59.12   	 -15.26		
-89.42   	-160.22   	 75.34   	 -40.69		 59.06   	 -15.26		
-82.40   	-159.91   	 75.18   	 -61.04		 59.00   	 -25.43		
-84.53   	-149.23   	 74.93   	 -66.12		 58.90   	 -25.43		
-84.23   	-148.32   	 74.67   	 -76.30		 58.80   	 -35.61		
-93.69   	-156.86   	 74.36   	 -91.56		 58.66   	 -45.78		
-101.32   	-162.05   	 74.00   	-101.73		 58.47   	 -45.78		
