SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
167.85   	140.08   	 55.56   	 -20.35		 32.31   	 147.51		
172.42   	153.81   	 55.48   	   0.00		 32.90   	 147.51		
172.73   	168.76   	 55.48   	  40.69		 33.49   	 147.51		
173.95   	184.02   	 55.65   	  86.47		 34.08   	 137.33		
175.78   	194.70   	 55.99   	 249.24		 34.63   	 152.59		
160.52   	183.41   	 56.99   	 315.36		 35.24   	 147.51		
139.16   	166.32   	 58.25   	 356.05		 35.83   	 142.42		
117.80   	154.42   	 59.67   	 381.48		 36.40   	 162.77		
107.73   	156.56   	 61.20   	 371.31		 37.05   	 178.03		
115.36   	174.56   	 62.69   	 345.88		 37.76   	 178.03		
137.94   	203.86   	 64.07   	 315.36		 38.47   	 178.03		
166.32   	234.99   	 65.33   	 284.84		 39.19   	 172.94		
187.99   	256.96   	 66.47   	 259.41		 39.88   	 162.77		
194.70   	264.28   	 67.51   	 254.32		 40.53   	 152.59		
185.85   	259.70   	 68.52   	 249.24		 41.14   	 142.42		
169.07   	249.63   	 69.52   	 259.41		 41.71   	 132.25		
151.98   	241.39   	 70.56   	 274.67		 42.24   	 122.07		
140.69   	239.87   	 71.66   	 284.84		 42.73   	 111.90		
135.80   	243.84   	 72.80   	 289.93		 43.17   	 101.73		
133.36   	248.72   	 73.96   	 284.84		 43.58   	  96.64		
130.31   	250.24   	 75.10   	 279.75		 43.97   	  91.56		
125.12   	248.41   	 76.22   	 264.50		 44.33   	  86.47		
118.41   	244.75   	 77.27   	 244.15		 44.68   	  81.38		
110.78   	241.70   	 78.25   	 233.98		 45.00   	  86.47		
102.23   	238.95   	 79.19   	 218.72		 45.35   	  76.30		
 90.03   	231.02   	 80.06   	 208.54		 45.66   	  76.30		
 72.02   	212.40   	 80.89   	 203.46		 45.96   	  71.21		
 47.00   	180.66   	 81.71   	 193.29		 46.25   	  61.04		
 18.01   	140.38   	 82.48   	 178.03		 46.49   	  55.95		
-10.38   	 98.88   	 83.19   	 172.94		 46.71   	  66.12		
-54.63   	 21.97   	 83.89   	 147.51		 46.98   	  61.04		
-72.33   	-18.62   	 84.48   	 137.33		 47.22   	  55.95		
-88.81   	-62.87   	 85.03   	 111.90		 47.45   	  55.95		
-104.06   	-105.29   	 85.47   	 101.73		 47.67   	  55.95		
