SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-119.63   	-204.47   	 60.77   	 -91.56		  0.67   	 -50.86		
-122.07   	-201.72   	 60.41   	 -91.56		  0.47   	 -45.78		
-126.95   	-201.72   	 60.04   	 -76.30		  0.28   	 -25.43		
-127.26   	-207.21   	 59.74   	 -71.21		  0.18   	  -5.09		
-108.34   	-224.30   	 59.45   	 -61.04		  0.16   	  20.35		
-47.30   	-256.35   	 59.21   	 -50.86		  0.24   	  40.69		
 85.45   	-289.31   	 59.00   	 -40.69		  0.41   	  61.04		
317.38   	-278.93   	 58.84   	 -45.78		  0.65   	  81.38		
656.13   	-160.52   	 58.66   	 -40.69		  0.98   	  96.64		
1053.47   	116.88   	 58.49   	 -50.86		  1.36   	 106.82		
1370.85   	535.28   	 58.29   	 -50.86		  1.79   	 101.73		
1420.29   	966.49   	 58.09   	 -66.12		  2.20   	 106.82		
334.17   	1180.73   	 57.82   	 -81.38		  2.62   	  91.56		
-523.38   	822.75   	 57.50   	 -81.38		  2.99   	  66.12		
-1153.87   	301.51   	 57.17   	 -81.38		  3.26   	  45.78		
-1315.31   	-166.63   	 56.85   	 -76.30		  3.44   	  30.52		
-1024.17   	-423.58   	 56.54   	 -81.38		  3.56   	  10.17		
-526.73   	-447.69   	 56.22   	 -81.38		  3.60   	   5.09		
-122.38   	-328.67   	 55.89   	 -76.30		  3.62   	   0.00		
 28.69   	-188.90   	 55.58   	 -66.12		  3.62   	  10.17		
-32.96   	-111.08   	 55.32   	 -61.04		  3.66   	  25.43		
-157.17   	-108.95   	 55.08   	 -66.12		  3.76   	  50.86		
-219.42   	-145.57   	 54.81   	 -71.21		  3.97   	  71.21		
-193.79   	-174.56   	 54.53   	 -66.12		  4.25   	  86.47		
-127.87   	-174.87   	 54.26   	 -71.21		  4.60   	  96.64		
-79.04   	-153.50   	 53.98   	 -71.21		  4.98   	 111.90		
-68.97   	-129.70   	 53.69   	 -76.30		  5.43   	 162.77		
-83.31   	-117.19   	 53.39   	 -81.38		  6.08   	 233.98		
-96.74   	-115.66   	 53.06   	 -81.38		  7.02   	 274.67		
-95.83   	-115.66   	 52.74   	 -76.30		  8.12   	 315.36		
-83.01   	-110.17   	 52.43   	 -86.47		  9.38   	 386.57		
-68.66   	-100.10   	 52.09   	 -81.38		 10.93   	 447.61		
-60.42   	-90.64   	 51.76   	 -81.38		 12.72   	 488.30		
-58.90   	-85.45   	 51.43   	 -86.47		 14.67   	 513.73		
-59.51   	-82.70   	 51.09   	 -81.38		 16.72   	 518.82		
-57.37   	-79.35   	 50.76   	 -81.38		 18.80   	 508.65		
-49.44   	-72.94   	 50.44   	 -91.56		 20.83   	 488.30		
-25.33   	-51.88   	 50.07   	 -81.38		 22.79   	 427.26		
-14.65   	-40.59   	 49.75   	 -81.38		 24.50   	 356.05		
 -4.88   	-29.91   	 49.42   	 -81.38		 25.92   	 284.84		
  5.49   	-19.23   	 49.09   	 -76.30		 27.06   	 223.80		
 17.70   	 -7.02   	 48.79   	 -76.30		 27.96   	 172.94		
 32.04   	  7.02   	 48.48   	 -71.21		 28.65   	 127.16		
 46.69   	 21.36   	 48.20   	 -61.04		 29.16   	 101.73		
 59.81   	 34.79   	 47.96   	 -45.78		 29.56   	  86.47		
 70.19   	 47.30   	 47.77   	 -40.69		 29.91   	  76.30		
 77.21   	 57.98   	 47.61   	 -20.35		 30.21   	  76.30		
 82.70   	 67.14   	 47.53   	  25.43		 30.52   	  76.30		
 86.98   	 74.77   	 47.63   	 101.73		 30.82   	  86.47		
 91.55   	 80.26   	 48.04   	 208.54		 31.17   	  86.47		
 95.83   	 85.14   	 48.87   	 350.97		 31.52   	  81.38		
 99.49   	 90.64   	 50.27   	 503.56		 31.84   	  81.38		
102.23   	 96.13   	 52.29   	 656.15		 32.17   	  81.38		
104.68   	100.40   	 54.91   	 773.14		 32.49   	  76.30		
107.42   	102.54   	 58.01   	 839.26		 32.80   	  76.30		
110.47   	103.15   	 61.36   	 854.52		 33.10   	  71.21		
