SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  aR     	  RV     	  RV'		  RFA     	  RFA'		
-136.72   	 68.05   	 30.11   	1012.20		 49.87   	 -30.52		
-133.36   	 66.53   	 34.16   	 946.08		 49.75   	 -25.43		
-116.88   	 58.29   	 37.94   	 732.45		 49.64   	 -30.52		
-102.84   	 51.27   	 40.87   	 666.32		 49.52   	 -25.43		
-97.96   	 48.83   	 43.54   	 686.67		 49.42   	 -30.52		
-99.79   	 49.74   	 46.29   	1297.04		 49.30   	 -30.52		
-102.54   	 51.27   	 51.47   	 717.19		 49.18   	 -30.52		
-101.62   	 50.66   	 54.34   	 768.05		 49.05   	 -30.52		
-101.01   	 50.35   	 57.42   	 757.88		 48.93   	 -25.43		
-100.71   	 50.66   	 60.45   	 747.71		 48.83   	 -30.52		
-99.79   	 50.05   	 63.44   	 727.36		 48.71   	 -30.52		
-97.66   	 49.13   	 66.35   	 803.66		 48.59   	 -25.43		
-95.83   	 48.22   	 69.56   	 849.44		 48.48   	 -25.43		
-94.60   	 47.30   	 72.96   	 473.04		 48.38   	 -25.43		
-94.30   	 47.00   	 74.85   	 203.46		 48.28   	 -20.35		
-92.77   	 46.39   	 75.67   	 193.29		 48.20   	 -25.43		
-89.11   	 44.56   	 76.44   	  50.86		 48.10   	 -20.35		
-83.31   	 41.50   	 76.64   	-116.99		 48.02   	 -15.26		
-77.51   	 38.76   	 76.17   	-137.33		 47.96   	 -20.35		
-73.85   	 36.62   	 75.63   	-122.07		 47.87   	 -15.26		
-72.63   	 36.01   	 75.14   	-127.16		 47.81   	 -20.35		
-72.94   	 36.01   	 74.63   	 -76.30		 47.73   	 -15.26		
-72.63   	 36.32   	 74.32   	 106.82		 47.67   	 -15.26		
-69.27   	 34.48   	 74.75   	 345.88		 47.61   	 -20.35		
-63.17   	 31.43   	 76.13   	 218.72		 47.53   	 -20.35		
-55.85   	 27.77   	 77.01   	-116.99		 47.45   	 -25.43		
-48.83   	 24.41   	 76.54   	-127.16		 47.34   	 -25.43		
-43.33   	 21.67   	 76.03   	 -25.43		 47.24   	 -30.52		
-39.06   	 19.53   	 75.93   	 -35.61		 47.12   	 -30.52		
-33.87   	 16.78   	 75.79   	  15.26		 47.00   	 -25.43		
-27.16   	 13.43   	 75.85   	 132.25		 46.90   	 -25.43		
-18.01   	  8.85   	 76.38   	 228.89		 46.80   	 -15.26		
 -8.54   	  4.27   	 77.29   	 289.93		 46.73(D)	  15.26		
  0.31   	  0.00   	 78.45   	 361.14		 46.80   	  66.12		
  6.71   	 -3.36   	 79.90   	 401.83		 47.06   	 167.85		
 11.60   	 -5.80   	 81.51   	 401.83		 47.73   	 305.19		
 17.09   	 -8.54   	 83.11   	 396.74		 48.95   	 452.69		
 25.63   	-12.82   	 84.70   	 406.92		 50.76   	 579.86		
 39.37   	-19.53   	 86.33   	 417.09		 53.08   	 671.41		
 57.07   	-28.38   	 88.00   	 457.78		 55.77   	 712.10		
 76.60   	-38.15   	 89.83   	 473.04		 58.62   	 707.02		
 95.83   	-47.91   	 91.72   	 452.69		 61.44   	 635.81		
112.92   	-56.46   	 93.53   	 427.26		 63.99   	 539.16		
127.56   	-63.78   	 95.24   	 391.66		 66.14   	 422.18		
141.30   	-70.50   	 96.81   	 315.36		 67.83   	 310.27		
156.25   	-78.13   	 98.07   	 233.98		 69.07   	 228.89		
173.03   	-86.36   	 99.00   	 142.42		 69.99   	 178.03		
191.35   	-95.52   	 99.57   	  76.30		 70.70   	 167.85		
208.74   	-104.37   	 99.88   	  15.26		 71.37   	 188.20		
223.69   	-111.69   	 99.94(S)	 -50.86		 72.13   	 244.15		
235.60   	-117.80   	 99.74   	 -45.78		 73.10   	 325.53		
244.75   	-122.38   	 99.55   	 -25.43		 74.40   	 406.92		
250.55   	-125.12   	 99.45   	 -50.86		 76.03   	 493.39		
251.46   	-125.73   	 99.25   	 -71.21		 78.01   	 554.42		
244.45   	-122.07   	 98.96   	 -61.04		 80.22   	 590.03		
228.58   	-114.14   	 98.72   	 -71.21		 82.58   	 600.20		
205.38   	-102.54   	 98.43   	 -81.38		 84.98   	 579.86		
178.53   	-89.11   	 98.11   	 -61.04		 87.30   	 544.25		
150.45   	-75.38   	 97.86   	 -40.69		 89.48   	 488.30		
121.77   	-61.04   	 97.70   	 -61.04		 91.43   	 442.52		
 92.16   	-46.39   	 97.46   	 -61.04		 93.20   	 391.66		
 60.73   	-30.52   	 97.21   	 -61.04		 94.77   	 356.05		
 29.60   	-14.65   	 96.97   	 -96.64		 96.19   	 335.71		
  1.22   	 -0.61   	 96.58   	-162.77		 97.54   	 320.45		
-22.58   	 11.29   	 95.93   	-218.72		 98.82   	 310.27		
-42.11   	 21.06   	 95.06   	-279.75		100.06   	 305.19		
-58.29   	 28.99   	 93.94   	-366.22		101.28   	 284.84		
-71.72   	 35.71   	 92.47   	-412.00		102.42   	 269.58		
-83.31   	 41.50   	 90.82   	-488.30		103.50   	 244.15		
-92.77   	 46.39   	 88.87   	-564.60		104.48   	 223.80		
-100.40   	 50.05   	 86.61   	-579.86		105.37   	 183.11		
-105.59   	 52.80   	 84.29   	-615.46		106.10   	 142.42		
-108.64   	 54.32   	 81.83   	-676.50		106.67   	  96.64		
-109.86   	 54.93   	 79.12   	-691.76		107.06   	  71.21		
-110.17   	 54.93   	 76.36   	-742.62		107.34   	  35.61		
-109.86   	 54.93   	 73.39   	-890.13		107.49(S)	 -10.17		
-109.25   	 54.63   	 69.83   	-1022.38		107.45   	 -61.04		
-108.03   	 54.02   	 65.74   	-1159.71		107.20   	-122.07		
-106.20   	 53.10   	 61.10   	-1337.74		106.71   	-167.85		
-104.98   	 52.49   	 55.75   	-1424.21		106.04   	-203.46		
-104.68   	 51.88   	 50.05   	-1266.53		105.23   	-228.89		
-105.29   	 52.19   	 44.98   	-1083.41		104.31   	-228.89		
-104.98   	 52.19   	 40.65   	-1012.20		103.40   	-218.72		
-102.84   	 50.96   	 36.60   	-905.39		102.52   	-193.29		
-99.49   	 49.74   	 32.98   	-757.88		101.75   	-162.77		
-95.21   	 47.61   	 29.95   	-640.89		101.10   	-132.25		
-92.16   	 46.08   	 27.39   	-523.90		100.57   	-111.90		
-91.25   	 45.47   	 25.29   	-412.00		100.12   	 -96.64		
-93.38   	 46.69   	 23.64   	-315.36		 99.74   	-106.82		
-97.96   	 48.83   	 22.38   	-239.06		 99.31   	-116.99		
-103.76   	 51.88   	 21.42   	-147.51		 98.84   	-152.59		
-108.95   	 54.32   	 20.83   	 -96.64		 98.23   	-183.11		
-112.92   	 56.46   	 20.45   	-132.25		 97.50   	-208.54		
-115.66   	 57.68   	 19.92   	-198.37		 96.66   	-228.89		
-118.10   	 58.90   	 19.13   	-254.32		 95.75   	-244.15		
-120.54   	 59.81   	 18.11   	-315.36		 94.77   	-249.24		
-122.38   	 60.73   	 16.85   	-386.57		 93.77   	-239.06		
-123.29   	 61.65   	 15.30   	-437.43		 92.82   	-239.06		
-123.29   	 61.65   	 13.55   	-483.21		 91.86   	-223.80		
-123.29   	 61.65   	 11.62   	-503.56		 90.97   	-213.63		
-123.29   	 61.65   	  9.60   	-493.39		 90.11   	-208.54		
-122.99   	 61.34   	  7.63   	-462.87		 89.28   	-198.37		
-121.77   	 60.73   	  5.78   	-401.83		 88.48   	-203.46		
-119.93   	 59.51   	  4.17   	-330.62		 87.67   	-203.46		
-118.10   	 58.59   	  2.85   	-249.24		 86.86   	-208.54		
-116.58   	 58.29   	  1.85   	-172.94		 86.02   	-208.54		
-115.36   	 57.68   	  1.16   	-106.82		 85.19   	-218.72		
-114.44   	 57.07   	  0.73   	 -35.61		 84.31   	-213.63		
-113.83   	 56.76   	  0.59   	  30.52		 83.46   	-208.54		
-112.92   	 56.46   	  0.71   	  86.47		 82.62   	-208.54		
-111.39   	 55.54   	  1.06   	 132.25		 81.79   	-203.46		
-108.95   	 54.32   	  1.59   	 147.51		 80.98   	-193.29		
-106.81   	 53.41   	  2.18   	 122.07		 80.20   	-183.11		
-107.73   	 53.71   	  2.67   	  61.04		 79.47   	-178.03		
-114.75   	 57.68   	  2.91   	  -5.09		 78.76   	-167.85		
-127.87   	 63.78   	  2.89   	 -86.47		 78.09   	-162.77		
-141.91   	 70.80   	  2.54   	-356.05		 77.44   	-157.68		
-141.30   	 70.50   	  1.12   	-773.14		 76.81   	-157.68		
-103.76   	 51.88   	 -1.97   	-701.93		 76.17   	-157.68		
-11.29   	  5.49   	 -4.78   	-279.75		 75.54   	-152.59		
139.47   	-69.58   	 -5.90   	-111.90		 74.93   	-147.51		
328.37   	-164.18   	 -6.35   	 -20.35		 74.34   	-147.51		
517.58   	-258.79   	 -6.43(D)	 193.29		 73.75   	-147.51		
664.67   	-332.34   	 -5.66   	 371.31		 73.16   	-137.33		
732.73(R)	-366.52   	 -4.17   	 488.30		 72.61   	-132.25		
701.90   	-350.95   	 -2.22   	 595.11		 72.09   	-127.16		
581.36   	-290.53   	  0.16   	 635.81		 71.58   	-122.07		
398.25   	-198.97   	  2.71   	 564.60		 71.09   	-116.99		
185.55   	-92.77   	  4.96   	 462.87		 70.62   	-111.90		
-26.86   	 13.43   	  6.82   	 345.88		 70.17   	-106.82		
-215.15   	107.12   	  8.20   	 188.20		 69.75   	-101.73		
-361.63   	180.36   	  8.95   	  61.04		 69.34   	 -96.64		
-443.42   	221.25   	  9.20   	 -25.43		 68.95   	 -91.56		
-444.64   	221.86   	  9.09   	 -76.30		 68.59   	 -91.56		
-382.39   	191.04   	  8.79   	-106.82		 68.22   	 -81.38		
-307.31   	153.50   	  8.36   	-132.25		 67.89   	 -81.38		
-269.47   	134.58   	  7.83   	-127.16		 67.57   	 -81.38		
-285.34   	142.52   	  7.32   	 -50.86		 67.24   	 -76.30		
-330.81   	165.10   	  7.12   	  96.64		 66.94   	 -76.30		
-366.52   	182.80   	  7.51   	 188.20		 66.63   	 -71.21		
-372.92   	186.46   	  8.26   	 178.03		 66.35   	 -71.21		
-365.30   	182.50   	  8.97   	 142.42		 66.06   	 -66.12		
-372.31   	186.16   	  9.54   	 122.07		 65.80   	 -66.12		
-405.58   	202.33   	 10.03   	 122.07		 65.53   	 -66.12		
-451.97   	225.52   	 10.52   	 111.90		 65.27   	 -66.12		
-487.67   	243.53   	 10.97   	  76.30		 65.00   	 -61.04		
-493.77   	246.89   	 11.27   	 147.51		 64.76   	 -61.04		
-464.17   	231.93   	 11.86   	 320.45		 64.52   	 -55.95		
-405.88   	202.94   	 13.14   	 574.77		 64.29   	 -55.95		
-332.64   	166.02   	 15.44   	 900.30		 64.07   	 -50.86		
-261.23   	130.31   	 19.04   	1057.98		 63.87   	 -50.86		
-205.08   	102.23   	 23.28   	 910.47		 63.66   	 -50.86		
-169.98   	 84.53   	 26.92   	 788.40		 63.46   	 -50.86		
-149.84   	 74.77   	 30.07   	 829.09		 63.26   	 -45.78		
-133.67   	 66.83   	 33.39   	 783.31		 63.07   	 -50.86		
-113.53   	 56.76   	 36.52   	 610.37		 62.87   	 -40.69		
-90.33   	 45.17   	 38.96   	 559.51		 62.71   	 -45.78		
-70.50   	 34.79   	 41.20   	 584.94		 62.52   	 -45.78		
-59.20   	 29.30   	 43.54   	 564.60		 62.34   	 -40.69		
-57.07   	 28.38   	 45.80   	 559.51		 62.18   	 -45.78		
-57.98   	 28.99   	 48.04   	 584.94		 61.99   	 -40.69		
-56.46   	 28.08   	 50.38   	 625.63		 61.83   	 -40.69		
-50.66   	 25.33   	 52.88   	 681.58		 61.67   	 -40.69		
-42.11   	 21.06   	 55.61   	 727.36		 61.51   	 -40.69		
-34.18   	 17.09   	 58.51   	 854.52		 61.34   	 -40.69		
-28.99   	 14.34   	 61.93   	1002.03		 61.18   	 -35.61		
-26.25   	 13.12   	 65.94   	 783.31		 61.04   	 -40.69		
-25.02   	 12.51   	 69.07   	 605.29		 60.87   	 -35.61		
-22.58   	 11.29   	 71.50   	 778.23		 60.73   	 -40.69		
-18.31   	  9.16   	 74.61   	 727.36		 60.57   	 -35.61		
-10.99   	  5.49   	 77.52   	 559.51		 60.43   	 -40.69		
 -1.22   	  0.61   	 79.76   	 523.90		 60.26   	 -40.69		
  9.77   	 -4.88   	 81.85   	 310.27		 60.10   	 -40.69		
 21.36   	-10.99   	 83.09   	   0.00		 59.94   	 -40.69		
 32.96   	-16.78   	 83.09   	  35.61		 59.78   	 -40.69		
 44.56   	-22.58   	 83.23   	  30.52		 59.61   	 -40.69		
 56.46   	-28.08   	 83.36(S)	-518.82		 59.45   	 -45.78		
 68.66   	-34.18   	 81.28   	-961.34		 59.27   	 -35.61		
 81.48   	-40.59   	 77.44   	-940.99		 59.12   	 -40.69		
 94.30   	-47.00   	 73.67   	-915.56		 58.96   	 -35.61		
108.34   	-54.02   	 70.01   	-885.04		 58.82   	 -35.61		
123.60   	-61.65   	 66.47   	-656.15		 58.68   	 -30.52		
139.77   	-69.89   	 63.85   	-350.97		 58.56   	 -35.61		
155.94   	-77.82   	 62.44   	 -91.56		 58.41   	 -30.52		
172.12   	-86.06   	 62.08   	 122.07		 58.29   	 -25.43		
187.68   	-93.69   	 62.56   	 320.45		 58.19   	 -30.52		
202.64   	-101.32   	 63.85   	 437.43		 58.07   	 -25.43		
217.90   	-108.95   	 65.59   	 503.56		 57.97   	 -30.52		
234.68   	-117.19   	 67.61   	 513.73		 57.84   	 -25.43		
254.52   	-127.26   	 69.66   	 478.13		 57.74   	 -30.52		
278.32   	-139.16   	 71.58   	 391.66		 57.62   	 -30.52		
305.18   	-152.59   	 73.14   	 274.67		 57.50   	 -30.52		
331.73   	-165.71   	 74.24   	 147.51		 57.38   	 -30.52		
354.92   	-177.31   	 74.83   	  15.26		 57.25   	 -30.52		
373.54   	-186.77   	 74.89   	-116.99		 57.13   	 -25.43		
387.88   	-193.79   	 74.42   	-228.89		 57.03   	 -30.52		
401.31   	-200.50   	 73.51   	-320.45		 56.91   	 -25.43		
415.95   	-207.82   	 72.23   	-386.57		 56.81   	 -25.43		
431.21   	-215.45   	 70.68   	-412.00		 56.70   	 -15.26		
444.03   	-221.86   	 69.03   	-417.09		 56.64   	  -5.09		
452.58   	-226.14   	 67.36   	-417.09		 56.62(D)	   5.09		
458.37   	-229.19   	 65.70   	-391.66		 56.64   	  30.52		
465.09   	-232.54   	 64.13   	-350.97		 56.76   	  66.12		
476.68   	-238.34   	 62.73   	-320.45		 57.03   	 101.73		
491.33   	-245.67   	 61.44   	-289.93		 57.44   	 157.68		
500.79   	-250.24   	 60.28   	-264.50		 58.07   	 213.63		
496.22   	-248.11   	 59.23   	-249.24		 58.92   	 269.58		
476.07   	-238.04   	 58.23   	-269.58		 60.00   	 310.27		
448.30   	-224.00   	 57.15   	-300.10		 61.24   	 340.79		
422.97   	-211.49   	 55.95   	-340.79		 62.60   	 356.05		
406.19   	-202.94   	 54.59   	-386.57		 64.03   	 345.88		
394.29   	-197.14   	 53.04   	-452.69		 65.41   	 320.45		
377.50   	-188.60   	 51.23   	-493.39		 66.69   	 295.01		
347.60   	-173.65   	 49.26   	-503.56		 67.87   	 254.32		
303.04   	-151.37   	 47.24   	-498.47		 68.89   	 223.80		
249.94   	-124.82   	 45.25   	-513.73		 69.79   	 198.37		
196.84   	-98.27   	 43.19   	-498.47		 70.58   	 188.20		
151.06   	-75.38   	 41.20   	-473.04		 71.33   	 193.29		
113.83   	-56.76   	 39.31   	-467.95		 72.11   	 203.46		
 78.74   	-39.37   	 37.44   	-447.61		 72.92   	 223.80		
 38.76   	-19.23   	 35.65   	-412.00		 73.81   	 244.15		
 -9.77   	  4.88   	 34.00   	-401.83		 74.79   	 274.67		
-59.20   	 29.60   	 32.39   	-401.83		 75.89   	 289.93		
-98.88   	 49.44   	 30.78   	-412.00		 77.05   	 300.10		
-120.24   	 59.81   	 29.14   	-417.09		 78.25   	 300.10		
-124.21   	 61.65   	 27.47   	-437.43		 79.45   	 289.93		
-119.93   	 59.51   	 25.72   	-457.78		 80.61   	 269.58		
-117.19   	 58.59   	 23.89   	-498.47		 81.69   	 254.32		
-121.15   	 60.42   	 21.89   	-549.34		 82.71   	 223.80		
-130.31   	 65.31   	 19.69   	-564.60		 83.60   	 203.46		
-140.08   	 69.89   	 17.44   	-467.95		 84.41   	 178.03		
-146.79   	 73.24   	 15.56   	-371.31		 85.13   	 157.68		
-149.54   	 74.46   	 14.08   	-442.52		 85.76   	 147.51		
-150.15   	 74.77   	 12.31   	-422.18		 86.35   	 132.25		
-149.84   	 74.77   	 10.62   	-198.37		 86.88   	 116.99		
-149.23   	 74.46   	  9.83   	-137.33		 87.34   	 106.82		
-148.32   	 74.46   	  9.28   	-203.46		 87.77   	  91.56		
-147.09   	 73.85   	  8.46   	-101.73		 88.14   	  76.30		
-144.96   	 72.63   	  8.06   	   5.09		 88.44   	  55.95		
-143.13   	 71.41   	  8.08   	   5.09		 88.67   	  30.52		
-140.99   	 70.50   	  8.10   	  25.43		 88.79   	   5.09		
-139.77   	 69.89   	  8.20   	  35.61		 88.81   	 -25.43		
-138.24   	 68.97   	  8.34   	   5.09		 88.71   	 -50.86		
-136.72   	 68.66   	  8.36   	 -50.86		 88.50   	 -76.30		
-135.19   	 67.75   	  8.16   	 -96.64		 88.20   	 -96.64		
-134.28   	 67.14   	  7.77   	-147.51		 87.81   	-122.07		
-134.89   	 67.44   	  7.18   	-172.94		 87.32   	-142.42		
-137.02   	 68.36   	  6.49   	-157.68		 86.75   	-152.59		
-140.08   	 69.89   	  5.86   	-147.51		 86.14   	-167.85		
-143.13   	 71.41   	  5.27   	-147.51		 85.47   	-172.94		
-144.65   	 72.33   	  4.68   	-132.25		 84.78   	-183.11		
-144.96   	 72.33   	  4.15   	-152.59		 84.05   	-188.20		
-144.65   	 72.33   	  3.54   	-172.94		 83.30   	-198.37		
-144.35   	 72.02   	  2.85   	-147.51		 82.50   	-198.37		
-144.65   	 72.33   	  2.26   	 -86.47		 81.71   	-203.46		
-145.26   	 72.94   	  1.91   	   5.09		 80.89   	-208.54		
-144.04   	 72.33   	  1.93   	  76.30		 80.06   	-208.54		
-136.41   	 68.05   	  2.24   	  96.64		 79.23   	-208.54		
-112.92   	 56.46   	  2.62   	 -50.86		 78.39   	-208.54		
-55.24   	 27.47   	  2.42   	-366.22		 77.56   	-203.46		
 64.39   	-32.04   	  0.96   	-386.57		 76.74   	-193.29		
267.64   	-133.67   	 -0.59   	-116.99		 75.97   	-183.11		
544.13   	-271.91   	 -1.06(D)	   0.00		 75.24   	-167.85		
828.55   	-414.12   	 -1.06(E)	  66.12		 74.57   	-157.68		
1038.21(R)	-518.80   	 -0.79   	 193.29		 73.94   	-142.42		
852.05   	-425.72   	 -0.02   	 310.27		 73.37   	-127.16		
522.46   	-261.23   	  1.22   	 335.71		 72.86   	-122.07		
162.66   	-81.18   	  2.56   	 340.79		 72.37   	-116.99		
-118.10   	 58.90   	  3.93   	 371.31		 71.90   	-116.99		
-264.28   	132.14   	  5.41   	 386.57		 71.43   	-111.90		
-284.73   	142.21   	  6.96   	 371.31		 70.99   	-116.99		
-238.65   	119.63   	  8.44   	 340.79		 70.52   	-122.07		
-203.25   	101.93   	  9.81   	 254.32		 70.03   	-122.07		
-227.97   	114.14   	 10.82   	 147.51		 69.54   	-122.07		
-304.87   	152.28   	 11.41   	  40.69		 69.05   	-127.16		
-382.08   	191.04   	 11.58   	-111.90		 68.55   	-116.99		
-398.86   	199.28   	 11.13   	-279.75		 68.08   	-116.99		
-329.59   	164.79   	 10.01   	-310.27		 67.61   	-111.90		
-203.55   	101.62   	  8.77   	-162.77		 67.16   	-106.82		
-83.01   	 41.50   	  8.12   	  66.12		 66.73   	 -96.64		
-18.62   	  9.16   	  8.38   	 284.84		 66.35   	 -91.56		
-17.70   	  8.85   	  9.52   	 417.09		 65.98   	 -86.47		
-50.96   	 25.33   	 11.19   	 528.99		 65.64   	 -86.47		
-80.57   	 40.28   	 13.31   	 778.23		 65.29   	 -81.38		
-86.36   	 43.03   	 16.42   	 996.94		 64.96   	 -76.30		
-72.02   	 36.01   	 20.41   	1124.11		 64.66   	 -81.38		
-53.41   	 26.55   	 24.90   	1139.36		 64.33   	 -76.30		
-44.25   	 22.28   	 29.46   	1012.20		 64.03   	 -76.30		
-45.47   	 22.58   	 33.51   	1668.36		 63.72   	 -81.38		
-51.57   	 25.33   	 40.18   	 946.08		 63.40   	 -81.38		
-48.52   	 23.80   	 43.97   	1093.59		 63.07   	 -76.30		
-44.25   	 21.97   	 48.34   	1052.90		 62.77   	 -71.21		
-42.11   	 21.06   	 52.55   	 885.04		 62.48   	 -71.21		
-42.72   	 21.67   	 56.09   	 788.40		 62.20   	 -66.12		
-44.25   	 22.28   	 59.25   	 752.79		 61.93   	 -61.04		
-43.64   	 21.67   	 62.26   	 656.15		 61.69   	 -61.04		
-40.28   	 20.14   	 64.88   	 559.51		 61.44   	 -55.95		
-34.79   	 17.40   	 67.12   	 508.65		 61.22   	 -55.95		
-28.08   	 14.04   	 69.16   	 549.34		 61.00   	 -50.86		
-21.06   	 10.38   	 71.35   	 666.32		 60.79   	 -50.86		
-14.65   	  7.32   	 74.02   	 539.16		 60.59   	 -50.86		
 -8.85   	  4.27   	 76.17   	 284.84		 60.39   	 -50.86		
 -3.97   	  1.83   	 77.31   	 279.75		 60.18   	 -50.86		
 -0.61   	  0.31   	 78.43   	 254.32		 59.98   	 -50.86		
  2.75   	 -1.22   	 79.45   	 106.82		 59.78   	 -45.78		
  6.10   	 -3.05   	 79.88   	  45.78		 59.59   	 -50.86		
  9.46   	 -4.58   	 80.06   	  45.78		 59.39   	 -50.86		
 13.12   	 -6.41   	 80.24   	 157.68		 59.19   	 -45.78		
 17.09   	 -8.54   	 80.87   	 417.09		 59.00   	 -45.78		
 21.97   	-10.99   	 82.54   	 157.68		 58.82   	 -45.78		
 28.69   	-14.34   	 83.17   	-483.21		 58.64   	 -45.78		
 36.93   	-18.31   	 81.24   	-595.11		 58.45   	 -40.69		
 45.78   	-22.89   	 78.86   	-518.82		 58.29   	 -40.69		
 55.24   	-27.47   	 76.79   	-584.94		 58.13   	 -40.69		
 66.22   	-32.96   	 74.45   	-442.52		 57.97   	 -40.69		
 79.65   	-39.67   	 72.68   	-152.59		 57.80   	 -45.78		
 95.21   	-47.61   	 72.06   	  40.69		 57.62   	 -45.78		
111.39   	-55.54   	 72.23   	 203.46		 57.44   	 -45.78		
127.26   	-63.48   	 73.04   	 350.97		 57.25   	 -45.78		
143.43   	-71.72   	 74.45   	 462.87		 57.07   	 -35.61		
161.13   	-80.57   	 76.30   	 518.82		 56.93   	 -25.43		
181.27   	-90.64   	 78.37   	 513.73		 56.83   	 -15.26		
202.94   	-101.32   	 80.43   	 498.47		 56.76   	  10.17		
225.22   	-112.61   	 82.42   	 473.04		 56.81   	  35.61		
246.28   	-122.99   	 84.31   	 396.74		 56.95   	  81.38		
265.50   	-132.75   	 85.90   	 310.27		 57.27   	 137.33		
282.90   	-141.30   	 87.14   	 228.89		 57.82   	 193.29		
298.46   	-149.23   	 88.06   	 162.77		 58.60   	 254.32		
311.89   	-155.94   	 88.71   	 101.73		 59.61   	 310.27		
322.57   	-161.13   	 89.11   	  61.04		 60.85   	 345.88		
330.20   	-165.10   	 89.36   	  30.52		 62.24   	 361.14		
333.56   	-166.63   	 89.48   	  25.43		 63.68   	 356.05		
331.12   	-165.41   	 89.58   	  25.43		 65.11   	 335.71		
321.96   	-160.83   	 89.68   	  10.17		 66.45   	 300.10		
305.18   	-152.59   	 89.72(S)	 -15.26		 67.65   	 259.41		
281.37   	-140.69   	 89.66   	 -45.78		 68.69   	 223.80		
252.99   	-126.34   	 89.48   	 -71.21		 69.58   	 188.20		
222.17   	-110.78   	 89.20   	-122.07		 70.34   	 172.94		
189.51   	-94.30   	 88.71   	-208.54		 71.03   	 167.85		
155.94   	-77.51   	 87.87   	-264.50		 71.70   	 183.11		
120.24   	-59.81   	 86.82   	-320.45		 72.43   	 208.54		
 82.70   	-40.89   	 85.53   	-412.00		 73.27   	 239.06		
 45.17   	-22.58   	 83.89   	-518.82		 74.22   	 274.67		
 10.68   	 -4.88   	 81.81   	-584.94		 75.32   	 300.10		
-17.70   	  9.16   	 79.47   	-625.63		 76.52   	 320.45		
-39.37   	 19.84   	 76.97   	-696.84		 77.80   	 335.71		
-56.46   	 28.38   	 74.18   	-727.36		 79.15   	 325.53		
-71.41   	 35.71   	 71.27   	-727.36		 80.45   	 315.36		
-86.36   	 43.03   	 68.36   	-752.79		 81.71   	 289.93		
-100.71   	 50.05   	 65.35   	-818.92		 82.87   	 264.50		
-114.14   	 56.76   	 62.08   	-925.73		 83.93   	 239.06		
-125.12   	 62.26   	 58.37   	-991.86		 84.88   	 213.63		
-132.14   	 65.61   	 54.40   	-1017.29		 85.74   	 193.29		
-135.50   	 67.75   	 50.34   	-1180.06		 86.51   	 172.94		
-136.41   	 68.05   	 45.62   	-1312.30		 87.20   	 162.77		
-136.11   	 68.05   	 40.37   	-1113.93		 87.85   	 152.59		
-136.11   	 68.05   	 35.91   	-854.52		 88.46   	 147.51		
-137.33   	 68.36   	 32.49   	-768.05		 89.05   	 132.25		
-139.47   	 69.27   	 29.42   	-645.98		 89.58   	 116.99		
-140.99   	 70.19   	 26.84   	-503.56		 90.05   	  96.64		
-140.38   	 70.19   	 24.82   	-432.35		 90.44   	  71.21		
-137.94   	 68.97   	 23.09   	-366.22		 90.72   	  40.69		
-135.19   	 67.44   	 21.63   	-295.01		 90.88   	  15.26		
-133.36   	 66.53   	 20.45   	-269.58		 90.95(S)	 -25.43		
-132.14   	 65.92   	 19.37   	-295.01		 90.84   	 -50.86		
-130.62   	 65.31   	 18.19   	-274.67		 90.64   	 -86.47		
-127.56   	 63.78   	 17.09   	-223.80		 90.29   	-106.82		
-122.99   	 61.34   	 16.20   	-198.37		 89.87   	-132.25		
-119.63   	 59.81   	 15.40   	-254.32		 89.34   	-147.51		
-118.71   	 59.20   	 14.38   	-325.53		 88.75   	-162.77		
-121.15   	 60.42   	 13.08   	-361.14		 88.10   	-178.03		
-124.82   	 62.26   	 11.64   	-401.83		 87.39   	-183.11		
-127.26   	 63.48   	 10.03   	-432.35		 86.65   	-193.29		
-127.56   	 63.78   	  8.30   	-427.26		 85.88   	-198.37		
-125.73   	 62.87   	  6.59   	-401.83		 85.09   	-203.46		
-123.29   	 61.65   	  4.98   	-361.14		 84.27   	-213.63		
-120.54   	 60.12   	  3.54   	-289.93		 83.42   	-218.72		
-117.49   	 58.59   	  2.38   	-213.63		 82.54   	-218.72		
-114.14   	 57.07   	  1.53   	-152.59		 81.67   	-218.72		
-110.78   	 55.24   	  0.92   	-101.73		 80.79   	-218.72		
-108.34   	 54.02   	  0.51   	 -50.86		 79.92   	-213.63		
-107.42   	 53.71   	  0.31   	   0.00		 79.06   	-203.46		
-107.73   	 53.71   	  0.31   	  40.69		 78.25   	-193.29		
-107.73   	 53.71   	  0.47   	  55.95		 77.48   	-178.03		
-106.81   	 53.41   	  0.69   	  20.35		 76.76   	-172.94		
-104.68   	 52.19   	  0.77   	  -5.09		 76.07   	-152.59		
-103.15   	 51.57   	  0.75   	 -15.26		 75.46   	-147.51		
-104.06   	 51.57   	  0.69   	 -50.86		 74.87   	-137.33		
-107.42   	 53.41   	  0.49   	 -96.64		 74.32   	-132.25		
-111.39   	 55.54   	  0.10   	-259.41		 73.79   	-127.16		
-113.22   	 56.46   	 -0.94   	-666.32		 73.29   	-132.25		
-112.61   	 56.46   	 -3.60   	-707.02		 72.76   	-127.16		
