SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
 25.02   	 21.97   	 45.19   	 142.42		 31.68   	 142.42		
 25.63   	 24.41   	 45.76   	 127.16		 32.25   	 198.37		
 26.55   	 27.16   	 46.27   	 122.07		 33.04   	 249.24		
 27.47   	 29.60   	 46.75   	 116.99		 34.04   	 289.93		
 27.16   	 32.04   	 47.22   	 106.82		 35.20   	 315.36		
 26.25   	 33.57   	 47.65   	  96.64		 36.46   	 330.62		
 24.11   	 35.10   	 48.04   	  76.30		 37.78   	 340.79		
 21.67   	 36.32   	 48.34   	  50.86		 39.15   	 356.05		
 19.23   	 38.45   	 48.55   	  20.35		 40.57   	 356.05		
 17.40   	 41.20   	 48.63(S)	   0.00		 41.99   	 371.31		
 15.87   	 44.56   	 48.63   	 -35.61		 43.48   	 371.31		
 13.73   	 48.83   	 48.48   	 -50.86		 44.96   	 371.31		
 11.60   	 53.10   	 48.28   	 -76.30		 46.45   	 356.05		
  9.16   	 57.07   	 47.98   	 -86.47		 47.87   	 320.45		
  6.71   	 60.73   	 47.63   	 -96.64		 49.16   	 284.84		
  4.58   	 64.39   	 47.24   	-106.82		 50.29   	 239.06		
  2.75   	 68.05   	 46.82   	-101.73		 51.25   	 193.29		
  1.22   	 72.63   	 46.41   	-122.07		 52.02   	 137.33		
 -0.31   	 83.92   	 45.92   	-127.16		 52.57   	 116.99		
  0.00   	 90.94   	 45.41   	-137.33		 53.04   	 132.25		
  1.22   	 99.49   	 44.86   	-147.51		 53.57   	 162.77		
  3.66   	109.86   	 44.27   	-157.68		 54.22   	 193.29		
  7.93   	122.99   	 43.64   	-178.03		 54.99   	 193.29		
 14.95   	137.94   	 42.93   	-188.20		 55.77   	 178.03		
 23.19   	152.89   	 42.18   	-203.46		 56.48   	 142.42		
 31.43   	165.41   	 41.36   	-213.63		 57.05   	  96.64		
 38.76   	173.65   	 40.51   	-218.72		 57.44   	  61.04		
 43.64   	176.39   	 39.63   	-218.72		 57.68   	  25.43		
 46.39   	173.95   	 38.76   	-223.80		 57.78(S)	   0.00		
 47.30   	167.24   	 37.86   	-218.72		 57.78   	 -10.17		
 47.00   	157.47   	 36.99   	-223.80		 57.74   	 -15.26		
 45.17   	145.57   	 36.09   	-239.06		 57.68   	 -15.26		
 41.81   	131.53   	 35.14   	-264.50		 57.62   	 -10.17		
 37.23   	116.88   	 34.08   	-300.10		 57.58   	 -20.35		
 31.43   	101.93   	 32.88   	-340.79		 57.50   	 -10.17		
 25.63   	 87.28   	 31.52   	-376.40		 57.46   	 -25.43		
 20.75   	 74.16   	 30.01   	-422.18		 57.35   	 -40.69		
 17.40   	 64.09   	 28.32   	-467.95		 57.19   	 -66.12		
 14.95   	 57.37   	 26.45   	-488.30		 56.93   	 -86.47		
 14.34   	 57.37   	 24.50   	-498.47		 56.58   	-101.73		
 15.26   	 66.83   	 22.50   	-488.30		 56.17   	-111.90		
 18.92   	 88.81   	 20.55   	-467.95		 55.73   	-122.07		
 25.33   	121.46   	 18.68   	-447.61		 55.24   	-122.07		
 32.65   	158.69   	 16.89   	-412.00		 54.75   	-122.07		
 39.67   	192.57   	 15.24   	-381.48		 54.26   	-122.07		
 45.47   	219.12   	 13.71   	-345.88		 53.77   	-132.25		
 50.35   	238.34   	 12.33   	-330.62		 53.24   	-142.42		
 54.63   	253.91   	 11.01   	-325.53		 52.68   	-152.59		
 58.59   	267.64   	  9.70   	-320.45		 52.06   	-167.85		
 61.34   	278.32   	  8.42   	-310.27		 51.39   	-172.94		
