SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
 34.48   	174.56   	  4.52   	-208.54		 49.91   	-162.77		
 23.80   	112.92   	  3.68   	-167.85		 49.26   	-152.59		
 12.82   	 49.13   	  3.01   	-122.07		 48.65   	-147.51		
  3.66   	 -4.58   	  2.52   	 -86.47		 48.06   	-132.25		
 -3.66   	-41.81   	  2.18   	 -55.95		 47.53   	-132.25		
 -9.16   	-63.17   	  1.95   	 -35.61		 47.00   	-127.16		
-13.43   	-75.68   	  1.81   	 -15.26		 46.49   	-122.07		
-16.78   	-86.06   	  1.75   	 -20.35		 46.00   	-132.25		
-19.53   	-97.35   	  1.67   	 -15.26		 45.47   	-127.16		
-21.06   	-108.03   	  1.61   	 -20.35		 44.96   	-137.33		
-22.28   	-115.66   	  1.53   	 -30.52		 44.41   	-132.25		
-23.80   	-119.93   	  1.40   	 -50.86		 43.89   	-137.33		
-25.94   	-123.29   	  1.20   	 -55.95		 43.34   	-127.16		
-28.08   	-127.26   	  0.98   	 -55.95		 42.83   	-127.16		
-29.30   	-132.14   	  0.75   	 -50.86		 42.32   	-116.99		
-28.99   	-136.41   	  0.55   	 -40.69		 41.85   	-106.82		
-28.69   	-136.41   	  0.39   	 -40.69		 41.42   	 -96.64		
-29.60   	-126.04   	  0.22   	 -20.35		 41.04   	 -96.64		
-32.65   	-105.90   	  0.14   	 -10.17		 40.65   	 -86.47		
-35.40   	-86.67   	  0.10(D)	  10.17		 40.31   	 -86.47		
-29.91   	-84.84   	  0.14   	  45.78		 39.96   	 -81.38		
 -7.63   	-110.47   	  0.33   	 106.82		 39.63   	 -86.47		
 34.79   	-152.28   	  0.75   	 142.42		 39.29   	 -81.38		
 90.64   	-171.51   	  1.32   	 152.59		 38.96   	 -81.38		
139.16   	-128.48   	  1.93   	 167.85		 38.64   	 -81.38		
151.98   	-17.70   	  2.60   	 193.29		 38.31   	 -81.38		
103.45   	117.80   	  3.38   	 198.37		 37.99   	 -76.30		
-10.07   	196.84   	  4.17   	 122.07		 37.68   	 -81.38		
-314.03   	-44.86   	  4.66   	  86.47		 37.35   	 -71.21		
-408.94   	-307.92   	  5.01   	  50.86		 37.07   	 -71.21		
-421.75   	-531.01   	  5.21   	 -15.26		 36.79   	 -71.21		
-359.19   	-617.07(R)	  5.15(E)	 -45.78		 36.50   	 -66.12		
-253.91   	-541.08   	  4.96   	 -55.95		 36.24   	 -66.12		
-145.57   	-364.69   	  4.74   	 -61.04		 35.97   	 -66.12		
-63.78   	-190.43   	  4.50   	 -45.78		 35.71   	 -61.04		
-17.40   	-93.69   	  4.31   	   0.00		 35.46   	 -55.95		
 -1.22   	-85.75   	  4.31   	  55.95		 35.24   	 -55.95		
 -1.83   	-124.82   	  4.54   	 106.82		 35.02   	 -55.95		
 -7.02   	-157.17   	  4.96   	 167.85		 34.79   	 -55.95		
 -8.24   	-157.17   	  5.64   	 254.32		 34.57   	 -55.95		
 -3.97   	-133.36   	  6.65   	 356.05		 34.34   	 -50.86		
  3.36   	-108.34   	  8.08   	 467.95		 34.14   	 -50.86		
  8.85   	-95.83   	  9.95   	 539.16		 33.94   	 -45.78		
 10.38   	-94.30   	 12.11   	 584.94		 33.75   	 -45.78		
  8.54   	-94.60   	 14.45   	 635.81		 33.57   	 -40.69		
  6.71   	-89.72   	 16.99   	 661.24		 33.41   	 -40.69		
  6.41   	-78.74   	 19.63   	 651.07		 33.25   	 -45.78		
  7.93   	-66.53   	 22.24   	 651.07		 33.06   	 -50.86		
 10.07   	-56.76   	 24.84   	 671.41		 32.86   	 -50.86		
 11.90   	-51.27   	 27.53   	 656.15		 32.66   	 -50.86		
 12.82   	-47.91   	 30.15   	 645.98		 32.45   	 -45.78		
 13.43   	-43.95   	 32.74   	 620.55		 32.27   	 -45.78		
 14.65   	-38.15   	 35.22   	 584.94		 32.09   	 -40.69		
 18.31   	-24.11   	 37.56   	 508.65		 31.92   	 -40.69		
 20.45   	-18.31   	 39.59   	 447.61		 31.76   	 -30.52		
 22.28   	-14.04   	 41.38   	 376.40		 31.64   	 -25.43		
 24.41   	-10.38   	 42.89   	 315.36		 31.54   	  -5.09		
 25.94   	 -7.63   	 44.15   	 264.50		 31.52(D)	  20.35		
 27.47   	 -5.49   	 45.21   	 218.72		 31.60   	  61.04		
 28.69   	 -3.36   	 46.08   	 188.20		 31.84   	 106.82		
 30.52   	 -1.22   	 46.84   	 157.68		 32.27   	 167.85		
 32.65   	  1.22   	 47.47   	 132.25		 32.94   	 223.80		
 35.40   	  4.27   	 48.00   	 116.99		 33.84   	 274.67		
 36.93   	  7.02   	 48.46   	  96.64		 34.93   	 310.27		
 36.93   	  9.46   	 48.85   	  86.47		 36.17   	 335.71		
 35.40   	 11.60   	 49.20   	  66.12		 37.52   	 350.97		
 32.65   	 14.04   	 49.46   	  50.86		 38.92   	 366.22		
 30.21   	 16.78   	 49.66   	  30.52		 40.39   	 376.40		
 27.47   	 19.23   	 49.79   	  10.17		 41.89   	 381.48		
 24.11   	 20.45   	 49.83(S)	 -10.17		 43.42   	 391.66		
 19.84   	 20.45   	 49.79   	 -35.61		 44.98   	 396.74		
 14.95   	 19.23   	 49.64   	 -50.86		 46.57   	 381.48		
 10.07   	 18.92   	 49.44   	 -71.21		 48.10   	 361.14		
  6.41   	 20.14   	 49.16   	 -76.30		 49.54   	 330.62		
  4.58   	 22.58   	 48.85   	 -91.56		 50.86   	 289.93		
  3.97   	 25.63   	 48.48   	 -96.64		 52.02   	 239.06		
  3.66   	 28.38   	 48.10   	-101.73		 52.98   	 193.29		
  3.66   	 31.13   	 47.69   	-132.25		 53.75   	 157.68		
  1.53   	 40.28   	 47.16   	-137.33		 54.38   	 157.68		
  0.31   	 47.61   	 46.61   	-147.51		 55.02   	 167.85		
  0.31   	 57.07   	 46.02   	-157.68		 55.69   	 178.03		
  2.14   	 68.66   	 45.39   	-157.68		 56.40   	 178.03		
  6.41   	 82.40   	 44.76   	-167.85		 57.11   	 172.94		
 11.90   	 98.57   	 44.09   	-172.94		 57.80   	 172.94		
 18.31   	115.05   	 43.40   	-178.03		 58.49   	 147.51		
 24.72   	130.00   	 42.69   	-188.20		 59.08   	 122.07		
 30.82   	140.99   	 41.93   	-198.37		 59.57   	  91.56		
 36.01   	145.87   	 41.14   	-203.46		 59.94   	  61.04		
 39.98   	144.35   	 40.33   	-218.72		 60.18   	  35.61		
 42.42   	137.02   	 39.45   	-228.89		 60.33   	  20.35		
 43.03   	124.82   	 38.53   	-244.15		 60.41(S)	   0.00		
 41.50   	109.86   	 37.56   	-274.67		 60.41   	 -10.17		
 38.76   	 93.38   	 36.46   	-295.01		 60.37   	 -20.35		
 35.10   	 75.99   	 35.28   	-335.71		 60.28   	 -20.35		
 31.13   	 59.20   	 33.94   	-366.22		 60.20   	 -25.43		
 27.47   	 43.95   	 32.47   	-396.74		 60.10   	 -35.61		
 24.11   	 30.82   	 30.88   	-427.26		 59.96   	 -45.78		
 21.97   	 21.36   	 29.18   	-457.78		 59.78   	 -61.04		
 20.75   	 18.31   	 27.34   	-483.21		 59.53   	 -71.21		
 21.67   	 27.16   	 25.41   	-488.30		 59.25   	 -86.47		
 25.02   	 50.66   	 23.46   	-493.39		 58.90   	-101.73		
 30.82   	 88.20   	 21.49   	-483.21		 58.49   	-116.99		
 37.54   	132.75   	 19.55   	-462.87		 58.03   	-132.25		
 43.95   	175.17   	 17.70   	-432.35		 57.50   	-152.59		
 49.44   	207.82   	 15.97   	-406.92		 56.89   	-152.59		
 53.71   	229.49   	 14.34   	-376.40		 56.28   	-167.85		
 57.07   	244.75   	 12.84   	-356.05		 55.61   	-167.85		
 59.51   	256.96   	 11.41   	-335.71		 54.93   	-178.03		
 59.81   	267.03   	 10.07   	-320.45		 54.22   	-183.11		
 58.59   	271.61   	  8.79   	-289.93		 53.49   	-178.03		
 55.24   	265.81   	  7.63   	-259.41		 52.78   	-183.11		
 49.74   	243.84   	  6.59   	-218.72		 52.04   	-172.94		
 42.72   	203.55   	  5.72   	-172.94		 51.35   	-172.94		
 33.87   	146.48   	  5.03   	-127.16		 50.66   	-167.85		
 23.80   	 80.57   	  4.52   	 -86.47		 49.99   	-152.59		
 13.43   	 17.40   	  4.17   	 -50.86		 49.38   	-142.42		
  4.58   	-33.26   	  3.97   	 -30.52		 48.81   	-137.33		
 -2.75   	-67.14   	  3.85   	 -15.26		 48.26   	-127.16		
 -8.85   	-87.28   	  3.78   	 -10.17		 47.75   	-132.25		
-13.43   	-100.10   	  3.74   	 -20.35		 47.22   	-132.25		
-16.78   	-111.39   	  3.66   	 -40.69		 46.69   	-137.33		
-19.23   	-122.99   	  3.50   	 -66.12		 46.14   	-137.33		
-20.75   	-133.67   	  3.23   	 -86.47		 45.59   	-137.33		
-21.67   	-141.30   	  2.89   	-111.90		 45.05   	-137.33		
-22.58   	-146.18   	  2.44   	-116.99		 44.50   	-137.33		
-23.19   	-149.54   	  1.97   	-106.82		 43.95   	-132.25		
-23.50   	-152.59   	  1.55   	 -81.38		 43.42   	-122.07		
-23.50   	-155.94   	  1.22   	 -45.78		 42.93   	-116.99		
-22.89   	-158.39   	  1.04(D)	   0.00		 42.46   	-111.90		
-23.19   	-155.94   	  1.04   	  35.61		 42.01   	-101.73		
-25.02   	-144.04   	  1.18   	  61.04		 41.61   	 -91.56		
-27.77   	-126.04   	  1.42   	  86.47		 41.24   	 -86.47		
-27.47   	-114.75   	  1.77   	  76.30		 40.90   	 -86.47		
-16.78   	-125.12   	  2.08   	  61.04		 40.55   	 -86.47		
 10.38   	-159.00   	  2.32   	  55.95		 40.20   	 -86.47		
 52.80   	-194.40   	  2.54   	  66.12		 39.86   	 -81.38		
 98.57   	-187.68   	  2.81   	  71.21		 39.53   	 -86.47		
126.65   	-108.95   	  3.09   	  76.30		 39.19   	 -81.38		
112.92   	 26.55   	  3.40   	  86.47		 38.86   	 -81.38		
 43.33   	152.59   	  3.74   	  81.38		 38.53   	 -86.47		
-214.84   	 47.91   	  4.07   	  91.56		 38.19   	 -81.38		
-332.95   	-211.49   	  4.44   	  66.12		 37.86   	 -76.30		
-391.24   	-494.69   	  4.70   	  45.78		 37.56   	 -71.21		
-373.84   	-674.74(R)	  4.88(E)	  15.26		 37.27   	 -66.12		
-295.41   	-674.13   	  4.94   	   5.09		 37.01   	 -66.12		
-190.12   	-515.75   	  4.96   	 -10.17		 36.74   	 -66.12		
-94.60   	-302.12   	  4.92   	  -5.09		 36.48   	 -61.04		
-30.82   	-143.43   	  4.90   	  10.17		 36.24   	 -66.12		
 -2.44   	-90.33   	  4.94   	  35.61		 35.97   	 -61.04		
  1.22   	-119.63   	  5.09   	  66.12		 35.73   	 -55.95		
 -4.88   	-168.76   	  5.35   	  96.64		 35.50   	 -61.04		
 -9.16   	-188.60   	  5.74   	 142.42		 35.26   	 -55.95		
 -7.63   	-170.90   	  6.31   	 213.63		 35.04   	 -50.86		
 -1.53   	-138.24   	  7.16   	 295.01		 34.83   	 -55.95		
  3.97   	-114.44   	  8.34   	 401.83		 34.61   	 -55.95		
  6.71   	-106.81   	  9.95   	 483.21		 34.38   	 -45.78		
  6.71   	-108.03   	 11.88   	 528.99		 34.20   	 -45.78		
  6.10   	-107.12   	 14.00   	 595.11		 34.02   	 -45.78		
  7.63   	-99.18   	 16.38   	 645.98		 33.84   	 -50.86		
 10.38   	-85.75   	 18.96   	 645.98		 33.63   	 -45.78		
 13.43   	-72.02   	 21.55   	 651.07		 33.45   	 -50.86		
 14.65   	-61.34   	 24.15   	 661.24		 33.25   	 -55.95		
 14.04   	-54.63   	 26.80   	 671.41		 33.02   	 -50.86		
 13.12   	-49.13   	 29.48   	 661.24		 32.82   	 -45.78		
 12.82   	-43.03   	 32.13   	 671.41		 32.63   	 -50.86		
 15.87   	-28.99   	 34.81   	 610.37		 32.43   	 -45.78		
 18.62   	-23.19   	 37.25   	 528.99		 32.25   	 -40.69		
 21.06   	-18.62   	 39.37   	 447.61		 32.09   	 -30.52		
 23.50   	-14.65   	 41.16   	 371.31		 31.96   	 -20.35		
 25.33   	-10.68   	 42.64   	 289.93		 31.88(D)	   0.00		
 27.16   	 -6.71   	 43.80   	 223.80		 31.88   	  25.43		
 28.38   	 -3.36   	 44.70   	 167.85		 31.98   	  66.12		
 29.30   	  0.00   	 45.37   	 127.16		 32.25   	 122.07		
 29.91   	  3.05   	 45.88   	 101.73		 32.74   	 178.03		
 30.82   	  6.10   	 46.29   	  86.47		 33.45   	 233.98		
 31.43   	  9.16   	 46.63   	  81.38		 34.38   	 279.75		
 31.43   	 12.82   	 46.96   	  76.30		 35.50   	 310.27		
 30.82   	 16.17   	 47.26   	  71.21		 36.74   	 335.71		
 29.60   	 19.53   	 47.55   	  61.04		 38.09   	 350.97		
 27.77   	 22.28   	 47.79   	  50.86		 39.49   	 361.14		
 25.63   	 24.72   	 48.00   	  30.52		 40.94   	 371.31		
 23.19   	 27.16   	 48.12   	  10.17		 42.42   	 376.40		
 20.45   	 30.21   	 48.16(S)	 -15.26		 43.93   	 391.66		
 17.40   	 33.26   	 48.10   	 -40.69		 45.49   	 386.57		
 14.34   	 36.62   	 47.93   	 -66.12		 47.04   	 371.31		
 11.90   	 39.98   	 47.67   	 -91.56		 48.52   	 356.05		
  9.46   	 43.64   	 47.30   	-111.90		 49.95   	 320.45		
  7.32   	 47.61   	 46.86   	-122.07		 51.23   	 279.75		
  5.19   	 51.88   	 46.37   	-132.25		 52.35   	 233.98		
  3.66   	 57.07   	 45.84   	-157.68		 53.29   	 167.85		
  3.05   	 68.36   	 45.21   	-157.68		 53.96   	 147.51		
  3.97   	 75.07   	 44.58   	-152.59		 54.55   	 122.07		
  6.10   	 83.62   	 43.97   	-157.68		 55.04   	 122.07		
  8.85   	 94.60   	 43.34   	-157.68		 55.52   	 142.42		
 12.51   	108.64   	 42.71   	-167.85		 56.09   	 142.42		
 16.48   	125.12   	 42.03   	-172.94		 56.66   	 142.42		
 21.06   	143.43   	 41.34   	-178.03		 57.23   	 142.42		
 26.55   	161.13   	 40.63   	-193.29		 57.80   	 147.51		
 31.74   	175.48   	 39.86   	-203.46		 58.39   	 152.59		
 36.01   	184.63   	 39.04   	-223.80		 59.00   	 127.16		
 38.45   	186.46   	 38.15   	-233.98		 59.51   	  96.64		
 39.06   	180.97   	 37.21   	-249.24		 59.90   	  71.21		
 38.45   	169.07   	 36.22   	-264.50		 60.18   	  25.43		
 37.54   	153.20   	 35.16   	-284.84		 60.28(S)	 -10.17		
 36.62   	135.50   	 34.02   	-315.36		 60.24   	 -45.78		
 34.79   	117.80   	 32.76   	-340.79		 60.06   	 -71.21		
 32.04   	101.01   	 31.39   	-376.40		 59.78   	 -76.30		
 28.08   	 85.14   	 29.89   	-396.74		 59.47   	 -76.30		
 23.19   	 70.80   	 28.30   	-427.26		 59.17   	 -71.21		
 18.62   	 58.90   	 26.59   	-447.61		 58.88   	 -61.04		
 15.56   	 51.88   	 24.80   	-478.13		 58.64   	 -61.04		
 14.95   	 54.93   	 22.89   	-483.21		 58.39   	 -61.04		
 17.70   	 71.72   	 20.96   	-483.21		 58.15   	 -71.21		
 22.89   	103.15   	 19.02   	-473.04		 57.86   	 -91.56		
 29.91   	143.13   	 17.13   	-447.61		 57.50   	-106.82		
 37.23   	182.50   	 15.34   	-417.09		 57.07   	-116.99		
 43.95   	213.93   	 13.67   	-391.66		 56.60   	-142.42		
 49.44   	235.60   	 12.11   	-361.14		 56.03   	-157.68		
 54.32   	251.16   	 10.66   	-335.71		 55.40   	-167.85		
 58.29   	265.20   	  9.32   	-310.27		 54.73   	-178.03		
 60.73   	278.02   	  8.08   	-289.93		 54.02   	-188.20		
 60.42   	286.56   	  6.92   	-259.41		 53.27   	-188.20		
 57.98   	285.03   	  5.88   	-218.72		 52.51   	-188.20		
 52.49   	267.64   	  5.01   	-188.20		 51.76   	-183.11		
 44.25   	231.32   	  4.25   	-152.59		 51.03   	-178.03		
 34.18   	177.00   	  3.64   	-116.99		 50.32   	-167.85		
 22.89   	111.69   	  3.17   	 -76.30		 49.64   	-157.68		
 12.21   	 47.61   	  2.87   	 -45.78		 49.01   	-147.51		
  3.36   	 -4.27   	  2.69   	 -15.26		 48.42   	-137.33		
 -3.97   	-39.37   	  2.62   	   5.09		 47.87   	-142.42		
-10.68   	-60.12   	  2.64   	  -5.09		 47.30   	-132.25		
-17.09   	-73.55   	  2.62   	 -20.35		 46.77   	-132.25		
-22.28   	-85.45   	  2.54   	 -40.69		 46.25   	-132.25		
-25.33   	-96.74   	  2.38   	 -71.21		 45.72   	-127.16		
-25.94   	-106.20   	  2.10   	 -91.56		 45.21   	-127.16		
-25.02   	-112.00   	  1.73   	-111.90		 44.70   	-127.16		
-23.80   	-115.05   	  1.28   	-127.16		 44.19   	-132.25		
-23.80   	-117.49   	  0.77   	-132.25		 43.66   	-127.16		
-24.72   	-121.15   	  0.24   	-132.25		 43.15   	-122.07		
-25.94   	-126.34   	 -0.28   	-106.82		 42.67   	-122.07		
-26.86   	-131.23   	 -0.71   	 -71.21		 42.18   	-111.90		
-27.77   	-130.92   	 -1.00   	 -40.69		 41.73   	-101.73		
-29.91   	-120.54   	 -1.16(D)	   5.09		 41.32   	 -96.64		
-33.87   	-101.93   	 -1.14   	  35.61		 40.94   	 -96.64		
-36.01   	-86.98   	 -1.00   	  55.95		 40.55   	 -86.47		
-29.91   	-92.77   	 -0.77   	  86.47		 40.20   	 -91.56		
 -6.41   	-127.56   	 -0.43   	 106.82		 39.84   	 -86.47		
 36.62   	-175.17   	  0.00   	 127.16		 39.49   	 -81.38		
 91.25   	-193.79   	  0.51   	 193.29		 39.17   	 -81.38		
136.72   	-143.13   	  1.28   	 249.24		 38.84   	 -81.38		
143.74   	-20.14   	  2.28   	 223.80		 38.51   	 -76.30		
 88.81   	129.39   	  3.17   	 167.85		 38.21   	 -76.30		
-29.60   	223.69   	  3.85   	 106.82		 37.90   	 -81.38		
-335.39   	  8.24   	  4.27   	  50.86		 37.58   	 -81.38		
-426.64   	-251.46   	  4.48   	   0.00		 37.25   	 -71.21		
-434.27   	-482.79   	  4.48   	 -50.86		 36.97   	 -71.21		
-366.82   	-585.63(R)	  4.27(E)	 -61.04		 36.68   	 -66.12		
-258.48   	-527.95   	  4.03   	 -71.21		 36.42   	 -66.12		
-149.54   	-363.46   	  3.74   	 -55.95		 36.15   	 -61.04		
-67.75   	-190.73   	  3.52   	 -25.43		 35.91   	 -61.04		
-22.28   	-88.50   	  3.42   	  10.17		 35.67   	 -55.95		
 -6.41   	-73.55   	  3.46   	  71.21		 35.44   	 -61.04		
 -7.32   	-109.25   	  3.74   	 137.33		 35.20   	 -61.04		
-12.21   	-142.82   	  4.29   	 193.29		 34.95   	 -55.95		
-13.73   	-145.57   	  5.07   	 254.32		 34.73   	 -61.04		
-10.38   	-123.60   	  6.08   	 320.45		 34.49   	 -55.95		
 -4.88   	-97.35   	  7.37   	 417.09		 34.26   	 -50.86		
 -0.61   	-82.09   	  9.03   	 493.39		 34.06   	 -50.86		
  0.92   	-77.82   	 11.01   	 523.90		 33.86   	 -45.78		
  0.61   	-76.60   	 13.10   	 569.68		 33.67   	 -50.86		
  0.61   	-71.72   	 15.38   	 615.46		 33.47   	 -45.78		
  2.14   	-61.65   	 17.84   	 640.89		 33.29   	 -50.86		
  4.58   	-49.13   	 20.41   	 661.24		 33.08   	 -50.86		
  7.02   	-37.54   	 23.05   	 696.84		 32.88   	 -45.78		
  9.16   	-28.99   	 25.84   	 696.84		 32.70   	 -45.78		
 10.68   	-22.58   	 28.63   	 686.67		 32.51   	 -40.69		
 11.29   	-17.40   	 31.37   	 651.07		 32.35   	 -45.78		
 12.21   	-12.82   	 33.98   	 605.29		 32.17   	 -50.86		
 15.26   	 -4.88   	 36.40   	 518.82		 31.96   	 -45.78		
 18.31   	 -1.83   	 38.47   	 437.43		 31.78   	 -40.69		
 21.67   	  0.92   	 40.22   	 340.79		 31.62   	 -30.52		
 23.80   	  3.66   	 41.59   	 264.50		 31.50   	 -20.35		
 25.02   	  7.02   	 42.64   	 213.63		 31.41(D)	   0.00		
 25.33   	 10.68   	 43.50   	 172.94		 31.41   	  35.61		
 25.94   	 14.65   	 44.19   	 147.51		 31.56   	  81.38		
 27.16   	 18.62   	 44.78   	 132.25		 31.88   	 142.42		
 28.99   	 22.28   	 45.31   	 132.25		 32.45   	 198.37		
 30.82   	 25.33   	 45.84   	 132.25		 33.25   	 249.24		
 31.43   	 27.47   	 46.37   	 122.07		 34.24   	 289.93		
 30.52   	 28.99   	 46.86   	 116.99		 35.40   	 315.36		
 28.69   	 30.21   	 47.32   	 101.73		 36.66   	 330.62		
 26.86   	 32.04   	 47.73   	  71.21		 37.99   	 340.79		
 25.33   	 33.87   	 48.02   	  45.78		 39.35   	 345.88		
 23.50   	 36.32   	 48.20   	  15.26		 40.73   	 350.97		
 20.75   	 38.45   	 48.26(S)	 -15.26		 42.14   	 356.05		
 16.78   	 40.28   	 48.20   	 -50.86		 43.56   	 361.14		
 12.21   	 42.11   	 48.00   	 -66.12		 45.00   	 350.97		
  7.63   	 44.25   	 47.73   	 -86.47		 46.41   	 335.71		
  4.58   	 47.00   	 47.39   	-101.73		 47.75   	 305.19		
  2.75   	 50.66   	 46.98   	-101.73		 48.97   	 274.67		
  1.83   	 55.24   	 46.57   	-106.82		 50.07   	 228.89		
  1.22   	 60.12   	 46.14   	-106.82		 50.99   	 193.29		
  0.61   	 66.22   	 45.72   	-127.16		 51.76   	 147.51		
 -0.61   	 80.26   	 45.21   	-127.16		 52.35   	 127.16		
 -0.31   	 88.50   	 44.70   	-137.33		 52.86   	 122.07		
  1.22   	 98.27   	 44.15   	-147.51		 53.35   	 137.33		
  4.88   	110.47   	 43.56   	-162.77		 53.90   	 152.59		
 10.38   	125.43   	 42.91   	-178.03		 54.51   	 157.68		
 18.31   	142.21   	 42.20   	-188.20		 55.14   	 142.42		
 26.55   	158.69   	 41.44   	-198.37		 55.71   	 132.25		
 33.57   	172.12   	 40.65   	-218.72		 56.24   	 111.90		
 38.45   	180.66   	 39.78   	-223.80		 56.68   	  86.47		
 40.89   	183.72   	 38.88   	-233.98		 57.03   	  50.86		
 41.50   	181.58   	 37.94   	-244.15		 57.23   	  20.35		
 41.81   	174.87   	 36.97   	-249.24		 57.31(S)	  -5.09		
 41.20   	164.79   	 35.97   	-264.50		 57.29   	 -20.35		
 39.67   	151.06   	 34.91   	-284.84		 57.21   	 -30.52		
 37.23   	135.50   	 33.77   	-310.27		 57.09   	 -25.43		
 33.87   	119.32   	 32.53   	-320.45		 56.99   	 -15.26		
 30.21   	104.06   	 31.25   	-340.79		 56.93   	 -20.35		
 26.25   	 90.03   	 29.89   	-366.22		 56.85   	 -20.35		
 21.97   	 78.13   	 28.42   	-401.83		 56.76   	 -25.43		
 18.01   	 68.36   	 26.82   	-432.35		 56.66   	 -45.78		
 14.95   	 62.87   	 25.09   	-452.69		 56.48   	 -61.04		
 14.65   	 67.14   	 23.28   	-462.87		 56.24   	 -86.47		
 17.09   	 84.84   	 21.42   	-462.87		 55.89   	-111.90		
 22.89   	115.66   	 19.57   	-447.61		 55.44   	-132.25		
 30.21   	153.81   	 17.78   	-432.35		 54.91   	-147.51		
 37.84   	189.82   	 16.05   	-401.83		 54.32   	-152.59		
 44.86   	217.90   	 14.45   	-376.40		 53.71   	-157.68		
 50.96   	236.82   	 12.94   	-350.97		 53.08   	-157.68		
 56.46   	251.16   	 11.54   	-345.88		 52.45   	-147.51		
 61.04   	263.37   	 10.15   	-325.53		 51.86   	-147.51		
 62.87   	272.83   	  8.85   	-310.27		 51.27   	-147.51		
 61.65   	276.49   	  7.61   	-295.01		 50.68   	-157.68		
 57.37   	270.69   	  6.43   	-274.67		 50.05   	-157.68		
 50.96   	251.77   	  5.33   	-244.15		 49.42   	-167.85		
 42.72   	216.67   	  4.35   	-213.63		 48.75   	-167.85		
 32.96   	164.79   	  3.50   	-167.85		 48.08   	-162.77		
 22.28   	102.23   	  2.83   	-127.16		 47.43   	-157.68		
 11.60   	 39.98   	  2.32   	 -91.56		 46.80   	-147.51		
  2.14   	 -9.77   	  1.95   	 -61.04		 46.21   	-137.33		
 -6.41   	-42.11   	  1.71   	 -45.78		 45.66   	-137.33		
-14.04   	-60.42   	  1.53   	 -30.52		 45.11   	-127.16		
-21.06   	-72.33   	  1.40   	 -35.61		 44.60   	-122.07		
-26.55   	-84.23   	  1.26   	 -50.86		 44.11   	-127.16		
-30.21   	-96.74   	  1.06   	 -55.95		 43.60   	-116.99		
-32.04   	-107.42   	  0.83   	 -66.12		 43.13   	-122.07		
-32.96   	-113.83   	  0.57   	 -81.38		 42.64   	-116.99		
-33.87   	-117.19   	  0.24   	 -81.38		 42.18   	-116.99		
-34.79   	-119.32   	 -0.08   	 -81.38		 41.71   	-111.90		
-35.10   	-122.07   	 -0.41   	 -61.04		 41.26   	-111.90		
-34.79   	-125.73   	 -0.65   	 -55.95		 40.81   	-106.82		
-33.87   	-128.48   	 -0.87   	 -45.78		 40.39   	-101.73		
-33.57   	-125.73   	 -1.06   	 -30.52		 39.98   	 -91.56		
-35.10   	-112.61   	 -1.18   	 -20.35		 39.61   	 -86.47		
-38.76   	-90.94   	 -1.26(D)	   5.09		 39.27   	 -81.38		
-40.59   	-73.85   	 -1.24   	  25.43		 38.94   	 -76.30		
-31.43   	-78.13   	 -1.14   	  50.86		 38.64   	 -76.30		
 -2.75   	-111.69   	 -0.94   	  76.30		 38.33   	 -81.38		
 47.61   	-157.17   	 -0.63   	 101.73		 38.01   	 -81.38		
109.25   	-171.51   	 -0.22   	 137.33		 37.68   	 -81.38		
158.08   	-117.80   	  0.33   	 198.37		 37.35   	 -81.38		
162.05   	  4.27   	  1.12   	 239.06		 37.03   	 -71.21		
 96.74   	147.09   	  2.08   	 218.72		 36.74   	 -71.21		
-36.01   	227.97   	  2.95   	 183.11		 36.46   	 -71.21		
-361.02   	-13.73   	  3.68   	 127.16		 36.17   	 -71.21		
-449.22   	-273.44   	  4.19   	  55.95		 35.89   	 -61.04		
-448.00   	-493.16   	  4.42   	  15.26		 35.65   	 -61.04		
-371.40   	-578.61(R)	  4.48(E)	 -25.43		 35.40   	 -61.04		
-257.87   	-507.51   	  4.37   	 -66.12		 35.16   	 -55.95		
-148.32   	-341.49   	  4.11   	 -81.38		 34.93   	 -50.86		
-69.27   	-178.53   	  3.78   	 -71.21		 34.73   	 -61.04		
-25.63   	-88.50   	  3.50   	 -30.52		 34.49   	 -55.95		
 -9.16   	-80.87   	  3.38   	  30.52		 34.26   	 -50.86		
 -7.32   	-115.36   	  3.50   	 101.73		 34.06   	 -55.95		
 -9.46   	-142.82   	  3.91   	 178.03		 33.84   	 -50.86		
 -9.77   	-141.30   	  4.62   	 284.84		 33.63   	 -55.95		
 -6.71   	-119.63   	  5.76   	 401.83		 33.41   	 -50.86		
 -2.44   	-97.66   	  7.37   	 493.39		 33.20   	 -45.78		
  0.31   	-86.67   	  9.34   	 539.16		 33.02   	 -50.86		
  0.61   	-84.84   	 11.50   	 569.68		 32.82   	 -45.78		
  0.00   	-84.53   	 13.77   	 615.46		 32.63   	 -45.78		
  0.00   	-79.35   	 16.24   	 645.98		 32.45   	 -45.78		
  1.22   	-69.27   	 18.82   	 656.15		 32.27   	 -45.78		
  3.66   	-57.98   	 21.44   	 676.50		 32.09   	 -40.69		
  5.49   	-48.22   	 24.15   	 686.67		 31.92   	 -45.78		
