SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 -8.54   	-55.24   	 63.54   	 -71.21		 45.53   	-615.46		
 -7.93   	-56.46   	 63.26   	 -81.38		 43.07   	-590.03		
 -9.77   	-58.59   	 62.93   	 -91.56		 40.71   	-569.68		
-12.82   	-60.73   	 62.56   	-101.73		 38.43   	-559.51		
-14.34   	-61.95   	 62.16   	-111.90		 36.20   	-544.25		
-13.43   	-61.65   	 61.71   	-101.73		 34.02   	-513.73		
-11.29   	-61.34   	 61.30   	 -86.47		 31.96   	-488.30		
 -9.77   	-61.65   	 60.96   	 -71.21		 30.01   	-478.13		
 -9.16   	-63.17   	 60.67   	 -71.21		 28.10   	-452.69		
 -9.46   	-65.00   	 60.39   	 -61.04		 26.29   	-432.35		
-10.07   	-66.22   	 60.14   	 -50.86		 24.56   	-396.74		
-11.29   	-65.92   	 59.94   	 -25.43		 22.97   	-366.22		
-13.12   	-64.09   	 59.84   	 -25.43		 21.51   	-340.79		
-14.34   	-61.65   	 59.74   	 -40.69		 20.14   	-310.27		
-13.73   	-59.81   	 59.57   	 -35.61		 18.90   	-279.75		
-11.60   	-59.81   	 59.43   	 -30.52		 17.78   	-244.15		
-10.07   	-61.34   	 59.31   	 -35.61		 16.81   	-228.89		
-10.68   	-63.78   	 59.17   	 -45.78		 15.89   	-208.54		
-13.12   	-65.31   	 58.98   	 -55.95		 15.06   	-198.37		
-14.95   	-64.70   	 58.76   	 -50.86		 14.26   	-172.94		
-14.04   	-62.26   	 58.56   	 -45.78		 13.57   	-157.68		
-10.99   	-59.51   	 58.37   	 -50.86		 12.94   	-142.42		
 -8.54   	-57.68   	 58.17   	 -55.95		 12.37   	-127.16		
 -9.16   	-57.68   	 57.94   	 -55.95		 11.86   	-142.42		
-12.82   	-58.90   	 57.72   	 -61.04		 11.29   	-172.94		
-17.70   	-60.42   	 57.48   	 -50.86		 10.60   	-178.03		
-21.06   	-61.34   	 57.27   	 -45.78		  9.89   	-157.68		
-21.06   	-61.34   	 57.09   	 -50.86		  9.26   	-142.42		
-19.23   	-60.73   	 56.89   	 -55.95		  8.69   	-137.33		
-17.09   	-59.51   	 56.66   	 -50.86		  8.14   	-111.90		
-15.87   	-58.29   	 56.46   	 -35.61		  7.69   	 -66.12		
-15.26   	-57.37   	 56.32   	 -35.61		  7.43   	 -45.78		
-15.26   	-56.76   	 56.17   	 -45.78		  7.24   	 -25.43		
-15.56   	-56.15   	 55.99   	 -55.95		  7.14   	   0.00		
-16.78   	-55.54   	 55.77   	 -45.78		  7.14   	  15.26		
-18.62   	-53.71   	 55.58   	 -45.78		  7.20   	  25.43		
-20.14   	-51.27   	 55.40   	 -40.69		  7.30   	  40.69		
-19.84   	-49.13   	 55.24   	 -50.86		  7.47   	  40.69		
-18.92   	-48.52   	 55.04   	 -50.86		  7.63   	  40.69		
-17.70   	-48.83   	 54.83   	 -55.95		  7.79   	  40.69		
-15.56   	-45.78   	 54.61   	 -40.69		  7.96   	  30.52		
-10.38   	-34.48   	 54.45   	 -40.69		  8.08   	  25.43		
  0.31   	-10.38   	 54.28   	 -55.95		  8.18   	   5.09		
 16.48   	 28.08   	 54.06   	 -50.86		  8.20   	   5.09		
 35.71   	 79.96   	 53.86   	 -30.52		  8.22   	  10.17		
 54.63   	139.16   	 53.73   	 -30.52		  8.26   	   0.00		
 70.50   	196.53   	 53.61   	 -45.78		  8.26   	 -15.26		
 82.70   	242.61   	 53.43   	 -45.78		  8.20   	 -10.17		
 92.77   	270.08   	 53.24   	 -35.61		  8.16   	  -5.09		
100.10   	273.74   	 53.10   	 -40.69		  8.14   	  -5.09		
103.45   	251.77   	 52.94   	 -50.86		  8.12   	 -15.26		
100.71   	204.16   	 52.74   	 -45.78		  8.06   	 -10.17		
 88.20   	135.50   	 52.55   	 -40.69		  8.02   	   5.09		
 64.70   	 58.90   	 52.39   	 -40.69		  8.04   	   5.09		
 33.57   	 -7.32   	 52.23   	 -45.78		  8.06   	 -10.17		
  1.83   	-47.91   	 52.04   	 -45.78		  8.02   	   5.09		
-24.11   	-62.26   	 51.86   	 -40.69		  8.04   	   5.09		
-39.67   	-61.34   	 51.70   	 -40.69		  8.06   	   5.09		
-45.17   	-59.20   	 51.54   	 -35.61		  8.08   	   5.09		
-44.86   	-63.17   	 51.39   	 -40.69		  8.10   	   0.00		
-43.03   	-70.80   	 51.23   	 -45.78		  8.10   	   5.09		
-42.42   	-75.68   	 51.05   	 -30.52		  8.12   	  10.17		
-43.03   	-74.46   	 50.93   	 -20.35		  8.16   	  10.17		
-43.33   	-70.19   	 50.84   	 -35.61		  8.20   	   5.09		
-41.81   	-72.33   	 50.70   	 -40.69		  8.22   	   5.09		
-36.93   	-90.94   	 50.54   	 -30.52		  8.24   	  25.43		
-26.25   	-121.15   	 50.42   	 -25.43		  8.34   	  15.26		
 -1.22   	-126.95   	 50.32   	 -35.61		  8.40   	  10.17		
 42.42   	-32.04   	 50.17   	 -45.78		  8.44   	  20.35		
 93.38   	238.95   	 49.99   	 -35.61		  8.52   	  30.52		
115.36   	669.56   	 49.85   	 -35.61		  8.65   	  30.52		
 53.41   	1137.70   	 49.70   	 -50.86		  8.77   	  25.43		
-415.65   	1633.61(R)	 49.50   	 -40.69		  8.87(E)	  40.69		
-720.83   	1614.38   	 49.34   	 -30.52		  9.03   	  40.69		
-935.06   	1532.29   	 49.22   	 -40.69		  9.20   	  35.61		
-973.21   	1405.33   	 49.05   	 -40.69		  9.34   	  55.95		
-821.53   	1152.65   	 48.89   	 -35.61		  9.56   	  71.21		
-545.35   	714.42   	 48.75   	 -25.43		  9.85   	  86.47		
-248.41   	168.76   	 48.65   	 -30.52		 10.19   	  86.47		
-25.33   	-280.76   	 48.52   	 -30.52		 10.54   	  81.38		
 78.43   	-458.37   	 48.40   	 -30.52		 10.86   	  86.47		
 78.13   	-367.43   	 48.28   	 -20.35		 11.21   	  91.56		
 29.91   	-174.87   	 48.20   	 -25.43		 11.58   	  91.56		
 -9.46   	-55.85   	 48.10   	 -30.52		 11.94   	  96.64		
-14.04   	-67.14   	 47.98   	 -35.61		 12.33   	  91.56		
  6.71   	-144.65   	 47.83   	 -40.69		 12.70   	 101.73		
 28.38   	-198.67   	 47.67   	 -35.61		 13.10   	 111.90		
 35.10   	-195.92   	 47.53   	 -25.43		 13.55   	 172.94		
 28.38   	-161.13   	 47.43   	 -30.52		 14.24   	 259.41		
 20.14   	-132.75   	 47.30   	 -30.52		 15.28   	 310.27		
 18.92   	-125.43   	 47.18   	 -25.43		 16.52   	 279.75		
 23.80   	-131.53   	 47.08   	 -20.35		 17.64   	 254.32		
 30.21   	-137.63   	 47.00   	 -25.43		 18.66   	 335.71		
 35.40   	-136.72   	 46.90   	 -30.52		 20.00   	 437.43		
 38.76   	-129.70   	 46.77   	 -30.52		 21.75   	 493.39		
 39.98   	-120.54   	 46.65   	 -30.52		 23.72   	 488.30		
 37.84   	-114.75   	 46.53   	 -30.52		 25.68   	 508.65		
 34.18   	-112.92   	 46.41   	 -25.43		 27.71   	 544.25		
 32.04   	-112.61   	 46.31   	  -5.09		 29.89   	 549.34		
 33.57   	-109.86   	 46.29   	  50.86		 32.09   	 508.65		
 38.76   	-105.59   	 46.49   	 122.07		 34.12   	 473.04		
 43.33   	-101.93   	 46.98   	 228.89		 36.01   	 457.78		
 44.25   	-101.01   	 47.89   	 325.53		 37.84   	 442.52		
 41.50   	-101.62   	 49.20   	 406.92		 39.61   	 427.26		
 38.76   	-102.23   	 50.82   	 452.69		 41.32   	 427.26		
 39.06   	-100.71   	 52.63   	 473.04		 43.03   	 457.78		
 41.81   	-97.66   	 54.53   	 447.61		 44.86   	 498.47		
 44.86   	-93.69   	 56.32   	 386.57		 46.86   	 483.21		
 47.00   	-90.33   	 57.86   	 295.01		 48.79   	 442.52		
 47.91   	-87.89   	 59.04   	 193.29		 50.56   	 442.52		
 50.05   	-86.06   	 59.82   	  91.56		 52.33   	 442.52		
 54.32   	-83.92   	 60.18   	  10.17		 54.10   	 401.83		
 59.81   	-80.57   	 60.22   	 -50.86		 55.71   	 366.22		
 65.61   	-76.29   	 60.02   	 -86.47		 57.17   	 340.79		
 70.50   	-72.33   	 59.67   	 -86.47		 58.53   	 330.62		
 73.85   	-69.58   	 59.33   	 -55.95		 59.86   	 315.36		
 75.38   	-69.58   	 59.10   	 -10.17		 61.12   	 300.10		
 75.07   	-71.72   	 59.06   	  50.86		 62.32   	 289.93		
 74.16   	-74.77   	 59.27   	 116.99		 63.48   	 295.01		
 73.85   	-76.90   	 59.74   	 188.20		 64.66   	 295.01		
 75.07   	-77.21   	 60.49   	 239.06		 65.84   	 300.10		
 78.13   	-75.38   	 61.44   	 264.50		 67.04   	 300.10		
 82.40   	-72.94   	 62.50   	 269.58		 68.24   	 295.01		
 86.36   	-70.80   	 63.58   	 264.50		 69.42   	 310.27		
 89.42   	-70.19   	 64.64   	 249.24		 70.66   	 310.27		
 90.94   	-70.50   	 65.64   	 218.72		 71.90   	 295.01		
 90.64   	-72.33   	 66.51   	 178.03		 73.08   	 289.93		
 89.42   	-74.77   	 67.22   	 137.33		 74.24   	 289.93		
 88.50   	-78.13   	 67.77   	 116.99		 75.40   	 284.84		
 89.11   	-81.48   	 68.24   	  91.56		 76.54   	 269.58		
 92.16   	-84.53   	 68.61   	  61.04		 77.62   	 254.32		
 97.05   	-87.28   	 68.85   	  35.61		 78.64   	 249.24		
102.84   	-89.72   	 68.99   	  40.69		 79.63   	 233.98		
108.03   	-91.25   	 69.16   	  45.78		 80.57   	 223.80		
112.61   	-93.08   	 69.34   	  40.69		 81.46   	 208.54		
117.19   	-95.52   	 69.50   	  30.52		 82.30   	 198.37		
121.46   	-99.49   	 69.62   	  35.61		 83.09   	 183.11		
125.43   	-104.98   	 69.77   	  40.69		 83.82   	 178.03		
128.78   	-111.39   	 69.93   	  50.86		 84.54   	 162.77		
131.53   	-117.19   	 70.13   	  55.95		 85.19   	 157.68		
134.28   	-121.15   	 70.36   	  50.86		 85.82   	 147.51		
136.72   	-122.99   	 70.56   	  45.78		 86.41   	 137.33		
136.72   	-122.68   	 70.74   	  35.61		 86.96   	 127.16		
132.75   	-119.02   	 70.88   	  30.52		 87.47   	 122.07		
125.43   	-111.69   	 71.01   	  25.43		 87.95   	 111.90		
115.66   	-100.10   	 71.11   	  10.17		 88.40   	  96.64		
104.68   	-84.53   	 71.15(S)	  -5.09		 88.79   	  91.56		
 92.16   	-65.31   	 71.13   	 -20.35		 89.16   	  76.30		
 77.82   	-43.03   	 71.05   	 -25.43		 89.46   	  50.86		
 62.26   	-18.92   	 70.95   	 -35.61		 89.66   	  40.69		
 47.61   	  4.58   	 70.80   	 -40.69		 89.83   	  20.35		
 36.01   	 24.11   	 70.64   	 -50.86		 89.91(S)	   0.00		
 27.16   	 38.15   	 70.44   	 -50.86		 89.91   	 -20.35		
 19.84   	 45.78   	 70.23   	 -50.86		 89.83   	 -50.86		
 11.90   	 48.22   	 70.03   	 -55.95		 89.62   	 -76.30		
  3.97   	 45.78   	 69.81   	 -66.12		 89.32   	-106.82		
 -2.75   	 38.76   	 69.54   	 -71.21		 88.89   	-142.42		
 -7.93   	 27.16   	 69.26   	 -76.30		 88.32   	-178.03		
-11.90   	 13.12   	 68.95   	 -76.30		 87.61   	-213.63		
-16.17   	 -0.31   	 68.65   	 -91.56		 86.75   	-269.58		
-20.75   	 -9.77   	 68.28   	-116.99		 85.68   	-335.71		
-24.11   	-15.26   	 67.81   	-122.07		 84.33   	-386.57		
-25.33   	-18.01   	 67.32   	-122.07		 82.79   	-442.52		
-23.80   	-21.06   	 66.84   	-147.51		 81.02   	-513.73		
-21.97   	-25.63   	 66.25   	-172.94		 78.96   	-569.68		
-21.67   	-31.43   	 65.55   	-162.77		 76.68   	-600.20		
-23.80   	-36.93   	 64.90   	-132.25		 74.28   	-630.72		
-26.86   	-39.98   	 64.37   	-111.90		 71.76   	-666.32		
-28.99   	-40.89   	 63.93   	 -81.38		 69.09   	-681.58		
-29.30   	-40.59   	 63.60   	 -55.95		 66.37   	-676.50		
-28.08   	-39.98   	 63.38   	 -20.35		 63.66   	-681.58		
-26.86   	-40.59   	 63.30   	 -15.26		 60.94   	-686.67		
-26.25   	-41.81   	 63.23   	 -10.17		 58.19   	-676.50		
-25.02   	-42.72   	 63.19   	   0.00		 55.48   	-656.15		
