SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 -4.58   	-87.59   	 70.44   	 -35.61		  5.98   	  35.61		
  3.05   	-74.16   	 70.29   	 -35.61		  6.12   	  20.35		
 14.65   	-55.85   	 70.15   	 -30.52		  6.21   	  20.35		
 30.82   	-35.40   	 70.03   	 -30.52		  6.29   	  10.17		
 46.39   	-18.31   	 69.91   	 -35.61		  6.33   	   5.09		
 57.07   	 -8.85   	 69.77   	 -30.52		  6.35   	   5.09		
 62.26   	 -6.10   	 69.64   	 -30.52		  6.37   	   0.00		
 65.92   	 -5.19   	 69.52   	 -35.61		  6.37   	  -5.09		
 72.63   	  0.31   	 69.38   	 -35.61		  6.35   	  -5.09		
 83.62   	 11.90   	 69.24   	 -40.69		  6.33   	 -10.17		
 95.21   	 28.08   	 69.07   	 -35.61		  6.29   	 -10.17		
103.15   	 45.47   	 68.93   	 -45.78		  6.25   	 -10.17		
107.12   	 60.73   	 68.75   	 -40.69		  6.21   	 -10.17		
109.86   	 69.89   	 68.59   	 -40.69		  6.16   	  -5.09		
113.22   	 68.05   	 68.42   	 -45.78		  6.14   	 -10.17		
115.36   	 53.10   	 68.24   	 -45.78		  6.10   	  -5.09		
112.30   	 28.08   	 68.06   	 -45.78		  6.08   	   0.00		
102.23   	  3.05   	 67.87   	 -45.78		  6.08   	   0.00		
 87.28   	-14.04   	 67.69   	 -45.78		  6.08   	   0.00		
 70.50   	-23.50   	 67.51   	 -45.78		  6.08   	   5.09		
 53.10   	-32.65   	 67.32   	 -45.78		  6.10   	   5.09		
 35.10   	-49.44   	 67.14   	 -45.78		  6.12   	   5.09		
 16.48   	-73.24   	 66.96   	 -45.78		  6.14   	   5.09		
 -0.31   	-97.05   	 66.77   	 -45.78		  6.16   	  10.17		
-10.38   	-113.22   	 66.59   	 -45.78		  6.21   	  10.17		
-13.73   	-120.54   	 66.41   	 -45.78		  6.25   	  15.26		
-12.82   	-123.60   	 66.23   	 -40.69		  6.31   	  10.17		
-11.90   	-125.73   	 66.06   	 -40.69		  6.35   	  15.26		
-12.21   	-127.26   	 65.90   	 -35.61		  6.41   	  10.17		
-12.82   	-125.43   	 65.76   	 -35.61		  6.45   	  15.26		
-12.21   	-119.32   	 65.62   	 -35.61		  6.51   	  20.35		
-10.38   	-110.47   	 65.47   	 -35.61		  6.59   	  15.26		
 -8.85   	-103.15   	 65.33   	 -35.61		  6.65   	  20.35		
 -7.32   	-101.01   	 65.19   	 -35.61		  6.73   	  15.26		
 -3.66   	-106.51   	 65.05   	 -35.61		  6.80   	  15.26		
  4.27   	-121.46   	 64.90   	 -40.69		  6.86   	  20.35		
 17.40   	-144.35   	 64.74   	 -35.61		  6.94   	  15.26		
 37.84   	-167.24   	 64.60   	 -40.69		  7.00   	  15.26		
 74.77   	-178.53   	 64.44   	 -40.69		  7.06   	  15.26		
149.54   	-165.10   	 64.27   	 -40.69		  7.12   	  20.35		
283.81   	-114.75   	 64.11   	 -40.69		  7.20   	  25.43		
477.29   	-13.43   	 63.95   	 -40.69		  7.30   	  25.43		
684.20   	155.64   	 63.78   	 -45.78		  7.41   	  35.61		
810.55   	400.39   	 63.60   	 -40.69		  7.55   	  35.61		
758.36   	694.89   	 63.44   	 -40.69		  7.69   	  40.69		
490.11   	963.75   	 63.28   	 -50.86		  7.85   	  40.69		
-363.16   	1098.33(R)	 63.07   	 -50.86		  8.02(E)	  45.78		
-657.35   	940.55   	 62.87   	 -45.78		  8.20   	  40.69		
-742.19   	713.81   	 62.69   	 -45.78		  8.36   	  35.61		
-647.58   	480.96   	 62.50   	 -50.86		  8.50   	  35.61		
-469.67   	259.40   	 62.30   	 -45.78		  8.65   	  30.52		
-302.43   	 45.17   	 62.12   	 -45.78		  8.77   	  25.43		
-191.04   	-138.24   	 61.93   	 -45.78		  8.87   	  20.35		
-131.84   	-231.93   	 61.75   	 -40.69		  8.95   	  20.35		
