SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
 70.50   	-153.20   	 33.59   	 -15.26		 28.40   	 432.35		
 77.51   	-145.87   	 33.53   	 -15.26		 30.13   	 391.66		
 84.53   	-138.55   	 33.47   	 -20.35		 31.70   	 356.05		
 90.94   	-130.92   	 33.39   	 -10.17		 33.12   	 310.27		
 96.74   	-123.29   	 33.35   	   0.00		 34.36   	 269.58		
102.84   	-116.27   	 33.35   	  15.26		 35.44   	 233.98		
110.17   	-108.95   	 33.41   	  61.04		 36.38   	 188.20		
118.10   	-101.32   	 33.65   	 132.25		 37.13   	 147.51		
126.95   	-92.77   	 34.18   	 228.89		 37.72   	 122.07		
135.80   	-82.70   	 35.10   	 345.88		 38.21   	 101.73		
144.96   	-70.80   	 36.48   	 457.78		 38.62   	  71.21		
154.72   	-57.37   	 38.31   	 544.25		 38.90   	  50.86		
165.10   	-42.72   	 40.49   	 605.29		 39.10   	  45.78		
175.78   	-27.16   	 42.91   	 625.63		 39.29   	  40.69		
185.85   	-11.60   	 45.41   	 635.81		 39.45   	  30.52		
194.70   	  2.75   	 47.96   	 625.63		 39.57   	  30.52		
201.72   	 15.56   	 50.46   	 605.29		 39.69   	  35.61		
207.82   	 26.86   	 52.88   	 569.68		 39.84   	  25.43		
212.40   	 37.84   	 55.16   	 518.82		 39.94   	  30.52		
215.76   	 50.05   	 57.23   	 457.78		 40.06   	  35.61		
217.59   	 62.26   	 59.06   	 391.66		 40.20   	  30.52		
217.59   	 73.24   	 60.63   	 325.53		 40.33   	  35.61		
216.98   	 81.48   	 61.93   	 264.50		 40.47   	  35.61		
216.37   	 86.98   	 62.99   	 208.54		 40.61   	  30.52		
216.37   	 90.03   	 63.82   	 147.51		 40.73   	  35.61		
217.29   	 92.77   	 64.41   	  96.64		 40.87   	  25.43		
219.42   	 95.83   	 64.80   	  50.86		 40.98   	  25.43		
222.47   	 99.49   	 65.00   	  25.43		 41.08   	  15.26		
226.14   	104.68   	 65.11   	  10.17		 41.14   	   5.09		
229.49   	110.47   	 65.15   	  -5.09		 41.16   	 -10.17		
229.49   	116.58   	 65.13   	 -25.43		 41.12   	 -20.35		
223.69   	121.77   	 65.03   	 -45.78		 41.04   	 -35.61		
209.96   	124.21   	 64.84   	 -55.95		 40.90   	 -45.78		
187.68   	122.38   	 64.62   	 -71.21		 40.71   	 -55.95		
159.30   	116.88   	 64.33   	 -76.30		 40.49   	 -76.30		
127.87   	108.95   	 64.03   	 -81.38		 40.18   	 -86.47		
 96.44   	 99.79   	 63.70   	 -86.47		 39.84   	-101.73		
 66.53   	 90.64   	 63.36   	 -96.64		 39.43   	-106.82		
 39.67   	 79.65   	 62.97   	 -96.64		 39.00   	-116.99		
 16.17   	 65.31   	 62.58   	-101.73		 38.53   	-127.16		
 -3.36   	 47.61   	 62.18   	-111.90		 38.03   	-142.42		
-17.70   	 28.69   	 61.73   	-116.99		 37.46   	-147.51		
-27.47   	 11.90   	 61.26   	-132.25		 36.87   	-157.68		
-34.48   	 -0.61   	 60.73   	-142.42		 36.24   	-172.94		
-39.98   	 -8.54   	 60.16   	-147.51		 35.54   	-178.03		
-45.78   	-14.04   	 59.57   	-147.51		 34.83   	-188.20		
-51.27   	-18.62   	 58.98   	-147.51		 34.08   	-213.63		
-55.85   	-24.11   	 58.39   	-152.59		 33.22   	-239.06		
-58.29   	-29.60   	 57.78   	-157.68		 32.27   	-274.67		
-59.51   	-34.18   	 57.15   	-162.77		 31.17   	-310.27		
-60.12   	-37.23   	 56.50   	-157.68		 29.93   	-345.88		
-60.12   	-37.84   	 55.87   	-152.59		 28.55   	-401.83		
-59.81   	-36.32   	 55.26   	-132.25		 26.94   	-452.69		
-58.59   	-33.57   	 54.73   	-122.07		 25.13   	-508.65		
-57.07   	-31.43   	 54.24   	-116.99		 23.09   	-574.77		
-55.54   	-30.21   	 53.77   	-111.90		 20.79   	-615.46		
-54.02   	-29.30   	 53.33   	-111.90		 18.33   	-635.81		
-52.80   	-28.38   	 52.88   	-111.90		 15.79   	-640.89		
-51.88   	-26.55   	 52.43   	-106.82		 13.22   	-625.63		
-50.96   	-24.11   	 52.00   	-116.99		 10.72   	-600.20		
-50.96   	-22.89   	 51.54   	-132.25		  8.32   	-569.68		
-51.27   	-22.58   	 51.01   	-162.77		  6.04   	-523.90		
-50.96   	-22.89   	 50.36   	-172.94		  3.95   	-473.04		
-49.13   	-20.75   	 49.66   	-188.20		  2.05   	-412.00		
-43.95   	-12.21   	 48.91   	-188.20		  0.41   	-350.97		
-35.40   	  6.10   	 48.16   	-178.03		 -1.00   	-289.93		
-24.72   	 33.26   	 47.45   	-157.68		 -2.16   	-228.89		
-12.82   	 67.75   	 46.82   	-147.51		 -3.07   	-167.85		
 -0.61   	104.37   	 46.23   	-127.16		 -3.74   	-106.82		
 11.29   	140.38   	 45.72   	-106.82		 -4.17   	 -50.86		
 23.19   	176.09   	 45.29   	 -96.64		 -4.37   	   5.09		
 33.26   	217.29   	 44.90   	 -86.47		 -4.35   	  40.69		
 38.76   	267.03   	 44.56   	 -71.21		 -4.19   	  76.30		
 38.76   	323.49   	 44.27   	 -66.12		 -3.89   	  96.64		
 36.01   	377.50   	 44.01   	 -55.95		 -3.50   	 122.07		
 34.48   	414.43   	 43.78   	 -55.95		 -3.01   	 137.33		
 37.84   	424.50   	 43.56   	 -55.95		 -2.46   	 147.51		
 43.95   	406.80   	 43.34   	 -55.95		 -1.87   	 152.59		
 47.30   	363.46   	 43.11   	 -61.04		 -1.26   	 152.59		
 42.72   	296.33   	 42.87   	 -61.04		 -0.65   	 147.51		
 29.60   	209.66   	 42.62   	 -55.95		 -0.06   	 122.07		
 10.68   	110.47   	 42.40   	 -66.12		  0.43   	  91.56		
 -9.46   	 14.34   	 42.14   	 -61.04		  0.79   	  66.12		
-28.69   	-59.81   	 41.89   	 -66.12		  1.06   	  30.52		
-46.08   	-102.84   	 41.63   	 -66.12		  1.18   	 -10.17		
-61.95   	-119.02   	 41.36   	 -71.21		  1.14   	 -30.52		
-74.77   	-121.46   	 41.08   	 -66.12		  1.02   	 -30.52		
-82.09   	-121.46   	 40.81   	 -66.12		  0.90   	 -30.52		
-84.53   	-123.60   	 40.55   	 -71.21		  0.77   	 -35.61		
-83.62   	-126.65   	 40.26   	 -61.04		  0.63   	 -30.52		
-82.09   	-129.39   	 40.02   	 -61.04		  0.51   	 -25.43		
-82.09   	-132.75   	 39.78   	 -61.04		  0.41   	 -20.35		
-84.23   	-138.24   	 39.53   	 -55.95		  0.33   	  -5.09		
-86.06   	-141.60   	 39.31   	 -55.95		  0.31   	   0.00		
-79.65   	-125.12   	 39.08   	 -45.78		  0.31   	  10.17		
-44.56   	-50.35   	 38.90   	 -40.69		  0.35   	  20.35		
 46.69   	131.23   	 38.74   	 -35.61		  0.43   	  35.61		
203.86   	456.54   	 38.60   	 -40.69		  0.57   	  50.86		
364.38   	919.80   	 38.43   	 -30.52		  0.77   	  61.04		
377.50   	1419.68   	 38.31   	 -25.43		  1.02   	  76.30		
102.84   	1744.38(R)	 38.21   	 -50.86		  1.32   	 167.85		
-1147.46   	1085.51   	 38.01   	 -25.43		  1.99   	  91.56		
-1634.83   	125.73   	 37.90   	 -20.35		  2.36   	  96.64		
-1701.05   	-870.97   	 37.82   	 -20.35		  2.75   	 106.82		
-1353.45   	-1521.30   	 37.74   	 -25.43		  3.17   	 101.73		
-812.68   	-1627.20   	 37.64   	 -25.43		  3.58   	  91.56		
-338.13   	-1274.72   	 37.54   	 -30.52		  3.95   	  96.64		
-70.19   	-744.32   	 37.42   	 -30.52		  4.33   	 101.73		
  6.10   	-316.16   	 37.29   	 -40.69		  4.74   	  96.64		
 -9.46   	-124.82   	 37.13   	 -35.61		  5.13   	  86.47		
-28.99   	-133.36   	 36.99   	 -30.52		  5.47   	  91.56		
-21.67   	-218.20   	 36.87   	 -35.61		  5.84   	  86.47		
  1.22   	-274.35   	 36.72   	 -40.69		  6.19   	  86.47		
 21.97   	-269.47   	 36.56   	 -40.69		  6.53   	 101.73		
 32.65   	-227.66   	 36.40   	 -40.69		  6.94   	 132.25		
 32.96   	-188.29   	 36.24   	 -35.61		  7.47   	 157.68		
 29.30   	-173.03   	 36.09   	 -30.52		  8.10   	 157.68		
 28.69   	-178.83   	 35.97   	 -25.43		  8.73   	 208.54		
 34.18   	-187.99   	 35.87   	 -35.61		  9.56   	 228.89		
 41.81   	-186.77   	 35.73   	 -30.52		 10.48   	 228.89		
 46.39   	-174.56   	 35.61   	 -35.61		 11.39   	 269.58		
 47.91   	-160.52   	 35.46   	 -45.78		 12.47   	 315.36		
 48.83   	-150.76   	 35.28   	 -40.69		 13.73   	 345.88		
 51.88   	-144.35   	 35.12   	 -40.69		 15.12   	 381.48		
 55.85   	-138.55   	 34.95   	 -40.69		 16.64   	 427.26		
 59.81   	-131.23   	 34.79   	 -40.69		 18.35   	 462.87		
 62.56   	-123.60   	 34.63   	 -40.69		 20.20   	 483.21		
 65.31   	-116.88   	 34.47   	 -30.52		 22.14   	 488.30		
 68.05   	-112.00   	 34.34   	 -25.43		 24.09   	 478.13		
 71.11   	-108.64   	 34.24   	 -25.43		 26.00   	 452.69		
 75.07   	-105.29   	 34.14   	 -20.35		 27.81   	 437.43		
 80.57   	-101.62   	 34.06   	 -15.26		 29.56   	 396.74		
 87.59   	-96.44   	 34.00   	 -15.26		 31.15   	 361.14		
 95.21   	-90.64   	 33.94   	 -10.17		 32.59   	 315.36		
102.54   	-84.84   	 33.90   	   5.09		 33.86   	 279.75		
108.64   	-79.04   	 33.92   	  15.26		 34.97   	 233.98		
114.44   	-73.85   	 33.98   	  40.69		 35.91   	 188.20		
120.54   	-68.66   	 34.14   	  96.64		 36.66   	 157.68		
128.78   	-62.26   	 34.53   	 178.03		 37.29   	 122.07		
139.16   	-54.32   	 35.24   	 284.84		 37.78   	  96.64		
151.06   	-43.33   	 36.38   	 406.92		 38.17   	  81.38		
163.88   	-30.21   	 38.01   	 508.65		 38.49   	  55.95		
