SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  LRA     	  LRA'		
-105.59   	-291.14   	 16.99   	  76.30		103.93   	  15.26		
-61.04   	-78.43   	 17.29   	  71.21		103.99   	  10.17		
-87.28   	190.12   	 17.58   	 132.25		104.03   	 -10.17		
-327.76   	445.25   	 18.11   	  71.21		103.99   	   5.09		
-445.25   	267.03   	 18.39   	  81.38		104.01   	   0.00		
-483.40   	-47.00   	 18.72   	  91.56		104.01   	  20.35		
-428.16   	-324.10   	 19.08   	  71.21		104.09   	  61.04		
-316.77   	-428.16   	 19.37   	  55.95		104.33   	  55.95		
-209.66   	-356.14   	 19.59   	  61.04		104.56   	  20.35		
-150.45   	-220.03   	 19.84   	  81.38		104.64   	 -25.43		
-144.96   	-138.24   	 20.16   	  96.64		104.54   	 -10.17		
-166.63   	-150.45   	 20.55   	 111.90		104.50   	  35.61		
-184.33   	-212.10   	 21.00   	 137.33		104.64   	  45.78		
-182.80   	-255.43   	 21.55   	 142.42		104.82   	  10.17		
-166.32   	-250.85   	 22.12   	 167.85		104.86   	 -10.17		
-148.62   	-216.98   	 22.79   	 223.80		104.82   	   5.09		
-139.16   	-188.90   	 23.68   	 289.93		104.84   	  25.43		
-137.94   	-180.97   	 24.84   	 335.71		104.94   	   5.09		
-136.11   	-184.02   	 26.19   	 371.31		104.96   	   0.00		
-122.99   	-179.44   	 27.67   	 432.35		104.96   	  -5.09		
-92.47   	-154.72   	 29.40   	 498.47		104.94   	   0.00		
-47.61   	-112.00   	 31.39   	 544.25		104.94   	  -5.09		
 -0.61   	-63.17   	 33.57   	 544.25		104.92   	 -20.35		
 37.23   	-22.89   	 35.75   	 544.25		104.84   	  -5.09		
 61.34   	  3.97   	 37.92   	 549.34		104.82   	  20.35		
 74.16   	 21.36   	 40.12   	 518.82		104.90   	  25.43		
 82.40   	 38.15   	 42.20   	 473.04		105.00   	   0.00		
 92.16   	 59.51   	 44.09   	 849.44		105.00   	 -10.17		
128.17   	112.00   	 47.49   	 350.97		104.96   	   5.09		
153.20   	137.63   	 48.89   	 284.84		104.98   	  -5.09		
180.05   	161.44   	 50.03   	 233.98		104.96   	 -25.43		
206.60   	183.72   	 50.97   	 183.11		104.86   	 -30.52		
231.32   	204.77   	 51.70   	 162.77		104.74   	 -15.26		
254.82   	225.83   	 52.35   	 137.33		104.68   	  15.26		
278.32   	249.63   	 52.90   	 111.90		104.74   	  15.26		
304.26   	278.02   	 53.35   	  86.47		104.80   	  10.17		
333.86   	311.28   	 53.69   	  91.56		104.84   	  10.17		
366.52   	347.29   	 54.06   	  96.64		104.88   	  15.26		
399.78   	381.77   	 54.45   	 101.73		104.94   	   5.09		
429.08   	409.24   	 54.85   	 111.90		104.96   	   5.09		
452.27   	428.16   	 55.30   	 122.07		104.98   	   0.00		
470.28   	440.98   	 55.79   	 127.16		104.98   	   5.09		
485.84   	451.66   	 56.30   	 132.25		105.00   	   5.09		
499.88   	462.95   	 56.83   	 152.59		105.03   	  15.26		
513.61   	475.46   	 57.44   	 172.94		105.09   	  -5.09		
530.70   	491.94   	 58.13   	 172.94		105.07   	   5.09		
554.81   	514.83   	 58.82   	 178.03		105.09   	  25.43		
586.85   	545.04   	 59.53   	 172.94		105.19   	  15.26		
623.78   	579.83   	 60.22   	 178.03		105.25   	   0.00		
657.65   	612.18   	 60.94   	 193.29		105.25   	  25.43		
682.37   	636.90   	 61.71   	 188.20		105.35   	  25.43		
700.38   	656.74   	 62.46   	 188.20		105.45   	  15.26		
719.30   	678.71   	 63.21   	 172.94		105.51   	   5.09		
743.10   	706.48   	 63.91   	 162.77		105.53   	  10.17		
769.04   	736.08   	 64.56   	 147.51		105.57   	  10.17		
790.41   	760.80   	 65.15   	 137.33		105.62   	  10.17		
806.27   	778.20   	 65.70   	 116.99		105.66   	  10.17		
821.23   	792.85   	 66.16   	  71.21		105.70   	  15.26		
842.29   	810.85   	 66.45   	  20.35		105.76   	  15.26		
872.80   	836.18   	 66.53(S)	 -30.52		105.82   	  15.26		
909.42   	867.31   	 66.41   	-106.82		105.88   	  10.17		
946.66   	899.66   	 65.98   	-193.29		105.92   	  25.43		
981.14   	930.18   	 65.21   	-279.75		106.02   	  35.61		
1012.88   	958.25   	 64.09   	-381.48		106.16   	  30.52		
1041.57   	984.19   	 62.56   	-447.61		106.29   	  40.69		
1064.15   	1004.33   	 60.77   	-417.09		106.45   	  40.69		
1076.97   	1015.32   	 59.10   	-356.05		106.61   	  35.61		
1075.44   	1012.57   	 57.68   	-310.27		106.75   	  30.52		
1058.96   	996.09   	 56.44   	-274.67		106.88   	  25.43		
1032.10   	969.85   	 55.34   	-264.50		106.98   	  35.61		
1001.28   	940.86   	 54.28   	-269.58		107.12   	  35.61		
971.98   	914.31   	 53.20   	-233.98		107.26   	  40.69		
944.52   	890.50   	 52.27   	-183.11		107.43   	  35.61		
914.00   	864.87   	 51.54   	-193.29		107.57   	  25.43		
871.28   	827.94   	 50.76   	-203.46		107.67   	  25.43		
810.85   	775.15   	 49.95   	-198.37		107.77   	  15.26		
745.24   	718.08   	 49.16   	-213.63		107.83   	   0.00		
698.85   	680.54   	 48.30   	-254.32		107.83   	 -30.52		
682.37   	672.91   	 47.28   	-279.75		107.71   	 -30.52		
678.71   	675.35   	 46.16   	-284.84		107.59   	  40.69		
649.11   	649.41   	 45.03   	-335.71		107.75   	  71.21		
566.71   	567.63   	 43.68   	-447.61		108.04   	 -35.61		
447.69   	447.69   	 41.89   	-508.65		107.89   	-101.73		
346.37   	344.54   	 39.86   	-488.30		107.49   	 -40.69		
305.79   	302.12   	 37.90   	-483.21		107.32   	  25.43		
322.27   	317.08   	 35.97   	-523.90		107.43   	  35.61		
357.36   	351.26   	 33.88   	-549.34		107.57   	  20.35		
380.86   	373.84   	 31.68   	-528.99		107.65   	 -20.35		
394.59   	387.27   	 29.56   	-513.73		107.57   	 -30.52		
421.14   	413.51   	 27.51   	-488.30		107.45   	  -5.09		
472.41   	464.17   	 25.55   	-452.69		107.43   	  10.17		
535.28   	526.43   	 23.74   	-422.18		107.47   	  -5.09		
583.50   	574.34   	 22.05   	-386.57		107.45   	 -10.17		
602.11   	593.26   	 20.51   	-335.71		107.41   	  -5.09		
593.26   	586.24   	 19.17   	-295.01		107.39   	  -5.09		
576.17   	571.90   	 17.99   	-254.32		107.36   	  -5.09		
578.92   	576.78   	 16.97   	-223.80		107.34   	   0.00		
623.78   	622.56   	 16.07   	-183.11		107.34   	   0.00		
712.59   	710.45   	 15.34   	-152.59		107.34   	   5.09		
820.92   	815.43   	 14.73   	-122.07		107.36   	  10.17		
907.90   	898.44   	 14.24   	 -86.47		107.41   	  15.26		
946.04   	932.62   	 13.90   	 -50.86		107.47   	  15.26		
943.91   	927.73   	 13.69   	 -30.52		107.53   	  15.26		
936.58   	919.19   	 13.57   	 -20.35		107.59   	   5.09		
954.28   	938.11   	 13.49   	 -10.17		107.61   	   5.09		
999.76   	988.16   	 13.45(D)	  20.35		107.63   	  25.43		
1054.08   	1051.64   	 13.53   	  20.35		107.73   	  30.52		
1094.97   	1106.26   	 13.61   	  10.17		107.85   	  15.26		
1116.33   	1142.27   	 13.65   	  25.43		107.91   	 -10.17		
1133.42   	1171.88   	 13.75   	  35.61		107.87   	 -10.17		
1172.18   	1219.18   	 13.90   	  45.78		107.83   	 -15.26		
1242.68   	1295.17   	 14.08   	  50.86		107.77   	   0.00		
1320.19   	1378.78   	 14.28   	  71.21		107.77   	  10.17		
1351.01   	1414.18   	 14.57   	  81.38		107.81   	  20.35		
1285.10   	1347.96   	 14.89   	  81.38		107.89   	  20.35		
1123.05   	1176.76   	 15.22   	  55.95		107.98   	  20.35		
924.07   	961.30   	 15.44   	  50.86		108.06   	  15.26		
767.52   	785.22   	 15.65   	  40.69		108.12   	   5.09		
690.92   	693.05   	 15.81   	  20.35		108.14   	  -5.09		
667.42   	660.40   	 15.89   	 -15.26		108.12   	  -5.09		
636.90   	625.61   	 15.83   	 -25.43		108.10   	  -5.09		
562.13   	549.62   	 15.73   	 -25.43		108.08   	  -5.09		
454.10   	441.89   	 15.63   	 -35.61		108.06   	  -5.09		
354.61   	345.15   	 15.48   	 -45.78		108.04   	 -10.17		
298.46   	292.66   	 15.30   	 -30.52		108.00   	 -10.17		
288.09   	285.03   	 15.18   	 -20.35		107.95   	 -10.17		
297.55   	294.80   	 15.10   	 -25.43		107.91   	 -10.17		
292.66   	287.78   	 14.99   	 -15.26		107.87   	 -20.35		
247.50   	238.95   	 14.93   	 -10.17		107.79   	 -10.17		
160.83   	148.01   	 14.89   	  10.17		107.75   	 -15.26		
 63.48   	 42.72   	 14.93(E)	  10.17		107.69   	 -15.26		
  4.58   	-34.79   	 14.97   	  -5.09		107.63   	 -20.35		
 23.50   	-52.80   	 14.95   	  15.26		107.55   	 -10.17		
125.73   	 -3.97   	 15.02   	  30.52		107.51   	 -15.26		
277.40   	 98.88   	 15.14   	  20.35		107.45   	 -10.17		
417.48   	242.00   	 15.22   	  25.43		107.41   	 -20.35		
487.06   	426.33   	 15.32   	  50.86		107.32   	 -25.43		
454.71   	637.82   	 15.52   	  45.78		107.22   	 -20.35		
324.71   	804.44   	 15.71   	  35.61		107.14   	  -5.09		
134.58   	824.28(R)	 15.85   	  50.86		107.12   	 -15.26		
-48.52   	644.53   	 16.05   	  66.12		107.06   	 -10.17		
-146.79   	329.59   	 16.32   	  55.95		107.02   	 -10.17		
-115.05   	 48.22   	 16.54   	  45.78		106.98   	 -10.17		
 31.13   	-42.11   	 16.72   	  55.95		106.94   	 -10.17		
224.91   	 83.31   	 16.95   	  66.12		106.90   	 -20.35		
382.08   	303.34   	 17.21   	  61.04		106.82   	 -15.26		
453.19   	462.04   	 17.46   	  66.12		106.75   	  -5.09		
451.05   	492.55   	 17.72   	  81.38		106.73   	  -5.09		
426.03   	439.45   	 18.05   	 106.82		106.71   	 -10.17		
419.92   	388.49   	 18.47   	 132.25		106.67   	  -5.09		
440.06   	387.57   	 19.00   	 172.94		106.65   	   0.00		
467.83   	422.36   	 19.69   	 239.06		106.65   	   5.09		
483.09   	452.27   	 20.65   	 295.01		106.67   	   0.00		
481.26   	456.85   	 21.83   	 356.05		106.67   	  -5.09		
470.58   	442.81   	 23.26   	 417.09		106.65   	 -10.17		
461.12   	427.25   	 24.92   	 452.69		106.61   	 -10.17		
456.24   	417.79   	 26.73   	 508.65		106.57   	 -20.35		
451.97   	413.21   	 28.77   	 559.51		106.49   	 -15.26		
444.03   	408.02   	 31.01   	 554.42		106.43   	 -10.17		
431.21   	397.64   	 33.22   	 534.08		106.39   	 -15.26		
416.87   	383.00   	 35.36   	 508.65		106.33   	 -15.26		
406.80   	369.87   	 37.40   	 473.04		106.27   	 -25.43		
406.19   	364.69   	 39.29   	 432.35		106.16   	 -20.35		
411.99   	367.43   	 41.02   	 376.40		106.08   	 -15.26		
412.29   	365.30   	 42.52   	 310.27		106.02   	 -10.17		
391.85   	343.93   	 43.76   	 259.41		105.98   	 -15.26		
348.21   	299.07   	 44.80   	 218.72		105.92   	   0.00		
294.80   	244.75   	 45.68   	 188.20		105.92   	   5.09		
255.43   	204.47   	 46.43   	 147.51		105.94   	  10.17		
244.75   	193.18   	 47.02   	 111.90		105.98   	   5.09		
255.74   	203.25   	 47.47   	  96.64		106.00   	  -5.09		
266.72   	214.23   	 47.85   	  86.47		105.98   	  -5.09		
262.76   	210.88   	 48.20   	  81.38		105.96   	  -5.09		
251.16   	199.89   	 48.52   	  91.56		105.94   	  -5.09		
256.04   	205.08   	 48.89   	 106.82		105.92   	   0.00		
293.88   	243.23   	 49.32   	 106.82		105.92   	   5.09		
359.19   	309.45   	 49.75   	 101.73		105.94   	   5.09		
433.35   	384.83   	 50.15   	 127.16		105.96   	 -10.17		
501.40   	455.63   	 50.66   	 147.51		105.92   	 -10.17		
562.74   	520.32   	 51.25   	 157.68		105.88   	 -15.26		
623.78   	584.11   	 51.88   	 157.68		105.82   	 -25.43		
690.92   	653.69   	 52.51   	 167.85		105.72   	 -30.52		
765.69   	728.76   	 53.18   	 172.94		105.59   	 -30.52		
844.73   	806.88   	 53.88   	 172.94		105.47   	  -5.09		
922.85   	881.96   	 54.57   	 183.11		105.45   	  35.61		
985.72   	940.86   	 55.30   	 203.46		105.59   	  50.86		
1012.27   	964.05   	 56.11   	 193.29		105.80   	  35.61		
992.43   	941.77   	 56.89   	 167.85		105.94   	  10.17		
943.60   	891.72   	 57.56   	 167.85		105.98   	 -20.35		
903.32   	850.52   	 58.23   	 167.85		105.90   	 -25.43		
902.40   	849.30   	 58.90   	 162.77		105.80   	 -15.26		
940.86   	886.54   	 59.55   	 122.07		105.74   	  10.17		
987.55   	932.01   	 60.04   	  91.56		105.78   	  30.52		
1006.47   	949.40   	 60.41   	  40.69		105.90   	  20.35		
986.02   	928.34   	 60.57(S)	 -30.52		105.98   	  -5.09		
944.52   	887.76   	 60.45   	-111.90		105.96   	 -10.17		
910.95   	856.93   	 60.00   	-198.37		105.92   	   0.00		
896.00   	846.56   	 59.21   	-305.19		105.92   	  10.17		
885.93   	841.37   	 57.99   	-427.26		105.96   	   5.09		
859.07   	818.18   	 56.28   	-473.04		105.98   	 -10.17		
807.50   	768.13   	 54.38   	-412.00		105.94   	 -20.35		
744.63   	703.43   	 52.74   	-350.97		105.86   	  -5.09		
694.27   	649.72   	 51.33   	-340.79		105.84   	  20.35		
670.17   	622.25   	 49.97   	-335.71		105.92   	  20.35		
668.03   	618.29   	 48.63   	-345.88		106.00   	   5.09		
678.41   	629.58   	 47.24   	-310.27		106.02   	 -10.17		
705.87   	659.18   	 46.00   	-259.41		105.98   	   0.00		
766.60   	722.05   	 44.96   	-244.15		105.98   	   0.00		
872.50   	828.86   	 43.99   	-223.80		105.98   	  -5.09		
1008.91   	965.88   	 43.09   	-193.29		105.96   	  -5.09		
1133.73   	1090.70   	 42.32   	-198.37		105.94   	 -10.17		
1205.44   	1163.02   	 41.53   	-218.72		105.90   	   0.00		
1220.70   	1181.03   	 40.65   	-208.54		105.90   	   0.00		
1226.81   	1191.10   	 39.82   	-218.72		105.90   	  10.17		
1282.65   	1252.14   	 38.94   	-223.80		105.94   	  10.17		
1401.06   	1376.04   	 38.05   	-233.98		105.98   	  25.43		
1526.18   	1506.65(R)	 37.11   	-590.03		106.08   	  15.26		
1469.73   	1459.05   	 34.75   	-356.05		106.14   	 -15.26		
1258.24   	1250.92   	 33.33   	-401.83		106.08   	  -5.09		
1023.56   	1019.29   	 31.72   	-412.00		106.06   	  -5.09		
855.10   	853.27   	 30.07   	-406.92		106.04   	   0.00		
784.91   	784.61   	 28.44   	-447.61		106.04   	  35.61		
782.78   	783.39   	 26.65   	-452.69		106.18   	  55.95		
794.07   	795.90   	 24.84   	-422.18		106.41   	   0.00		
781.86   	785.22   	 23.15   	-396.74		106.41   	 -45.78		
738.53   	743.71   	 21.57   	-381.48		106.23   	 -40.69		
676.57   	684.51   	 20.04   	-356.05		106.06   	   5.09		
611.88   	621.64   	 18.62   	-330.62		106.08   	  25.43		
549.62   	560.00   	 17.29   	-295.01		106.18   	  10.17		
490.11   	500.49   	 16.11   	-249.24		106.23   	 -20.35		
441.59   	451.36   	 15.12   	-203.46		106.14   	 -15.26		
420.23   	429.38   	 14.30   	-178.03		106.08   	 -10.17		
439.15   	448.30   	 13.59   	-152.59		106.04   	   5.09		
493.16   	502.01   	 12.98   	-127.16		106.06   	  10.17		
554.20   	562.44   	 12.47   	 -91.56		106.10   	  10.17		
585.02   	592.35   	 12.11   	 -55.95		106.14   	  15.26		
571.90   	578.31   	 11.88   	 -40.69		106.21   	  10.17		
540.77   	546.88   	 11.72   	 -15.26		106.25   	  15.26		
537.72   	543.82   	 11.66   	  -5.09		106.31   	  10.17		
591.13   	596.01   	 11.64   	 -15.26		106.35   	  15.26		
685.73   	689.39   	 11.58   	 -10.17		106.41   	   0.00		
775.45   	779.11   	 11.54(D)	  61.04		106.41   	 -25.43		
836.18   	850.22   	 11.78   	  55.95		106.31   	  10.17		
842.29   	867.00   	 12.00   	  55.95		106.35   	  30.52		
873.11   	908.81   	 12.23   	  71.21		106.47   	  35.61		
932.01   	976.56   	 12.51   	  91.56		106.61   	  30.52		
998.23   	1048.58   	 12.88   	  86.47		106.73   	  20.35		
1052.25   	1106.26   	 13.22   	  66.12		106.82   	   0.00		
1091.00   	1145.94   	 13.49   	  35.61		106.82   	 -40.69		
1120.61   	1171.57   	 13.63   	  25.43		106.65   	 -25.43		
1144.71   	1184.69   	 13.73   	  15.26		106.55   	  20.35		
1160.58   	1184.39   	 13.79   	   5.09		106.63   	  45.78		
1164.55   	1171.88   	 13.81   	 -10.17		106.82   	  30.52		
1156.62   	1149.90   	 13.77   	 -10.17		106.94   	   0.00		
1138.61   	1122.13   	 13.73   	 -25.43		106.94   	  -5.09		
1112.06   	1088.26   	 13.63   	 -25.43		106.92   	  20.35		
1076.05   	1045.53   	 13.53   	 -25.43		107.00   	  10.17		
1030.88   	995.48   	 13.43   	 -25.43		107.04   	 -10.17		
980.53   	943.30   	 13.33   	 -15.26		107.00   	  -5.09		
930.48   	894.78   	 13.27   	 -10.17		106.98   	  10.17		
885.31   	852.66   	 13.22   	   0.00		107.02   	  10.17		
845.03   	814.82   	 13.22   	 -10.17		107.06   	  -5.09		
809.02   	779.11   	 13.18   	   0.00		107.04   	   0.00		
775.15   	744.93   	 13.18(E)	  25.43		107.04   	  10.17		
743.41   	712.89   	 13.29   	  35.61		107.08   	  10.17		
716.25   	682.98   	 13.43   	  30.52		107.12   	  10.17		
698.85   	654.91   	 13.55   	  30.52		107.16   	   0.00		
698.24   	626.83   	 13.67   	  35.61		107.16   	   0.00		
719.60   	601.50   	 13.81   	  35.61		107.16   	   0.00		
762.63   	592.65   	 13.96   	  30.52		107.16   	  -5.09		
818.48   	627.14   	 14.08   	  45.78		107.14   	   5.09		
862.73   	736.69   	 14.26   	  61.04		107.16   	   5.09		
858.46   	924.68   	 14.51   	  71.21		107.18   	  10.17		
776.06   	1121.52   	 14.79   	  71.21		107.22   	   5.09		
613.40   	1205.75(R)	 15.08   	  66.12		107.24   	  10.17		
411.38   	1088.26   	 15.34   	  81.38		107.28   	  10.17		
244.14   	786.74   	 15.67   	  76.30		107.32   	  10.17		
177.61   	441.89   	 15.97   	  76.30		107.36   	  10.17		
226.75   	230.10   	 16.28   	  71.21		107.41   	  10.17		
346.98   	229.49   	 16.56   	  71.21		107.45   	   5.09		
462.34   	368.96   	 16.85   	  71.21		107.47   	  -5.09		
514.53   	502.93   	 17.13   	  76.30		107.45   	  10.17		
496.22   	534.36   	 17.44   	  86.47		107.49   	  15.26		
444.03   	470.89   	 17.78   	 106.82		107.55   	   5.09		
401.31   	387.57   	 18.21   	 127.16		107.57   	   5.09		
387.88   	347.60   	 18.72   	 157.68		107.59   	   5.09		
394.59   	356.14   	 19.35   	 193.29		107.61   	  10.17		
401.92   	378.72   	 20.12   	 254.32		107.65   	   0.00		
397.03   	385.13   	 21.14   	 350.97		107.65   	   0.00		
381.16   	370.79   	 22.54   	 427.26		107.65   	   0.00		
362.55   	348.21   	 24.25   	 437.43		107.65   	  10.17		
347.90   	328.98   	 26.00   	 473.04		107.69   	   5.09		
337.83   	316.47   	 27.89   	 554.42		107.71   	   0.00		
328.67   	307.92   	 30.11   	 564.60		107.71   	   0.00		
317.99   	298.46   	 32.37   	 508.65		107.71   	   0.00		
304.57   	285.34   	 34.40   	 478.13		107.71   	   5.09		
288.70   	267.64   	 36.32   	 462.87		107.73   	   5.09		
271.61   	248.41   	 38.17   	 412.00		107.75   	   0.00		
252.99   	229.80   	 39.82   	 345.88		107.75   	   0.00		
233.46   	211.79   	 41.20   	 295.01		107.75   	   0.00		
213.01   	193.79   	 42.38   	 264.50		107.75   	   5.09		
193.18   	174.87   	 43.44   	 203.46		107.77   	   5.09		
175.48   	156.25   	 44.25   	 188.20		107.79   	  10.17		
160.52   	139.77   	 45.00   	 152.59		107.83   	  10.17		
148.32   	125.73   	 45.62   	  50.86		107.87   	  10.17		
137.33   	113.83   	 45.82   	  91.56		107.91   	   5.09		
125.73   	101.62   	 46.18   	 152.59		107.93   	   0.00		
113.53   	 88.81   	 46.80   	  96.64		107.93   	   0.00		
101.32   	 75.38   	 47.18   	  61.04		107.93   	  10.17		
 90.94   	 63.48   	 47.43   	  91.56		107.98   	  10.17		
 83.62   	 54.63   	 47.79   	 147.51		108.02   	   5.09		
 78.74   	 47.91   	 48.38   	 147.51		108.04   	   0.00		
 73.85   	 40.89   	 48.97   	 122.07		108.04   	   5.09		
 67.14   	 31.43   	 49.46   	 137.33		108.06   	   5.09		
 57.37   	 19.23   	 50.01   	 183.11		108.08   	   5.09		
 46.69   	  7.02   	 50.74   	 172.94		108.10   	   5.09		
 37.54   	 -2.44   	 51.43   	 147.51		108.12   	   5.09		
 31.74   	 -7.02   	 52.02   	 172.94		108.14   	   5.09		
 29.60   	 -7.93   	 52.72   	 183.11		108.16   	  -5.09		
 29.60   	 -7.02   	 53.45   	 167.85		108.14   	   0.00		
 30.52   	 -6.10   	 54.12   	 162.77		108.14   	   0.00		
 32.04   	 -5.49   	 54.77   	 162.77		108.14   	   5.09		
 33.87   	 -4.88   	 55.42   	 167.85		108.16   	  10.17		
 36.93   	 -2.44   	 56.09   	 157.68		108.20   	  10.17		
 40.89   	  1.53   	 56.72   	 127.16		108.24   	  10.17		
 45.17   	  6.41   	 57.23   	 116.99		108.28   	   0.00		
 48.52   	 10.07   	 57.70   	 147.51		108.28   	  -5.09		
 49.44   	 10.99   	 58.29   	 152.59		108.26   	   0.00		
 47.00   	  8.24   	 58.90   	 116.99		108.26   	  10.17		
 42.11   	  2.44   	 59.37   	  81.38		108.30   	   5.09		
 35.71   	 -4.27   	 59.69   	  35.61		108.32   	  -5.09		
 30.82   	 -9.77   	 59.84(S)	 -35.61		108.30   	  -5.09		
 28.38   	-11.90   	 59.69   	-122.07		108.28   	   0.00		
 29.30   	-11.29   	 59.21   	-188.20		108.28   	   5.09		
 32.04   	 -8.54   	 58.45   	-289.93		108.30   	  -5.09		
 35.71   	 -4.88   	 57.29   	-401.83		108.28   	   0.00		
 38.45   	 -0.92   	 55.69   	-437.43		108.28   	  20.35		
 40.89   	  2.44   	 53.94   	-391.66		108.36   	  40.69		
 43.03   	  5.80   	 52.37   	-350.97		108.52   	  10.17		
 45.17   	  9.16   	 50.97   	-335.71		108.57   	 -15.26		
 47.61   	 12.82   	 49.62   	-300.10		108.50   	  -5.09		
 50.66   	 17.09   	 48.42   	-310.27		108.48   	   0.00		
 54.63   	 22.89   	 47.18   	-310.27		108.48   	  -5.09		
 59.81   	 30.52   	 45.94   	-249.24		108.46   	   0.00		
 66.83   	 41.20   	 44.94   	-213.63		108.46   	   5.09		
 76.90   	 56.46   	 44.09   	-239.06		108.48   	   0.00		
 91.86   	 77.82   	 43.13   	-223.80		108.48   	   5.09		
112.00   	105.90   	 42.24   	-198.37		108.50   	  -5.09		
136.72   	138.24   	 41.44   	-228.89		108.48   	 -15.26		
162.35   	169.98   	 40.53   	-264.50		108.42   	  -5.09		
183.11   	195.31   	 39.47   	-249.24		108.40   	   5.09		
194.40   	208.44   	 38.47   	-254.32		108.42   	   5.09		
194.09   	208.13   	 37.46   	-295.01		108.44   	  -5.09		
183.72   	196.23   	 36.28   	-315.36		108.42   	   5.09		
166.63   	177.31   	 35.02   	-356.05		108.44   	  10.17		
147.71   	155.94   	 33.59   	-422.18		108.48   	  10.17		
130.92   	137.02   	 31.90   	-437.43		108.52   	  15.26		
119.32   	123.29   	 30.15   	-412.00		108.59   	  15.26		
113.22   	115.66   	 28.50   	-427.26		108.65   	   5.09		
109.86   	110.47   	 26.80   	-452.69		108.67   	   5.09		
103.15   	101.93   	 24.98   	-427.26		108.69   	   5.09		
 89.11   	 85.45   	 23.28   	-401.83		108.71   	   5.09		
 68.05   	 61.34   	 21.67   	-401.83		108.73   	   5.09		
 44.56   	 34.18   	 20.06   	-376.40		108.75   	   5.09		
 24.41   	 10.07   	 18.56   	-320.45		108.77   	   0.00		
  9.77   	 -7.93   	 17.27   	-284.84		108.77   	  10.17		
 -0.61   	-20.75   	 16.13   	-254.32		108.81   	   5.09		
 -9.77   	-30.82   	 15.12   	-223.80		108.83   	   5.09		
-20.75   	-40.59   	 14.22   	-188.20		108.85   	   0.00		
-35.10   	-53.10   	 13.47   	-152.59		108.85   	   0.00		
-54.32   	-70.80   	 12.86   	-122.07		108.85   	  -5.09		
-79.35   	-94.60   	 12.37   	 -91.56		108.83   	  -5.09		
-107.73   	-122.38   	 12.00   	 -66.12		108.81   	   0.00		
-135.50   	-150.45   	 11.74   	 -50.86		108.81   	  -5.09		
-157.78   	-173.03   	 11.54   	 -35.61		108.79   	  -5.09		
-171.81   	-187.07   	 11.39   	 -15.26		108.77   	   0.00		
-176.39   	-191.65   	 11.33   	 -10.17		108.77   	  -5.09		
-173.03   	-186.46   	 11.29(D)	   0.00		108.75   	   0.00		
-163.27   	-173.03   	 11.29   	  10.17		108.75   	   0.00		
-150.15   	-153.50   	 11.33   	  30.52		108.75   	   5.09		
-134.89   	-130.62   	 11.45   	  45.78		108.77   	  10.17		
-117.49   	-105.59   	 11.64   	  66.12		108.81   	  10.17		
-97.05   	-79.04   	 11.90   	  96.64		108.85   	  10.17		
-73.85   	-49.74   	 12.29   	  96.64		108.89   	  10.17		
-50.35   	-19.53   	 12.68   	  71.21		108.93   	   5.09		
-30.52   	  5.80   	 12.96   	  35.61		108.95   	   5.09		
-15.26   	 21.06   	 13.10   	  30.52		108.97   	  10.17		
 -2.44   	 25.33   	 13.22   	  40.69		109.01   	   5.09		
 11.60   	 23.19   	 13.39   	  20.35		109.03   	  10.17		
 28.99   	 21.36   	 13.47   	  -5.09		109.07   	  10.17		
 47.91   	 24.41   	 13.45   	 -15.26		109.11   	  10.17		
 64.70   	 32.04   	 13.39   	 -15.26		109.16   	   5.09		
 78.43   	 41.50   	 13.33   	 -20.35		109.18   	   5.09		
 90.64   	 51.88   	 13.25   	 -25.43		109.20   	  10.17		
102.23   	 62.87   	 13.14   	 -20.35		109.24   	  15.26		
114.14   	 74.46   	 13.06   	  -5.09		109.30   	  15.26		
125.12   	 85.75   	 13.04   	 -10.17		109.36   	   5.09		
133.97   	 95.52   	 13.00   	  -5.09		109.38   	   0.00		
140.69   	102.54   	 12.98   	   5.09		109.38   	   5.09		
144.96   	105.59   	 13.00   	  15.26		109.40   	   0.00		
145.87   	104.68   	 13.06   	  15.26		109.40   	   5.09		
142.82   	 99.18   	 13.12   	  20.35		109.42   	  10.17		
136.72   	 87.28   	 13.20   	  25.43		109.46   	   5.09		
129.39   	 65.61   	 13.31   	  20.35		109.48   	   5.09		
124.21   	 30.52   	 13.39   	  10.17		109.50   	   0.00		
123.90   	-17.70   	 13.43   	  20.35		109.50   	   5.09		
129.70   	-64.39   	 13.51   	  35.61		109.52   	   0.00		
137.63   	-77.21   	 13.65   	  40.69		109.52   	  -5.09		
133.36   	-14.04   	 13.81   	  50.86		109.50   	   0.00		
 93.38   	139.77   	 14.02   	  66.12		109.50   	  10.17		
 -1.22   	323.79   	 14.28   	  76.30		109.54   	  10.17		
-149.54   	419.62   	 14.59   	  76.30		109.58   	   0.00		
-316.77   	333.56   	 14.89   	  86.47		109.58   	   0.00		
-440.06   	 74.16   	 15.24   	  86.47		109.58   	  -5.09		
-463.87   	-226.75   	 15.58   	  96.64		109.56   	   0.00		
