SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  LRA     	  LRA'		
125.43   	142.52   	 13.29   	   5.09		101.04   	   5.09		
108.64   	109.86   	 13.31   	   0.00		101.06   	   5.09		
 92.77   	 83.92   	 13.31   	   0.00		101.08   	   5.09		
 78.13   	 62.87   	 13.31   	 -15.26		101.10   	   0.00		
 65.00   	 45.78   	 13.25   	 -20.35		101.10   	   0.00		
 54.32   	 32.04   	 13.16   	 -15.26		101.10   	   0.00		
 45.17   	 21.67   	 13.10   	   0.00		101.10   	   5.09		
 37.23   	 13.43   	 13.10(E)	  10.17		101.12   	   5.09		
 30.21   	  5.49   	 13.14   	  10.17		101.14   	  10.17		
 25.63   	 -1.22   	 13.18   	  10.17		101.18   	  10.17		
 25.94   	 -4.27   	 13.22   	  25.43		101.22   	   0.00		
 32.65   	 -2.14   	 13.33   	  25.43		101.22   	 -10.17		
 43.64   	  4.88   	 13.43   	  35.61		101.18   	  -5.09		
 57.68   	 13.12   	 13.57   	  45.78		101.16   	   0.00		
 76.60   	 19.53   	 13.75   	  45.78		101.16   	   5.09		
107.73   	 22.28   	 13.94   	  25.43		101.18   	   5.09		
158.39   	 25.94   	 14.04   	  15.26		101.20   	   0.00		
231.63   	 45.47   	 14.10   	  50.86		101.20   	   5.09		
318.60   	108.34   	 14.30   	  71.21		101.22   	   0.00		
393.07   	245.67   	 14.59   	  66.12		101.22   	   0.00		
416.87   	460.51   	 14.85   	  66.12		101.22   	   0.00		
360.41   	684.51   	 15.12   	 172.94		101.22   	   5.09		
 44.25   	707.70(R)	 15.81   	  86.47		101.24   	   5.09		
-101.01   	431.82   	 16.15   	 106.82		101.26   	   0.00		
-149.23   	107.12   	 16.58   	 111.90		101.26   	   0.00		
-84.23   	-88.20   	 17.03   	 101.73		101.26   	   0.00		
 54.93   	-68.97   	 17.44   	  91.56		101.26   	  10.17		
187.38   	 89.72   	 17.80   	 101.73		101.30   	   5.09		
208.44   	196.23   	 18.21   	 111.90		101.32   	   0.00		
 61.65   	102.23   	 18.66   	 116.99		101.32   	  -5.09		
-222.17   	-192.26   	 19.13   	 132.25		101.30   	  10.17		
-548.40   	-560.91   	 19.65   	 147.51		101.34   	  15.26		
-791.02   	-834.96   	 20.24   	 172.94		101.40   	   5.09		
-872.19   	-918.88   	 20.94   	 213.63		101.42   	 -10.17		
-817.57   	-849.91   	 21.79   	 279.75		101.38   	 -30.52		
-727.54   	-746.46   	 22.91   	 350.97		101.26   	 -50.86		
-685.12   	-699.77   	 24.31   	 391.66		101.06   	  10.17		
-699.77   	-719.30   	 25.88   	 427.26		101.10   	  35.61		
-719.91   	-749.82   	 27.59   	 483.21		101.24   	  66.12		
-688.48   	-730.90   	 29.52   	 534.08		101.51   	  40.69		
-599.67   	-651.55   	 31.66   	 523.90		101.67   	 -10.17		
-503.85   	-556.64   	 33.75   	 503.56		101.63   	  25.43		
-459.90   	-504.76   	 35.77   	 493.39		101.73   	  71.21		
-482.48   	-513.31   	 37.74   	 457.78		102.01   	  -5.09		
-534.97   	-551.15   	 39.57   	 396.74		101.99   	-116.99		
-563.96   	-568.85   	 41.16   	 350.97		101.53   	 -86.47		
-541.69   	-539.55   	 42.56   	 610.37		101.18   	  66.12		
-412.90   	-405.27   	 45.00   	 233.98		101.44   	  20.35		
-374.76   	-364.99   	 45.94   	 188.20		101.53   	 -55.95		
-374.15   	-362.85   	 46.69   	 157.68		101.30   	 -50.86		
-399.17   	-388.18   	 47.32   	 142.42		101.10   	  15.26		
-433.65   	-425.42   	 47.89   	 127.16		101.16   	  30.52		
-474.24   	-469.36   	 48.40   	 116.99		101.28   	  -5.09		
-527.04   	-526.12   	 48.87   	 116.99		101.26   	 -25.43		
-595.09   	-599.98   	 49.34   	 111.90		101.16   	 -15.26		
-672.30   	-686.34   	 49.79   	 116.99		101.10   	  -5.09		
-740.97   	-767.82   	 50.25   	 132.25		101.08   	 -15.26		
-781.86   	-823.36   	 50.78   	 147.51		101.02   	 -10.17		
-787.96   	-842.90   	 51.37   	 157.68		100.98   	  -5.09		
-769.65   	-834.05   	 52.00   	 167.85		100.96   	   0.00		
-745.54   	-814.21   	 52.68   	 172.94		100.96   	   5.09		
-731.81   	-800.48   	 53.37   	 178.03		100.98   	  10.17		
-733.34   	-799.26   	 54.08   	 188.20		101.02   	   0.00		
