SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 58.90   	198.36   	 60.81   	 132.25		 29.91   	 -10.17		
 71.11   	205.38   	 61.34   	  35.61		 29.87   	  40.69		
 89.42   	216.37   	 61.49   	 -40.69		 30.03   	  61.04		
110.47   	232.24   	 61.32   	-106.82		 30.27   	  71.21		
130.31   	251.46   	 60.89   	-137.33		 30.56   	  66.12		
145.87   	271.30   	 60.35   	-157.68		 30.82   	  30.52		
157.17   	290.53   	 59.71   	-157.68		 30.95   	   5.09		
164.49   	307.62   	 59.08   	-127.16		 30.97   	 -20.35		
166.93   	322.57   	 58.58   	 -81.38		 30.88   	 -10.17		
163.88   	334.78   	 58.25   	 -35.61		 30.84   	 -20.35		
158.39   	344.54   	 58.11   	  35.61		 30.76   	 -20.35		
156.25   	353.70   	 58.25   	  91.56		 30.68   	   0.00		
163.57   	362.85   	 58.62   	 157.68		 30.68   	   0.00		
178.83   	372.92   	 59.25   	 208.54		 30.68   	   0.00		
192.57   	384.83   	 60.08   	 249.24		 30.68   	   0.00		
194.70   	397.95   	 61.08   	 284.84		 30.68   	  -5.09		
182.19   	411.68   	 62.22   	 295.01		 30.66   	 -20.35		
161.74   	423.89   	 63.40   	 289.93		 30.58   	 -40.69		
143.13   	432.13   	 64.56   	 279.75		 30.42   	 -40.69		
131.23   	435.18   	 65.68   	 249.24		 30.25   	 -25.43		
124.51   	433.35   	 66.67   	 218.72		 30.15   	 -20.35		
117.19   	429.38   	 67.55   	 172.94		 30.07   	 -15.26		
107.42   	425.11   	 68.24   	 132.25		 30.01   	 -20.35		
 97.66   	421.14   	 68.77   	  91.56		 29.93   	 -61.04		
 92.77   	416.26   	 69.14   	  50.86		 29.68   	 -61.04		
 95.83   	407.41   	 69.34   	  20.35		 29.44   	 -30.52		
103.76   	392.15   	 69.42   	   0.00		 29.32   	 -61.04		
110.47   	369.26   	 69.42   	 -15.26		 29.07   	 -66.12		
109.86   	339.05   	 69.36   	 -20.35		 28.81   	 -50.86		
 98.88   	301.82   	 69.28   	 -20.35		 28.61   	 -71.21		
 80.26   	259.40   	 69.20   	 -15.26		 28.32   	 -61.04		
 59.20   	213.01   	 69.14   	   0.00		 28.08   	 -71.21		
 40.59   	163.57   	 69.14   	  15.26		 27.79   	 -86.47		
 26.86   	114.14   	 69.20   	  25.43		 27.45   	-106.82		
 18.01   	 68.36   	 69.30   	  45.78		 27.02   	-116.99		
 12.21   	 28.69   	 69.48   	  50.86		 26.55   	-101.73		
  7.32   	 -3.97   	 69.68   	  55.95		 26.14   	-127.16		
  1.22   	-32.04   	 69.91   	  61.04		 25.64   	-142.42		
 -7.32   	-57.68   	 70.15   	  50.86		 25.07   	 -96.64		
-17.70   	-83.01   	 70.36   	  45.78		 24.68   	 -86.47		
-28.69   	-107.73   	 70.54   	  35.61		 24.33   	 -96.64		
-38.15   	-129.70   	 70.68   	  15.26		 23.95   	 -71.21		
-45.17   	-146.79   	 70.74   	   0.00		 23.66   	 -96.64		
-48.52   	-158.08   	 70.74   	 -20.35		 23.28   	 -96.64		
-49.44   	-164.18   	 70.66   	 -40.69		 22.89   	 -96.64		
-48.22   	-166.32   	 70.50   	 -55.95		 22.50   	-101.73		
-46.39   	-166.93   	 70.27   	 -76.30		 22.10   	-111.90		
-45.17   	-167.24   	 69.97   	 -86.47		 21.65   	-157.68		
-45.78   	-168.15   	 69.62   	-101.73		 21.02   	-208.54		
-47.61   	-169.98   	 69.22   	-106.82		 20.18   	-254.32		
-50.05   	-171.81   	 68.79   	-116.99		 19.17   	-259.41		
-53.10   	-173.95   	 68.32   	-122.07		 18.13   	-284.84		
-55.54   	-174.87   	 67.83   	-127.16		 16.99   	-325.53		
-57.98   	-173.34   	 67.32   	-132.25		 15.69   	-320.45		
-60.42   	-169.37   	 66.80   	-147.51		 14.40   	-325.53		
-62.26   	-162.96   	 66.21   	-157.68		 13.10   	-345.88		
-62.87   	-155.94   	 65.57   	-183.11		 11.72   	-335.71		
-61.65   	-148.93   	 64.84   	-193.29		 10.38   	-330.62		
-57.37   	-143.13   	 64.07   	-203.46		  9.05   	-320.45		
-51.27   	-137.63   	 63.26   	-198.37		  7.77   	-325.53		
-44.56   	-132.75   	 62.46   	-193.29		  6.47   	-310.27		
-39.37   	-128.17   	 61.69   	-167.85		  5.23   	-284.84		
-37.84   	-124.21   	 61.02   	-142.42		  4.09   	-264.50		
-39.67   	-121.15   	 60.45   	-111.90		  3.03   	-239.06		
-43.95   	-119.02   	 60.00   	 -71.21		  2.08   	-188.20		
-47.91   	-117.19   	 59.71   	 -40.69		  1.32   	-152.59		
-49.13   	-115.36   	 59.55   	 -15.26		  0.71   	-127.16		
-46.69   	-114.75   	 59.49   	  10.17		  0.20   	 -86.47		
-41.20   	-115.36   	 59.53   	  20.35		 -0.14   	 -66.12		
-34.79   	-117.19   	 59.61   	  20.35		 -0.41   	 -50.86		
-28.99   	-119.32   	 59.69   	  10.17		 -0.61   	 -10.17		
-25.33   	-120.54   	 59.74   	   0.00		 -0.65   	 -25.43		
-23.80   	-119.63   	 59.74   	 -25.43		 -0.75   	 -55.95		
-23.80   	-117.80   	 59.63   	 -45.78		 -0.98   	 -45.78		
-24.72   	-115.97   	 59.45   	 -71.21		 -1.16   	 -50.86		
-25.94   	-115.97   	 59.17   	 -91.56		 -1.36   	 -55.95		
-27.77   	-116.88   	 58.80   	-111.90		 -1.59   	 -45.78		
-30.52   	-118.71   	 58.35   	-122.07		 -1.77   	  -5.09		
-34.48   	-119.02   	 57.86   	-132.25		 -1.79   	  61.04		
-38.76   	-117.80   	 57.33   	-122.07		 -1.55   	 116.99		
-41.20   	-115.66   	 56.85   	-122.07		 -1.08   	 132.25		
-39.98   	-113.22   	 56.36   	-106.82		 -0.55   	 132.25		
-34.79   	-110.47   	 55.93   	 -91.56		 -0.02   	 132.25		
-26.25   	-106.81   	 55.56   	 -76.30		  0.51   	 106.82		
-16.48   	-100.10   	 55.26   	 -61.04		  0.94   	  86.47		
 -7.02   	-89.11   	 55.02   	 -40.69		  1.28   	  71.21		
  1.22   	-74.16   	 54.85   	 -30.52		  1.57   	  66.12		
  6.10   	-58.29   	 54.73   	 -25.43		  1.83   	  61.04		
  6.41   	-44.86   	 54.63   	 -25.43		  2.08   	  35.61		
  2.44   	-36.62   	 54.53   	 -20.35		  2.22   	  20.35		
 -1.53   	-33.87   	 54.45   	 -25.43		  2.30   	   0.00		
 -1.53   	-34.18   	 54.34   	 -30.52		  2.30   	  15.26		
  4.27   	-32.35   	 54.22   	 -45.78		  2.36   	  10.17		
 12.51   	-25.94   	 54.04   	 -50.86		  2.40   	  -5.09		
 17.09   	-16.78   	 53.83   	 -66.12		  2.38   	   0.00		
 13.73   	-11.90   	 53.57   	 -76.30		  2.38   	   0.00		
  3.97   	-20.45   	 53.27   	 -81.38		  2.38   	 -15.26		
 -6.71   	-45.78   	 52.94   	 -86.47		  2.32   	 -15.26		
-13.12   	-84.23   	 52.59   	 -91.56		  2.26   	  -5.09		
-14.34   	-123.90   	 52.23   	 -91.56		  2.24   	  10.17		
-14.04   	-153.50   	 51.86   	 -86.47		  2.28   	  10.17		
-17.09   	-168.15   	 51.52   	 -76.30		  2.32   	  20.35		
-27.47   	-170.90   	 51.21   	 -76.30		  2.40   	  35.61		
-43.64   	-170.59   	 50.91   	 -66.12		  2.54   	  35.61		
-61.04   	-172.42   	 50.64   	 -55.95		  2.69   	  55.95		
-75.07   	-177.92   	 50.42   	 -50.86		  2.91   	  66.12		
-83.62   	-183.72   	 50.21   	 -40.69		  3.17   	  66.12		
-86.98   	-187.99   	 50.05   	 -40.69		  3.44   	  55.95		
-86.67   	-189.21   	 49.89   	 -35.61		  3.66   	  45.78		
-83.31   	-188.90   	 49.75   	 -30.52		  3.85   	   5.09		
-76.90   	-187.99   	 49.62   	 -35.61		  3.87   	 -50.86		
-69.27   	-186.46   	 49.48   	 -35.61		  3.66   	 -96.64		
-62.26   	-185.24   	 49.34   	 -40.69		  3.28   	 -61.04		
-57.68   	-183.72   	 49.18   	 -40.69		  3.03   	  10.17		
-55.85   	-181.88   	 49.01   	 -50.86		  3.07   	  66.12		
-54.93   	-179.44   	 48.81   	 -45.78		  3.34   	 132.25		
-54.93   	-176.09   	 48.63   	 -55.95		  3.87   	 188.20		
-56.15   	-172.73   	 48.40   	 -55.95		  4.62   	 137.33		
-58.90   	-171.51   	 48.18   	 -66.12		  5.17   	  71.21		
-61.04   	-176.70   	 47.91   	 -66.12		  5.45   	 101.73		
-57.07   	-189.21   	 47.65   	 -66.12		  5.86   	  96.64		
-39.37   	-209.05   	 47.39   	 -55.95		  6.25   	 157.68		
 -4.58   	-233.46   	 47.16   	 -30.52		  6.88   	 274.67		
 43.64   	-250.24   	 47.04   	 -10.17		  7.98   	 386.57		
 90.03   	-237.43   	 47.00   	 -20.35		  9.52   	 122.07		
109.56   	-167.85   	 46.92   	 -45.78		 10.01   	-239.06		
 69.58   	-24.41   	 46.73   	 -76.30		  9.05   	-640.89		
-48.22   	174.56   	 46.43   	-101.73		  6.49   	-930.82		
-232.85   	367.74   	 46.02   	-132.25		  2.77   	-661.24		
-440.06   	481.26   	 45.49   	-111.90		  0.12   	 396.74		
-681.46   	353.39   	 45.05   	 -66.12		  1.71   	 584.94		
-652.47   	168.76   	 44.78   	 -45.78		  4.05   	 330.62		
-549.93   	-32.04   	 44.60   	 -35.61		  5.37   	 305.19		
-420.53   	-223.08   	 44.46   	 -20.35		  6.59   	  81.38		
-299.99   	-387.27   	 44.37   	  -5.09		  6.92   	-116.99		
-202.03   	-491.03   	 44.35   	  20.35		  6.45   	 147.51		
-122.68   	-494.38(R)	 44.44   	  40.69		  7.04   	 310.27		
-55.85   	-387.88   	 44.60   	  40.69		  8.28   	 249.24		
 -2.44   	-216.37   	 44.76   	  20.35		  9.28   	 295.01		
 32.04   	-56.15   	 44.84   	  -5.09		 10.46   	 178.03		
 46.08   	 32.65   	 44.82   	 -25.43		 11.17   	 -61.04		
 45.47   	 41.81   	 44.72   	 -55.95		 10.93   	 -66.12		
 40.59   	 10.68   	 44.50   	 -76.30		 10.66(E)	  20.35		
 39.06   	-14.04   	 44.19   	 -96.64		 10.74   	 127.16		
 43.33   	-10.38   	 43.80   	-111.90		 11.25   	 284.84		
 49.74   	 12.21   	 43.36   	-116.99		 12.39   	 325.53		
 54.63   	 35.71   	 42.89   	-122.07		 13.69   	 320.45		
