SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
 -8.24   	-29.91   	  3.68   	 147.51		 93.33   	 -30.52		
-10.68   	-30.21   	  4.27   	 157.68		 93.20   	   5.09		
-12.82   	-30.52   	  4.90   	 147.51		 93.22   	  20.35		
-14.04   	-30.82   	  5.49   	 111.90		 93.31   	 -20.35		
-14.95   	-30.82   	  5.94   	  76.30		 93.22   	 -66.12		
-15.56   	-31.13   	  6.25   	  45.78		 92.96   	 -66.12		
-15.56   	-32.04   	  6.43   	  35.61		 92.70   	 -40.69		
-15.26   	-33.57   	  6.57   	   5.09		 92.53   	 -45.78		
-14.95   	-34.79   	  6.59   	 -76.30		 92.35   	 -66.12		
-13.43   	-33.57   	  6.29   	-116.99		 92.09   	 -40.69		
 -8.85   	-26.55   	  5.82   	-127.16		 91.92   	   5.09		
  0.92   	-11.60   	  5.31   	-111.90		 91.94   	  30.52		
 17.40   	 12.82   	  4.86   	 -71.21		 92.06   	  15.26		
 39.98   	 47.61   	  4.58   	 -30.52		 92.13   	 -45.78		
 65.31   	 93.99   	  4.46   	 -10.17		 91.94   	 -71.21		
 89.42   	149.23   	  4.42   	  10.17		 91.66   	 -50.86		
109.56   	206.30   	  4.46   	  25.43		 91.45   	 -30.52		
125.43   	253.30   	  4.56   	  20.35		 91.33   	 -50.86		
139.16   	282.90   	  4.64   	  25.43		 91.13   	 -66.12		
154.11   	297.24   	  4.74   	  35.61		 90.86   	 -61.04		
171.51   	306.40   	  4.88   	  45.78		 90.62   	 -50.86		
188.60   	317.08   	  5.07   	  55.95		 90.42   	 -40.69		
198.36   	323.18   	  5.29   	  55.95		 90.25   	 -15.26		
194.40   	309.14   	  5.51   	  66.12		 90.19   	 -10.17		
176.70   	265.81   	  5.78   	  86.47		 90.15   	 -20.35		
152.28   	199.58   	  6.12   	 101.73		 90.07   	 -55.95		
131.53   	128.78   	  6.53   	  96.64		 89.85   	 -71.21		
118.10   	 69.27   	  6.92   	  96.64		 89.56   	 -45.78		
106.81   	 23.50   	  7.30   	  81.38		 89.38   	 -35.61		
 87.28   	-14.65   	  7.63   	  76.30		 89.24   	 -81.38		
 54.32   	-49.44   	  7.93   	  66.12		 88.91   	-116.99		
 12.51   	-78.43   	  8.20   	  61.04		 88.44   	 -91.56		
-26.55   	-96.13   	  8.44   	  45.78		 88.08   	 -40.69		
-53.41   	-102.54   	  8.63   	  15.26		 87.91   	 -61.04		
-65.92   	-102.54   	  8.69   	   5.09		 87.67   	-106.82		
-69.27   	-103.76   	  8.71   	   0.00		 87.24   	 -91.56		
-69.27   	-107.73   	  8.71   	  -5.09		 86.88   	 -40.69		
-68.97   	-112.92   	  8.69   	 -15.26		 86.71   	 -20.35		
-69.58   	-115.66   	  8.63   	   0.00		 86.63   	   0.00		
-69.58   	-115.66   	  8.63   	 -50.86		 86.63   	-122.07		
-72.94   	-115.97   	  8.42   	   0.00		 86.14   	   0.00		
-72.94   	-115.97   	  8.42   	 -35.61		 86.14   	-167.85		
-77.21   	-119.93   	  8.28   	   0.00		 85.47   	   0.00		
-77.21   	-119.93   	  8.28   	  -5.09		 85.47   	-116.99		
-78.13   	-124.21   	  8.26   	   0.00		 85.00   	   0.00		
-78.13   	-124.21   	  8.26   	  40.69		 85.00   	-132.25		
-69.89   	-119.93   	  8.42   	   0.00		 84.48   	   0.00		
-69.89   	-119.93   	  8.42   	  10.17		 84.48   	-188.20		
-17.70   	-95.21   	  8.46   	   0.00		 83.72   	   0.00		
-17.70   	-95.21   	  8.46   	  71.21		 83.72   	  30.52		
149.23   	  4.58   	  8.75   	  45.78		 83.85   	 -45.78		
260.62   	134.28   	  8.93   	  40.69		 83.66   	-127.16		
331.42   	335.39   	  9.09   	  20.35		 83.15   	 -91.56		
285.64   	562.74   	  9.18   	  76.30		 82.79   	-101.73		
-331.42   	710.75   	  9.48   	  66.12		 82.38   	 -91.56		
-783.39   	494.08   	  9.75   	  96.64		 82.01   	-127.16		
-1126.40   	122.38   	 10.13   	 101.73		 81.51   	 -66.12		
-1220.09   	-280.76   	 10.54   	  91.56		 81.24   	  50.86		
-1039.12   	-594.79   	 10.91   	  86.47		 81.44   	  45.78		
-690.00   	-751.95(R)	 11.25(E)	  66.12		 81.63   	 -40.69		
-335.08   	-741.27   	 11.52   	  40.69		 81.46   	 -55.95		
-94.91   	-597.23   	 11.68   	  35.61		 81.24   	 -25.43		
  4.58   	-386.96   	 11.82   	  30.52		 81.14   	 -40.69		
 11.90   	-191.96   	 11.94   	  40.69		 80.98   	 -71.21		
 -7.63   	-77.21   	 12.11   	  50.86		 80.69   	 -91.56		
-15.56   	-60.12   	 12.31   	  30.52		 80.33   	 -81.38		
 -7.32   	-105.90   	 12.43   	  10.17		 80.00   	 -66.12		
  5.49   	-155.03   	 12.47   	  15.26		 79.74   	 -25.43		
 13.43   	-169.07   	 12.53   	  45.78		 79.63   	  15.26		
 14.04   	-149.84   	 12.72   	  66.12		 79.69   	  10.17		
 11.29   	-124.21   	 12.98   	  81.38		 79.74   	 -20.35		
  8.54   	-112.30   	 13.31   	  71.21		 79.65   	 -61.04		
  9.16   	-115.36   	 13.59   	  55.95		 79.41   	 -76.30		
 12.82   	-122.07   	 13.81   	  66.12		 79.10   	 -61.04		
 16.78   	-124.21   	 14.08   	  81.38		 78.86   	 -45.78		
 19.53   	-121.46   	 14.40   	 137.33		 78.68   	 -55.95		
 20.75   	-117.19   	 14.95   	 264.50		 78.45   	 -50.86		
 21.36   	-113.83   	 16.01   	 310.27		 78.25   	 -40.69		
 22.28   	-112.30   	 17.25   	 432.35		 78.09   	 -71.21		
 26.25   	-108.64   	 18.98   	 218.72		 77.80   	 -35.61		
 28.99   	-104.68   	 19.86   	 345.88		 77.66   	 -30.52		
 31.43   	-99.79   	 21.24   	 447.61		 77.54   	 -35.61		
 32.96   	-95.21   	 23.03   	 437.43		 77.40   	 -61.04		
 33.87   	-90.64   	 24.78   	 350.97		 77.15   	 -81.38		
 34.79   	-86.06   	 26.19   	 320.45		 76.83   	 -81.38		
 36.93   	-81.79   	 27.47   	 361.14		 76.50   	 -50.86		
 40.28   	-77.82   	 28.91   	   0.00		 76.30   	   0.00		
 40.28   	-77.82   	 28.91   	 940.99		 76.30   	 -10.17		
 47.61   	-68.97   	 32.68   	   0.00		 76.26   	   0.00		
 47.61   	-68.97   	 32.68   	 859.61		 76.26   	 -50.86		
 52.80   	-59.51   	 36.11   	   0.00		 76.05   	   0.00		
 52.80   	-59.51   	 36.11   	 956.25		 76.05   	-157.68		
 56.46   	-53.41   	 39.94   	   0.00		 75.42   	   0.00		
 56.46   	-53.41   	 39.94   	1434.38		 75.42   	 -76.30		
 61.34   	-46.08   	 45.68   	   0.00		 75.12   	   0.00		
 61.34   	-46.08   	 45.68   	 737.54		 75.12   	  -5.09		
 67.14   	-35.71   	 48.63   	   0.00		 75.10(D)	   0.00		
 67.14   	-35.71   	 48.63   	 376.40		 75.10   	  91.56		
 76.29   	-22.89   	 50.13   	 259.41		 75.46   	 183.11		
 82.40   	-14.95   	 51.17   	 198.37		 76.20   	 345.88		
 88.81   	 -6.41   	 51.96   	  40.69		 77.58   	 544.25		
 95.21   	  1.83   	 52.13   	 -55.95		 79.76   	 737.54		
101.62   	  9.77   	 51.90   	 -61.04		 82.71   	 890.13		
107.73   	 18.01   	 51.66   	 -10.17		 86.27   	 966.43		
114.14   	 26.86   	 51.62   	  10.17		 90.13   	 930.82		
120.54   	 36.93   	 51.66   	 -30.52		 93.86   	 747.71		
127.26   	 47.61   	 51.54   	 -86.47		 96.85   	 503.56		
133.67   	 58.59   	 51.19   	 -96.64		 98.86   	 289.93		
140.38   	 69.58   	 50.80   	 -61.04		100.02   	 132.25		
147.09   	 80.26   	 50.56   	 -15.26		100.55   	  71.21		
153.50   	 90.94   	 50.50   	 -10.17		100.83   	 147.51		
159.30   	102.23   	 50.46   	 -20.35		101.42   	 356.05		
164.79   	114.14   	 50.38   	 -30.52		102.85   	 595.11		
168.76   	126.95   	 50.25   	  10.17		105.23   	 747.71		
171.81   	139.47   	 50.29   	  71.21		108.22   	 773.14		
173.65   	151.67   	 50.58   	 106.82		111.31   	 737.54		
174.87   	162.35   	 51.01   	 111.90		114.26   	 666.32		
175.78   	171.20   	 51.45   	  96.64		116.93   	 539.16		
176.70   	177.92   	 51.84   	 106.82		119.08   	 330.62		
177.00   	184.33   	 52.27   	 132.25		120.41   	 137.33		
