SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
-93.99   	-63.48   	115.81   	 249.24		109.26   	 -25.43		
-86.67   	-75.68   	116.81   	 167.85		109.16   	 -50.86		
-80.26   	-90.64   	117.48   	 106.82		108.95   	 -61.04		
-74.46   	-105.59   	117.90   	  61.04		108.71   	 -71.21		
-69.89   	-118.71   	118.15   	  25.43		108.42   	 -81.38		
-70.80   	-132.45   	118.25   	  10.17		108.10   	 -91.56		
-78.43   	-149.84   	118.29   	 -10.17		107.73   	-106.82		
-90.33   	-170.90   	118.25   	 -20.35		107.30   	-122.07		
-102.23   	-188.90   	118.17   	 -50.86		106.82   	-147.51		
-108.64   	-195.01   	117.96   	 -61.04		106.23   	-183.11		
-108.95   	-186.77   	117.72   	 -81.38		105.49   	-223.80		
-106.81   	-173.34   	117.40   	-101.73		104.60   	-284.84		
-104.37   	-166.32   	116.99   	-127.16		103.46   	-356.05		
-102.84   	-168.76   	116.48   	-157.68		102.03   	-473.04		
-102.54   	-175.78   	115.85   	-178.03		100.14   	-630.72		
-103.15   	-177.31   	115.14   	-198.37		 97.62   	-824.00		
-104.68   	-170.29   	114.34   	-213.63		 94.32   	-1073.24		
-107.42   	-161.13   	113.49   	-228.89		 90.03   	-1347.91		
-111.39   	-159.00   	112.57   	-244.15		 84.64   	-1541.19		
-113.83   	-166.02   	111.60   	-254.32		 78.47   	-1637.84		
-111.39   	-173.95   	110.58   	-269.58		 71.92   	-1592.06		
-104.98   	-171.20   	109.50   	-279.75		 65.55   	-1383.51		
-94.91   	-153.20   	108.38   	-340.79		 60.02   	-1210.58		
-73.24   	-104.68   	107.02   	-350.97		 55.18   	-1164.80		
-65.00   	-93.99   	105.62   	-366.22		 50.52   	-1164.80		
-59.20   	-93.99   	104.15   	-386.57		 45.86   	-1103.76		
-56.76   	-97.96   	102.60   	-396.74		 41.44   	-1037.64		
-59.20   	-99.79   	101.02   	-412.00		 37.29   	-976.60		
-66.22   	-98.57   	 99.37   	-417.09		 33.39   	-890.13		
-75.07   	-96.74   	 97.70   	-417.09		 29.83   	-788.40		
-80.87   	-93.08   	 96.03   	-391.66		 26.67   	-681.58		
-77.82   	-84.84   	 94.47   	-350.97		 23.95   	-574.77		
-63.78   	-70.80   	 93.06   	-300.10		 21.65   	-508.65		
-41.81   	-54.93   	 91.86   	-244.15		 19.61   	-457.78		
-19.53   	-43.64   	 90.88   	-198.37		 17.78   	-452.69		
 -6.71   	-41.50   	 90.09   	-172.94		 15.97   	-483.21		
 -8.85   	-46.39   	 89.40   	-157.68		 14.04   	-493.39		
-21.36   	-50.35   	 88.77   	-157.68		 12.07   	-442.52		
-35.40   	-44.86   	 88.14   	-172.94		 10.29   	-356.05		
-41.50   	-25.94   	 87.45   	-183.11		  8.87   	-244.15		
-34.18   	  4.58   	 86.71   	-188.20		  7.89   	-142.42		
-16.78   	 36.01   	 85.96   	-198.37		  7.32   	 -81.38		
  1.83   	 54.63   	 85.17   	-193.29		  7.00   	 -61.04		
 11.90   	 50.96   	 84.39   	-188.20		  6.75   	 -71.21		
  8.85   	 26.55   	 83.64   	-167.85		  6.47   	 -76.30		
 -5.80   	 -5.19   	 82.97   	-142.42		  6.16   	 -55.95		
-24.41   	-26.25   	 82.40   	-122.07		  5.94   	 -15.26		
-38.45   	-30.82   	 81.91   	 -86.47		  5.88   	  25.43		
-57.98   	-40.59   	 81.57   	 -76.30		  5.98   	  20.35		
-76.29   	-73.55   	 81.26   	 -61.04		  6.06   	   5.09		
-103.15   	-122.38   	 81.02   	 -61.04		  6.08   	  -5.09		
-130.00   	-170.29   	 80.77   	 -61.04		  6.06   	   0.00		
-145.57   	-201.72   	 80.53   	 -55.95		  6.06   	   5.09		
-144.35   	-212.40   	 80.30   	 -66.12		  6.08   	  10.17		
-130.92   	-208.44   	 80.04   	 -71.21		  6.12   	  20.35		
-115.36   	-198.97   	 79.76   	 -76.30		  6.21   	  30.52		
-107.42   	-191.96   	 79.45   	 -76.30		  6.33   	  35.61		
-110.17   	-191.96   	 79.15   	 -71.21		  6.47   	  25.43		
-118.41   	-199.89   	 78.86   	 -76.30		  6.57   	  20.35		
-123.60   	-209.96   	 78.56   	 -71.21		  6.65   	   5.09		
-121.46   	-215.76   	 78.27   	 -76.30		  6.67   	   5.09		
-115.36   	-215.76   	 77.97   	 -71.21		  6.69   	  20.35		
-112.92   	-213.32   	 77.68   	 -66.12		  6.78   	  35.61		
-118.41   	-216.06   	 77.42   	 -66.12		  6.92   	  55.95		
-126.65   	-225.83   	 77.15   	 -61.04		  7.14   	  61.04		
-121.15   	-234.38   	 76.91   	 -55.95		  7.39   	  50.86		
-91.55   	-217.59   	 76.68   	 -66.12		  7.59   	  40.69		
-51.57   	-142.21   	 76.42   	 -71.21		  7.75   	  35.61		
-44.86   	 27.16   	 76.13   	 -76.30		  7.89   	  45.78		
-124.82   	320.43   	 75.83   	 -76.30		  8.08   	  55.95		
-320.43   	719.60   	 75.52   	 -91.56		  8.30   	  66.12		
-601.50   	1120.61   	 75.16   	-106.82		  8.57   	  55.95		
-1044.01   	1260.99(R)	 74.73   	-101.73		  8.79(E)	  35.61		
-1036.68   	823.36   	 74.32   	 -86.47		  8.93   	  30.52		
-872.19   	206.60   	 73.98   	 -71.21		  9.05   	  40.69		
-628.36   	-321.35   	 73.69   	 -66.12		  9.22   	  66.12		
-396.12   	-562.13   	 73.43   	 -66.12		  9.48   	 106.82		
-230.10   	-510.25   	 73.16   	 -66.12		  9.91   	 162.77		
-133.97   	-326.84   	 72.90   	 -66.12		 10.56   	 223.80		
-83.92   	-196.23   	 72.63   	 -71.21		 11.45   	 279.75		
-57.37   	-191.96   	 72.35   	 -81.38		 12.57   	 340.79		
-43.95   	-264.59   	 72.02   	 -91.56		 13.94   	 437.43		
-41.20   	-324.71   	 71.66   	-101.73		 15.69   	 651.07		
-45.78   	-327.45   	 71.25   	 -96.64		 18.29   	 910.47		
-54.02   	-290.83   	 70.86   	 -96.64		 21.93   	 951.17		
-61.04   	-257.26   	 70.48   	 -91.56		 25.74   	 986.77		
-64.70   	-248.41   	 70.11   	 -86.47		 29.68   	1353.00		
-65.92   	-257.57   	 69.77   	 -76.30		 35.10   	1653.10		
-66.53   	-269.17   	 69.46   	 -86.47		 41.71   	1683.61		
-68.36   	-273.44   	 69.11   	 -91.56		 48.44   	1592.06		
-70.50   	-268.25   	 68.75   	 -91.56		 54.81   	1393.69		
-70.50   	-256.35   	 68.38   	 -91.56		 60.39   	1129.19		
-63.78   	-241.70   	 68.02   	-101.73		 64.90   	 885.04		
-49.44   	-226.75   	 67.61   	-106.82		 68.44   	 732.45		
-34.18   	-213.01   	 67.18   	-111.90		 71.37   	 661.24		
-28.38   	-202.94   	 66.73   	-106.82		 74.02   	 656.15		
-37.84   	-200.50   	 66.31   	 -96.64		 76.64   	 788.40		
-75.38   	-206.30   	 65.92   	 -91.56		 79.80   	 742.62		
-78.74   	-203.55   	 65.55   	 -86.47		 82.77   	 681.58		
-66.22   	-190.12   	 65.21   	 -71.21		 85.49   	 600.20		
-47.00   	-166.63   	 64.92   	 -40.69		 87.89   	 528.99		
-34.18   	-141.60   	 64.76   	 -10.17		 90.01   	 452.69		
-34.48   	-122.68   	 64.72   	  35.61		 91.82   	 401.83		
-46.08   	-110.17   	 64.86   	 127.16		 93.43   	 361.14		
-60.12   	-99.49   	 65.37   	 274.67		 94.87   	 330.62		
-68.97   	-81.18   	 66.47   	 473.04		 96.19   	 325.53		
-68.36   	-49.74   	 68.36   	 681.58		 97.50   	 335.71		
-57.98   	 -9.46   	 71.09   	 849.44		 98.84   	 340.79		
-40.59   	 29.30   	 74.49   	 930.82		100.20   	 330.62		
-21.67   	 55.24   	 78.21   	 935.91		101.53   	 305.19		
 -6.41   	 65.61   	 81.95   	 874.87		102.75   	 254.32		
 -0.31   	 66.83   	 85.45   	 773.14		103.76   	 198.37		
 -4.58   	 70.19   	 88.54   	 656.15		104.56   	 162.77		
-15.56   	 81.79   	 91.17   	 559.51		105.21   	 142.42		
-27.47   	100.40   	 93.41   	 493.39		105.78   	 132.25		
-36.32   	117.19   	 95.38   	 467.95		106.31   	 132.25		
-41.81   	123.60   	 97.25   	 473.04		106.84   	 122.07		
-46.39   	115.97   	 99.15   	 513.73		107.32   	 116.99		
-51.57   	 97.05   	101.20   	 559.51		107.79   	 111.90		
-57.37   	 75.68   	103.44   	 579.86		108.24   	  86.47		
-63.78   	 60.12   	105.76   	 584.94		108.59   	  61.04		
-69.58   	 52.19   	108.10   	 590.03		108.83   	  20.35		
-74.46   	 34.18   	110.46   	 508.65		108.91(S)	   0.00		
-67.75   	 13.12   	112.49   	 417.09		108.91   	 -20.35		
-54.93   	-11.60   	114.16   	 325.53		108.83   	 -45.78		
-41.81   	-35.71   	115.46   	 244.15		108.65   	 -55.95		
-35.71   	-56.76   	116.44   	 172.94		108.42   	 -50.86		
-40.89   	-77.21   	117.13   	 111.90		108.22   	 -40.69		
-54.32   	-101.01   	117.58   	  76.30		108.06   	 -40.69		
-66.83   	-124.82   	117.88   	  50.86		107.89   	 -40.69		
-70.50   	-140.08   	118.09   	  30.52		107.73   	 -55.95		
-65.31   	-141.60   	118.21   	  10.17		107.51   	 -76.30		
-58.59   	-132.14   	118.25(S)	 -10.17		107.20   	 -96.64		
-58.29   	-122.38   	118.21   	 -25.43		106.82   	-127.16		
-67.44   	-123.60   	118.11   	 -55.95		106.31   	-178.03		
-81.18   	-138.85   	117.88   	 -81.38		105.59   	-239.06		
-92.47   	-160.52   	117.56   	-106.82		104.64   	-310.27		
-95.83   	-173.34   	117.13   	-137.33		103.40   	-386.57		
-91.86   	-169.07   	116.58   	-167.85		101.85   	-488.30		
-85.14   	-151.67   	115.91   	-193.29		 99.90   	-620.55		
-81.48   	-133.97   	115.14   	-203.46		 97.42   	-803.66		
-83.62   	-128.17   	114.32   	-218.72		 94.20   	-1032.55		
-91.25   	-136.72   	113.45   	-228.89		 90.07   	-1307.22		
-100.10   	-151.06   	112.53   	-239.06		 84.84   	-1546.28		
-103.76   	-157.17   	111.58   	-254.32		 78.66   	-1612.40		
-97.96   	-148.32   	110.56   	-264.50		 72.21   	-1525.93		
-83.62   	-126.34   	109.50   	-320.45		 66.10   	-1388.60		
-47.61   	-84.53   	108.22   	-345.88		 60.55   	-1225.83		
-33.87   	-80.26   	106.84   	-366.22		 55.65   	-1154.62		
-22.89   	-81.79   	105.37   	-376.40		 51.03   	-1144.45		
-13.12   	-78.43   	103.87   	-386.57		 46.45   	-1108.85		
 -7.32   	-65.00   	102.32   	-396.74		 42.01   	-1032.55		
 -9.16   	-47.00   	100.73   	-412.00		 37.88   	-935.91		
-18.31   	-34.18   	 99.08   	-417.09		 34.14   	-849.44		
-29.91   	-32.96   	 97.42   	-396.74		 30.74   	-824.00		
-35.40   	-39.06   	 95.83   	-361.14		 27.45   	-864.70		
-30.21   	-43.33   	 94.38   	-305.19		 23.99   	-803.66		
-16.17   	-41.81   	 93.16   	-269.58		 20.77   	-666.32		
 -1.22   	-38.45   	 92.09   	-233.98		 18.11   	-498.47		
  7.93   	-39.06   	 91.15   	-203.46		 16.11   	-366.22		
  9.16   	-43.95   	 90.34   	-178.03		 14.65   	-305.19		
  5.80   	-45.78   	 89.62   	-162.77		 13.43   	-320.45		
  3.66   	-37.54   	 88.97   	-157.68		 12.15   	-350.97		
  7.32   	-15.87   	 88.34   	-162.77		 10.74   	-340.79		
 18.01   	 14.65   	 87.69   	-178.03		  9.38   	-305.19		
 33.26   	 43.33   	 86.98   	-188.20		  8.16   	-249.24		
 47.91   	 55.54   	 86.23   	-198.37		  7.16   	-198.37		
 55.54   	 45.17   	 85.43   	-193.29		  6.37   	-142.42		
 54.63   	 18.62   	 84.66   	-193.29		  5.80   	-106.82		
 46.39   	 -9.16   	 83.89   	-183.11		  5.37   	 -71.21		
 34.79   	-25.02   	 83.15   	-167.85		  5.09   	 -15.26		
 21.67   	-29.60   	 82.48   	-132.25		  5.03(D)	  76.30		
-19.53   	-57.98   	 81.95   	-106.82		  5.33   	  71.21		
-48.52   	-98.88   	 81.53   	 -96.64		  5.62   	  45.78		
-73.85   	-144.04   	 81.14   	 -86.47		  5.80   	  15.26		
-88.50   	-178.83   	 80.79   	 -81.38		  5.86   	 -15.26		
-91.86   	-198.67   	 80.47   	 -66.12		  5.80   	 -25.43		
-90.33   	-209.05   	 80.20   	 -66.12		  5.70   	 -20.35		
-93.08   	-217.90   	 79.94   	 -61.04		  5.62   	   0.00		
-103.45   	-227.66   	 79.69   	 -76.30		  5.62   	  20.35		
-116.88   	-233.76   	 79.39   	 -71.21		  5.70   	  30.52		
-125.43   	-232.54   	 79.10   	 -61.04		  5.82   	  30.52		
-124.51   	-225.83   	 78.86   	 -55.95		  5.94   	  10.17		
-117.19   	-221.56   	 78.64   	 -66.12		  5.98   	   0.00		
-108.64   	-223.39   	 78.37   	 -61.04		  5.98   	   0.00		
-102.23   	-228.58   	 78.13   	 -55.95		  5.98   	   5.09		
-97.96   	-231.02   	 77.90   	 -66.12		  6.00   	  30.52		
-93.99   	-227.05   	 77.64   	 -71.21		  6.12   	  55.95		
-84.84   	-220.34   	 77.35   	 -71.21		  6.35   	  61.04		
-65.31   	-215.45   	 77.07   	 -71.21		  6.59   	  66.12		
-36.01   	-203.25   	 76.79   	 -71.21		  6.86   	  61.04		
-10.68   	-148.01   	 76.50   	 -76.30		  7.10   	  61.04		
-23.19   	  1.53   	 76.20   	 -81.38		  7.34   	  66.12		
-116.58   	290.83   	 75.87   	 -76.30		  7.61   	  76.30		
-312.50   	703.74   	 75.56   	 -66.12		  7.91   	  66.12		
-581.36   	1123.96   	 75.30   	 -86.47		  8.18   	  50.86		
-993.04   	1263.43(R)	 74.95   	 -86.47		  8.38(E)	  30.52		
-977.78   	807.80   	 74.61   	 -96.64		  8.50   	  25.43		
-812.68   	173.95   	 74.22   	 -86.47		  8.61   	  25.43		
-574.95   	-363.16   	 73.88   	 -61.04		  8.71   	  30.52		
-350.34   	-603.33   	 73.63   	 -50.86		  8.83   	  61.04		
-187.99   	-544.13   	 73.43   	 -76.30		  9.07   	 111.90		
-92.77   	-350.34   	 73.12   	 -96.64		  9.52   	 162.77		
-43.64   	-210.88   	 72.74   	-101.73		 10.17   	 228.89		
-23.80   	-205.99   	 72.33   	 -96.64		 11.09   	 320.45		
-22.89   	-285.64   	 71.94   	 -96.64		 12.37   	 473.04		
-32.65   	-355.22   	 71.56   	-106.82		 14.26   	 732.45		
-41.20   	-363.77   	 71.13   	-111.90		 17.19   	 981.68		
-41.50   	-327.45   	 70.68   	-106.82		 21.12   	1042.72		
-37.23   	-291.75   	 70.25   	-106.82		 25.29   	1068.15		
-36.01   	-282.59   	 69.83   	 -86.47		 29.56   	1312.30		
-40.28   	-292.05   	 69.48   	 -71.21		 34.81   	1531.02		
-44.56   	-299.07   	 69.20   	 -81.38		 40.94   	1561.54		
-40.59   	-292.66   	 68.87   	 -91.56		 47.18   	1510.68		
-25.94   	-277.40   	 68.50   	-101.73		 53.22   	1403.86		
 -6.71   	-262.45   	 68.10   	 -86.47		 58.84   	1190.23		
  6.10   	-254.52   	 67.75   	 -76.30		 63.60   	 961.34		
  8.24   	-252.99   	 67.45   	 -86.47		 67.45   	 788.40		
  2.75   	-251.16   	 67.10   	-101.73		 70.60   	 671.41		
 -3.66   	-244.14   	 66.69   	-111.90		 73.29   	 630.72		
 -4.58   	-233.15   	 66.25   	-106.82		 75.81   	 742.62		
  5.80   	-217.59   	 65.82   	-122.07		 78.78   	 712.10		
  6.10   	-216.37   	 65.33   	-116.99		 81.63   	 666.32		
  1.22   	-215.45   	 64.86   	 -96.64		 84.29   	 595.11		
 -4.27   	-209.96   	 64.48   	 -71.21		 86.67   	 518.82		
 -3.36   	-197.75   	 64.19   	 -35.61		 88.75   	 447.61		
  6.41   	-179.44   	 64.05(D)	  20.35		 90.54   	 376.40		
 22.89   	-157.47   	 64.13   	 116.99		 92.04   	 335.71		
 39.98   	-134.58   	 64.60   	 269.58		 93.39   	 310.27		
 51.88   	-111.69   	 65.68   	 462.87		 94.63   	 305.19		
 54.63   	-87.59   	 67.53   	 651.07		 95.85   	 305.19		
 48.83   	-59.81   	 70.13   	 803.66		 97.07   	 300.10		
 38.45   	-28.99   	 73.35   	 895.22		 98.27   	 300.10		
 28.99   	  1.83   	 76.93   	 910.47		 99.47   	 305.19		
 25.33   	 30.21   	 80.57   	 849.44		100.69   	 305.19		
 29.91   	 53.71   	 83.97   	 757.88		101.91   	 279.75		
 39.98   	 71.72   	 87.00   	 645.98		103.03   	 228.89		
 49.44   	 85.45   	 89.58   	 549.34		103.95   	 162.77		
 52.49   	 95.52   	 91.78   	 488.30		104.60   	 106.82		
 45.17   	100.40   	 93.73   	 462.87		105.03   	  71.21		
 28.69   	 99.18   	 95.58   	 473.04		105.31   	  55.95		
 10.99   	 93.69   	 97.48   	 503.56		105.53   	  76.30		
  1.22   	 87.59   	 99.49   	 534.08		105.84   	  96.64		
  1.53   	 82.70   	101.63   	 569.68		106.23   	 101.73		
  6.10   	 77.21   	103.91   	 579.86		106.63   	  71.21		
  6.71   	 67.44   	106.23   	 569.68		106.92   	  45.78		
-11.60   	 23.19   	108.50   	 493.39		107.10   	  30.52		
-16.17   	 -3.66   	110.48   	 412.00		107.22   	  20.35		
