SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
150.76   	154.72   	 34.34   	  86.47		 47.71   	 249.24		
156.56   	151.37   	 34.69   	  86.47		 48.71   	 249.24		
160.83   	152.28   	 35.04   	  91.56		 49.70   	 254.32		
164.79   	162.05   	 35.40   	  15.26		 50.72   	 259.41		
168.46   	176.70   	 35.46   	  81.38		 51.76   	 259.41		
171.51   	188.60   	 35.79   	  96.64		 52.80   	 269.58		
172.12   	190.73   	 36.17   	 -30.52		 53.88   	 264.50		
170.29   	183.41   	 36.05   	  25.43		 54.93   	 259.41		
168.15   	173.95   	 36.15   	 101.73		 55.97   	 244.15		
168.46   	172.12   	 36.56   	 -35.61		 56.95   	 233.98		
173.03   	182.80   	 36.42   	 -76.30		 57.88   	 203.46		
181.88   	203.86   	 36.11   	  71.21		 58.70   	 178.03		
191.65   	228.27   	 36.40   	   5.09		 59.41   	 147.51		
198.67   	247.80   	 36.42   	 -76.30		 60.00   	 111.90		
200.50   	258.79   	 36.11   	   0.00		 60.45   	  86.47		
196.23   	262.15   	 36.11   	 -40.69		 60.79   	  50.86		
186.46   	259.40   	 35.95   	 -81.38		 61.00   	  15.26		
173.95   	250.85   	 35.63   	  35.61		 61.06   	 -10.17		
159.61   	236.51   	 35.77   	 -40.69		 61.02   	 -30.52		
144.65   	215.15   	 35.61   	-157.68		 60.89   	 -55.95		
130.31   	188.29   	 34.97   	  -5.09		 60.67   	 -71.21		
116.88   	159.91   	 34.95   	   5.09		 60.39   	 -86.47		
105.59   	133.67   	 34.97   	-152.59		 60.04   	 -91.56		
 96.44   	110.47   	 34.36   	 -66.12		 59.67   	-101.73		
 87.89   	 89.72   	 34.10   	   5.09		 59.27   	-111.90		
 78.74   	 68.66   	 34.12   	 -96.64		 58.82   	-111.90		
 67.75   	 46.39   	 33.73   	-116.99		 58.37   	-116.99		
 55.54   	 24.72   	 33.27   	 -20.35		 57.90   	-122.07		
 43.03   	  6.71   	 33.18   	 -61.04		 57.42   	-122.07		
 32.35   	 -5.19   	 32.94   	-152.59		 56.93   	-122.07		
 25.02   	-10.68   	 32.33   	 -86.47		 56.44   	-122.07		
 21.97   	-11.60   	 31.98   	 -86.47		 55.95   	-127.16		
 22.89   	 -9.16   	 31.64   	-208.54		 55.44   	-122.07		
 25.94   	 -5.49   	 30.80   	-213.63		 54.95   	-132.25		
 28.69   	 -2.75   	 29.95   	-213.63		 54.43   	-127.16		
 28.99   	 -2.44   	 29.09   	-330.62		 53.92   	-132.25		
 26.86   	 -4.58   	 27.77   	-295.01		 53.39   	-127.16		
 23.50   	 -7.93   	 26.59   	-274.67		 52.88   	-132.25		
 20.75   	-10.68   	 25.49   	-371.31		 52.35   	-127.16		
 18.62   	-13.43   	 24.01   	-325.53		 51.84   	-127.16		
 17.70   	-16.48   	 22.71   	-284.84		 51.33   	-132.25		
 18.01   	-20.14   	 21.57   	-412.00		 50.80   	-137.33		
 20.14   	-22.28   	 19.92   	-406.92		 50.25   	-137.33		
 24.11   	-21.06   	 18.29   	-401.83		 49.70   	-137.33		
 30.21   	-16.48   	 16.68   	-534.08		 49.16   	-147.51		
 36.62   	-11.29   	 14.55   	-478.13		 48.57   	-137.33		
 40.89   	 -9.77   	 12.63   	-381.48		 48.02   	-132.25		
 42.11   	-13.12   	 11.11   	-442.52		 47.49   	-116.99		
 39.98   	-18.92   	  9.34   	-437.43		 47.02   	-106.82		
 36.93   	-22.28   	  7.59   	-320.45		 46.59   	 -86.47		
 36.62   	-18.62   	  6.31   	-249.24		 46.25   	 -76.30		
 43.03   	 -4.88   	  5.31   	-228.89		 45.94   	 -66.12		
 57.98   	 18.62   	  4.39   	-233.98		 45.68   	 -55.95		
 81.79   	 48.22   	  3.46   	-228.89		 45.45   	 -55.95		
139.77   	110.47   	  2.54   	-106.82		 45.23   	 -61.04		
163.88   	140.08   	  2.12   	-178.03		 44.98   	 -66.12		
179.44   	168.15   	  1.40   	 -15.26		 44.72   	 -66.12		
184.94   	191.65   	  1.34   	   5.09		 44.46   	 -71.21		
181.58   	205.99   	  1.36   	-132.25		 44.17   	 -76.30		
172.12   	207.21   	  0.83   	 -86.47		 43.87   	 -76.30		
159.91   	195.92   	  0.49   	   5.09		 43.56   	 -71.21		
146.79   	174.56   	  0.51   	 -71.21		 43.28   	 -71.21		
132.45   	144.65   	  0.22   	-101.73		 42.99   	 -66.12		
114.14   	106.51   	 -0.18   	 -25.43		 42.73   	 -61.04		
 90.33   	 59.81   	 -0.28   	 -35.61		 42.48   	 -55.95		
 62.56   	  8.24   	 -0.43   	 -55.95		 42.26   	 -45.78		
 34.79   	-39.06   	 -0.65   	  30.52		 42.08   	 -45.78		
 12.21   	-73.24   	 -0.53   	  45.78		 41.89   	 -40.69		
 -2.75   	-90.94   	 -0.35   	 -25.43		 41.73   	 -35.61		
-10.99   	-95.83   	 -0.45   	  50.86		 41.59   	 -40.69		
-15.26   	-95.83   	 -0.24   	 101.73		 41.42   	 -35.61		
