SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 75.91   	 -55.95		  1.93   	  10.17		
 75.69   	 -50.86		  1.97   	   5.09		
 75.48   	 -50.86		  1.99   	   5.09		
 75.28   	 -45.78		  2.01   	   0.00		
 75.10   	 -40.69		  2.01   	   0.00		
 74.93   	 -45.78		  2.01   	  -5.09		
 74.75   	 -50.86		  1.99   	 -10.17		
 74.55   	 -55.95		  1.95   	 -10.17		
 74.32   	 -45.78		  1.91   	 -15.26		
 74.14   	 -45.78		  1.85   	 -10.17		
 73.96   	 -40.69		  1.81   	  -5.09		
 73.79   	 -40.69		  1.79   	   0.00		
 73.63   	 -50.86		  1.79   	  15.26		
 73.43   	 -45.78		  1.85   	  30.52		
 73.24   	 -50.86		  1.97   	  45.78		
 73.04   	 -45.78		  2.16   	  71.21		
 72.86   	 -40.69		  2.44   	  91.56		
 72.70   	 -35.61		  2.81   	 116.99		
 72.55   	 -40.69		  3.28   	 127.16		
 72.39   	 -45.78		  3.78   	 132.25		
 72.21   	 -40.69		  4.31   	 132.25		
 72.04   	 -45.78		  4.84   	 122.07		
 71.86   	 -35.61		  5.33   	 106.82		
 71.72   	 -35.61		  5.76   	  91.56		
 71.58   	 -35.61		  6.12   	  66.12		
 71.43   	 -35.61		  6.39   	  55.95		
 71.29   	 -45.78		  6.61   	  55.95		
 71.11   	 -40.69		  6.84   	  45.78		
 70.95   	 -40.69		  7.02   	  45.78		
 70.78   	 -40.69		  7.20   	  61.04		
 70.62   	 -40.69		  7.45   	  86.47		
 70.46   	 -35.61		  7.79   	  86.47		
 70.32   	 -40.69		  8.14   	  91.56		
 70.15   	 -40.69		  8.50   	  96.64		
 69.99   	 -35.61		  8.89   	 111.90		
 69.85   	 -40.69		  9.34   	 127.16		
 69.68   	 -35.61		  9.85   	 147.51		
 69.54   	 -40.69		 10.44   	 198.37		
 69.38   	 -40.69		 11.23   	 244.15		
 69.22   	 -35.61		 12.21   	 279.75		
 69.07   	 -30.52		 13.33   	 325.53		
 68.95   	 -30.52		 14.63   	 350.97		
 68.83   	 -30.52		 16.03   	 376.40		
 68.71   	 -40.69		 17.54   	 401.83		
 68.55   	 -30.52		 19.15   	 422.18		
 68.42   	 -35.61		 20.83   	 442.52		
 68.28   	 -25.43		 22.60   	 473.04		
 68.18   	 -25.43		 24.50   	 483.21		
 68.08   	 -25.43		 26.43   	 483.21		
 67.98   	 -30.52		 28.36   	 483.21		
 67.85   	 -35.61		 30.29   	 452.69		
 67.71   	 -40.69		 32.11   	 422.18		
 67.55   	 -30.52		 33.79   	 386.57		
 67.43   	 -25.43		 35.34   	 340.79		
 67.32   	 -25.43		 36.70   	 279.75		
 67.22   	 -30.52		 37.82   	 228.89		
 67.10   	 -35.61		 38.74   	 188.20		
 66.96   	 -40.69		 39.49   	 147.51		
 66.80   	 -40.69		 40.08   	 122.07		
 66.63   	 -30.52		 40.57   	 106.82		
 66.51   	 -25.43		 41.00   	 106.82		
 66.41   	 -15.26		 41.42   	 106.82		
 66.35   	 -25.43		 41.85   	 116.99		
 66.25   	 -30.52		 42.32   	 127.16		
 66.12   	 -35.61		 42.83   	 142.42		
 65.98   	 -35.61		 43.40   	 147.51		
 65.84   	 -30.52		 43.99   	 152.59		
 65.72   	 -15.26		 44.60   	 152.59		
 65.66   	 -15.26		 45.21   	 157.68		
 65.59   	 -15.26		 45.84   	 157.68		
 65.53   	 -25.43		 46.47   	 167.85		
 65.43   	 -25.43		 47.14   	 172.94		
 65.33   	 -20.35		 47.83   	 183.11		
 65.25   	 -15.26		 48.57   	 188.20		
 65.19   	   0.00		 49.32   	 203.46		
 65.19   	  20.35		 50.13   	 213.63		
 65.27   	  35.61		 50.99   	 223.80		
 65.41   	  61.04		 51.88   	 223.80		
 65.66   	 101.73		 52.78   	 233.98		
 66.06   	 152.59		 53.71   	 233.98		
 66.67   	 228.89		 54.65   	 228.89		
 67.59   	 295.01		 55.56   	 223.80		
 68.77   	 350.97		 56.46   	 213.63		
 70.17   	 391.66		 57.31   	 203.46		
 71.74   	 406.92		 58.13   	 188.20		
 73.37   	 401.83		 58.88   	 178.03		
 74.97   	 391.66		 59.59   	 167.85		
 76.54   	 381.48		 60.26   	 152.59		
 78.07   	 381.48		 60.87   	 142.42		
 79.59   	 376.40		 61.44   	 132.25		
 81.10   	 371.31		 61.97   	 116.99		
 82.58   	 371.31		 62.44   	 111.90		
 84.07   	 366.22		 62.89   	 101.73		
 85.53   	 361.14		 63.30   	  96.64		
 86.98   	 361.14		 63.68   	  91.56		
 88.42   	 350.97		 64.05   	  81.38		
 89.83   	 345.88		 64.37   	  76.30		
 91.21   	 335.71		 64.68   	  76.30		
 92.55   	 320.45		 64.98   	  66.12		
 93.83   	 310.27		 65.25   	  61.04		
 95.08   	 295.01		 65.49   	  55.95		
 96.26   	 295.01		 65.72   	  50.86		
 97.44   	 279.75		 65.92   	  45.78		
 98.56   	 264.50		 66.10   	  35.61		
 99.61   	 249.24		 66.25   	  35.61		
100.61   	 223.80		 66.39   	  25.43		
101.51   	 203.46		 66.49   	  20.35		
102.32   	 183.11		 66.57   	  10.17		
103.05   	 162.77		 66.61   	   5.09		
103.70   	 132.25		 66.63(S)	   0.00		
104.23   	 116.99		 66.63   	 -15.26		
104.70   	  86.47		 66.57   	 -25.43		
105.05   	  55.95		 66.47   	 -35.61		
105.27   	  30.52		 66.33   	 -50.86		
105.39(S)	  -5.09		 66.12   	 -76.30		
105.37   	 -30.52		 65.82   	-101.73		
105.25   	 -66.12		 65.41   	-132.25		
104.98   	 -81.38		 64.88   	-167.85		
104.66   	 -86.47		 64.21   	-208.54		
104.31   	 -86.47		 63.38   	-264.50		
103.97   	 -86.47		 62.32   	-330.62		
103.62   	 -96.64		 61.00   	-381.48		
103.23   	-106.82		 59.47   	-391.66		
102.81   	-116.99		 57.90   	-412.00		
102.34   	-127.16		 56.26   	-442.52		
