SAMPLE NUMBER:   14
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
180.66   	 96.44   	  6.61   	   0.00		 87.69   	 -71.21		
157.47   	310.06   	  6.61   	   0.00		 87.41   	 -76.30		
 84.84   	638.43   	  6.61(E)	   5.09		 87.10   	 -76.30		
-28.08   	1019.29   	  6.63   	  -5.09		 86.80   	 -96.64		
-230.41   	1339.72(R)	  6.61   	 -10.17		 86.41   	 -91.56		
-258.48   	1051.64   	  6.57   	  -5.09		 86.04   	 -86.47		
-239.56   	533.75   	  6.55   	  -5.09		 85.70   	 -86.47		
-199.28   	  1.22   	  6.53   	 -15.26		 85.35   	 -86.47		
-156.25   	-340.27   	  6.47   	 -10.17		 85.00   	 -86.47		
-115.05   	-420.84   	  6.43   	 -20.35		 84.66   	 -81.38		
-72.02   	-321.35   	  6.35   	 -15.26		 84.33   	 -81.38		
-29.60   	-182.50   	  6.29   	 -10.17		 84.01   	 -86.47		
  3.05   	-100.10   	  6.25   	  -5.09		 83.66   	 -76.30		
 16.78   	-85.75   	  6.23   	   0.00		 83.36   	 -86.47		
 13.12   	-98.27   	  6.23   	   0.00		 83.01   	 -86.47		
  2.44   	-97.05   	  6.23   	   5.09		 82.66   	 -81.38		
 -4.88   	-73.55   	  6.25   	  10.17		 82.34   	 -76.30		
 -7.02   	-45.47   	  6.29   	  15.26		 82.03   	 -76.30		
 -6.71   	-31.13   	  6.35   	  15.26		 81.73   	 -76.30		
 -8.24   	-35.40   	  6.41   	  30.52		 81.42   	 -71.21		
-11.29   	-49.13   	  6.53   	  40.69		 81.14   	 -76.30		
-12.82   	-59.20   	  6.69   	  50.86		 80.83   	 -76.30		
-11.29   	-57.98   	  6.90   	  66.12		 80.53   	 -76.30		
 -8.24   	-48.22   	  7.16   	  76.30		 80.22   	 -81.38		
 -6.41   	-39.67   	  7.47   	  86.47		 79.90   	 -86.47		
 -9.16   	-40.28   	  7.81   	  71.21		 79.55   	 -81.38		
-16.17   	-48.22   	  8.10   	 193.29		 79.23   	 -81.38		
-22.58   	-56.46   	  8.87   	 361.14		 78.90   	 -76.30		
-24.11   	-57.98   	 10.32   	 310.27		 78.60   	 -71.21		
-18.92   	-50.96   	 11.56   	 208.54		 78.31   	 -66.12		
 -8.85   	-38.45   	 12.39   	 239.06		 78.05   	 -71.21		
  1.53   	-25.63   	 13.35   	 239.06		 77.76   	 -71.21		
  8.54   	-15.56   	 14.30   	 183.11		 77.48   	 -76.30		
 11.29   	 -9.77   	 15.04   	 172.94		 77.17   	 -81.38		
 11.60   	 -7.32   	 15.73   	 167.85		 76.85   	 -86.47		
 12.82   	 -5.80   	 16.40   	 132.25		 76.50   	 -81.38		
 15.26   	 -3.05   	 16.93   	 101.73		 76.17   	 -66.12		
 18.31   	  0.00   	 17.33   	 101.73		 75.91   	 -66.12		
 20.45   	  1.83   	 17.74   	  96.64		 75.65   	 -71.21		
 20.75   	  1.22   	 18.13   	  81.38		 75.36   	 -71.21		
 19.84   	 -1.83   	 18.45   	  76.30		 75.08   	 -66.12		
 18.62   	 -7.02   	 18.76   	  76.30		 74.81   	 -61.04		
 15.87   	-13.43   	 19.06   	  76.30		 74.57   	 -40.69		
 10.68   	-21.36   	 19.37   	  66.12		 74.40   	  -5.09		
  3.97   	-29.30   	 19.63   	  66.12		 74.38   	  45.78		
 -2.75   	-35.40   	 19.90   	  66.12		 74.57   	 101.73		
 -5.80   	-37.23   	 20.16   	  55.95		 74.97   	 178.03		
 -3.36   	-34.48   	 20.39   	  50.86		 75.69   	 254.32		
  4.27   	-28.69   	 20.59   	  45.78		 76.70   	 315.36		
 13.43   	-22.28   	 20.77   	  40.69		 77.97   	 330.62		
 20.75   	-17.70   	 20.94   	  30.52		 79.29   	 330.62		
 25.02   	-16.17   	 21.06   	  25.43		 80.61   	 340.79		
 26.86   	-16.78   	 21.16   	  20.35		 81.97   	 361.14		
 28.69   	-17.40   	 21.24   	  15.26		 83.42   	 391.66		
 32.65   	-17.40   	 21.30   	   5.09		 84.98   	 432.35		
 39.67   	-15.26   	 21.32   	  10.17		 86.71   	 478.13		
 49.13   	-11.90   	 21.36   	  10.17		 88.63   	 498.47		
 59.20   	 -8.85   	 21.40   	   5.09		 90.62   	 513.73		
 67.75   	 -7.32   	 21.42   	   5.09		 92.68   	 518.82		
 72.63   	 -8.24   	 21.44   	  10.17		 94.75   	 534.08		
 72.33   	-11.29   	 21.49   	  15.26		 96.89   	 534.08		
 67.75   	-16.78   	 21.55   	  15.26		 99.02   	 539.16		
 60.12   	-23.50   	 21.61   	  15.26		101.18   	 534.08		
 51.88   	-29.60   	 21.67   	  10.17		103.32   	 518.82		
 47.00   	-32.35   	 21.71   	  15.26		105.39   	 513.73		
 48.83   	-28.38   	 21.77   	  10.17		107.45   	 488.30		
 58.90   	-16.78   	 21.81   	  10.17		109.40   	 473.04		
 74.46   	  0.31   	 21.85   	  10.17		111.29   	 452.69		
 89.42   	 19.23   	 21.89   	  10.17		113.10   	 437.43		
 97.35   	 37.54   	 21.93   	   5.09		114.85   	 417.09		
 97.35   	 54.63   	 21.95   	   5.09		116.52   	 391.66		
 92.16   	 71.41   	 21.97(S)	   0.00		118.09   	 361.14		
 86.06   	 86.98   	 21.97   	   0.00		119.53   	 315.36		
 81.18   	 99.18   	 21.97   	 -10.17		120.79   	 284.84		
 76.90   	104.68   	 21.93   	 -10.17		121.93   	 264.50		
 72.63   	104.06   	 21.89   	 -20.35		122.99   	 249.24		
 68.66   	 99.18   	 21.81   	 -20.35		123.99   	 233.98		
 64.39   	 91.25   	 21.73   	 -20.35		124.92   	 223.80		
 57.07   	 79.35   	 21.65   	 -25.43		125.82   	 188.20		
 43.95   	 62.26   	 21.55   	 -30.52		126.57   	 157.68		
 25.33   	 39.67   	 21.42   	 -30.52		127.20   	 122.07		
  4.88   	 14.65   	 21.30   	 -35.61		127.69   	 106.82		
-12.51   	 -8.54   	 21.16   	 -30.52		128.12   	  91.56		
-24.72   	-26.86   	 21.04   	 -40.69		128.48   	  81.38		
-29.91   	-38.45   	 20.87   	 -45.78		128.81   	  76.30		
-28.38   	-41.81   	 20.69   	 -40.69		129.11   	  61.04		
-20.14   	-35.71   	 20.53   	 -45.78		129.36   	  35.61		
 -6.71   	-22.89   	 20.35   	 -50.86		129.50   	  10.17		
  7.32   	 -8.54   	 20.14   	 -50.86		129.54(S)	   0.00		
 16.17   	 -0.31   	 19.94   	 -50.86		129.54   	 -20.35		
 15.56   	 -1.53   	 19.74   	 -61.04		129.46   	 -30.52		
  7.63   	-10.99   	 19.49   	 -66.12		129.34   	 -35.61		
 -1.22   	-21.97   	 19.23   	 -66.12		129.20   	 -45.78		
 -5.49   	-27.77   	 18.96   	 -76.30		129.01   	 -50.86		
 -2.14   	-25.33   	 18.66   	 -86.47		128.81   	 -55.95		
  5.80   	-17.40   	 18.31   	 -86.47		128.59   	 -71.21		
 11.90   	-10.07   	 17.97   	 -96.64		128.30   	 -91.56		
 11.29   	 -9.77   	 17.58   	-106.82		127.93   	-106.82		
  2.14   	-18.31   	 17.15   	-116.99		127.51   	-122.07		
-13.12   	-32.96   	 16.68   	-127.16		127.02   	-127.16		
-28.99   	-47.00   	 16.17   	-137.33		126.51   	-142.42		
-39.37   	-55.54   	 15.63   	-142.42		125.94   	-152.59		
-41.20   	-55.85   	 15.06   	-152.59		125.33   	-167.85		
-34.18   	-48.83   	 14.45   	-183.11		124.66   	-178.03		
-22.28   	-37.54   	 13.71   	-198.37		123.95   	-188.20		
-10.07   	-25.94   	 12.92   	-198.37		123.19   	-213.63		
 -1.53   	-17.09   	 12.13   	-203.46		122.34   	-233.98		
  2.44   	-14.04   	 11.31   	-213.63		121.40   	-254.32		
  2.75   	-15.26   	 10.46   	-213.63		120.39   	-264.50		
  1.53   	-18.01   	  9.60   	-213.63		119.33   	-279.75		
  0.00   	-19.23   	  8.75   	-223.80		118.21   	-289.93		
 -0.61   	-17.70   	  7.85   	-233.98		117.05   	-310.27		
  0.00   	-14.04   	  6.92   	-249.24		115.81   	-325.53		
  2.14   	-10.68   	  5.92   	-249.24		114.51   	-340.79		
  5.19   	 -9.46   	  4.92   	-244.15		113.14   	-335.71		
  5.80   	-10.38   	  3.95   	-233.98		111.80   	-300.10		
  1.22   	-13.43   	  3.01   	-213.63		110.60   	-259.41		
 -8.85   	-17.70   	  2.16   	-193.29		109.56   	-233.98		
-20.75   	-22.58   	  1.38   	-157.68		108.63   	-223.80		
-28.69   	-25.63   	  0.75   	-142.42		107.73   	-233.98		
-27.77   	-23.80   	  0.18   	-127.16		106.80   	-244.15		
-18.01   	-14.95   	 -0.33   	 -96.64		105.82   	-244.15		
 -1.83   	  1.83   	 -0.71   	 -81.38		104.84   	-239.06		
 15.56   	 22.28   	 -1.04   	 -71.21		103.89   	-218.72		
 29.91   	 40.89   	 -1.32   	 -66.12		103.01   	-203.46		
 37.54   	 51.88   	 -1.59   	 -61.04		102.20   	-198.37		
 38.76   	 54.02   	 -1.83   	 -61.04		101.40   	-188.20		
 37.23   	 52.19   	 -2.08   	 -66.12		100.65   	-183.11		
 38.45   	 53.41   	 -2.34   	 -76.30		 99.92   	-178.03		
 44.86   	 61.04   	 -2.64   	 -86.47		 99.21   	-167.85		
 55.24   	 72.33   	 -2.99   	 -91.56		 98.53   	-162.77		
 64.09   	 80.87   	 -3.36   	 -86.47		 97.88   	-147.51		
 65.92   	 82.09   	 -3.70   	 -76.30		 97.29   	-137.33		
 61.34   	 75.99   	 -4.01   	 -61.04		 96.74   	-132.25		
 54.63   	 65.61   	 -4.25   	 -45.78		 96.22   	-116.99		
 49.74   	 55.85   	 -4.44   	 -30.52		 95.75   	-106.82		
 47.00   	 48.52   	 -4.56   	 -15.26		 95.32   	-101.73		
 44.86   	 43.03   	 -4.62   	 -10.17		 94.91   	-101.73		
 43.03   	 38.45   	 -4.66   	  -5.09		 94.51   	 -96.64		
 42.11   	 34.18   	 -4.68(D)	  30.52		 94.12   	 -86.47		
 43.33   	 30.21   	 -4.56   	  61.04		 93.77   	 -91.56		
 45.78   	 27.77   	 -4.31   	  61.04		 93.41   	 -76.30		
 47.61   	 29.30   	 -4.07   	  55.95		 93.10   	 -71.21		
 46.39   	 35.40   	 -3.85   	  35.61		 92.82   	 -66.12		
 42.42   	 44.25   	 -3.70   	  25.43		 92.55   	 -76.30		
 37.84   	 52.80   	 -3.60   	   5.09		 92.25   	 -66.12		
 35.71   	 59.81   	 -3.58   	   0.00		 91.98   	 -66.12		
 37.23   	 66.53   	 -3.58   	  15.26		 91.72   	 -61.04		
 42.11   	 75.99   	 -3.52   	  15.26		 91.47   	 -61.04		
 48.83   	 91.25   	 -3.46   	   0.00		 91.23   	 -55.95		
 55.85   	109.25   	 -3.46   	   5.09		 91.01   	 -55.95		
 60.73   	123.60   	 -3.44   	   0.00		 90.78   	 -50.86		
 62.56   	128.48   	 -3.44   	 -15.26		 90.58   	 -61.04		
 60.12   	122.68   	 -3.50   	 -20.35		 90.34   	 -55.95		
 54.63   	110.47   	 -3.58   	 -25.43		 90.11   	 -55.95		
 47.61   	 97.66   	 -3.68   	 -30.52		 89.89   	 -45.78		
 42.72   	 89.72   	 -3.80   	  -5.09		 89.70   	 -45.78		
 42.72   	 85.14   	 -3.83   	  10.17		 89.52   	 -45.78		
 45.78   	 78.43   	 -3.78   	  25.43		 89.34   	 -55.95		
 47.30   	 65.61   	 -3.68   	  30.52		 89.11   	 -66.12		
 43.03   	 45.17   	 -3.56   	  15.26		 88.85   	 -55.95		
 32.96   	 22.28   	 -3.50   	  10.17		 88.63   	 -55.95		
 21.36   	  3.97   	 -3.46   	  10.17		 88.40   	 -50.86		
 14.34   	 -3.97   	 -3.42   	   0.00		 88.20   	 -50.86		
 16.48   	 -0.61   	 -3.42   	   5.09		 88.00   	 -50.86		
 27.47   	 10.99   	 -3.40   	  20.35		 87.79   	 -55.95		
 43.33   	 25.33   	 -3.32   	  25.43		 87.57   	 -61.04		
 57.37   	 36.62   	 -3.21   	  20.35		 87.32   	 -66.12		
