SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
  2.44   	-97.96   	 34.47   	 -66.12		 20.28   	-147.51		  7.00   	-208.54		
  5.49   	-86.67   	 34.20   	 -61.04		 19.69   	-132.25		  6.16   	-178.03		
  4.58   	-85.45   	 33.96   	 -55.95		 19.17   	-106.82		  5.45   	-142.42		
  1.22   	-93.08   	 33.73   	 -50.86		 18.74   	-106.82		  4.88   	-116.99		
 -1.53   	-101.93   	 33.53   	 -50.86		 18.31   	 -91.56		  4.42   	 -86.47		
 -0.61   	-108.34   	 33.33   	 -45.78		 17.94   	 -71.21		  4.07   	 -55.95		
  8.54   	-120.24   	 33.14   	 -50.86		 17.66   	 -61.04		  3.85   	 -30.52		
 35.71   	-148.93   	 32.94   	 -55.95		 17.42   	 -45.78		  3.72   	  -5.09		
 86.06   	-181.58   	 32.72   	 -50.86		 17.23   	 -40.69		  3.70(D)	  15.26		
137.33   	-163.57   	 32.51   	 -55.95		 17.07   	 -30.52		  3.76   	  40.69		
127.56   	-54.63   	 32.29   	 -61.04		 16.95   	 -25.43		  3.93   	  55.95		
-12.21   	101.32   	 32.04   	 -55.95		 16.85   	 -25.43		  4.15   	  76.30		
-306.70   	169.98   	 31.82   	 -61.04		 16.74   	 -25.43		  4.46   	  86.47		
-694.27   	 -0.31   	 31.58   	 -55.95		 16.64   	 -30.52		  4.80   	  96.64		
-1033.02   	-440.98   	 31.35   	 -61.04		 16.52   	 -25.43		  5.19   	 111.90		
-1174.62   	-968.32   	 31.11   	 -50.86		 16.42   	 -25.43		  5.64   	 116.99		
-1050.72   	-1278.99(R)	 30.91   	 -55.95		 16.32   	 -35.61		  6.10(E)	 127.16		
-715.64   	-1179.20   	 30.68   	 -50.86		 16.17   	 -50.86		  6.61   	 137.33		
 -0.92   	-199.28   	 30.48   	 -50.86		 15.97   	 -61.04		  7.16   	 132.25		
139.77   	134.89   	 30.27   	 -50.86		 15.73   	 -71.21		  7.69   	 142.42		
 32.65   	 18.01   	 30.07   	 -45.78		 15.44   	 -71.21		  8.26   	 132.25		
-35.71   	-133.36   	 29.89   	 -45.78		 15.16   	 -71.21		  8.79   	 122.07		
-43.03   	-172.73   	 29.70   	 -45.78		 14.87   	 -61.04		  9.28   	 111.90		
 -6.71   	-115.05   	 29.52   	 -40.69		 14.63   	 -30.52		  9.73   	 111.90		
 31.13   	-38.76   	 29.36   	 -35.61		 14.51(D)	  15.26		 10.17   	 101.73		
 42.72   	 -3.97   	 29.22   	 -40.69		 14.57   	  61.04		 10.58   	 101.73		
 30.21   	-15.87   	 29.05   	 -35.61		 14.81   	  66.12		 10.99   	 101.73		
 13.73   	-41.81   	 28.91   	 -35.61		 15.08   	  40.69		 11.39   	 116.99		
  8.85   	-51.27   	 28.77   	 -30.52		 15.24   	  15.26		 11.86   	 132.25		
 14.65   	-38.15   	 28.65   	 -35.61		 15.30   	  20.35		 12.39   	 152.59		
 22.89   	-15.56   	 28.50   	 -35.61		 15.38   	  15.26		 13.00   	 178.03		
 26.86   	  1.22   	 28.36   	 -30.52		 15.44   	   5.09		 13.71   	 198.37		
 26.55   	  6.10   	 28.24   	 -35.61		 15.46   	   5.09		 14.51   	 228.89		
 24.72   	  2.75   	 28.10   	 -35.61		 15.48   	  30.52		 15.42   	 259.41		
 23.80   	 -1.22   	 27.96   	 -35.61		 15.61   	  45.78		 16.46   	 289.93		
 25.63   	 -0.31   	 27.81   	 -30.52		 15.79   	  55.95		 17.62   	 320.45		
 28.69   	  5.80   	 27.69   	 -30.52		 16.01   	  71.21		 18.90   	 345.88		
 31.13   	 13.73   	 27.57   	 -20.35		 16.30   	  81.38		 20.28   	 376.40		
 32.04   	 20.45   	 27.49   	 -10.17		 16.62   	  86.47		 21.79   	 401.83		
 31.74   	 25.94   	 27.45(D)	  10.17		 16.97   	  86.47		 23.40   	 417.09		
 32.04   	 30.82   	 27.49   	  35.61		 17.31   	  86.47		 25.07   	 437.43		
 33.87   	 36.01   	 27.63   	  55.95		 17.66   	  81.38		 26.82   	 447.61		
 37.23   	 41.20   	 27.85   	  91.56		 17.99   	  81.38		 28.61   	 457.78		
 40.28   	 45.78   	 28.22   	 127.16		 18.31   	  86.47		 30.44   	 457.78		
 42.42   	 49.74   	 28.73   	 213.63		 18.66   	 127.16		 32.27   	 493.39		
 45.17   	 59.20   	 29.58   	 244.15		 19.17   	 132.25		 34.24   	 473.04		
 46.39   	 65.31   	 30.56   	 279.75		 19.69   	 147.51		 36.13   	 442.52		
 47.61   	 71.72   	 31.68   	 310.27		 20.28   	 162.77		 37.90   	 412.00		
 48.83   	 77.51   	 32.92   	 335.71		 20.94   	 172.94		 39.55   	 381.48		
 50.05   	 82.09   	 34.26   	 361.14		 21.63   	 178.03		 41.08   	 340.79		
 52.19   	 86.36   	 35.71   	 381.48		 22.34   	 193.29		 42.44   	 295.01		
 55.85   	 90.33   	 37.23   	 401.83		 23.11   	 198.37		 43.62   	 254.32		
 59.81   	 94.30   	 38.84   	 412.00		 23.91   	 193.29		 44.64   	 213.63		
 63.48   	 97.66   	 40.49   	 417.09		 24.68   	 188.20		 45.49   	 172.94		
 66.22   	100.40   	 42.16   	 417.09		 25.43   	 183.11		 46.18   	 127.16		
 68.36   	103.45   	 43.82   	 406.92		 26.16   	 172.94		 46.69   	  86.47		
 70.80   	107.73   	 45.45   	 391.66		 26.86   	 152.59		 47.04   	  45.78		
 73.85   	113.53   	 47.02   	 371.31		 27.47   	 137.33		 47.22   	  15.26		
 78.13   	120.24   	 48.50   	 340.79		 28.02   	 122.07		 47.28(S)	 -25.43		
 83.01   	126.34   	 49.87   	 305.19		 28.50   	 101.73		 47.18   	 -50.86		
 89.11   	131.53   	 51.09   	 269.58		 28.91   	  86.47		 46.98   	 -81.38		
 95.21   	137.02   	 52.17   	 223.80		 29.26   	  71.21		 46.65   	-106.82		
101.32   	144.04   	 53.06   	 178.03		 29.54   	  55.95		 46.23   	-127.16		
106.81   	153.50   	 53.77   	 137.33		 29.77   	  45.78		 45.72   	-147.51		
113.22   	165.41   	 54.32   	  86.47		 29.95   	  45.78		 45.13   	-167.85		
121.46   	179.14   	 54.67   	  50.86		 30.13   	  30.52		 44.46   	-172.94		
132.14   	195.62   	 54.87   	   5.09		 30.25   	  25.43		 43.76   	-188.20		
143.74   	212.71   	 54.89(S)	 -25.43		 30.36   	  20.35		 43.01   	-193.29		
154.11   	228.88   	 54.79   	 -55.95		 30.44   	  15.26		 42.24   	-198.37		
162.35   	240.78   	 54.57   	-122.07		 30.50   	   5.09		 41.44   	-228.89		
168.15   	241.39   	 54.08   	-132.25		 30.52(S)	 -10.17		 40.53   	-223.80		
165.10   	227.97   	 53.55   	-147.51		 30.48   	 -20.35		 39.63   	-223.80		
156.86   	205.69   	 52.96   	-152.59		 30.40   	 -30.52		 38.74   	-218.72		
144.04   	177.00   	 52.35   	-162.77		 30.27   	 -40.69		 37.86   	-208.54		
128.48   	146.48   	 51.70   	-162.77		 30.11   	 -55.95		 37.03   	-213.63		
112.30   	117.80   	 51.05   	-167.85		 29.89   	 -71.21		 36.17   	-208.54		
 97.66   	 93.38   	 50.38   	-167.85		 29.60   	 -91.56		 35.34   	-208.54		
 84.23   	 72.94   	 49.70   	-167.85		 29.24   	-101.73		 34.51   	-208.54		
 72.02   	 55.24   	 49.03   	-167.85		 28.83   	-127.16		 33.67   	-208.54		
 61.65   	 40.59   	 48.36   	-167.85		 28.32   	-147.51		 32.84   	-223.80		
 53.41   	 29.60   	 47.69   	-167.85		 27.73   	-157.68		 31.94   	-223.80		
 47.91   	 21.06   	 47.02   	-178.03		 27.10   	-162.77		 31.05   	-239.06		
 45.17   	 14.04   	 46.31   	-178.03		 26.45   	-172.94		 30.09   	-249.24		
 44.86   	  7.63   	 45.59   	-188.20		 25.76   	-178.03		 29.09   	-259.41		
 45.78   	  3.36   	 44.84   	-193.29		 25.05   	-183.11		 28.06   	-274.67		
 47.61   	  6.10   	 44.07   	-203.46		 24.31   	-183.11		 26.96   	-284.84		
 50.66   	 19.53   	 43.26   	-203.46		 23.58   	-188.20		 25.82   	-300.10		
 53.41   	 43.03   	 42.44   	-203.46		 22.83   	-198.37		 24.62   	-315.36		
 55.85   	 73.24   	 41.63   	-208.54		 22.03   	-188.20		 23.36   	-330.62		
 58.29   	104.06   	 40.79   	-198.37		 21.28   	-162.77		 22.03   	-350.97		
 63.48   	133.97   	 40.00   	-193.29		 20.63   	-147.51		 20.63   	-356.05		
 74.46   	165.71   	 39.23   	-188.20		 20.04   	-137.33		 19.21   	-366.22		
 91.55   	201.72   	 38.47   	-178.03		 19.49   	-127.16		 17.74   	-361.14		
112.30   	239.56   	 37.76   	-167.85		 18.98   	 -91.56		 16.30   	-361.14		
129.70   	271.00   	 37.09   	-157.68		 18.62   	 -55.95		 14.85   	-386.57		
130.31   	263.06   	 36.46   	-147.51		 18.39   	 -50.86		 13.31   	-371.31		
108.34   	206.60   	 35.87   	-127.16		 18.19   	 -45.78		 11.82   	-350.97		
 76.29   	121.46   	 35.36   	-111.90		 18.01   	 -50.86		 10.42   	-325.53		
 43.03   	 28.38   	 34.91   	-101.73		 17.80   	 -66.12		  9.11   	-300.10		
 18.31   	-46.39   	 34.51   	 -91.56		 17.54   	 -71.21		  7.91   	-274.67		
  7.32   	-84.84   	 34.14   	 -81.38		 17.25   	 -91.56		  6.82   	-239.06		
  8.24   	-87.28   	 33.81   	 -71.21		 16.89   	 -96.64		  5.86   	-218.72		
 12.82   	-72.02   	 33.53   	 -66.12		 16.50   	-101.73		  4.98   	-183.11		
 14.34   	-59.51   	 33.27   	 -55.95		 16.09   	-116.99		  4.25   	-157.68		
 11.29   	-60.42   	 33.04   	 -61.04		 15.63   	-116.99		  3.62   	-127.16		
  6.10   	-71.11   	 32.80   	 -55.95		 15.16   	-116.99		  3.11   	 -96.64		
  2.75   	-82.09   	 32.57   	 -50.86		 14.69   	-111.90		  2.73   	 -71.21		
  3.97   	-90.64   	 32.37   	 -55.95		 14.24   	-106.82		  2.44   	 -50.86		
 14.04   	-105.29   	 32.15   	 -55.95		 13.81   	 -91.56		  2.24   	 -25.43		
 43.64   	-137.94   	 31.92   	 -50.86		 13.45   	 -81.38		  2.14(D)	   0.00		
100.10   	-170.59   	 31.72   	 -55.95		 13.12   	 -61.04		  2.14   	  20.35		
157.47   	-150.15   	 31.50   	 -55.95		 12.88   	 -55.95		  2.22   	  40.69		
147.40   	-46.08   	 31.27   	 -55.95		 12.66   	 -35.61		  2.38   	  55.95		
 -8.54   	 87.89   	 31.05   	 -50.86		 12.51   	 -25.43		  2.60   	  71.21		
-337.83   	121.46   	 30.84   	 -55.95		 12.41   	 -15.26		  2.89   	  86.47		
-770.26   	-81.18   	 30.62   	 -55.95		 12.35   	 -15.26		  3.23   	  91.56		
-1148.38   	-526.12   	 30.40   	 -55.95		 12.29   	 -20.35		  3.60   	 101.73		
-1304.63   	-1018.37   	 30.17   	 -50.86		 12.21   	 -20.35		  4.01   	 111.90		
-1162.11   	-1272.28(R)	 29.97   	 -50.86		 12.13   	 -20.35		  4.46(E)	 111.90		
-783.08   	-1127.01   	 29.77   	 -55.95		 12.04   	 -35.61		  4.90   	 127.16		
 21.97   	-153.50   	 29.54   	 -50.86		 11.90   	 -40.69		  5.41   	 127.16		
176.09   	149.84   	 29.34   	 -50.86		 11.74   	 -40.69		  5.92   	 127.16		
 43.95   	  9.46   	 29.14   	 -50.86		 11.58   	 -40.69		  6.43   	 122.07		
-34.48   	-131.84   	 28.93   	 -40.69		 11.41   	 -45.78		  6.92   	 116.99		
-40.59   	-160.22   	 28.77   	 -40.69		 11.23   	 -35.61		  7.39   	 106.82		
  2.75   	-97.66   	 28.61   	 -40.69		 11.09   	 -35.61		  7.81   	 106.82		
 45.47   	-22.58   	 28.44   	 -35.61		 10.95   	 -10.17		  8.24   	 101.73		
 55.85   	  7.63   	 28.30   	 -35.61		 10.91(D)	  25.43		  8.65   	 101.73		
 38.76   	 -7.93   	 28.16   	 -35.61		 11.01   	  66.12		  9.05   	 106.82		
 19.23   	-34.79   	 28.02   	 -35.61		 11.27   	  50.86		  9.48   	 111.90		
 14.95   	-43.95   	 27.87   	 -30.52		 11.48   	   5.09		  9.93   	 137.33		
 23.80   	-31.74   	 27.75   	 -35.61		 11.50   	 -10.17		 10.48   	 152.59		
 34.48   	-12.21   	 27.61   	 -35.61		 11.45   	  15.26		 11.09   	 178.03		
 39.37   	  1.22   	 27.47   	 -35.61		 11.52   	  30.52		 11.80   	 203.46		
 38.15   	  4.58   	 27.32   	 -35.61		 11.64   	  35.61		 12.61   	 228.89		
 33.87   	  2.14   	 27.18   	 -35.61		 11.78   	  50.86		 13.53   	 264.50		
 30.52   	  0.00   	 27.04   	 -30.52		 11.98   	  76.30		 14.59   	 289.93		
 29.30   	  2.14   	 26.92   	 -35.61		 12.29   	 101.73		 15.75   	 330.62		
 30.82   	  8.85   	 26.78   	 -25.43		 12.70   	 122.07		 17.07   	 350.97		
 33.87   	 16.17   	 26.67   	 -20.35		 13.18   	 142.42		 18.47   	 381.48		
 36.93   	 21.36   	 26.59   	 -10.17		 13.75   	 147.51		 20.00   	 406.92		
 39.06   	 24.41   	 26.55(D)	   5.09		 14.34   	 127.16		 21.63   	 427.26		
 40.59   	 26.55   	 26.57   	  30.52		 14.85   	  96.64		 23.34   	 442.52		
 41.50   	 29.60   	 26.69   	  50.86		 15.24   	  86.47		 25.11   	 457.78		
 42.72   	 33.57   	 26.90   	  86.47		 15.58   	  86.47		 26.94   	 457.78		
 44.56   	 38.45   	 27.24   	 111.90		 15.93   	  81.38		 28.77   	 462.87		
 47.91   	 44.56   	 27.69   	 198.37		 16.26   	 111.90		 30.62   	 503.56		
 55.54   	 59.51   	 28.48   	 233.98		 16.70   	 127.16		 32.63   	 478.13		
 57.68   	 66.53   	 29.42   	 259.41		 17.21   	 137.33		 34.55   	 452.69		
 58.59   	 72.33   	 30.46   	 295.01		 17.76   	 162.77		 36.36   	 422.18		
 58.59   	 76.90   	 31.64   	 320.45		 18.41   	 178.03		 38.05   	 386.57		
 59.51   	 79.96   	 32.92   	 350.97		 19.13   	 193.29		 39.59   	 350.97		
 61.04   	 82.09   	 34.32   	 366.22		 19.90   	 193.29		 41.00   	 305.19		
 63.17   	 83.31   	 35.79   	 386.57		 20.67   	 193.29		 42.22   	 269.58		
 65.92   	 84.53   	 37.33   	 401.83		 21.44   	 198.37		 43.30   	 223.80		
 68.36   	 86.36   	 38.94   	 406.92		 22.24   	 193.29		 44.19   	 183.11		
 71.11   	 89.72   	 40.57   	 412.00		 23.01   	 183.11		 44.92   	 142.42		
 73.55   	 93.08   	 42.22   	 401.83		 23.74   	 167.85		 45.49   	 101.73		
 76.29   	 95.21   	 43.82   	 386.57		 24.41   	 162.77		 45.90   	  55.95		
 79.04   	 96.13   	 45.37   	 371.31		 25.07   	 142.42		 46.12   	  25.43		
 82.09   	 97.35   	 46.86   	 345.88		 25.64   	 122.07		 46.23(S)	 -15.26		
 86.98   	101.01   	 48.24   	 310.27		 26.12   	 101.73		 46.16   	 -40.69		
 93.08   	108.34   	 49.48   	 279.75		 26.53   	  96.64		 46.00   	 -76.30		
100.10   	118.10   	 50.60   	 233.98		 26.92   	  91.56		 45.70   	-101.73		
107.12   	128.17   	 51.54   	 198.37		 27.28   	  76.30		 45.29   	-122.07		
113.83   	137.02   	 52.33   	 152.59		 27.59   	  71.21		 44.80   	-142.42		
120.54   	145.57   	 52.94   	 111.90		 27.87   	  66.12		 44.23   	-157.68		
129.39   	157.17   	 53.39   	  66.12		 28.14   	  61.04		 43.60   	-172.94		
140.99   	173.95   	 53.65   	  30.52		 28.38   	  55.95		 42.91   	-183.11		
154.42   	194.40   	 53.77(S)	 -10.17		 28.61   	  45.78		 42.18   	-193.29		
167.54   	214.54   	 53.73   	 -35.61		 28.79   	  35.61		 41.40   	-193.29		
177.61   	228.88   	 53.59   	-106.82		 28.93   	  30.52		 40.63   	-228.89		
182.80   	226.75   	 53.16   	-122.07		 29.05   	  15.26		 39.72   	-223.80		
177.00   	211.79   	 52.68   	-137.33		 29.11(S)	   0.00		 38.82   	-218.72		
166.32   	191.04   	 52.13   	-147.51		 29.11   	 -15.26		 37.94   	-213.63		
151.06   	166.32   	 51.54   	-157.68		 29.05   	 -30.52		 37.09   	-208.54		
133.06   	140.08   	 50.91   	-162.77		 28.93   	 -40.69		 36.26   	-208.54		
113.83   	114.14   	 50.25   	-167.85		 28.77   	 -61.04		 35.42   	-208.54		
 95.83   	 90.03   	 49.58   	-167.85		 28.52   	 -76.30		 34.59   	-203.46		
 79.96   	 69.89   	 48.91   	-167.85		 28.22   	 -86.47		 33.77   	-203.46		
 67.14   	 53.71   	 48.24   	-167.85		 27.87   	-106.82		 32.96   	-208.54		
 57.68   	 41.81   	 47.57   	-167.85		 27.45   	-122.07		 32.13   	-218.72		
 50.66   	 33.26   	 46.90   	-172.94		 26.96   	-137.33		 31.25   	-223.80		
 45.17   	 27.47   	 46.21   	-172.94		 26.41   	-147.51		 30.36   	-233.98		
 41.20   	 23.19   	 45.51   	-188.20		 25.82   	-162.77		 29.42   	-249.24		
 37.84   	 18.92   	 44.76   	-188.20		 25.17   	-172.94		 28.42   	-254.32		
 35.71   	 15.26   	 44.01   	-198.37		 24.48   	-178.03		 27.41   	-274.67		
 35.40   	 15.26   	 43.21   	-203.46		 23.76   	-178.03		 26.31   	-279.75		
 36.93   	 22.89   	 42.40   	-203.46		 23.05   	-188.20		 25.19   	-300.10		
 39.06   	 40.59   	 41.59   	-208.54		 22.30   	-183.11		 23.99   	-320.45		
 41.81   	 68.05   	 40.75   	-203.46		 21.57   	-162.77		 22.71   	-335.71		
 44.86   	100.71   	 39.94   	-198.37		 20.92   	-147.51		 21.36   	-345.88		
 49.74   	134.89   	 39.15   	-193.29		 20.33   	-137.33		 19.98   	-361.14		
 59.51   	170.59   	 38.37   	-183.11		 19.78   	-127.16		 18.54   	-356.05		
 75.38   	208.13   	 37.64   	-167.85		 19.27   	-101.73		 17.11   	-361.14		
 94.91   	245.97   	 36.97   	-162.77		 18.86   	 -76.30		 15.67   	-356.05		
112.92   	278.02   	 36.32   	-152.59		 18.56   	 -55.95		 14.24   	-381.48		
117.80   	272.83   	 35.71   	-132.25		 18.33   	 -45.78		 12.72   	-371.31		
 97.05   	216.37   	 35.18   	-127.16		 18.15   	 -50.86		 11.23   	-340.79		
 65.00   	130.31   	 34.67   	-106.82		 17.94   	 -55.95		  9.87   	-320.45		
 30.21   	 35.71   	 34.24   	 -96.64		 17.72   	 -66.12		  8.59   	-289.93		
  3.05   	-41.50   	 33.86   	 -86.47		 17.46   	 -76.30		  7.43   	-264.50		
 -9.77   	-83.31   	 33.51   	 -81.38		 17.15   	 -86.47		  6.37   	-233.98		
 -9.77   	-91.55   	 33.18   	 -71.21		 16.81   	 -96.64		  5.43   	-208.54		
 -5.19   	-81.48   	 32.90   	 -61.04		 16.42   	-106.82		  4.60   	-178.03		
 -3.36   	-72.02   	 32.66   	 -61.04		 15.99   	-106.82		  3.89   	-147.51		
 -6.10   	-72.02   	 32.41   	 -55.95		 15.56   	-111.90		  3.30   	-122.07		
-10.99   	-80.26   	 32.19   	 -50.86		 15.12   	-106.82		  2.81   	 -91.56		
-13.73   	-90.03   	 31.98   	 -50.86		 14.69   	 -96.64		  2.44   	 -61.04		
-11.90   	-97.96   	 31.78   	 -55.95		 14.30   	 -91.56		  2.20   	 -40.69		
 -2.44   	-112.61   	 31.56   	 -50.86		 13.94   	 -86.47		  2.03   	 -15.26		
 24.11   	-143.43   	 31.35   	 -50.86		 13.59   	 -66.12		  1.97(D)	  10.17		
 76.60   	-177.00   	 31.15   	 -50.86		 13.33   	 -61.04		  2.01   	  30.52		
135.19   	-162.66   	 30.95   	 -50.86		 13.08   	 -45.78		  2.14   	  45.78		
137.02   	-65.92   	 30.74   	 -55.95		 12.90   	 -40.69		  2.32   	  66.12		
  2.44   	 68.66   	 30.52   	 -55.95		 12.74   	 -35.61		  2.58   	  76.30		
-306.40   	117.19   	 30.29   	 -50.86		 12.59   	 -30.52		  2.89   	  91.56		
-735.47   	-58.29   	 30.09   	 -55.95		 12.47   	 -30.52		  3.26   	 101.73		
-1136.47   	-482.18   	 29.87   	 -55.95		 12.35   	 -25.43		  3.66   	 106.82		
-1336.67   	-979.31   	 29.64   	 -50.86		 12.25   	 -30.52		  4.09   	 111.90		
-1238.71   	-1265.26(R)	 29.44   	 -50.86		 12.13   	 -30.52		  4.54(E)	 116.99		
-882.26   	-1159.67   	 29.24   	 -50.86		 12.00   	 -35.61		  5.01   	 127.16		
-35.71   	-202.33   	 29.03   	 -45.78		 11.86   	 -35.61		  5.51   	 132.25		
155.64   	129.39   	 28.85   	 -45.78		 11.72   	 -30.52		  6.04   	 127.16		
 45.47   	 25.02   	 28.67   	 -45.78		 11.60   	 -40.69		  6.55   	 122.07		
-45.47   	-123.90   	 28.48   	 -40.69		 11.43   	 -35.61		  7.04   	 116.99		
-63.48   	-164.49   	 28.32   	 -40.69		 11.29   	 -30.52		  7.51   	 111.90		
-23.19   	-108.03   	 28.16   	 -35.61		 11.17   	 -30.52		  7.96   	 106.82		
 24.41   	-32.35   	 28.02   	 -35.61		 11.05   	 -15.26		  8.38   	 101.73		
 41.50   	  0.92   	 27.87   	 -35.61		 10.99(D)	  30.52		  8.79   	 101.73		
 26.55   	-14.65   	 27.73   	 -30.52		 11.11   	  76.30		  9.20   	 106.82		
  4.88   	-45.17   	 27.61   	 -35.61		 11.41   	  55.95		  9.62   	 116.99		
 -3.66   	-58.90   	 27.47   	 -30.52		 11.64   	   5.09		 10.09   	 132.25		
  2.44   	-50.05   	 27.34   	 -35.61		 11.66   	 -10.17		 10.62   	 152.59		
 12.21   	-31.13   	 27.20   	 -30.52		 11.62   	  15.26		 11.23   	 178.03		
 18.01   	-16.17   	 27.08   	 -30.52		 11.68   	  30.52		 11.94   	 208.54		
 18.31   	 -9.16   	 26.96   	 -35.61		 11.80   	  35.61		 12.78   	 233.98		
 16.17   	 -6.71   	 26.82   	 -30.52		 11.94   	  45.78		 13.71   	 264.50		
 14.65   	 -4.27   	 26.69   	 -30.52		 12.13   	  81.38		 14.77   	 295.01		
 14.95   	  0.61   	 26.57   	 -25.43		 12.45   	 101.73		 15.95   	 325.53		
 17.09   	  6.71   	 26.47   	 -25.43		 12.86   	 127.16		 17.25   	 361.14		
 19.53   	 12.51   	 26.37   	 -20.35		 13.37   	 147.51		 18.70   	 386.57		
 21.06   	 16.17   	 26.29   	  -5.09		 13.96   	 147.51		 20.24   	 406.92		
 21.36   	 18.62   	 26.27(D)	  10.17		 14.55   	 106.82		 21.87   	 437.43		
 21.67   	 21.67   	 26.31   	  30.52		 14.97   	  81.38		 23.62   	 452.69		
 23.50   	 25.63   	 26.43   	  55.95		 15.30   	  71.21		 25.43   	 462.87		
 26.25   	 30.52   	 26.65   	  86.47		 15.58   	  71.21		 27.28   	 467.95		
 29.60   	 35.71   	 27.00   	 116.99		 15.87   	  71.21		 29.16   	 473.04		
 33.26   	 41.81   	 27.47   	 208.54		 16.15   	 101.73		 31.05   	 513.73		
 39.98   	 53.41   	 28.30   	 239.06		 16.56   	 127.16		 33.10   	 493.39		
 43.03   	 57.98   	 29.26   	 269.58		 17.07   	 137.33		 35.08   	 462.87		
 46.08   	 61.65   	 30.34   	 300.10		 17.62   	 162.77		 36.93   	 432.35		
 48.52   	 65.31   	 31.54   	 330.62		 18.27   	 183.11		 38.66   	 391.66		
 50.96   	 69.89   	 32.86   	 356.05		 19.00   	 188.20		 40.22   	 356.05		
 53.10   	 74.77   	 34.28   	 376.40		 19.76   	 188.20		 41.65   	 315.36		
 55.24   	 79.04   	 35.79   	 396.74		 20.51   	 193.29		 42.91   	 269.58		
 57.37   	 82.09   	 37.38   	 406.92		 21.28   	 193.29		 43.99   	 228.89		
 59.81   	 84.23   	 39.00   	 417.09		 22.05   	 188.20		 44.90   	 188.20		
 61.95   	 86.36   	 40.67   	 417.09		 22.81   	 183.11		 45.66   	 137.33		
 63.78   	 89.42   	 42.34   	 412.00		 23.54   	 167.85		 46.21   	 101.73		
 66.53   	 94.30   	 43.99   	 396.74		 24.21   	 152.59		 46.61   	  61.04		
 71.41   	100.71   	 45.57   	 376.40		 24.82   	 147.51		 46.86   	  20.35		
 78.43   	108.03   	 47.08   	 356.05		 25.41   	 127.16		 46.94(S)	 -15.26		
 86.36   	114.44   	 48.50   	 325.53		 25.92   	 116.99		 46.88   	 -45.78		
 93.38   	119.02   	 49.81   	 284.84		 26.39   	 106.82		 46.69   	 -71.21		
 99.79   	122.07   	 50.95   	 249.24		 26.82   	 101.73		 46.41   	-101.73		
105.59   	125.43   	 51.94   	 203.46		 27.22   	  96.64		 46.00   	-122.07		
112.92   	132.14   	 52.76   	 157.68		 27.61   	  86.47		 45.51   	-137.33		
121.77   	142.82   	 53.39   	 116.99		 27.96   	  76.30		 44.96   	-157.68		
132.14   	156.56   	 53.86   	  76.30		 28.26   	  76.30		 44.33   	-167.85		
143.43   	170.90   	 54.16   	  30.52		 28.57   	  71.21		 43.66   	-178.03		
154.72   	185.85   	 54.28(S)	  -5.09		 28.85   	  61.04		 42.95   	-188.20		
165.71   	200.50   	 54.26   	 -35.61		 29.09   	  50.86		 42.20   	-188.20		
175.78   	214.23   	 54.12   	-101.73		 29.30   	  35.61		 41.44   	-218.72		
186.16   	224.30   	 53.71   	-116.99		 29.44   	  25.43		 40.57   	-213.63		
182.50   	214.84   	 53.24   	-132.25		 29.54   	  10.17		 39.72   	-208.54		
171.51   	195.31   	 52.72   	-142.42		 29.58(S)	  -5.09		 38.88   	-208.54		
155.33   	169.07   	 52.15   	-152.59		 29.56   	 -20.35		 38.05   	-203.46		
136.41   	139.77   	 51.54   	-157.68		 29.48   	 -35.61		 37.23   	-198.37		
117.49   	110.47   	 50.91   	-157.68		 29.34   	 -50.86		 36.44   	-193.29		
 99.79   	 83.62   	 50.27   	-162.77		 29.14   	 -66.12		 35.67   	-198.37		
 84.53   	 60.42   	 49.62   	-157.68		 28.87   	 -81.38		 34.87   	-198.37		
 71.41   	 42.72   	 48.99   	-162.77		 28.55   	-101.73		 34.08   	-198.37		
 60.12   	 30.21   	 48.34   	-167.85		 28.14   	-116.99		 33.29   	-208.54		
 50.05   	 21.36   	 47.67   	-162.77		 27.67   	-132.25		 32.45   	-213.63		
 41.50   	 14.95   	 47.02   	-172.94		 27.14   	-147.51		 31.60   	-228.89		
 35.10   	 10.07   	 46.33   	-178.03		 26.55   	-162.77		 30.68   	-239.06		
 31.13   	  7.02   	 45.62   	-183.11		 25.90   	-172.94		 29.73   	-254.32		
 29.60   	  7.02   	 44.88   	-193.29		 25.21   	-178.03		 28.71   	-269.58		
 30.52   	 12.51   	 44.11   	-198.37		 24.50   	-183.11		 27.63   	-284.84		
 33.57   	 24.41   	 43.32   	-208.54		 23.76   	-188.20		 26.49   	-300.10		
 37.84   	 42.42   	 42.48   	-203.46		 23.01   	-188.20		 25.29   	-315.36		
 41.81   	 65.92   	 41.67   	-208.54		 22.26   	-172.94		 24.03   	-335.71		
 45.78   	 93.08   	 40.83   	-208.54		 21.57   	-142.42		 22.69   	-350.97		
 51.27   	124.21   	 40.00   	-198.37		 21.00   	-137.33		 21.28   	-366.22		
 61.34   	159.61   	 39.21   	-193.29		 20.45   	-127.16		 19.82   	-371.31		
