SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
104.68   	262.45   	 37.38   	-167.85		 19.27   	 -76.30		 16.36   	-366.22		
118.71   	284.73   	 36.70   	-162.77		 18.96   	 -61.04		 14.89   	-391.66		
109.56   	248.11   	 36.05   	-142.42		 18.72   	 -61.04		 13.33   	-376.40		
 82.70   	180.36   	 35.48   	-132.25		 18.47   	 -50.86		 11.82   	-356.05		
 46.69   	 92.16   	 34.95   	-111.90		 18.27   	 -61.04		 10.40   	-330.62		
 11.90   	  5.49   	 34.51   	-106.82		 18.03   	 -76.30		  9.07   	-305.19		
-11.60   	-56.76   	 34.08   	 -86.47		 17.72   	 -81.38		  7.85   	-279.75		
-19.23   	-83.62   	 33.73   	 -81.38		 17.40   	 -91.56		  6.73   	-249.24		
-15.26   	-82.40   	 33.41   	 -71.21		 17.03   	-101.73		  5.74   	-218.72		
 -8.85   	-71.11   	 33.12   	 -66.12		 16.62   	-106.82		  4.86   	-193.29		
 -7.32   	-66.22   	 32.86   	 -61.04		 16.20   	-116.99		  4.09   	-157.68		
-11.29   	-72.63   	 32.61   	 -55.95		 15.73   	-111.90		  3.46   	-132.25		
-16.78   	-85.75   	 32.39   	 -55.95		 15.28   	-106.82		  2.93   	-101.73		
-19.23   	-97.96   	 32.17   	 -50.86		 14.85   	-101.73		  2.52   	 -71.21		
-15.87   	-109.25   	 31.96   	 -50.86		 14.45   	 -96.64		  2.24   	 -50.86		
 -2.44   	-129.39   	 31.76   	 -50.86		 14.06   	 -81.38		  2.03   	 -20.35		
 32.65   	-162.96   	 31.56   	 -50.86		 13.73   	 -66.12		  1.95(D)	   0.00		
 92.16   	-179.44   	 31.35   	 -50.86		 13.47   	 -55.95		  1.95   	  25.43		
140.08   	-126.34   	 31.15   	 -55.95		 13.25   	 -45.78		  2.05   	  45.78		
101.32   	  1.53   	 30.93   	 -50.86		 13.06   	 -35.61		  2.24   	  61.04		
-97.05   	122.07   	 30.72   	 -55.95		 12.92   	 -30.52		  2.48   	  76.30		
-463.56   	 92.47   	 30.50   	 -55.95		 12.80   	 -25.43		  2.79   	  91.56		
-904.24   	-195.01   	 30.27   	 -50.86		 12.70   	 -30.52		  3.15   	  96.64		
-1249.39   	-685.73   	 30.07   	 -55.95		 12.57   	 -25.43		  3.54   	 111.90		
-1341.55   	-1136.78   	 29.85   	 -50.86		 12.47   	 -30.52		  3.99   	 116.99		
-1131.59   	-1280.21(R)	 29.64   	 -50.86		 12.35   	 -30.52		  4.46(E)	 116.99		
-711.06   	-1024.78   	 29.44   	 -50.86		 12.23   	 -35.61		  4.92   	 137.33		
 66.53   	-49.74   	 29.24   	 -50.86		 12.09   	 -40.69		  5.47   	 127.16		
178.53   	169.37   	 29.03   	 -50.86		 11.92   	 -40.69		  5.98   	 137.33		
 10.68   	-41.50   	 28.83   	 -45.78		 11.76   	 -40.69		  6.53   	 132.25		
-55.85   	-151.37   	 28.65   	 -40.69		 11.60   	 -45.78		  7.06   	 116.99		
-48.22   	-147.09   	 28.48   	 -40.69		 11.41   	 -35.61		  7.53   	 116.99		
  0.00   	-74.16   	 28.32   	 -40.69		 11.27   	 -30.52		  8.00   	 111.90		
 37.54   	-11.29   	 28.16   	 -35.61		 11.15   	  -5.09		  8.44   	 111.90		
 39.98   	  1.83   	 28.02   	 -35.61		 11.13(D)	  45.78		  8.89   	 106.82		
 20.45   	-21.97   	 27.87   	 -30.52		 11.31   	  66.12		  9.32   	 116.99		
  3.97   	-46.08   	 27.75   	 -35.61		 11.58   	  30.52		  9.79   	 127.16		
  3.66   	-49.44   	 27.61   	 -30.52		 11.70   	 -10.17		 10.29   	 142.42		
 13.43   	-35.71   	 27.49   	 -35.61		 11.66   	   0.00		 10.86   	 167.85		
 21.97   	-19.84   	 27.34   	 -30.52		 11.66   	  20.35		 11.54   	 188.20		
 24.11   	-10.68   	 27.22   	 -30.52		 11.74   	  30.52		 12.29   	 218.72		
 21.36   	 -7.93   	 27.10   	 -35.61		 11.86   	  35.61		 13.16   	 244.15		
 17.70   	 -7.02   	 26.96   	 -30.52		 12.00   	  66.12		 14.14   	 274.67		
 16.17   	 -3.66   	 26.84   	 -30.52		 12.27   	  96.64		 15.24   	 305.19		
 18.01   	  3.36   	 26.71   	 -30.52		 12.66   	 122.07		 16.46   	 340.79		
 22.28   	 11.90   	 26.59   	 -20.35		 13.14   	 147.51		 17.82   	 366.22		
 26.25   	 18.01   	 26.51   	 -15.26		 13.73   	 147.51		 19.29   	 391.66		
 28.69   	 20.14   	 26.45(D)	   0.00		 14.32   	 122.07		 20.85   	 422.18		
 29.60   	 19.53   	 26.45   	  15.26		 14.81   	  81.38		 22.54   	 437.43		
 30.52   	 18.92   	 26.51   	  40.69		 15.14   	  76.30		 24.29   	 452.69		
 32.04   	 21.36   	 26.67   	  66.12		 15.44   	  71.21		 26.10   	 467.95		
 33.87   	 26.55   	 26.94   	  96.64		 15.73   	  76.30		 27.98   	 467.95		
 35.71   	 33.57   	 27.32   	 132.25		 16.03   	  71.21		 29.85   	 462.87		
 37.23   	 40.59   	 27.85   	 213.63		 16.32   	 127.16		 31.70   	 508.65		
 41.81   	 52.49   	 28.71   	 254.32		 16.83   	 137.33		 33.73   	 478.13		
 45.17   	 58.59   	 29.73   	 279.75		 17.38   	 152.59		 35.65   	 452.69		
 48.52   	 64.70   	 30.84   	 305.19		 17.99   	 167.85		 37.46   	 417.09		
 51.27   	 69.89   	 32.06   	 340.79		 18.66   	 178.03		 39.12   	 381.48		
 52.80   	 74.46   	 33.43   	 361.14		 19.37   	 188.20		 40.65   	 340.79		
