SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
-360.72   	663.45   	 10.80   	 106.82		 58.53   	 -55.95		
-333.56   	698.55   	 11.23   	 132.25		 58.31   	 -61.04		
-323.49   	700.07   	 11.76   	 167.85		 58.07   	 -55.95		
-326.84   	685.73   	 12.43   	 193.29		 57.84   	 -45.78		
-336.91   	668.95   	 13.20   	 223.80		 57.66   	 -45.78		
-346.98   	655.82   	 14.10   	 244.15		 57.48   	 -45.78		
-352.17   	644.23   	 15.08   	 249.24		 57.29   	 -40.69		
-350.95   	630.19   	 16.07   	 274.67		 57.13   	 -45.78		
-345.46   	612.79   	 17.17   	 295.01		 56.95   	 -45.78		
-339.66   	595.09   	 18.35   	 350.97		 56.76   	 -61.04		
-337.83   	570.68   	 19.76   	 345.88		 56.52   	 -61.04		
-341.49   	562.74   	 21.14   	 345.88		 56.28   	 -45.78		
-344.24   	554.81   	 22.52   	 345.88		 56.09   	 -45.78		
-342.71   	546.26   	 23.91   	 325.53		 55.91   	 -35.61		
-336.30   	537.11   	 25.21   	 310.27		 55.77   	 -40.69		
-327.45   	525.51   	 26.45   	 289.93		 55.61   	 -35.61		
-320.13   	509.64   	 27.61   	 279.75		 55.46   	 -30.52		
-316.77   	487.37   	 28.73   	 254.32		 55.34   	 -25.43		
-317.38   	461.12   	 29.75   	 228.89		 55.24   	   0.00		
-319.21   	435.18   	 30.66   	 203.46		 55.24   	  40.69		
-318.60   	412.29   	 31.47   	 188.20		 55.40   	 106.82		
-314.03   	393.37   	 32.23   	 172.94		 55.83   	 183.11		
-306.40   	376.89   	 32.92   	 157.68		 56.56   	 269.58		
-296.63   	361.02   	 33.55   	 147.51		 57.64   	 335.71		
-285.03   	344.54   	 34.14   	 137.33		 58.98   	 376.40		
-271.91   	325.93   	 34.69   	 132.25		 60.49   	 391.66		
