SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-19.23   	-26.86   	 46.02   	 -71.21		 10.72   	 437.43		
-23.50   	-24.72   	 45.74   	 -66.12		 12.47   	 452.69		
-26.25   	-22.28   	 45.47   	 -55.95		 14.28   	 457.78		
-20.75   	-13.12   	 45.25   	 -55.95		 16.11   	 427.26		
 -8.54   	  1.53   	 45.03   	 -35.61		 17.82   	 330.62		
  9.16   	 24.72   	 44.88   	  -5.09		 19.15   	 264.50		
  7.02   	 27.16   	 44.86   	  30.52		 20.20   	 193.29		
  3.36   	 28.69   	 44.98   	  71.21		 20.98   	 132.25		
  5.19   	 35.10   	 45.27   	 111.90		 21.51   	  86.47		
 14.34   	 48.22   	 45.72   	 152.59		 21.85   	  55.95		
 27.47   	 64.39   	 46.33   	 198.37		 22.08   	  40.69		
 37.84   	 78.13   	 47.12   	 233.98		 22.24   	  35.61		
 42.42   	 86.98   	 48.06   	 264.50		 22.38   	  45.78		
 43.33   	 93.08   	 49.11   	 289.93		 22.56   	  55.95		
 46.39   	100.40   	 50.27   	 310.27		 22.79   	  71.21		
 54.32   	111.08   	 51.52   	 325.53		 23.07   	  76.30		
 66.53   	123.60   	 52.82   	 330.62		 23.38   	  66.12		
 77.82   	133.67   	 54.14   	 340.79		 23.64   	  71.21		
 84.53   	139.47   	 55.50   	 335.71		 23.93   	  66.12		
 86.98   	141.91   	 56.85   	 330.62		 24.19   	  61.04		
 87.28   	143.43   	 58.17   	 330.62		 24.44   	  40.69		
 87.28   	144.96   	 59.49   	 315.36		 24.60   	  20.35		
 87.28   	146.18   	 60.75   	 300.10		 24.68   	  10.17		
 87.28   	147.09   	 61.95   	 289.93		 24.72   	   0.00		
 88.50   	149.54   	 63.11   	 274.67		 24.72   	 -10.17		
 93.08   	155.64   	 64.21   	 254.32		 24.68   	 -20.35		
100.10   	165.71   	 65.23   	 239.06		 24.60   	 -15.26		
107.73   	177.00   	 66.18   	 218.72		 24.54   	 -15.26		
112.92   	186.46   	 67.06   	 198.37		 24.48   	 -15.26		
114.75   	191.65   	 67.85   	 183.11		 24.41   	  -5.09		
116.58   	192.26   	 68.59   	 152.59		 24.39   	 -10.17		
117.49   	188.60   	 69.20   	 132.25		 24.35   	 -15.26		
115.05   	180.05   	 69.73   	 111.90		 24.29   	 -15.26		
105.29   	163.88   	 70.17   	  86.47		 24.23   	 -20.35		
 87.59   	138.85   	 70.52   	  61.04		 24.15   	 -25.43		
 64.39   	108.34   	 70.76   	  40.69		 24.05   	 -25.43		
 40.59   	 76.60   	 70.93   	  20.35		 23.95   	 -35.61		
 20.14   	 47.30   	 71.01(S)	   0.00		 23.80   	 -45.78		
  3.36   	 21.97   	 71.01   	 -20.35		 23.62   	 -40.69		
-10.99   	 -0.92   	 70.93   	 -35.61		 23.46   	 -45.78		
-24.41   	-21.67   	 70.78   	 -55.95		 23.28   	 -45.78		
-35.40   	-39.67   	 70.56   	 -66.12		 23.09   	 -35.61		
-42.42   	-52.49   	 70.29   	 -76.30		 22.95   	 -35.61		
-44.86   	-59.20   	 69.99   	 -86.47		 22.81   	 -35.61		
-45.17   	-61.34   	 69.64   	-101.73		 22.67   	 -40.69		
-45.47   	-59.51   	 69.24   	-101.73		 22.50   	 -55.95		
-46.69   	-54.32   	 68.83   	-111.90		 22.28   	 -81.38		
-47.61   	-44.86   	 68.38   	-116.99		 21.95   	-116.99		
-46.69   	-30.82   	 67.91   	-122.07		 21.49   	-162.77		
-43.33   	-14.65   	 67.43   	-127.16		 20.83   	-213.63		
-39.06   	 -0.61   	 66.92   	-132.25		 19.98   	-249.24		
-34.18   	  9.77   	 66.39   	-147.51		 18.98   	-289.93		
-29.91   	 16.78   	 65.80   	-162.77		 17.82   	-345.88		
-25.02   	 23.19   	 65.15   	-178.03		 16.44   	-371.31		
-19.53   	 31.74   	 64.44   	-193.29		 14.95   	-386.57		
-13.73   	 40.59   	 63.66   	-198.37		 13.41   	-386.57		
 -8.54   	 45.17   	 62.87   	-203.46		 11.86   	-356.05		
 -4.88   	 39.98   	 62.05   	-203.46		 10.44   	-315.36		
 -4.58   	 22.89   	 61.24   	-193.29		  9.18   	-249.24		
 -8.85   	 -3.66   	 60.47   	-193.29		  8.18   	-193.29		
-17.40   	-32.65   	 59.69   	-188.20		  7.41   	-142.42		
-28.99   	-56.76   	 58.94   	-178.03		  6.84   	 -96.64		
-40.89   	-72.94   	 58.23   	-162.77		  6.45   	 -66.12		
-50.66   	-82.40   	 57.58   	-157.68		  6.19   	 -40.69		
-57.07   	-87.89   	 56.95   	-147.51		  6.02   	 -40.69		
-60.73   	-92.77   	 56.36   	-137.33		  5.86   	 -30.52		
-62.26   	-97.35   	 55.81   	-127.16		  5.74   	 -30.52		
-62.87   	-101.01   	 55.30   	-111.90		  5.62   	 -40.69		
-63.48   	-101.93   	 54.85   	-101.73		  5.45   	 -55.95		
-63.78   	-100.40   	 54.45   	 -91.56		  5.23   	 -55.95		
-63.17   	-98.57   	 54.08   	 -81.38		  5.01   	 -55.95		
-60.73   	-98.27   	 53.75   	 -71.21		  4.78   	 -61.04		
-56.15   	-101.32   	 53.47   	 -66.12		  4.54   	 -61.04		
-47.30   	-105.59   	 53.20   	 -55.95		  4.29   	 -45.78		
-27.47   	-95.83   	 52.98   	 -50.86		  4.11   	 -20.35		
 11.90   	-37.84   	 52.78   	 -50.86		  4.03   	   0.00		
 70.80   	 96.44   	 52.57   	 -45.78		  4.03   	  25.43		
126.65   	281.98   	 52.39   	 -50.86		  4.13   	  76.30		
 59.51   	428.16   	 52.19   	 -50.86		  4.44   	  86.47		
-97.35   	224.30   	 51.98   	 -55.95		  4.78   	  91.56		
-274.66   	-116.88   	 51.76   	 -50.86		  5.15   	  91.56		
-385.13   	-431.21   	 51.56   	 -50.86		  5.51   	  76.30		
-375.37   	-569.46(R)	 51.35   	 -55.95		  5.82(E)	  50.86		
-263.06   	-498.05   	 51.13   	 -55.95		  6.02   	  25.43		
-121.15   	-303.65   	 50.91   	 -61.04		  6.12   	  -5.09		
-23.80   	-115.66   	 50.66   	 -61.04		  6.10   	 -25.43		
  1.22   	-21.06   	 50.42   	 -61.04		  6.00   	 -20.35		
-22.58   	-21.97   	 50.17   	 -66.12		  5.92   	 -25.43		
-52.49   	-64.09   	 49.91   	 -71.21		  5.82   	 -15.26		
-62.26   	-92.47   	 49.62   	 -66.12		  5.76   	   0.00		
-50.66   	-87.59   	 49.36   	 -71.21		  5.76   	  25.43		
-32.04   	-60.42   	 49.07   	 -76.30		  5.86   	  55.95		
-19.23   	-33.26   	 48.77   	 -71.21		  6.08   	  76.30		
-17.09   	-20.75   	 48.48   	 -76.30		  6.39   	 106.82		
-22.58   	-23.80   	 48.18   	 -76.30		  6.82   	 152.59		
-29.60   	-31.74   	 47.87   	 -76.30		  7.43   	 259.41		
-32.96   	-33.87   	 47.57   	 -76.30		  8.46   	 371.31		
-30.52   	-26.86   	 47.26   	 -71.21		  9.95   	 406.92		
-25.02   	-15.26   	 46.98   	 -71.21		 11.58   	 417.09		
-19.84   	 -4.88   	 46.69   	 -71.21		 13.25   	 467.95		
-16.78   	  1.53   	 46.41   	 -61.04		 15.12   	 503.56		
-14.95   	  5.19   	 46.16   	 -61.04		 17.13   	 473.04		
-12.21   	  8.54   	 45.92   	 -25.43		 19.02   	 381.48		
 -3.36   	 21.06   	 45.82(D)	   0.00		 20.55   	 305.19		
  0.61   	 30.21   	 45.82   	  35.61		 21.77   	 218.72		
  3.97   	 39.06   	 45.96   	  81.38		 22.64   	 137.33		
  7.93   	 48.52   	 46.29   	 122.07		 23.19   	  81.38		
 14.04   	 59.20   	 46.77   	 162.77		 23.52   	  40.69		
 22.58   	 72.63   	 47.43   	 203.46		 23.68   	  20.35		
 31.13   	 86.67   	 48.24   	 244.15		 23.76   	  25.43		
 37.23   	 98.88   	 49.22   	 269.58		 23.87   	  30.52		
 40.89   	108.03   	 50.29   	 300.10		 23.99   	  45.78		
 43.33   	115.66   	 51.50   	 310.27		 24.17   	  61.04		
 47.91   	124.82   	 52.74   	 330.62		 24.41   	  81.38		
 55.54   	136.41   	 54.06   	 330.62		 24.74   	  86.47		
 64.09   	148.62   	 55.38   	 340.79		 25.09   	  81.38		
 70.19   	157.17   	 56.74   	 335.71		 25.41   	  81.38		
 71.11   	160.22   	 58.09   	 335.71		 25.74   	  66.12		
 69.27   	159.91   	 59.43   	 325.53		 26.00   	  50.86		
 67.44   	159.91   	 60.73   	 315.36		 26.21   	  35.61		
 68.05   	162.66   	 61.99   	 310.27		 26.35   	  10.17		
 70.80   	167.24   	 63.23   	 289.93		 26.39(S)	  -5.09		
 75.07   	172.42   	 64.39   	 274.67		 26.37   	 -15.26		
 80.26   	177.92   	 65.49   	 259.41		 26.31   	 -15.26		
 86.06   	184.94   	 66.53   	 239.06		 26.25   	 -25.43		
 91.86   	193.79   	 67.49   	 218.72		 26.14   	 -30.52		
 97.35   	202.94   	 68.36   	 198.37		 26.02   	 -25.43		
101.32   	209.96   	 69.16   	 178.03		 25.92   	 -20.35		
104.98   	212.10   	 69.87   	 152.59		 25.84   	 -25.43		
104.68   	205.38   	 70.48   	 132.25		 25.74   	 -25.43		
100.40   	192.26   	 71.01   	 101.73		 25.64   	 -20.35		
 90.64   	171.81   	 71.41   	  76.30		 25.55   	 -25.43		
 75.99   	144.35   	 71.72   	  55.95		 25.45   	 -30.52		
 57.37   	112.00   	 71.94   	  30.52		 25.33   	 -30.52		
 37.84   	 77.82   	 72.06   	   5.09		 25.21   	 -35.61		
 19.53   	 45.17   	 72.09(S)	 -10.17		 25.07   	 -50.86		
  4.27   	 16.48   	 72.04   	 -35.61		 24.86   	 -45.78		
 -7.32   	 -7.63   	 71.90   	 -45.78		 24.68   	 -50.86		
-17.09   	-28.08   	 71.72   	 -66.12		 24.48   	 -50.86		
-25.94   	-45.78   	 71.45   	 -76.30		 24.27   	 -66.12		
-34.48   	-60.73   	 71.15   	 -91.56		 24.01   	 -76.30		
-40.28   	-70.19   	 70.78   	 -96.64		 23.70   	 -96.64		
-41.81   	-73.24   	 70.40   	-106.82		 23.32   	-111.90		
-38.76   	-69.58   	 69.97   	-111.90		 22.87   	-147.51		
-34.48   	-61.65   	 69.52   	-122.07		 22.28   	-198.37		
-32.04   	-52.80   	 69.03   	-122.07		 21.49   	-233.98		
-33.57   	-43.95   	 68.55   	-132.25		 20.55   	-269.58		
-36.62   	-35.10   	 68.02   	-137.33		 19.47   	-295.01		
-38.45   	-26.55   	 67.47   	-142.42		 18.29   	-325.53		
-36.93   	-18.62   	 66.90   	-157.68		 16.99   	-361.14		
-32.04   	-11.29   	 66.27   	-172.94		 15.54   	-391.66		
-24.11   	 -3.66   	 65.57   	-188.20		 13.98   	-386.57		
-14.95   	  5.19   	 64.82   	-198.37		 12.43   	-350.97		
 -5.19   	 15.26   	 64.03   	-208.54		 11.03   	-320.45		
  3.05   	 21.67   	 63.19   	-203.46		  9.75   	-274.67		
  7.02   	 18.01   	 62.38   	-208.54		  8.65   	-233.98		
  5.80   	  1.22   	 61.55   	-198.37		  7.71   	-172.94		
  0.00   	-27.47   	 60.75   	-198.37		  7.02   	-111.90		
 -7.93   	-59.81   	 59.96   	-183.11		  6.57   	 -91.56		
-15.87   	-86.98   	 59.23   	-178.03		  6.21   	 -71.21		
-23.80   	-104.68   	 58.51   	-167.85		  5.92   	 -61.04		
-32.65   	-114.75   	 57.84   	-157.68		  5.68   	 -45.78		
-42.72   	-121.46   	 57.21   	-152.59		  5.49   	 -50.86		
-52.19   	-127.26   	 56.60   	-137.33		  5.29   	 -66.12		
-56.76   	-131.53   	 56.05   	-132.25		  5.03   	 -71.21		
-54.93   	-131.53   	 55.52   	-116.99		  4.74   	 -71.21		
-49.44   	-128.48   	 55.06   	-101.73		  4.46   	 -71.21		
-44.86   	-125.12   	 54.65   	 -96.64		  4.17   	 -71.21		
-45.78   	-125.43   	 54.26   	 -86.47		  3.89   	 -61.04		
-49.74   	-130.00   	 53.92   	 -81.38		  3.64   	 -45.78		
-50.96   	-136.11   	 53.59   	 -66.12		  3.46   	 -25.43		
-43.95   	-140.08   	 53.33   	 -61.04		  3.36   	 -15.26		
-23.80   	-131.84   	 53.08   	 -55.95		  3.30   	  -5.09		
 14.65   	-84.84   	 52.86   	 -55.95		  3.28(D)	  20.35		
 71.11   	 31.74   	 52.63   	 -50.86		  3.36   	  40.69		
129.70   	207.21   	 52.43   	 -50.86		  3.52   	  40.69		
153.50   	365.60   	 52.23   	 -55.95		  3.68   	  76.30		
-36.62   	238.04   	 52.00   	 -50.86		  3.99   	  76.30		
-214.84   	-79.65   	 51.80   	 -61.04		  4.29   	  61.04		
-348.51   	-404.36   	 51.56   	 -55.95		  4.54   	  61.04		
-369.87   	-577.09(R)	 51.33   	 -55.95		  4.78(E)	  40.69		
-276.79   	-540.16   	 51.11   	 -61.04		  4.94   	  10.17		
-134.28   	-362.24   	 50.86   	 -66.12		  4.98   	 -10.17		
-23.80   	-169.98   	 50.60   	 -66.12		  4.94   	 -20.35		
 13.12   	-60.12   	 50.34   	 -66.12		  4.86   	 -15.26		
 -6.41   	-47.30   	 50.07   	 -71.21		  4.80   	 -15.26		
-37.54   	-82.40   	 49.79   	 -71.21		  4.74   	   0.00		
-47.61   	-108.64   	 49.50   	 -71.21		  4.74   	  15.26		
-34.48   	-104.06   	 49.22   	 -76.30		  4.80   	  30.52		
-14.95   	-80.26   	 48.91   	 -71.21		  4.92   	  66.12		
 -4.27   	-57.98   	 48.63   	 -76.30		  5.19   	  86.47		
 -4.27   	-49.13   	 48.32   	 -76.30		  5.53   	 106.82		
 -9.16   	-52.19   	 48.02   	 -81.38		  5.96   	 132.25		
-11.90   	-57.37   	 47.69   	 -76.30		  6.49   	 198.37		
-10.38   	-56.46   	 47.39   	 -76.30		  7.28   	 305.19		
 -5.19   	-48.52   	 47.08   	 -76.30		  8.50   	 371.31		
  0.00   	-38.15   	 46.77   	 -71.21		  9.99   	 396.74		
  3.97   	-29.60   	 46.49   	 -71.21		 11.58   	 422.18		
  5.49   	-23.50   	 46.21   	 -66.12		 13.27   	 452.69		
  6.71   	-18.62   	 45.94   	 -61.04		 15.08   	 442.52		
  8.24   	-13.12   	 45.70   	 -55.95		 16.85   	 396.74		
 11.29   	 -6.10   	 45.47   	 -20.35		 18.43   	 295.01		
 19.53   	 10.68   	 45.39(D)	   5.09		 19.61   	 223.80		
 24.41   	 19.53   	 45.41   	  45.78		 20.51   	 147.51		
 30.52   	 28.69   	 45.59   	  86.47		 21.10   	  91.56		
 37.54   	 38.15   	 45.94   	 127.16		 21.46   	  50.86		
 44.25   	 47.61   	 46.45   	 167.85		 21.67   	  25.43		
 50.35   	 56.46   	 47.12   	 203.46		 21.77   	  15.26		
 55.54   	 65.31   	 47.93   	 239.06		 21.83   	  15.26		
 61.34   	 74.46   	 48.89   	 269.58		 21.89   	  30.52		
 68.05   	 84.53   	 49.97   	 289.93		 22.01   	  35.61		
 75.99   	 94.30   	 51.13   	 305.19		 22.16   	  45.78		
 83.01   	101.93   	 52.35   	 315.36		 22.34   	  55.95		
 88.20   	107.12   	 53.61   	 325.53		 22.56   	  61.04		
 92.47   	110.47   	 54.91   	 325.53		 22.81   	  50.86		
 96.44   	113.22   	 56.22   	 325.53		 23.01   	  45.78		
100.40   	115.66   	 57.52   	 320.45		 23.19   	  35.61		
104.68   	118.41   	 58.80   	 315.36		 23.34   	  20.35		
