SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-61.95   	-157.78   	 52.37   	 -35.61		 19.33   	 396.74		
-55.54   	-153.81   	 52.23   	 -30.52		 20.92   	 452.69		
-50.05   	-150.45   	 52.11   	 -35.61		 22.73   	 498.47		
-42.11   	-146.18   	 51.96   	 -35.61		 24.72   	 518.82		
-28.99   	-137.63   	 51.82   	 -35.61		 26.80   	 498.47		
 -9.77   	-122.99   	 51.68   	 -30.52		 28.79   	 508.65		
 40.89   	-86.67   	 51.56   	 -35.61		 30.82   	 528.99		
 65.00   	-71.41   	 51.41   	 -35.61		 32.94   	 564.60		
 84.84   	-61.65   	 51.27   	 -30.52		 35.20   	 590.03		
 97.66   	-58.59   	 51.15   	 -30.52		 37.56   	 610.37		
102.23   	-60.42   	 51.03   	 -30.52		 40.00   	 620.55		
101.62   	-62.87   	 50.91   	 -25.43		 42.48   	 630.72		
100.71   	-61.65   	 50.80   	 -30.52		 45.00   	 615.46		
104.06   	-54.93   	 50.68   	 -25.43		 47.47   	 610.37		
111.39   	-45.47   	 50.58   	 -25.43		 49.91   	 590.03		
117.49   	-38.76   	 50.48   	 -30.52		 52.27   	 488.30		
116.58   	-37.84   	 50.36   	 -25.43		 54.22   	 350.97		
106.51   	-43.03   	 50.25   	 -30.52		 55.63   	 259.41		
 90.64   	-50.96   	 50.13   	 -25.43		 56.66   	 228.89		
 74.16   	-58.59   	 50.03   	 -35.61		 57.58   	 193.29		
 61.65   	-62.26   	 49.89   	 -35.61		 58.35   	 178.03		
 52.19   	-62.56   	 49.75   	 -35.61		 59.06   	 188.20		
 42.42   	-62.56   	 49.60   	 -35.61		 59.82   	 203.46		
 31.74   	-63.17   	 49.46   	 -30.52		 60.63   	 203.46		
 21.06   	-62.26   	 49.34   	 -35.61		 61.44   	 208.54		
 13.12   	-58.59   	 49.20   	 -30.52		 62.28   	 213.63		
  9.77   	-50.35   	 49.07   	 -25.43		 63.13   	 208.54		
 12.82   	-37.84   	 48.97   	 -20.35		 63.97   	 198.37		
 19.53   	-25.02   	 48.89   	 -20.35		 64.76   	 183.11		
 23.80   	-15.26   	 48.81   	 -15.26		 65.49   	 178.03		
 20.75   	 -9.77   	 48.75   	   0.00		 66.21   	 183.11		
-10.07   	 -7.63   	 48.75   	  10.17		 66.94   	 183.11		
-29.91   	 -6.71   	 48.79   	  25.43		 67.67   	 188.20		
-40.59   	  0.61   	 48.89   	  45.78		 68.42   	 203.46		
-36.62   	 18.01   	 49.07   	  66.12		 69.24   	 213.63		
-18.31   	 44.56   	 49.34   	  91.56		 70.09   	 218.72		
  7.93   	 75.99   	 49.70   	 106.82		 70.97   	 218.72		
 34.18   	104.68   	 50.13   	 127.16		 71.84   	 228.89		
 53.71   	126.04   	 50.64   	 142.42		 72.76   	 233.98		
 65.61   	139.77   	 51.21   	 152.59		 73.69   	 228.89		
 74.46   	150.45   	 51.82   	 162.77		 74.61   	 218.72		
 84.23   	162.66   	 52.47   	 162.77		 75.48   	 213.63		
 97.05   	177.92   	 53.12   	 157.68		 76.34   	 203.46		
