SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  DAO     	  DAO'		  RV     	  RV'		
 63.95   	 -10.17		 44.29   	-111.90		
 63.91   	 -20.35		 43.85   	-122.07		
 63.82   	 -30.52		 43.36   	-132.25		
 63.70   	 -35.61		 42.83   	-137.33		
 63.56   	 -35.61		 42.28   	-142.42		
 63.42   	 -30.52		 41.71   	-142.42		
 63.30   	 -25.43		 41.14   	-137.33		
 63.19   	 -30.52		 40.59   	-132.25		
 63.07   	 -40.69		 40.06   	-147.51		
 62.91   	 -50.86		 39.47   	-157.68		
 62.71   	 -50.86		 38.84   	-162.77		
 62.50   	 -45.78		 38.19   	-167.85		
 62.32   	 -45.78		 37.52   	-172.94		
 62.14   	 -50.86		 36.83   	-167.85		
 61.93   	 -50.86		 36.15   	-172.94		
 61.73   	 -45.78		 35.46   	-167.85		
 61.55   	 -50.86		 34.79   	-172.94		
 61.34   	 -50.86		 34.10   	-172.94		
 61.14   	 -61.04		 33.41   	-183.11		
 60.89   	 -76.30		 32.68   	-198.37		
 60.59   	 -86.47		 31.88   	-203.46		
 60.24   	 -96.64		 31.07   	-213.63		
 59.86   	-106.82		 30.21   	-218.72		
 59.43   	-122.07		 29.34   	-213.63		
 58.94   	-137.33		 28.48   	-218.72		
 58.39   	-147.51		 27.61   	-218.72		
 57.80   	-142.42		 26.73   	-218.72		
 57.23   	-137.33		 25.86   	-233.98		
 56.68   	-127.16		 24.92   	-244.15		
 56.17   	-111.90		 23.95   	-249.24		
 55.73   	 -91.56		 22.95   	-259.41		
 55.36   	 -91.56		 21.91   	-259.41		
 54.99   	 -91.56		 20.87   	-259.41		
 54.63   	 -91.56		 19.84   	-259.41		
 54.26   	 -81.38		 18.80   	-259.41		
 53.94   	 -71.21		 17.76   	-259.41		
 53.65   	 -55.95		 16.72   	-264.50		
 53.43   	 -55.95		 15.67   	-264.50		
 53.20   	 -55.95		 14.61   	-264.50		
 52.98   	 -61.04		 13.55   	-264.50		
 52.74   	 -66.12		 12.49   	-254.32		
 52.47   	 -66.12		 11.48   	-249.24		
