SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
170.29   	297.55   	 53.16   	  45.78		 57.86   	 233.98		
137.94   	232.24   	 53.35   	  30.52		 58.80   	 228.89		
106.81   	168.15   	 53.47   	   5.09		 59.71   	 218.72		
 77.82   	108.95   	 53.49(S)	 -10.17		 60.59   	 218.72		
 51.57   	 57.07   	 53.45   	 -15.26		 61.46   	 213.63		
 29.30   	 12.51   	 53.39   	 -30.52		 62.32   	 208.54		
 11.29   	-25.02   	 53.27   	 -35.61		 63.15   	 213.63		
 -3.05   	-56.46   	 53.12   	 -40.69		 64.01   	 218.72		
-14.65   	-82.70   	 52.96   	 -45.78		 64.88   	 223.80		
-24.41   	-104.06   	 52.78   	 -50.86		 65.78   	 223.80		
-33.26   	-120.24   	 52.57   	 -55.95		 66.67   	 223.80		
-40.59   	-132.45   	 52.35   	 -71.21		 67.57   	 213.63		
-45.78   	-140.99   	 52.06   	 -76.30		 68.42   	 203.46		
-49.13   	-147.71   	 51.76   	 -96.64		 69.24   	 193.29		
-50.96   	-152.89   	 51.37   	-116.99		 70.01   	 188.20		
-52.49   	-157.17   	 50.91   	-147.51		 70.76   	 172.94		
-53.71   	-160.22   	 50.32   	-178.03		 71.45   	 152.59		
-54.63   	-162.05   	 49.60   	-228.89		 72.06   	 132.25		
-55.54   	-163.57   	 48.69   	-279.75		 72.59   	 106.82		
-55.85   	-164.49   	 47.57   	-330.62		 73.02   	  91.56		
-56.15   	-164.79   	 46.25   	-386.57		 73.39   	  86.47		
-55.85   	-164.18   	 44.70   	-447.61		 73.73   	  71.21		
-54.93   	-162.66   	 42.91   	-493.39		 74.02   	  50.86		
-52.80   	-160.22   	 40.94   	-528.99		 74.22   	  40.69		
-50.05   	-158.08   	 38.82   	-574.77		 74.38   	  35.61		
-47.30   	-157.17   	 36.52   	-610.37		 74.53   	  30.52		
-45.17   	-157.78   	 34.08   	-625.63		 74.65   	  20.35		
-43.33   	-159.00   	 31.58   	-615.46		 74.73   	  15.26		
-41.81   	-159.61   	 29.11   	-600.20		 74.79(S)	   0.00		
-39.67   	-158.08   	 26.71   	-569.68		 74.79   	 -10.17		
-36.93   	-155.03   	 24.44   	-539.16		 74.75   	 -35.61		
-34.48   	-151.37   	 22.28   	-503.56		 74.61   	 -40.69		
-32.65   	-148.62   	 20.26   	-462.87		 74.45   	 -55.95		
-31.43   	-146.79   	 18.41   	-417.09		 74.22   	 -71.21		
-30.82   	-145.57   	 16.74   	-376.40		 73.94   	 -81.38		
-30.52   	-144.65   	 15.24   	-340.79		 73.61   	-101.73		
-29.91   	-143.74   	 13.88   	-310.27		 73.20   	-122.07		
-27.47   	-141.91   	 12.63   	-284.84		 72.72   	-127.16		
-22.28   	-137.02   	 11.50   	-254.32		 72.21   	-137.33		
-12.51   	-126.95   	 10.48   	-239.06		 71.66   	-152.59		
  2.75   	-112.30   	  9.52   	-223.80		 71.05   	-172.94		
 21.67   	-94.30   	  8.63   	-218.72		 70.36   	-188.20		
 41.50   	-75.07   	  7.75   	-213.63		 69.60   	-172.94		
 58.29   	-54.02   	  6.90   	-203.46		 68.91   	-152.59		
 72.33   	-28.38   	  6.08   	-178.03		 68.30   	-147.51		
 86.06   	  3.66   	  5.37   	-162.77		 67.71   	-142.42		
104.06   	 40.28   	  4.72   	-142.42		 67.14   	-137.33		
128.78   	 74.16   	  4.15   	-127.16		 66.59   	-137.33		
158.08   	 97.35   	  3.64   	 -96.64		 66.04   	-137.33		
184.94   	105.90   	  3.26   	 -76.30		 65.49   	-142.42		
199.89   	 98.27   	  2.95   	 -50.86		 64.92   	-137.33		
196.53   	 77.51   	  2.75   	 -40.69		 64.37   	-127.16		
173.34   	 47.91   	  2.58   	 -25.43		 63.87   	-116.99		
135.80   	 11.90   	  2.48   	 -10.17		 63.40   	-116.99		
 93.38   	-27.16   	  2.44   	 -10.17		 62.93   	-111.90		
 55.24   	-65.61   	  2.40   	  -5.09		 62.48   	-101.73		
