SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
-183.11   	405.58   	  5.17   	  -5.09		
-158.69   	432.43   	  5.15   	  -5.09		
-131.53   	464.17   	  5.13   	  35.61		
-92.47   	511.17   	  5.27   	  35.61		
-83.62   	520.32   	  5.41   	  40.69		
-74.16   	527.65   	  5.57   	  55.95		
-58.29   	540.77   	  5.80   	  61.04		
-36.93   	560.00   	  6.04   	  71.21		
-17.09   	578.61   	  6.33   	  71.21		
 -5.19   	589.60   	  6.61   	  76.30		
 -1.83   	591.43   	  6.92   	  86.47		
 -4.58   	587.77   	  7.26   	  91.56		
 -9.46   	582.58   	  7.63   	  81.38		
-16.17   	574.95   	  7.96   	  66.12		
-28.69   	559.69   	  8.22   	  50.86		
-52.19   	530.40   	  8.42   	  45.78		
-89.42   	486.45   	  8.61   	  35.61		
-137.02   	434.57   	  8.75   	  25.43		
-186.16   	386.05   	  8.85   	  25.43		
-225.22   	353.39   	  8.95   	  35.61		
-246.28   	340.88   	  9.09   	  30.52		
-250.85   	343.02   	  9.22   	  30.52		
-248.11   	347.60   	  9.34   	  30.52		
-247.19   	345.76   	  9.46   	  20.35		
-251.16   	336.61   	  9.54   	  20.35		
-257.26   	325.93   	  9.62   	  10.17		
-261.23   	320.43   	  9.66   	   0.00		
-261.54   	320.74   	  9.66   	   0.00		
-261.54   	320.74   	  9.66   	 -10.17		
-261.23   	323.18   	  9.62   	   0.00		
-261.23   	323.18   	  9.62   	 -50.86		
-265.81   	317.38   	  9.42   	   0.00		
-265.81   	317.38   	  9.42   	-147.51		
-265.20   	319.21   	  8.83   	   0.00		
-265.20   	319.21   	  8.83   	-132.25		
-261.84   	327.76   	  8.30   	   0.00		
-261.84   	327.76   	  8.30   	 -35.61		
-279.54   	320.74   	  8.16   	   0.00		
-279.54   	320.74   	  8.16   	  -5.09		
-315.55   	307.62   	  8.14   	 -15.26		
-316.47   	315.25   	  8.08   	 -10.17		
-276.18   	349.43   	  8.04   	   0.00		
-162.66   	432.43   	  8.04   	  -5.09		
 50.66   	589.29   	  8.02   	   0.00		
370.48   	833.13   	  8.02(E)	  10.17		
767.21   	1146.24   	  8.06   	  35.61		
1169.74   	1470.64   	  8.20   	  50.86		
1477.05   	1721.80   	  8.40   	 132.25		
1449.28   	1731.87(R)	  8.93   	  71.21		
1065.98   	1463.01   	  9.22   	  66.12		
520.94   	1066.59   	  9.48   	  55.95		
-58.90   	617.07   	  9.70   	  45.78		
-536.50   	203.25   	  9.89   	  35.61		
-810.55   	-85.14   	 10.03   	  30.52		
-848.69   	-185.85   	 10.15   	   5.09		
-697.02   	-98.27   	 10.17   	   5.09		
-460.82   	105.29   	 10.19   	  20.35		
-256.65   	310.97   	 10.27   	  30.52		
-156.56   	428.16   	 10.40   	  45.78		
-159.61   	438.54   	 10.58   	  40.69		
-211.49   	387.27   	 10.74   	  50.86		
-254.21   	336.91   	 10.95   	 137.33		
-261.23   	321.66   	 11.50   	 284.84		
-241.70   	337.22   	 12.63   	 366.22		
-217.90   	361.33   	 14.10   	 391.66		
-203.55   	377.20   	 15.67   	 391.66		
-198.36   	382.69   	 17.23   	 406.92		
-195.62   	384.83   	 18.86   	 442.52		
-190.73   	389.40   	 20.63   	 473.04		
-183.72   	397.95   	 22.52   	 473.04		
-177.00   	407.10   	 24.41   	 488.30		
-171.51   	414.43   	 26.37   	 518.82		
-167.24   	418.40   	 28.44   	1078.33		
-157.47   	421.75   	 32.76   	 534.08		
-147.40   	428.47   	 34.89   	 503.56		
-134.89   	438.23   	 36.91   	   0.00		
-134.89   	438.23   	 36.91   	 940.99		
-115.36   	453.19   	 40.67   	   0.00		
-115.36   	453.19   	 40.67   	1124.11		
-102.84   	458.68   	 45.17   	   0.00		
-102.84   	458.68   	 45.17   	1302.13		
-85.14   	473.33   	 50.38   	   0.00		
-85.14   	473.33   	 50.38   	1164.80		
-65.00   	493.16   	 55.04   	   0.00		
-65.00   	493.16   	 55.04   	 910.47		
-45.47   	507.51   	 58.68   	   0.00		
-45.47   	507.51   	 58.68   	 457.78		
-23.80   	521.85   	 60.51   	  71.21		
-11.90   	531.31   	 60.79(S)	 -20.35		
  0.31   	542.30   	 60.71   	 -96.64		
 10.99   	552.98   	 60.33   	-152.59		
 18.31   	561.83   	 59.71   	-208.54		
 21.36   	565.80   	 58.88   	-244.15		
 21.97   	566.10   	 57.90   	-274.67		
 24.41   	566.41   	 56.81   	-300.10		
 31.43   	569.46   	 55.61   	-305.19		
 42.11   	577.39   	 54.38   	-310.27		
 54.02   	587.77   	 53.14   	-600.20		
 71.11   	603.03   	 50.74   	-269.58		
 76.29   	606.69   	 49.66   	-259.41		
 80.57   	608.52   	 48.63   	-233.98		
 83.92   	609.74   	 47.69   	-208.54		
 86.06   	610.35   	 46.86   	-167.85		
 86.98   	610.35   	 46.18   	-147.51		
 88.20   	610.35   	 45.59   	-127.16		
 90.33   	611.27   	 45.09   	-106.82		
 92.77   	613.71   	 44.66   	 -86.47		
 93.99   	616.15   	 44.31   	 -71.21		
 94.30   	617.98   	 44.03   	 -61.04		
 94.60   	619.81   	 43.78   	 -50.86		
 96.74   	622.25   	 43.58   	 -40.69		
101.01   	625.92   	 43.42   	 -35.61		
105.90   	630.80   	 43.28   	 -40.69		
108.95   	635.07   	 43.11   	 -40.69		
108.95   	636.90   	 42.95   	 -40.69		
104.37   	634.46   	 42.79   	 -45.78		
 96.44   	627.14   	 42.60   	 -61.04		
 84.84   	615.84   	 42.36   	 -76.30		
