SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
-278.93   	198.06   	  6.33   	 -15.26		
-297.55   	192.26   	  6.27   	   0.00		
-305.18   	192.87   	  6.27(E)	  20.35		
-277.10   	213.93   	  6.35   	  45.78		
-178.22   	282.59   	  6.53   	  71.21		
 24.11   	429.08   	  6.82   	  86.47		
340.27   	669.25   	  7.16   	 101.73		
740.97   	983.89   	  7.57   	 106.82		
1153.56   	1313.17   	  8.00   	 101.73		
1477.36   	1573.18   	  8.40   	 188.20		
1503.91   	1626.28(R)	  9.16   	  71.21		
1153.87   	1392.82   	  9.44   	  50.86		
632.93   	1030.58   	  9.64   	  15.26		
 55.85   	597.53   	  9.70   	  -5.09		
-448.00   	170.59   	  9.68   	 -20.35		
-770.87   	-159.00   	  9.60   	 -25.43		
-861.82   	-311.58   	  9.50   	 -45.78		
-745.54   	-263.37   	  9.32   	 -35.61		
-514.83   	-71.41   	  9.18   	 -10.17		
-289.92   	148.62   	  9.14   	   5.09		
-160.83   	290.83   	  9.16   	   0.00		
-142.82   	320.13   	  9.16   	   0.00		
-188.29   	276.79   	  9.16   	  30.52		
-232.54   	227.97   	  9.28   	 132.25		
-241.70   	213.32   	  9.81   	 254.32		
-221.56   	229.80   	 10.82   	 289.93		
-198.67   	250.85   	 11.98   	 335.71		
-190.12   	258.79   	 13.33   	 391.66		
-193.79   	254.82   	 14.89   	 401.83		
-196.53   	251.46   	 16.50   	 437.43		
-190.12   	257.26   	 18.25   	 473.04		
-176.39   	268.86   	 20.14   	 498.47		
-163.27   	278.32   	 22.14   	   0.00		
-163.27   	278.32   	 22.14   	1073.24		
-152.59   	278.93   	 26.43   	1068.15		
-146.18   	282.90   	 30.70   	   0.00		
-146.18   	282.90   	 30.70   	 966.43		
-129.39   	305.48   	 34.57   	   0.00		
-129.39   	305.48   	 34.57   	 834.18		
-117.80   	316.47   	 37.90   	   0.00		
-117.80   	316.47   	 37.90   	 762.97		
-107.73   	321.35   	 40.96   	   0.00		
-107.73   	321.35   	 40.96   	 661.24		
-92.77   	337.52   	 43.60   	 315.36		
-83.62   	347.90   	 44.86   	 371.31		
-73.24   	357.36   	 46.35   	 503.56		
-61.65   	365.60   	 48.36   	 600.20		
-51.27   	371.70   	 50.76   	 549.34		
-42.42   	376.89   	 52.96   	 473.04		
-35.10   	382.08   	 54.85   	 401.83		
-27.47   	388.49   	 56.46   	 279.75		
-18.01   	396.12   	 57.58   	 142.42		
 -7.02   	404.36   	 58.15   	  30.52		
  3.97   	411.38   	 58.27(S)	 -55.95		
 12.82   	415.34   	 58.05   	-137.33		
 18.62   	416.56   	 57.50   	-213.63		
 20.75   	415.65   	 56.64   	-264.50		
 20.14   	414.12   	 55.58   	-295.01		
 19.23   	414.12   	 54.40   	-315.36		
 21.06   	417.18   	 53.14   	-630.72		
 36.32   	430.30   	 50.62   	-315.36		
 47.00   	437.62   	 49.36   	-315.36		
 56.76   	442.81   	 48.10   	-305.19		
 63.78   	446.47   	 46.88   	-289.93		
 68.36   	449.52   	 45.72   	-279.75		
 70.50   	453.19   	 44.60   	-249.24		
 70.80   	456.85   	 43.60   	-223.80		
 70.80   	460.51   	 42.71   	-188.20		
 72.02   	464.17   	 41.95   	-157.68		
 75.38   	467.53   	 41.32   	-132.25		
 80.26   	469.36   	 40.79   	-122.07		
 85.45   	469.67   	 40.31   	-101.73		
 89.72   	468.75   	 39.90   	 -86.47		
 93.99   	468.44   	 39.55   	 -76.30		
 98.57   	470.89   	 39.25   	 -66.12		
103.15   	475.16   	 38.98   	 -55.95		
106.20   	479.74   	 38.76   	 -66.12		
105.90   	481.57   	 38.49   	 -66.12		
100.71   	477.91   	 38.23   	 -71.21		
 90.33   	467.53   	 37.94   	 -81.38		
 75.07   	451.05   	 37.62   	   0.00		
 75.07   	451.05   	 37.62   	-188.20		
 35.71   	411.07   	 36.87   	   0.00		
 35.71   	411.07   	 36.87   	-218.72		
 -0.31   	382.69   	 35.99   	   0.00		
 -0.31   	382.69   	 35.99   	-259.41		
-39.67   	357.97   	 34.95   	   0.00		
-39.67   	357.97   	 34.95   	-289.93		
-89.72   	316.77   	 33.79   	   0.00		
-89.72   	316.77   	 33.79   	-320.45		
-124.51   	281.98   	 32.51   	   0.00		
-124.51   	281.98   	 32.51   	-345.88		
-143.43   	262.45   	 31.13   	-178.03		
-154.11   	252.69   	 30.42   	-172.94		
-164.79   	243.53   	 29.73   	-167.85		
-172.73   	237.73   	 29.05   	-172.94		
-176.39   	236.21   	 28.36   	-193.29		
-176.39   	236.82   	 27.59   	-198.37		
-174.87   	236.51   	 26.80   	-223.80		
-173.95   	234.68   	 25.90   	-254.32		
-174.26   	231.02   	 24.88   	-274.67		
-175.17   	228.58   	 23.78   	-305.19		
-175.17   	229.19   	 22.56   	-315.36		
-172.42   	233.46   	 21.30   	-300.10		
-166.93   	240.17   	 20.10   	-361.14		
-160.83   	245.06   	 18.66   	-437.43		
-158.39   	244.75   	 16.91   	-417.09		
-161.13   	239.26   	 15.24   	-417.09		
-166.93   	232.85   	 13.57   	-437.43		
-171.81   	230.41   	 11.82   	-412.00		
-172.12   	234.07   	 10.17   	-381.48		
-168.46   	240.48   	  8.65   	-376.40		
-164.18   	244.75   	  7.14   	-340.79		
-162.96   	244.45   	  5.78   	-310.27		
-164.18   	240.78   	  4.54   	-279.75		
-166.02   	237.43   	  3.42   	-239.06		
-166.02   	237.73   	  2.46   	-208.54		
-164.18   	241.39   	  1.63   	-188.20		
-162.66   	245.36   	  0.87   	-162.77		
-164.18   	246.58   	  0.22   	-137.33		
-169.37   	243.84   	 -0.33   	-122.07		
-175.78   	238.65   	 -0.81   	-116.99		
-180.36   	234.07   	 -1.28   	-127.16		
-182.19   	230.71   	 -1.79   	-122.07		
-182.80   	228.88   	 -2.28   	 -86.47		
-184.63   	227.36   	 -2.62   	-106.82		
-188.90   	224.61   	 -3.05   	-142.42		
-193.79   	222.17   	 -3.62   	-111.90		
-196.53   	220.03   	 -4.07   	 -96.64		
-197.14   	218.20   	 -4.46   	 -81.38		
-197.14   	216.37   	 -4.78   	   0.00		
-197.14   	216.37   	 -4.78   	 -15.26		
-199.28   	215.15   	 -4.84(D)	   0.00		
-199.28   	215.15   	 -4.84   	 122.07		
-200.20   	220.64   	 -4.35   	   0.00		
-200.20   	220.64   	 -4.35   	 264.50		
-197.75   	218.81   	 -3.30   	   0.00		
-197.75   	218.81   	 -3.30   	 295.01		
-202.33   	206.60   	 -2.12   	   0.00		
-202.33   	206.60   	 -2.12   	 350.97		
-207.21   	203.25   	 -0.71   	   0.00		
-207.21   	203.25   	 -0.71   	 284.84		
-204.47   	210.88   	  0.43   	 162.77		
-203.55   	213.93   	  1.08   	 178.03		
-204.77   	213.93   	  1.79   	 147.51		
-207.21   	211.49   	  2.38   	 132.25		
-209.05   	208.13   	  2.91   	 122.07		
-208.44   	205.69   	  3.40   	  86.47		
-205.08   	205.99   	  3.74   	  40.69		
-200.50   	208.44   	  3.91   	  10.17		
-198.06   	210.57   	  3.95   	   0.00		
-199.89   	209.66   	  3.95   	 -10.17		
-205.08   	204.47   	  3.91   	  -5.09		
-211.79   	196.84   	  3.89   	   5.09		
-215.76   	191.35   	  3.91   	  20.35		
-214.23   	191.65   	  3.99   	  20.35		
-208.13   	197.75   	  4.07   	  25.43		
-199.89   	206.30   	  4.17   	  40.69		
-193.48   	213.01   	  4.33   	  50.86		
-189.51   	216.37   	  4.54   	  50.86		
-187.07   	217.29   	  4.74   	  50.86		
-184.02   	220.03   	  4.94   	  50.86		
-176.09   	229.19   	  5.15   	  50.86		
-160.52   	246.58   	  5.35   	  66.12		
-137.63   	270.39   	  5.62   	  76.30		
-111.69   	294.80   	  5.92   	  76.30		
-87.89   	314.03   	  6.23   	  71.21		
-71.11   	325.93   	  6.51   	  76.30		
-58.90   	334.78   	  6.82   	  76.30		
-44.56   	349.12   	  7.12   	  50.86		
-24.11   	372.31   	  7.32   	  35.61		
  1.53   	399.17   	  7.47   	  25.43		
 24.11   	421.14   	  7.57   	  15.26		
 37.23   	430.91   	  7.63   	   0.00		
 38.45   	429.38   	  7.63   	 -10.17		
 30.82   	422.36   	  7.59   	 -25.43		
 18.92   	413.21   	  7.49   	 -30.52		
  2.44   	400.09   	  7.37   	 -35.61		
-22.58   	376.89   	  7.22   	 -35.61		
-61.04   	338.13   	  7.08   	 -35.61		
-112.00   	287.48   	  6.94   	   0.00		
-112.00   	287.48   	  6.94   	 -55.95		
-218.81   	193.79   	  6.71   	   0.00		
-218.81   	193.79   	  6.71   	 -25.43		
-276.79   	162.05   	  6.61   	   0.00		
-276.79   	162.05   	  6.61   	  15.26		
-301.21   	155.03   	  6.67   	   0.00		
-301.21   	155.03   	  6.67   	  40.69		
-332.34   	134.28   	  6.84   	   0.00		
-332.34   	134.28   	  6.84   	  55.95		
-352.78   	126.04   	  7.06   	   0.00		
-352.78   	126.04   	  7.06   	  35.61		
-357.36   	133.36   	  7.20   	  15.26		
-358.89   	135.80   	  7.26   	   0.00		
-361.63   	136.41   	  7.26   	   0.00		
-365.60   	134.89   	  7.26   	  -5.09		
-371.09   	132.75   	  7.24   	 -20.35		
-377.20   	130.31   	  7.16   	 -30.52		
-382.69   	128.78   	  7.04   	 -15.26		
-387.57   	128.48   	  6.98   	  10.17		
-396.12   	126.65   	  7.02(E)	  40.69		
-412.90   	120.54   	  7.18   	  50.86		
-437.93   	110.47   	  7.39   	  71.21		
-462.04   	100.71   	  7.67   	  91.56		
-462.95   	104.98   	  8.04   	 101.73		
-404.97   	147.40   	  8.44   	 106.82		
-250.85   	258.18   	  8.87   	 101.73		
 21.06   	460.21   	  9.28   	 106.82		
398.56   	750.43   	  9.70   	  91.56		
823.36   	1084.59   	 10.07   	  66.12		
1200.87   	1385.19   	 10.34   	  86.47		
1421.51   	1589.66(R)	 10.68   	  15.26		
1166.08   	1436.16   	 10.74   	  -5.09		
709.53   	1142.27   	 10.72   	 -25.43		
148.62   	753.48   	 10.62   	 -45.78		
-396.42   	324.40   	 10.44   	 -45.78		
-813.90   	-68.97   	 10.25   	 -40.69		
-1029.66   	-339.66   	 10.09   	 -35.61		
-1027.53   	-421.14   	  9.95   	 -30.52		
-854.80   	-312.81   	  9.83   	 -30.52		
-610.35   	-94.30   	  9.70   	 -30.52		
-402.83   	115.36   	  9.58   	 -20.35		
-299.38   	226.75   	  9.50   	  -5.09		
-296.02   	231.02   	  9.48   	  40.69		
-339.97   	181.27   	  9.64   	 116.99		
-374.76   	140.69   	 10.11   	 183.11		
-375.37   	137.63   	 10.84   	 259.41		
-352.48   	161.13   	 11.88   	 366.22		
-329.90   	184.94   	 13.35   	 427.26		
-321.04   	194.09   	 15.06   	   0.00		
-321.04   	194.09   	 15.06   	 879.96		
-325.01   	186.77   	 18.58   	   0.00		
-325.01   	186.77   	 18.58   	1007.12		
-313.42   	195.62   	 22.60   	   0.00		
-313.42   	195.62   	 22.60   	1113.93		
-289.92   	216.67   	 27.06   	1134.28		
-275.88   	225.83   	 31.60   	   0.00		
-275.88   	225.83   	 31.60   	1007.12		
-264.59   	231.63   	 35.63   	   0.00		
-264.59   	231.63   	 35.63   	 940.99		
-241.70   	249.63   	 39.39   	 432.35		
-232.85   	257.87   	 41.12   	 406.92		
-228.88   	262.76   	 42.75   	 381.48		
-226.75   	266.11   	 44.27   	 371.31		
-222.17   	271.00   	 45.76   	 498.47		
-213.01   	278.93   	 47.75   	 661.24		
-201.42   	288.09   	 50.40   	 630.72		
-191.04   	296.02   	 52.92   	 569.68		
-183.41   	301.21   	 55.20   	 539.16		
-177.61   	305.18   	 57.35   	 447.61		
-170.29   	310.36   	 59.15   	 289.93		
-160.52   	317.99   	 60.30   	 152.59		
-149.54   	327.15   	 60.92   	  20.35		
-138.85   	336.30   	 61.00(S)	 -86.47		
-129.09   	344.54   	 60.65   	-178.03		
-119.63   	352.17   	 59.94   	-249.24		
-110.17   	358.89   	 58.94   	-300.10		
-101.93   	364.07   	 57.74   	-325.53		
-96.74   	367.43   	 56.44   	-340.79		
-93.69   	369.26   	 55.08   	-345.88		
-90.94   	371.40   	 53.69   	-666.32		
-77.82   	382.69   	 51.03   	-305.19		
-68.05   	390.63   	 49.81   	-289.93		
-58.59   	397.34   	 48.65   	-259.41		
-50.66   	401.31   	 47.61   	-233.98		
-44.56   	403.14   	 46.67   	-218.72		
-39.06   	404.36   	 45.80   	-188.20		
-35.40   	404.97   	 45.05   	-147.51		
-34.79   	405.27   	 44.46   	-106.82		
-37.23   	404.66   	 44.03   	 -71.21		
-41.20   	404.05   	 43.74   	 -50.86		
-43.64   	404.66   	 43.54   	 -35.61		
-42.11   	408.33   	 43.40   	 -15.26		
-36.32   	414.43   	 43.34   	   0.00		
-28.08   	421.14   	 43.34   	   5.09		
-20.75   	426.33   	 43.36   	  15.26		
-15.56   	429.08   	 43.42   	  10.17		
-13.12   	429.08   	 43.46   	   0.00		
-13.12   	429.08   	 43.46   	  -5.09		
-14.95   	425.11   	 43.44   	   0.00		
-14.95   	425.11   	 43.44   	 -66.12		
-27.16   	416.56   	 43.17   	   0.00		
-27.16   	416.56   	 43.17   	-127.16		
-57.37   	395.20   	 42.67   	   0.00		
-57.37   	395.20   	 42.67   	-193.29		
-93.38   	364.99   	 41.89   	   0.00		
-93.38   	364.99   	 41.89   	-249.24		
-124.51   	335.08   	 40.90   	   0.00		
-124.51   	335.08   	 40.90   	-300.10		
-156.25   	305.79   	 39.69   	-172.94		
-172.73   	291.75   	 39.00   	-167.85		
-188.60   	279.54   	 38.33   	-162.77		
-201.72   	268.86   	 37.68   	-167.85		
-212.40   	259.40   	 37.01   	-157.68		
-221.56   	249.94   	 36.38   	-152.59		
-228.88   	241.39   	 35.77   	-157.68		
-234.07   	235.60   	 35.14   	-147.51		
-236.82   	233.15   	 34.55   	-152.59		
-237.43   	233.76   	 33.94   	-162.77		
-237.12   	234.38   	 33.29   	-178.03		
-239.26   	231.32   	 32.57   	-183.11		
-242.92   	225.52   	 31.84   	-203.46		
-245.67   	220.95   	 31.03   	-244.15		
-244.75   	221.56   	 30.05   	-274.67		
-239.56   	227.36   	 28.95   	-264.50		
-233.15   	233.76   	 27.89   	-289.93		
-228.27   	236.82   	 26.73   	-386.57		
-226.75   	234.99   	 25.19   	-406.92		
-227.36   	231.02   	 23.56   	-371.31		
-227.97   	228.27   	 22.08   	-396.74		
-227.97   	228.58   	 20.49   	-427.26		
-226.14   	231.63   	 18.78   	-401.83		
-222.47   	235.90   	 17.17   	-386.57		
-216.98   	240.17   	 15.63   	-376.40		
-210.57   	244.14   	 14.12   	-356.05		
-204.77   	246.58   	 12.70   	-335.71		
-202.33   	245.67   	 11.35   	-315.36		
-203.55   	242.00   	 10.09   	-284.84		
-206.30   	237.43   	  8.95   	-259.41		
-209.35   	233.76   	  7.91   	-228.89		
-210.57   	232.54   	  7.00   	-208.54		
-210.27   	232.85   	  6.16   	-188.20		
-209.66   	233.46   	  5.41   	-167.85		
-209.05   	233.15   	  4.74   	-152.59		
-208.44   	232.54   	  4.13   	-142.42		
-207.82   	231.93   	  3.56   	-122.07		
-207.52   	232.85   	  3.07   	-101.73		
-207.52   	234.07   	  2.67   	   0.00		
-207.52   	234.07   	  2.67   	-162.77		
-210.27   	231.93   	  2.01   	   0.00		
-210.27   	231.93   	  2.01   	-157.68		
-214.23   	223.69   	  1.38   	   0.00		
-214.23   	223.69   	  1.38   	-213.63		
-215.15   	217.29   	  0.53   	   0.00		
-215.15   	217.29   	  0.53   	 -61.04		
-217.90   	213.62   	  0.28(D)	   0.00		
-217.90   	213.62   	  0.28   	  45.78		
-220.64   	212.10   	  0.47   	   0.00		
-220.64   	212.10   	  0.47   	 213.63		
-220.34   	210.27   	  1.32   	 127.16		
-220.34   	208.74   	  1.83   	 122.07		
-220.64   	207.82   	  2.32   	 101.73		
-219.42   	209.35   	  2.73   	  96.64		
-216.37   	212.40   	  3.11   	  76.30		
-212.40   	215.45   	  3.42   	  61.04		
-209.66   	215.76   	  3.66   	  50.86		
-209.66   	212.40   	  3.87   	  45.78		
-212.40   	205.69   	  4.05   	  45.78		
-216.06   	199.28   	  4.23   	  45.78		
-218.20   	195.92   	  4.42   	  35.61		
-217.59   	197.14   	  4.56   	  45.78		
-215.15   	200.81   	  4.74   	  50.86		
-213.32   	204.16   	  4.94   	  50.86		
-213.62   	204.77   	  5.15   	  45.78		
-216.06   	203.25   	  5.33   	  40.69		
-218.51   	201.42   	  5.49   	  45.78		
-218.51   	201.11   	  5.68   	  35.61		
-216.37   	201.42   	  5.82   	  30.52		
-212.71   	201.11   	  5.94   	  25.43		
-209.96   	199.28   	  6.04   	  35.61		
-208.44   	196.84   	  6.19   	  40.69		
-207.82   	195.31   	  6.35   	  45.78		
-207.21   	195.92   	  6.53   	  45.78		
-206.30   	198.36   	  6.71   	  50.86		
-203.55   	202.94   	  6.92   	  61.04		
-198.06   	209.66   	  7.16   	  55.95		
-190.73   	216.37   	  7.39   	  55.95		
-182.19   	222.17   	  7.61   	  45.78		
-172.12   	228.27   	  7.79   	  40.69		
-158.39   	238.34   	  7.96   	  35.61		
-138.55   	256.04   	  8.10   	  20.35		
-111.69   	282.90   	  8.18   	  10.17		
-82.40   	313.11   	  8.22   	  10.17		
-57.98   	337.52   	  8.26   	  -5.09		
-41.20   	353.09   	  8.24   	 -20.35		
-29.30   	363.16   	  8.16   	 -25.43		
-15.26   	375.37   	  8.06   	 -25.43		
  4.27   	393.37   	  7.96   	   0.00		
  4.27   	393.37   	  7.96   	   0.00		
 44.25   	429.99   	  7.96   	   0.00		
 44.25   	429.99   	  7.96   	  15.26		
 49.13   	428.16   	  8.02   	   0.00		
 49.13   	428.16   	  8.02   	  35.61		
 22.58   	397.03   	  8.16   	   0.00		
 22.58   	397.03   	  8.16   	  25.43		
-22.28   	350.34   	  8.26   	   0.00		
-22.28   	350.34   	  8.26   	  35.61		
-102.23   	269.78   	  8.40   	   0.00		
-102.23   	269.78   	  8.40   	  30.52		
-189.21   	189.51   	  8.52   	  15.26		
-212.10   	171.20   	  8.59   	  25.43		
-218.51   	168.15   	  8.69   	  15.26		
-216.06   	171.20   	  8.75   	  15.26		
-214.54   	171.51   	  8.81   	  20.35		
-219.12   	165.10   	  8.89   	  20.35		
-228.27   	155.94   	  8.97   	  15.26		
-236.21   	148.93   	  9.03   	   5.09		
-239.87   	146.18   	  9.05   	   0.00		
-239.26   	145.87   	  9.05   	  -5.09		
-236.82   	144.96   	  9.03   	 -15.26		
-234.07   	144.04   	  8.97   	 -30.52		
-231.02   	144.96   	  8.85   	 -40.69		
-227.97   	148.32   	  8.69   	 -50.86		
-227.05   	151.98   	  8.48   	 -50.86		
-228.58   	152.89   	  8.28   	 -20.35		
-233.15   	149.23   	  8.20   	  15.26		
-242.00   	142.52   	  8.26   	  15.26		
-256.65   	134.89   	  8.32   	   5.09		
-275.88   	127.26   	  8.34   	  10.17		
-293.58   	122.68   	  8.38   	  -5.09		
-291.14   	129.70   	  8.36   	 -10.17		
-235.90   	169.68   	  8.32   	  10.17		
-93.38   	271.30   	  8.36(E)	  40.69		
157.78   	457.46   	  8.52   	  55.95		
511.17   	730.59   	  8.75   	  66.12		
923.16   	1058.65   	  9.01   	  86.47		
1314.70   	1374.51   	  9.36   	 208.54		
1641.85   	1651.31(R)	 10.19   	  91.56		
1439.21   	1515.81   	 10.56   	  86.47		
1002.50   	1206.97   	 10.91   	  66.12		
426.33   	781.56   	 11.17   	  50.86		
-151.06   	321.35   	 11.37   	  30.52		
-593.26   	-78.13   	 11.50   	   0.00		
-813.29   	-328.98   	 11.50   	 -20.35		
-799.87   	-382.08   	 11.41   	 -40.69		
-618.29   	-257.87   	 11.25   	 -30.52		
-381.47   	-46.08   	 11.13   	   0.00		
-381.47   	-46.08   	 11.13   	 -35.61		
-125.43   	225.52   	 10.99   	   0.00		
-125.43   	225.52   	 10.99   	 -30.52		
-190.12   	167.24   	 10.86   	   0.00		
-190.12   	167.24   	 10.86   	 244.15		
-208.74   	139.77   	 11.84   	   0.00		
-208.74   	139.77   	 11.84   	 717.19		
-157.78   	189.51   	 14.71   	   0.00		
-157.78   	189.51   	 14.71   	 839.26		
-150.76   	192.87   	 18.07   	   0.00		
-150.76   	192.87   	 18.07   	 940.99		
-144.96   	186.16   	 21.83   	 483.21		
-134.89   	192.26   	 23.76   	 493.39		
-124.21   	201.42   	 25.74   	 513.73		
-116.27   	210.27   	 27.79   	1057.98		
-105.59   	222.17   	 32.02   	 498.47		
-97.66   	228.58   	 34.02   	 478.13		
-86.98   	236.21   	 35.93   	 457.78		
-75.68   	244.45   	 37.76   	 442.52		
-66.83   	250.55   	 39.53   	 427.26		
-60.42   	254.52   	 41.24   	 422.18		
-55.24   	258.18   	 42.93   	 432.35		
-48.22   	263.98   	 44.66   	 539.16		
-38.45   	272.22   	 46.82   	 661.24		
-27.16   	281.68   	 49.46   	   0.00		
-27.16   	281.68   	 49.46   	1230.92		
 -7.63   	297.85   	 54.38   	   0.00		
 -7.63   	297.85   	 54.38   	1063.07		
  7.93   	310.97   	 58.64   	   0.00		
  7.93   	310.97   	 58.64   	 640.89		
 29.91   	326.84   	 61.20   	   0.00		
 29.91   	326.84   	 61.20   	 167.85		
 57.37   	343.32   	 61.87(S)	   0.00		
 57.37   	343.32   	 61.87   	-188.20		
 78.13   	355.22   	 61.12   	   0.00		
 78.13   	355.22   	 61.12   	-437.43		
 86.67   	359.80   	 59.37   	   0.00		
 86.67   	359.80   	 59.37   	-595.11		
 97.05   	368.65   	 56.99   	   0.00		
 97.05   	368.65   	 56.99   	-981.68		
127.26   	394.29   	 53.06   	   0.00		
127.26   	394.29   	 53.06   	-630.72		
133.36   	396.42   	 50.54   	   0.00		
133.36   	396.42   	 50.54   	-534.08		
138.24   	400.39   	 48.40   	   0.00		
138.24   	400.39   	 48.40   	-417.09		
142.52   	407.10   	 46.73   	   0.00		
142.52   	407.10   	 46.73   	-269.58		
140.99   	407.71   	 45.66   	   0.00		
140.99   	407.71   	 45.66   	-178.03		
148.93   	411.68   	 44.94   	   0.00		
148.93   	411.68   	 44.94   	-111.90		
159.00   	416.87   	 44.50   	   0.00		
159.00   	416.87   	 44.50   	 -96.64		
162.96   	421.14   	 44.11   	   0.00		
162.96   	421.14   	 44.11   	 -71.21		
169.37   	426.64   	 43.82   	 -35.61		
168.76   	424.80   	 43.68   	 -40.69		
162.05   	417.18   	 43.52   	 -50.86		
150.76   	406.49   	 43.32   	 -61.04		
138.85   	396.12   	 43.07   	 -71.21		
127.26   	387.88   	 42.79   	 -86.47		
114.44   	378.11   	 42.44   	-106.82		
 97.66   	363.46   	 42.01   	-122.07		
 75.99   	342.71   	 41.53   	-137.33		
 53.41   	319.21   	 40.98   	-152.59		
 33.57   	298.46   	 40.37   	-167.85		
 18.62   	283.20   	 39.69   	-178.03		
  5.49   	271.91   	 38.98   	   0.00		
  5.49   	271.91   	 38.98   	-371.31		
-25.63   	246.58   	 37.50   	   0.00		
-25.63   	246.58   	 37.50   	-386.57		
-56.76   	220.03   	 35.95   	   0.00		
-56.76   	220.03   	 35.95   	-350.97		
-77.21   	204.77   	 34.55   	   0.00		
-77.21   	204.77   	 34.55   	-350.97		
-99.79   	188.60   	 33.14   	   0.00		
-99.79   	188.60   	 33.14   	-350.97		
-112.61   	174.87   	 31.74   	   0.00		
-112.61   	174.87   	 31.74   	-422.18		
-101.93   	177.61   	 30.05   	   0.00		
-101.93   	177.61   	 30.05   	-503.56		
-92.77   	180.36   	 28.04   	-295.01		
-93.38   	178.83   	 26.86   	-335.71		
-94.91   	177.92   	 25.51   	-361.14		
-95.21   	179.14   	 24.07   	-345.88		
-93.69   	180.97   	 22.69   	-366.22		
-91.55   	182.80   	 21.22   	-442.52		
-89.72   	183.72   	 19.45   	-447.61		
-87.28   	184.33   	 17.66   	-432.35		
-83.92   	186.16   	 15.93   	-447.61		
-81.18   	188.29   	 14.14   	-452.69		
-80.26   	188.60   	 12.33   	-412.00		
-81.79   	187.38   	 10.68   	-381.48		
-85.14   	184.94   	  9.16   	-361.14		
-89.11   	183.41   	  7.71   	-330.62		
-92.77   	183.41   	  6.39   	-295.01		
-95.83   	183.72   	  5.21   	-269.58		
-98.27   	182.80   	  4.13   	-233.98		
-100.71   	180.05   	  3.19   	-203.46		
-102.84   	177.00   	  2.38   	-183.11		
-105.29   	174.56   	  1.65   	-162.77		
-108.03   	173.03   	  1.00   	-127.16		
-110.47   	172.42   	  0.49   	-106.82		
-111.08   	172.73   	  0.06   	-116.99		
-110.17   	173.03   	 -0.41   	-101.73		
-108.95   	171.81   	 -0.81   	 -61.04		
-109.56   	168.76   	 -1.06   	 -30.52		
-113.22   	163.88   	 -1.18   	 -15.26		
-118.71   	158.69   	 -1.24(D)	  15.26		
-124.21   	154.42   	 -1.18   	  35.61		
-127.87   	151.98   	 -1.04   	  55.95		
-130.62   	149.84   	 -0.81   	  66.12		
-133.06   	147.09   	 -0.55   	  81.38		
-134.89   	144.65   	 -0.22   	  96.64		
-135.19   	142.82   	  0.16   	 116.99		
-134.28   	142.82   	  0.63   	 132.25		
-133.67   	144.65   	  1.16   	 137.33		
-133.97   	146.79   	  1.71   	 137.33		
-135.19   	148.01   	  2.26   	 122.07		
-135.80   	148.62   	  2.75   	 111.90		
-134.58   	148.01   	  3.19   	  96.64		
-132.75   	146.48   	  3.58   	  86.47		
-131.23   	145.26   	  3.93   	  86.47		
-131.84   	144.35   	  4.27   	  81.38		
-133.67   	144.04   	  4.60   	  61.04		
-134.58   	143.43   	  4.84   	  55.95		
-133.97   	142.82   	  5.07   	  45.78		
-132.14   	140.99   	  5.25   	  30.52		
-131.53   	138.55   	  5.37   	  10.17		
-133.06   	136.72   	  5.41   	 -10.17		
-134.89   	136.41   	  5.37   	 -30.52		
-135.19   	137.02   	  5.25   	 -30.52		
-132.45   	137.33   	  5.13   	 -20.35		
-128.48   	135.80   	  5.05   	 -10.17		
-126.34   	132.14   	  5.01   	   5.09		
-128.48   	127.56   	  5.03   	  20.35		
-134.28   	123.60   	  5.11   	  30.52		
-139.77   	122.68   	  5.23   	  40.69		
-141.91   	124.51   	  5.39   	  35.61		
-139.47   	128.17   	  5.53   	  40.69		
-134.89   	131.84   	  5.70   	  35.61		
-131.23   	133.36   	  5.84   	  45.78		
-131.84   	131.23   	  6.02   	  50.86		
-136.41   	126.34   	  6.23   	  50.86		
-141.91   	121.77   	  6.43   	  50.86		
-144.65   	120.24   	  6.63   	  55.95		
-142.82   	123.29   	  6.86   	  50.86		
-136.72   	130.00   	  7.06   	  50.86		
-129.39   	137.94   	  7.26   	  40.69		
-124.21   	144.04   	  7.43   	  40.69		
-121.15   	148.01   	  7.59   	  30.52		
-118.10   	152.59   	  7.71   	  25.43		
-110.78   	161.74   	  7.81   	  20.35		
-95.83   	178.83   	  7.89   	  15.26		
-73.85   	203.86   	  7.96   	   0.00		
-48.22   	232.85   	  7.96   	 -10.17		
-24.41   	259.09   	  7.91   	 -10.17		
 -6.10   	278.02   	  7.87   	 -10.17		
  6.71   	290.22   	  7.83   	   0.00		
 18.31   	300.29   	  7.83   	   5.09		
 34.48   	314.64   	  7.85   	   0.00		
 56.15   	334.17   	  7.85   	  10.17		
 78.74   	354.00   	  7.89   	  15.26		
 95.83   	368.35   	  7.96   	  10.17		
104.06   	373.54   	  8.00   	  10.17		
105.29   	371.70   	  8.04   	  10.17		
101.93   	365.60   	  8.08   	  10.17		
