SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
  5.88   	 -10.17		 61.87   	 -20.35		
  5.84   	 -15.26		 61.79   	 -20.35		
  5.78   	 -20.35		 61.71   	 -20.35		
  5.70   	 -30.52		 61.63   	 -20.35		
  5.57   	 -30.52		 61.55   	 -20.35		
  5.45   	 -25.43		 61.46   	 -20.35		
  5.35   	 -25.43		 61.38   	 -20.35		
  5.25   	 -20.35		 61.30   	 -15.26		
  5.17   	 -10.17		 61.24   	 -15.26		
  5.13   	  -5.09		 61.18   	 -15.26		
  5.11   	  10.17		 61.12   	 -15.26		
  5.15   	  15.26		 61.06   	 -15.26		
  5.21   	  20.35		 61.00   	 -10.17		
  5.29   	  25.43		 60.96   	 -15.26		
  5.39   	  25.43		 60.89   	 -20.35		
  5.49   	  30.52		 60.81   	 -15.26		
  5.62   	  35.61		 60.75   	 -20.35		
  5.76   	  25.43		 60.67   	 -25.43		
  5.86   	  30.52		 60.57   	 -25.43		
  5.98   	  25.43		 60.47   	 -25.43		
  6.08   	  20.35		 60.37   	 -30.52		
  6.16   	  20.35		 60.24   	 -25.43		
  6.25   	  15.26		 60.14   	 -30.52		
  6.31   	  10.17		 60.02   	 -25.43		
  6.35   	   5.09		 59.92   	 -25.43		Beg---------
  6.37   	   0.00		 59.82   	 -25.43		
  6.37   	  -5.09		 59.71   	 -20.35		
  6.35   	 -10.17		 59.63   	 -20.35		
  6.31   	  -5.09		 59.55   	 -25.43		
  6.29   	 -10.17		 59.45   	 -20.35		
  6.25   	 -10.17		 59.37   	 -20.35		
  6.21   	  -5.09		 59.29   	 -25.43		
  6.19   	   0.00		 59.19   	 -20.35		
  6.19   	  10.17		 59.10   	 -25.43		
  6.23   	  15.26		 59.00   	 -25.43		
  6.29   	  25.43		 58.90   	 -25.43		
  6.39   	  35.61		 58.80   	 -20.35		
  6.53   	  35.61		 58.72   	 -20.35		
  6.67   	  35.61		 58.64   	 -25.43		
  6.82   	  35.61		 58.53   	 -20.35		
  6.96   	  30.52		 58.45   	 -20.35		
  7.08   	  25.43		 58.37   	 -25.43		
  7.18   	  20.35		 58.27   	 -25.43		
  7.26   	  10.17		 58.17   	 -25.43		
  7.30   	   0.00		 58.07   	 -25.43		
  7.30   	  -5.09		 57.97   	 -25.43		
  7.28   	  -5.09		 57.86   	 -30.52		
  7.26   	 -10.17		 57.74   	 -30.52		
  7.22   	 -10.17		 57.62   	 -30.52		
  7.18   	  -5.09		 57.50   	 -25.43		
  7.16   	  -5.09		 57.40   	 -25.43		
  7.14   	   5.09		 57.29   	 -25.43		
  7.16   	   5.09		 57.19   	 -25.43		
  7.18   	  10.17		 57.09   	 -20.35		
  7.22   	   0.00		 57.01   	 -25.43		
  7.22   	   5.09		 56.91   	 -20.35		
  7.24   	   0.00		 56.83   	 -20.35		
  7.24   	  -5.09		 56.74   	 -25.43		
  7.22   	  -5.09		 56.64   	 -25.43		
  7.20   	 -10.17		 56.54   	 -25.43		
  7.16   	  -5.09		 56.44   	 -25.43		
  7.14   	  -5.09		 56.34   	 -30.52		
  7.12   	   0.00		 56.22   	 -25.43		
  7.12   	   0.00		 56.11   	 -25.43		
  7.12   	   0.00		 56.01   	 -25.43		
  7.12   	   0.00		 55.91   	 -25.43		
  7.12   	   0.00		 55.81   	 -25.43		
  7.12(E)	   5.09		 55.71   	 -25.43		
  7.14   	   5.09		 55.61   	 -20.35		
  7.16   	  10.17		 55.52   	 -20.35		
  7.20   	   5.09		 55.44   	 -25.43		
  7.22   	   5.09		 55.34   	 -25.43		
  7.24   	   5.09		 55.24   	 -25.43		
  7.26   	  10.17		 55.14   	 -25.43		
  7.30   	   5.09		 55.04   	 -30.52		
  7.32   	  10.17		 54.91   	 -25.43		
  7.37   	  10.17		 54.81   	 -25.43		
  7.41   	  10.17		 54.71   	 -25.43		
  7.45   	  10.17		 54.61   	 -25.43		
  7.49   	  10.17		 54.51   	 -30.52		
  7.53   	  10.17		 54.38   	 -25.43		
  7.57   	  20.35		 54.28   	 -20.35		
  7.65   	  25.43		 54.20   	 -25.43		
  7.75   	  40.69		 54.10   	 -25.43		
  7.91   	  55.95		 54.00   	 -25.43		
  8.14   	  86.47		 53.90   	 -20.35		
  8.48   	 122.07		 53.81   	 -25.43		
  8.97   	 142.42		 53.71   	 -20.35		
  9.54   	 157.68		 53.63   	 -20.35		
 10.17   	 167.85		 53.55   	 -15.26		
 10.84   	 188.20		 53.49   	 -20.35		
 11.60   	 213.63		 53.41   	 -15.26		
 12.45   	 233.98		 53.35   	 -20.35		
 13.39   	 244.15		 53.27   	 -15.26		
 14.36   	 249.24		 53.20   	 -20.35		
 15.36   	 264.50		 53.12   	 -15.26		
 16.42   	 361.14		 53.06   	 -20.35		
 17.86   	 401.83		 52.98   	 -25.43		
 19.47   	 447.61		 52.88   	 -15.26		
 21.26   	 478.13		 52.82   	 -20.35		
 23.17   	 493.39		 52.74   	 -20.35		
 25.15   	 488.30		 52.65   	 -10.17		
 27.10   	 467.95		 52.61   	 -15.26		
 28.97   	 447.61		 52.55   	 -10.17		
 30.76   	 417.09		 52.51   	 -10.17		
 32.43   	 386.57		 52.47   	 -10.17		
 33.98   	 345.88		 52.43   	 -10.17		
 35.36   	 289.93		 52.39   	  -5.09		
 36.52   	 244.15		 52.37   	 -10.17		
 37.50   	 188.20		 52.33   	 -10.17		
 38.25   	 137.33		 52.29   	 -10.17		
 38.80   	 101.73		 52.25   	 -15.26		
 39.21   	  71.21		 52.19   	 -15.26		
 39.49   	  45.78		 52.13   	 -20.35		
 39.67   	  30.52		 52.04   	 -20.35		
 39.80   	  25.43		 51.96   	 -20.35		
 39.90   	  25.43		 51.88   	 -25.43		
 40.00   	  30.52		 51.78   	 -30.52		
 40.12   	  40.69		 51.66   	 -30.52		
 40.28   	  50.86		 51.54   	 -30.52		
 40.49   	  66.12		 51.41   	 -35.61		
 40.75   	 101.73		 51.27   	 -35.61		
 41.16   	 111.90		 51.13   	 -35.61		
 41.61   	 116.99		 50.99   	 -35.61		
 42.08   	 116.99		 50.84   	 -30.52		
 42.54   	 116.99		 50.72   	 -25.43		
 43.01   	 111.90		 50.62   	 -25.43		
 43.46   	 106.82		 50.52   	 -20.35		
 43.89   	 101.73		 50.44   	 -15.26		
 44.29   	  91.56		 50.38   	  -5.09		
 44.66   	  81.38		 50.36(D)	   5.09		
 44.98   	  71.21		 50.38   	  20.35		
 45.27   	  66.12		 50.46   	  40.69		
 45.53   	  55.95		 50.62   	  81.38		
 45.76   	  50.86		 50.95   	 127.16		
 45.96   	  55.95		 51.45   	 183.11		
 46.18   	  55.95		 52.19   	 259.41		
 46.41   	  61.04		 53.22   	 320.45		
 46.65   	  71.21		 54.51   	 386.57		
 46.94   	  86.47		 56.05   	 432.35		
 47.28   	  96.64		 57.78   	 462.87		
 47.67   	 111.90		 59.63   	 467.95		
 48.12   	 127.16		 61.51   	 457.78		
 48.63   	 127.16		 63.34   	 427.26		
 49.14   	 137.33		 65.05   	 381.48		
 49.68   	 137.33		 66.57   	 320.45		
 50.23   	 142.42		 67.85   	 233.98		
 50.80   	 137.33		 68.79   	 183.11		
 51.35   	 132.25		 69.52   	 137.33		
 51.88   	 111.90		 70.07   	 106.82		
 52.33   	 106.82		 70.50   	 101.73		
 52.76   	  91.56		 70.91   	 101.73		
 53.12   	  81.38		 71.31   	 116.99		
 53.45   	  71.21		 71.78   	 142.42		
 53.73   	  61.04		 72.35   	 178.03		
 53.98   	  55.95		 73.06   	 203.46		
 54.20   	  50.86		 73.88   	 239.06		
 54.40   	  40.69		 74.83   	 259.41		
 54.57   	  40.69		 75.87   	 279.75		
 54.73   	  35.61		 76.99   	 279.75		
 54.87   	  35.61		 78.11   	 284.84		
 55.02   	  30.52		 79.25   	 274.67		
 55.14   	  35.61		 80.35   	 259.41		
 55.28   	  30.52		 81.38   	 239.06		
 55.40   	  30.52		 82.34   	 218.72		
 55.52   	  20.35		 83.21   	 203.46		
 55.61   	  20.35		 84.03   	 183.11		
 55.69   	  15.26		 84.76   	 167.85		
 55.75   	  10.17		 85.43   	 157.68		
 55.79   	   5.09		 86.06   	 147.51		
 55.81   	   5.09		 86.65   	 142.42		
 55.83(S)	  -5.09		 87.22   	 132.25		
 55.81   	 -10.17		 87.75   	 127.16		
 55.77   	 -10.17		 88.26   	 116.99		
 55.73   	 -25.43		 88.73   	 111.90		
 55.63   	 -30.52		 89.18   	  96.64		
 55.50   	 -40.69		 89.56   	  81.38		
 55.34   	 -61.04		 89.89   	  66.12		
 55.10   	 -76.30		 90.15   	  45.78		
 54.79   	-106.82		 90.34   	  25.43		
 54.36   	-137.33		 90.44(S)	   0.00		
 53.81   	-172.94		 90.44   	 -15.26		
 53.12   	-223.80		 90.38   	 -35.61		
 52.23   	-269.58		 90.23   	 -55.95		
 51.15   	-310.27		 90.01   	 -66.12		
 49.91   	-366.22		 89.75   	 -76.30		
 48.44   	-437.43		 89.44   	 -86.47		
 46.69   	-483.21		 89.09   	 -91.56		
 44.76   	-508.65		 88.73   	 -91.56		
 42.73   	-539.16		 88.36   	 -91.56		
 40.57   	-579.86		 88.00   	 -86.47		
 38.25   	-574.77		 87.65   	 -86.47		
 35.95   	-559.51		 87.30   	 -81.38		
 33.71   	-539.16		 86.98   	 -76.30		
 31.56   	-518.82		 86.67   	 -71.21		
 29.48   	-493.39		 86.39   	 -71.21		
 27.51   	-462.87		 86.10   	 -76.30		
 25.66   	-432.35		 85.80   	 -71.21		
 23.93   	-406.92		 85.51   	 -81.38		
 22.30   	-381.48		 85.19   	 -86.47		
 20.77   	-350.97		 84.84   	 -91.56		
 19.37   	-330.62		 84.48   	-101.73		
 18.05   	-305.19		 84.07   	-106.82		
 16.83   	-284.84		 83.64   	-122.07		
 15.69   	-269.58		 83.15   	-122.07		
 14.61   	-249.24		 82.66   	-132.25		
 13.61   	-239.06		 82.14   	-142.42		
 12.66   	-223.80		 81.57   	-142.42		
 11.76   	-213.63		 81.00   	-152.59		
 10.91   	-203.46		 80.39   	-157.68		
 10.09   	-198.37		 79.76   	-162.77		
  9.30   	-178.03		 79.10   	-162.77		
  8.59   	-172.94		 78.45   	-162.77		
  7.89   	-162.77		 77.80   	-162.77		
  7.24   	-152.59		 77.15   	-157.68		
  6.63   	-142.42		 76.52   	-152.59		
  6.06   	-127.16		 75.91   	-147.51		
  5.55   	-122.07		 75.32   	-132.25		
  5.07   	-106.82		 74.79   	-116.99		
  4.64   	 -96.64		 74.32   	-111.90		
  4.25   	 -81.38		 73.88   	 -91.56		
  3.93   	 -71.21		 73.51   	 -86.47		
  3.64   	 -55.95		 73.16   	 -76.30		
  3.42   	 -55.95		 72.86   	 -71.21		
  3.19   	 -45.78		 72.57   	 -71.21		
  3.01   	 -40.69		 72.29   	 -66.12		
  2.85   	 -35.61		 72.02   	 -76.30		
  2.71   	 -25.43		 71.72   	 -71.21		
  2.60   	 -15.26		 71.43   	 -81.38		
  2.54   	 -15.26		 71.11   	 -81.38		
  2.48(D)	   0.00		 70.78   	 -81.38		
  2.48   	   5.09		 70.46   	 -86.47		
  2.50   	  15.26		 70.11   	 -86.47		
  2.56   	  25.43		 69.77   	 -81.38		
  2.67   	  30.52		 69.44   	 -81.38		
  2.79   	  35.61		 69.11   	 -81.38		
  2.93   	  40.69		 68.79   	 -71.21		
  3.09   	  40.69		 68.50   	 -71.21		
  3.26   	  35.61		 68.22   	 -66.12		
  3.40   	  35.61		 67.95   	 -61.04		
  3.54   	  35.61		 67.71   	 -55.95		
  3.68   	  25.43		 67.49   	 -55.95		
  3.78   	  20.35		 67.26   	 -45.78		
  3.87   	  15.26		 67.08   	 -50.86		
  3.93   	  10.17		 66.88   	 -45.78		
  3.97   	  10.17		 66.69   	 -40.69		
  4.01   	   5.09		 66.53   	 -45.78		
  4.03   	   5.09		 66.35   	 -45.78		
  4.05   	   5.09		 66.16   	 -40.69		
  4.07   	  10.17		 66.00   	 -40.69		
  4.11   	  10.17		 65.84   	 -40.69		
  4.15   	  20.35		 65.68   	 -35.61		
  4.23   	  20.35		 65.53   	 -40.69		
  4.31   	  20.35		 65.37   	 -35.61		
  4.39   	  25.43		 65.23   	 -35.61		
  4.50   	  20.35		 65.09   	 -30.52		
