SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
 -5.19   	 28.38   	 75.06   	 -66.12		 24.25   	 503.56		
 -0.92   	 30.52   	 74.79   	 -66.12		 26.27   	 478.13		
  4.88   	 34.18   	 74.53   	 -61.04		 28.18   	 437.43		
 11.60   	 40.59   	 74.28   	 -61.04		 29.93   	 315.36		
 18.31   	 50.05   	 74.04   	 -55.95		 31.19   	 218.72		
 25.02   	 61.65   	 73.81   	 -55.95		 32.06   	 137.33		
 32.35   	 75.07   	 73.59   	 -55.95		 32.61   	  35.61		
 40.28   	 89.11   	 73.37   	 -45.78		 32.76   	 -45.78		
 49.44   	103.76   	 73.18   	 -40.69		 32.57   	 -91.56		
 58.90   	119.02   	 73.02   	 -35.61		 32.21   	-127.16		
 67.44   	134.28   	 72.88   	 -35.61		 31.70   	-157.68		
 74.77   	149.23   	 72.74   	 -45.78		 31.07   	-172.94		
 81.48   	162.66   	 72.55   	 -40.69		 30.38   	-167.85		
 88.50   	174.87   	 72.39   	 -45.78		 29.70   	-132.25		
 97.66   	187.07   	 72.21   	 -35.61		 29.18   	 -91.56		
108.64   	200.50   	 72.06   	 -15.26		 28.81   	 -55.95		
119.93   	215.15   	 72.00   	  30.52		 28.59   	 -25.43		
130.00   	228.88   	 72.13   	 106.82		 28.48   	   5.09		
138.24   	239.87   	 72.55   	 254.32		 28.50   	  35.61		
145.57   	248.11   	 73.57   	 467.95		 28.65   	  66.12		
152.59   	255.74   	 75.44   	 762.97		 28.91   	 101.73		
159.61   	265.50   	 78.49   	1073.24		 29.32   	 111.90		
165.41   	277.71   	 82.79   	1307.22		 29.77   	 101.73		
169.68   	289.31   	 88.02   	1398.77		 30.17   	  96.64		
172.73   	297.85   	 93.61   	1332.65		 30.56   	 101.73		
176.09   	302.43   	 98.94   	1154.62		 30.97   	  91.56		
180.36   	303.34   	103.56   	 900.30		 31.33   	  81.38		
184.94   	303.34   	107.16   	 640.89		 31.66   	  66.12		
188.60   	301.82   	109.72   	 412.00		 31.92   	  40.69		
189.82   	297.55   	111.37   	 233.98		 32.09   	  35.61		
187.07   	289.61   	112.31   	 127.16		 32.23   	  15.26		
180.05   	277.10   	112.82   	 106.82		 32.29   	   0.00		
168.15   	259.70   	113.24   	 137.33		 32.29   	   5.09		
151.37   	238.04   	113.79   	 203.46		 32.31   	  15.26		
129.70   	211.49   	114.61   	 269.58		 32.37   	  -5.09		
104.06   	182.50   	115.69   	 320.45		 32.35   	 -10.17		
 76.29   	153.81   	116.97   	 335.71		 32.31   	   0.00		
 49.13   	126.65   	118.31   	 310.27		 32.31   	   5.09		
 24.11   	101.32   	119.55   	 244.15		 32.33   	  15.26		Beg---------
  2.75   	 76.29   	120.53   	 152.59		 32.39   	  30.52		
-14.34   	 51.88   	121.14   	  50.86		 32.51   	  10.17		
-27.47   	 28.08   	121.34(S)	 -35.61		 32.55   	   0.00		
-36.93   	  6.41   	121.20   	-101.73		 32.55   	   5.09		
-43.95   	-11.60   	120.79   	-147.51		 32.57   	  10.17		
-48.83   	-25.94   	120.20   	-157.68		 32.61   	  10.17		
-51.88   	-37.23   	119.57   	-162.77		 32.66   	  -5.09		
-53.10   	-44.86   	118.92   	-162.77		 32.63   	 -45.78		
-53.10   	-49.74   	118.27   	-162.77		 32.45   	 -50.86		
-52.49   	-52.19   	117.62   	-157.68		 32.25   	 -40.69		
-52.19   	-54.63   	116.99   	-157.68		 32.09   	 -50.86		
-52.80   	-58.90   	116.36   	-167.85		 31.88   	 -66.12		
-54.63   	-66.22   	115.69   	-167.85		 31.62   	 -86.47		
-57.07   	-75.99   	115.01   	-193.29		 31.27   	 -86.47		
-59.51   	-85.14   	114.24   	-228.89		 30.93   	 -96.64		
-60.73   	-90.33   	113.33   	-244.15		 30.54   	-101.73		
-61.04   	-89.72   	112.35   	-259.41		 30.13   	-116.99		
-60.12   	-84.23   	111.31   	-259.41		 29.66   	-142.42		
-58.59   	-75.99   	110.27   	-254.32		 29.09   	-178.03		
-56.15   	-67.44   	109.26   	-254.32		 28.38   	-254.32		
-53.41   	-59.81   	108.24   	-254.32		 27.37   	-396.74		
-51.57   	-53.71   	107.22   	-228.89		 25.78   	-452.69		
-51.27   	-48.83   	106.31   	-203.46		 23.97   	-244.15		
-52.19   	-44.56   	105.49   	-183.11		 22.99   	-259.41		
-52.80   	-40.59   	104.76   	-162.77		 21.95   	-508.65		
-51.88   	-36.01   	104.11   	-157.68		 19.92   	-396.74		
-49.74   	-30.82   	103.48   	-162.77		 18.33   	-289.93		
-46.69   	-25.33   	102.83   	-162.77		 17.17   	-422.18		
-43.95   	-19.84   	102.18   	-172.94		 15.48   	-417.09		
-42.42   	-14.34   	101.48   	-193.29		 13.81   	-381.48		
-41.20   	 -9.46   	100.71   	-213.63		 12.29   	-452.69		
-39.98   	 -6.41   	 99.86   	-228.89		 10.48   	-422.18		
-38.76   	 -7.02   	 98.94   	-254.32		  8.79   	-330.62		
-38.15   	-10.68   	 97.92   	-284.84		  7.47   	-295.01		
-37.54   	-15.56   	 96.78   	-300.10		  6.29   	-284.84		
-36.62   	-17.70   	 95.58   	-315.36		  5.15   	-228.89		
-35.10   	-16.48   	 94.32   	-335.71		  4.23   	-198.37		
-32.96   	-12.82   	 92.98   	-330.62		  3.44   	-183.11		
-31.74   	-10.07   	 91.66   	-310.27		  2.71   	-147.51		
-31.13   	-10.07   	 90.42   	-274.67		  2.12   	-111.90		
-31.43   	-11.60   	 89.32   	-213.63		  1.67   	 -81.38		
-31.43   	-12.82   	 88.46   	-137.33		  1.34   	 -50.86		
-30.52   	-12.82   	 87.91   	 -50.86		  1.14   	 -20.35		
-28.38   	-11.90   	 87.71   	  10.17		  1.06   	 -15.26		
-25.33   	-10.38   	 87.75   	  50.86		  1.00   	 -20.35		
-20.75   	 -7.32   	 87.95   	  71.21		  0.92   	 -40.69		
-14.95   	 -0.92   	 88.24   	  66.12		  0.75   	 -50.86		
 -7.32   	 10.38   	 88.50   	  40.69		  0.55   	 -25.43		
  0.61   	 23.80   	 88.67   	  -5.09		  0.45   	 -15.26		
  7.63   	 36.01   	 88.65   	 -61.04		  0.39   	 -20.35		
 12.82   	 44.56   	 88.40   	-101.73		  0.31   	 -15.26		
 18.62   	 50.35   	 88.00   	-127.16		  0.24   	 -15.26		
 27.47   	 57.07   	 87.49   	-142.42		  0.18   	 -25.43		
 41.50   	 67.44   	 86.92   	-142.42		  0.08   	 -15.26		
 58.29   	 80.87   	 86.35   	-116.99		  0.02   	 -15.26		
 72.63   	 92.47   	 85.88   	 -86.47		 -0.04   	  -5.09		
 79.35   	 99.18   	 85.53   	 -55.95		 -0.06(D)	   5.09		
 77.51   	 99.79   	 85.31   	 -30.52		 -0.04   	  20.35		
 69.89   	 95.83   	 85.19   	  -5.09		  0.04   	  50.86		
 60.12   	 89.42   	 85.17   	  10.17		  0.24   	  66.12		
 50.66   	 79.35   	 85.21   	   5.09		  0.51   	  71.21		
 41.20   	 64.09   	 85.23   	   5.09		  0.79   	  86.47		
 28.38   	 42.42   	 85.25   	   0.00		  1.14   	  96.64		
 11.29   	 17.09   	 85.25   	 -15.26		  1.53   	  86.47		
 -9.77   	 -7.93   	 85.19   	 -25.43		  1.87   	  76.30		
-31.13   	-28.99   	 85.09   	 -35.61		  2.18   	  91.56		
-48.83   	-44.86   	 84.94   	 -40.69		  2.54   	  76.30		
-60.12   	-56.76   	 84.78   	 -45.78		  2.85   	  45.78		
-65.00   	-66.83   	 84.60   	 -45.78		  3.03   	  20.35		
-65.31   	-75.38   	 84.41   	 -40.69		  3.11   	  20.35		
-64.09   	-82.09   	 84.25   	 -50.86		  3.19   	  15.26		
-64.39   	-86.36   	 84.05   	 -45.78		  3.26   	 -15.26		
-66.53   	-88.50   	 83.87   	 -50.86		  3.19   	 -30.52		
-69.27   	-89.42   	 83.66   	 -55.95		  3.07   	 -25.43		
-71.11   	-90.03   	 83.44   	 -71.21		  2.97   	 -45.78		
-71.72   	-90.94   	 83.15   	 -76.30		  2.79   	 -55.95		
-71.41   	-91.86   	 82.85   	 -76.30		  2.56   	 -40.69		
-72.33   	-93.38   	 82.54   	 -86.47		  2.40   	 -25.43		
-75.38   	-92.77   	 82.20   	 -86.47		  2.30   	 -35.61		
-81.48   	-83.01   	 81.85   	 -81.38		  2.16   	 -20.35		
-90.33   	-55.85   	 81.53   	 -76.30		  2.08   	 -15.26		
-99.49   	 -8.24   	 81.22   	 -76.30		  2.01   	 -10.17		
-101.01   	 53.71   	 80.92   	 -66.12		  1.97   	  -5.09		
-81.48   	119.02   	 80.65   	 -61.04		  1.95   	   5.09		
-25.33   	181.27   	 80.41   	 -66.12		  1.97(E)	  40.69		
 75.99   	237.43   	 80.14   	-127.16		  2.14   	 233.98		
346.98   	230.41   	 79.63   	 -71.21		  3.07   	 167.85		
423.28   	 98.57   	 79.35   	 -66.12		  3.74   	 167.85		
395.20   	-116.58   	 79.08   	 -76.30		  4.42   	 147.51		
252.99   	-347.90   	 78.78   	 -76.30		  5.01   	 122.07		
 40.59   	-509.34   	 78.47   	 -76.30		  5.49   	  81.38		
-158.39   	-558.78(R)	 78.17   	 -76.30		  5.82   	  45.78		
-269.78   	-528.26   	 77.86   	 -76.30		  6.00   	  10.17		
-269.17   	-482.79   	 77.56   	 -71.21		  6.04   	 -35.61		
-188.90   	-458.68   	 77.27   	 -66.12		  5.90   	 -55.95		
-91.86   	-440.67   	 77.01   	 -61.04		  5.68   	 -55.95		
-29.30   	-389.10   	 76.76   	 -61.04		  5.45   	 -50.86		
-14.95   	-285.95   	 76.52   	 -61.04		  5.25   	 -30.52		
-29.60   	-156.86   	 76.28   	 -71.21		  5.13   	  20.35		
-45.47   	-49.13   	 75.99   	 -86.47		  5.21   	  76.30		
-48.52   	  5.80   	 75.65   	 -81.38		  5.51   	 116.99		
-40.28   	 12.51   	 75.32   	 -86.47		  5.98   	 116.99		
-30.21   	 -1.22   	 74.97   	 -91.56		  6.45   	  40.69		
-24.72   	-10.38   	 74.61   	 -86.47		  6.61   	 -55.95		
-24.41   	 -5.19   	 74.26   	 -76.30		  6.39   	  15.26		
-25.33   	  8.54   	 73.96   	 -61.04		  6.45   	 330.62		
-24.11   	 20.14   	 73.71   	 -55.95		  7.77   	 615.46		
-21.06   	 23.19   	 73.49   	 -61.04		 10.23   	 656.15		
-17.40   	 19.84   	 73.24   	 -55.95		 12.86   	 549.34		
-14.34   	 16.17   	 73.02   	 -61.04		 15.06   	 376.40		
-12.21   	 17.70   	 72.78   	-127.16		 16.56   	 996.94		
 -5.19   	 35.71   	 72.27   	 -66.12		 20.55   	 605.29		
  0.00   	 45.78   	 72.00   	 -55.95		 22.97   	 473.04		
  5.19   	 53.10   	 71.78   	 -61.04		 24.86   	 447.61		
  9.16   	 56.15   	 71.54   	 -55.95		 26.65   	 401.83		
 12.51   	 56.15   	 71.31   	 -71.21		 28.26   	 259.41		
 15.87   	 55.85   	 71.03   	 -71.21		 29.30   	 157.68		
 20.45   	 58.59   	 70.74   	 -66.12		 29.93   	  96.64		
 27.47   	 65.92   	 70.48   	 -66.12		 30.32(S)	 -20.35		
 37.23   	 79.35   	 70.21   	 -61.04		 30.23   	-111.90		
 47.91   	 97.35   	 69.97   	 -55.95		 29.79   	-152.59		
 58.59   	116.88   	 69.75   	 -45.78		 29.18   	-172.94		
 67.75   	133.97   	 69.56   	 -40.69		 28.48   	-178.03		
 75.38   	146.79   	 69.40   	 -40.69		 27.77   	-178.03		
 82.70   	156.25   	 69.24   	 -35.61		 27.06   	-152.59		
 90.94   	165.10   	 69.09   	 -30.52		 26.45   	-111.90		
100.10   	175.48   	 68.97   	 -25.43		 26.00   	 -71.21		
