SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-16.17   	-247.50   	 73.98   	 -66.12		  3.89   	  86.47		
-26.86   	-117.49   	 73.71   	 -61.04		  4.23   	 127.16		
-32.35   	-24.41   	 73.47   	 -61.04		  4.74   	 147.51		
-28.99   	 12.51   	 73.22   	 -66.12		  5.33   	 116.99		
-22.28   	  8.54   	 72.96   	 -66.12		  5.80   	  61.04		
-17.70   	 -6.10   	 72.70   	 -71.21		  6.04   	 -71.21		
-17.09   	-11.60   	 72.41   	 -66.12		  5.76   	-208.54		
-18.31   	 -4.88   	 72.15   	 -61.04		  4.92   	 157.68		
-18.31   	  7.02   	 71.90   	 -61.04		  5.55   	 818.92		
-16.17   	 14.95   	 71.66   	 -50.86		  8.83   	 839.26		
-12.82   	 15.87   	 71.45   	 -55.95		 12.19   	 549.34		
-10.07   	 13.43   	 71.23   	 -55.95		 14.38   	 539.16		
 -8.24   	 11.29   	 71.01   	 -61.04		 16.54   	 630.72		
 -7.02   	 11.29   	 70.76   	-111.90		 19.06   	1220.75		
  0.31   	 14.04   	 70.32   	 -50.86		 23.95   	 488.30		
  7.02   	 17.40   	 70.11   	 -50.86		 25.90   	 427.26		
 14.65   	 23.80   	 69.91   	 -61.04		 27.61   	 330.62		
 21.06   	 33.87   	 69.66   	 -61.04		 28.93   	 203.46		
 26.25   	 46.69   	 69.42   	 -71.21		 29.75   	  81.38		
 30.52   	 59.20   	 69.14   	 -66.12		 30.07   	 -25.43		
 35.71   	 70.19   	 68.87   	 -55.95		 29.97   	-116.99		
 41.81   	 79.35   	 68.65   	 -45.78		 29.50   	-167.85		
 49.13   	 89.11   	 68.46   	 -30.52		 28.83   	-188.20		
 57.07   	100.71   	 68.34   	 -30.52		 28.08   	-208.54		
 65.00   	114.44   	 68.22   	 -30.52		 27.24   	-193.29		
 72.94   	128.78   	 68.10   	 -40.69		 26.47   	-152.59		
 80.87   	141.91   	 67.93   	 -40.69		 25.86   	-122.07		
 89.11   	154.11   	 67.77   	 -30.52		 25.37   	 -76.30		
 97.66   	165.41   	 67.65   	 -30.52		 25.07   	 -40.69		
106.81   	177.92   	 67.53   	 -20.35		 24.90   	   0.00		
115.97   	191.65   	 67.45   	  -5.09		 24.90   	  55.95		
125.12   	205.08   	 67.43(D)	  25.43		 25.13   	  86.47		
133.97   	216.98   	 67.53   	  96.64		 25.47   	  96.64		
141.60   	227.05   	 67.91   	 218.72		 25.86   	 106.82		
148.62   	236.82   	 68.79   	 427.26		 26.29   	 127.16		
154.42   	247.50   	 70.50   	 727.36		 26.80   	 122.07		
159.61   	260.01   	 73.41   	1037.64		 27.28   	 127.16		
163.27   	271.91   	 77.56   	1286.87		 27.79   	 111.90		
166.32   	281.68   	 82.71   	1393.69		 28.24   	  96.64		
169.07   	288.39   	 88.28   	1327.56		 28.63   	  81.38		
172.42   	293.27   	 93.59   	1144.45		 28.95   	  71.21		
176.09   	296.33   	 98.17   	 885.04		 29.24   	  71.21		
178.83   	295.72   	101.71   	 625.63		 29.52   	  61.04		
179.14   	289.00   	104.21   	 401.83		 29.77   	  55.95		
175.17   	276.49   	105.82   	 233.98		 29.99   	  40.69		
167.24   	259.70   	106.75   	 137.33		 30.15   	  40.69		
155.03   	240.78   	107.30   	  96.64		 30.32   	  55.95		
138.55   	220.64   	107.69   	 122.07		 30.54   	  55.95		
118.41   	198.06   	108.18   	 178.03		 30.76   	  40.69		
 94.30   	171.51   	108.89   	 254.32		 30.93   	  30.52		
 68.36   	142.52   	109.91   	 305.19		 31.05   	  35.61		
 42.72   	112.61   	111.13   	 335.71		 31.19   	  35.61		
 20.14   	 83.92   	112.47   	 320.45		 31.33   	  45.78		
  2.14   	 57.07   	113.75   	 259.41		 31.52   	  55.95		
-11.60   	 32.96   	114.79   	 167.85		 31.74   	  30.52		
-21.36   	 11.90   	115.46   	  81.38		 31.86   	  30.52		
-28.99   	 -7.32   	115.79(S)	 -15.26		 31.98   	  30.52		
-35.40   	-25.63   	115.73   	 -91.56		 32.11   	  30.52		
-40.59   	-43.03   	115.36   	-152.59		 32.23   	  10.17		
-44.56   	-57.98   	114.75   	-188.20		 32.27(S)	  -5.09		
-47.91   	-67.44   	114.00   	-198.37		 32.25   	 -15.26		
-50.05   	-70.50   	113.20   	-183.11		 32.19   	 -15.26		
-51.88   	-69.27   	112.47   	-152.59		 32.13   	 -20.35		
-53.41   	-67.75   	111.86   	-132.25		 32.04   	 -50.86		
-54.32   	-68.05   	111.33   	-116.99		 31.84   	 -45.78		
-55.85   	-70.19   	110.86   	-116.99		 31.66   	 -50.86		
-57.68   	-72.33   	110.40   	-127.16		 31.45   	 -71.21		
-60.12   	-73.24   	109.89   	-142.42		 31.17   	 -81.38		
-62.56   	-73.85   	109.32   	-167.85		 30.84   	 -71.21		
-64.70   	-73.24   	108.65   	-198.37		 30.56   	 -91.56		
-66.22   	-71.41   	107.85   	-228.89		 30.19   	-122.07		
-66.22   	-67.14   	106.94   	-249.24		 29.70   	-137.33		
-65.31   	-61.65   	105.94   	-259.41		 29.16   	-172.94		
-63.78   	-57.37   	104.90   	-264.50		 28.46   	-310.27		
-62.87   	-55.24   	103.84   	-249.24		 27.22   	-310.27		
-62.87   	-55.54   	102.85   	-239.06		 25.98   	 -96.64		
-63.78   	-54.93   	101.89   	-218.72		 25.60   	-249.24		
-64.70   	-50.66   	101.02   	-198.37		 24.60   	-457.78		
-64.39   	-42.42   	100.22   	-183.11		 22.77   	-259.41		
-62.26   	-31.74   	 99.49   	-162.77		 21.73   	-213.63		
-57.98   	-21.36   	 98.84   	-167.85		 20.87   	-350.97		
-52.80   	-13.43   	 98.17   	-178.03		 19.47   	-315.36		
-47.91   	 -8.54   	 97.46   	-188.20		 18.21   	-228.89		
-43.33   	 -5.19   	 96.70   	-203.46		 17.29   	-244.15		
-39.98   	 -2.44   	 95.89   	-213.63		 16.32   	-289.93		
-37.84   	 -0.61   	 95.04   	-239.06		 15.16   	-320.45		
-37.84   	 -0.61   	 94.08   	-259.41		 13.88   	-335.71		
-39.06   	 -3.66   	 93.04   	-284.84		 12.53   	-315.36		
-40.59   	 -8.85   	 91.90   	-305.19		 11.27   	-305.19		
-41.50   	-14.65   	 90.68   	-320.45		 10.05   	-300.10		
-40.89   	-17.70   	 89.40   	-325.53		  8.85   	-289.93		
-39.67   	-17.40   	 88.10   	-310.27		  7.69   	-264.50		
-38.45   	-16.17   	 86.86   	-289.93		  6.63   	-264.50		
-37.84   	-16.78   	 85.70   	-249.24		  5.57   	-279.75		
-38.15   	-19.84   	 84.70   	-178.03		  4.46   	-244.15		
-37.84   	-22.89   	 83.99   	 -91.56		  3.48   	-218.72		
-36.01   	-23.19   	 83.62   	 -10.17		  2.60   	-218.72		
-32.04   	-18.62   	 83.58   	  45.78		  1.73   	-198.37		
-25.94   	-10.38   	 83.76   	  86.47		  0.94   	-183.11		
-18.01   	 -0.92   	 84.11   	  96.64		  0.20   	-172.94		
 -8.85   	  8.54   	 84.50   	  76.30		 -0.49   	-137.33		
  0.31   	 18.01   	 84.80   	  45.78		 -1.04   	 -86.47		
  8.54   	 25.94   	 84.98   	   5.09		 -1.38   	 -20.35		
 14.65   	 32.04   	 85.00   	 -45.78		 -1.46(D)	  10.17		
 19.23   	 37.54   	 84.82   	 -81.38		 -1.42   	  20.35		
 25.02   	 45.17   	 84.50   	-101.73		 -1.34   	  45.78		
 34.18   	 56.46   	 84.09   	-101.73		 -1.16   	  66.12		
 46.69   	 70.50   	 83.68   	-106.82		 -0.90   	  66.12		
 58.29   	 83.01   	 83.26   	 -91.56		 -0.63   	  45.78		
 64.39   	 90.64   	 82.89   	 -55.95		 -0.45   	  45.78		
 62.87   	 92.47   	 82.66   	 -35.61		 -0.26   	  55.95		
 55.85   	 89.11   	 82.52   	 -10.17		 -0.04   	  76.30		
 46.69   	 81.79   	 82.48   	   5.09		  0.26   	  91.56		
 38.15   	 70.19   	 82.50   	  10.17		  0.63   	  96.64		
 28.99   	 53.10   	 82.54   	  10.17		  1.02   	  91.56		
 16.78   	 30.21   	 82.58   	   0.00		  1.38   	  81.38		
  0.00   	  3.66   	 82.58   	   0.00		  1.71   	  91.56		
-19.23   	-23.19   	 82.58   	  -5.09		  2.08   	  81.38		
-37.54   	-45.78   	 82.56   	 -25.43		  2.40   	  45.78		
-51.88   	-61.65   	 82.46   	 -25.43		  2.58   	  25.43		
-60.42   	-70.19   	 82.36   	 -25.43		  2.69   	  40.69		
-63.48   	-72.63   	 82.26   	 -25.43		  2.85   	  40.69		
-63.48   	-71.72   	 82.16   	 -25.43		  3.01   	  15.26		
-62.26   	-70.19   	 82.05   	 -20.35		  3.07   	  10.17		
-61.65   	-70.19   	 81.97   	 -30.52		  3.11   	  10.17		
-61.95   	-71.72   	 81.85   	 -35.61		  3.15   	   0.00		
-62.87   	-74.46   	 81.71   	 -40.69		  3.15   	 -20.35		
-63.48   	-76.60   	 81.55   	 -50.86		  3.07   	  -5.09		
-63.78   	-76.29   	 81.34   	 -55.95		  3.05   	   5.09		
-63.78   	-74.46   	 81.12   	 -66.12		  3.07   	 -10.17		
-65.00   	-72.94   	 80.85   	 -66.12		  3.03   	 -10.17		
-67.14   	-71.41   	 80.59   	 -71.21		  2.99   	 -20.35		
-71.72   	-62.56   	 80.30   	 -76.30		  2.91   	 -30.52		
-78.13   	-36.93   	 80.00   	 -76.30		  2.79   	 -25.43		
-83.92   	 10.38   	 79.69   	 -76.30		  2.69   	  -5.09		
-81.79   	 74.16   	 79.39   	 -71.21		  2.67(E)	  10.17		
-59.81   	142.82   	 79.10   	 -66.12		  2.71   	  40.69		
 -4.58   	208.74   	 78.84   	-137.33		  2.87   	 223.80		
213.93   	295.72   	 78.29   	 -76.30		  3.76   	 178.03		
329.59   	254.21   	 77.99   	 -71.21		  4.48   	 178.03		
386.05   	115.05   	 77.70   	 -76.30		  5.19   	 172.94		
344.85   	-106.81   	 77.40   	 -81.38		  5.88   	 157.68		
202.64   	-341.80   	 77.07   	 -81.38		  6.51   	 122.07		
  5.49   	-502.93   	 76.74   	 -86.47		  7.00   	  76.30		
-168.46   	-550.23(R)	 76.40   	 -76.30		  7.30   	  25.43		
-256.65   	-517.58   	 76.09   	 -66.12		  7.41   	  -5.09		
-243.53   	-469.97   	 75.83   	 -66.12		  7.39   	 -50.86		
-163.57   	-442.81   	 75.56   	 -66.12		  7.18   	 -81.38		
-74.16   	-419.31   	 75.30   	 -66.12		  6.86   	 -66.12		
-18.62   	-361.02   	 75.04   	 -61.04		  6.59   	 -61.04		
 -6.71   	-254.21   	 74.79   	 -66.12		  6.35   	 -55.95		
-19.84   	-126.65   	 74.53   	 -71.21		  6.12   	   0.00		
-34.48   	-26.55   	 74.24   	 -66.12		  6.12   	  61.04		
-38.76   	 17.70   	 73.98   	 -66.12		  6.37   	 111.90		
-33.87   	 15.87   	 73.71   	 -76.30		  6.82   	 106.82		
-27.47   	 -1.22   	 73.41   	 -81.38		  7.24   	  10.17		
-24.11   	 -7.93   	 73.08   	 -71.21		  7.28   	-178.03		
-24.11   	  1.83   	 72.80   	 -71.21		  6.57   	 -61.04		
-24.41   	 19.53   	 72.51   	 -55.95		  6.33   	 559.51		
-22.89   	 32.96   	 72.29   	 -50.86		  8.57   	 905.39		
-18.92   	 36.93   	 72.09   	 -45.78		 12.19   	 691.76		
-14.04   	 35.10   	 71.90   	 -45.78		 14.95   	 493.39		
 -9.16   	 33.87   	 71.72   	-111.90		 16.93   	1154.62		
 -2.75   	 41.20   	 71.27   	 -61.04		 21.55   	 656.15		
 -0.31   	 45.47   	 71.03   	 -61.04		 24.17   	 605.29		
  2.75   	 49.13   	 70.78   	 -61.04		 26.59   	 569.68		
  6.41   	 53.41   	 70.54   	 -66.12		 28.87   	 508.65		
 11.60   	 59.81   	 70.27   	 -66.12		 30.91   	 386.57		
 17.09   	 68.05   	 70.01   	 -71.21		 32.45   	 254.32		
 22.58   	 76.60   	 69.73   	 -66.12		 33.47   	 137.33		
 28.08   	 83.62   	 69.46   	 -61.04		 34.02   	  25.43		
 33.87   	 89.42   	 69.22   	 -45.78		 34.12(S)	 -71.21		
 40.89   	 95.21   	 69.03   	 -40.69		 33.84   	-142.42		
 49.44   	104.68   	 68.87   	 -30.52		 33.27   	-188.20		
 58.90   	119.32   	 68.75   	 -20.35		 32.51   	-223.80		
 68.97   	138.55   	 68.67   	 -30.52		 31.62   	-228.89		
 78.43   	158.08   	 68.55   	 -30.52		 30.70   	-198.37		
 86.67   	174.56   	 68.42   	 -30.52		 29.91   	-157.68		
 93.99   	185.85   	 68.30   	 -15.26		 29.28   	-111.90		
101.32   	194.09   	 68.24   	  -5.09		 28.83   	 -71.21		
110.17   	201.11   	 68.22(D)	   5.09		 28.55   	 -30.52		
120.24   	209.66   	 68.24   	  61.04		 28.42   	  20.35		
130.92   	220.34   	 68.48   	 152.59		 28.50   	  55.95		
140.69   	231.93   	 69.09   	 320.45		 28.73   	  86.47		
148.01   	242.92   	 70.38   	 564.60		 29.07   	 101.73		
152.89   	251.77   	 72.63   	 879.96		 29.48   	 122.07		
156.25   	258.18   	 76.15   	1174.97		 29.97   	 127.16		
159.30   	263.06   	 80.85   	1363.17		 30.48   	 116.99		
162.35   	267.94   	 86.31   	1403.86		 30.95   	 122.07		
165.41   	274.35   	 91.92   	1297.04		 31.43   	 106.82		
168.76   	282.29   	 97.11   	1063.07		 31.86   	  96.64		
171.81   	289.31   	101.36   	 793.49		 32.25   	  76.30		
174.56   	291.44   	104.54   	 539.16		 32.55   	  45.78		
176.09   	287.17   	106.69   	 310.27		 32.74   	  20.35		
175.17   	276.18   	107.93   	 157.68		 32.82   	  20.35		
169.98   	260.31   	108.57   	  91.56		 32.90   	  20.35		
160.22   	241.70   	108.93   	  91.56		 32.98   	   5.09		
145.26   	221.25   	109.30   	 142.42		 33.00   	 -15.26		
126.04   	197.75   	109.87   	 223.80		 32.94   	 -15.26		
102.54   	170.59   	110.76   	 300.10		 32.88   	  -5.09		
 76.60   	141.30   	111.96   	 350.97		 32.86   	   0.00		
 50.35   	111.08   	113.37   	 356.05		 32.86   	   0.00		
 25.94   	 81.79   	114.79   	 310.27		 32.86   	  10.17		
  5.49   	 54.02   	116.03   	 233.98		 32.90   	  10.17		
-10.99   	 27.47   	116.97   	 127.16		 32.94   	  15.26		
-23.80   	  3.66   	117.48   	  30.52		 33.00   	  15.26		
-33.87   	-16.78   	117.60(S)	 -45.78		 33.06   	  25.43		
-41.20   	-32.96   	117.42   	-106.82		 33.16   	  25.43		
-46.69   	-46.39   	116.99   	-152.59		 33.27   	  15.26		
-50.05   	-58.59   	116.38   	-162.77		 33.33   	  10.17		
-52.19   	-70.50   	115.73   	-147.51		 33.37   	   5.09		
-53.41   	-82.40   	115.14   	-132.25		 33.39   	 -10.17		
-54.32   	-91.55   	114.61   	-127.16		 33.35   	 -35.61		
-55.85   	-96.13   	114.10   	-122.07		 33.20   	 -40.69		
-57.37   	-95.83   	113.61   	-122.07		 33.04   	 -40.69		
-59.51   	-93.69   	113.12   	-142.42		 32.88   	 -61.04		
-61.34   	-91.25   	112.55   	-167.85		 32.63   	 -86.47		
-62.87   	-90.33   	111.88   	-193.29		 32.29   	 -96.64		
-64.09   	-90.33   	111.11   	-213.63		 31.90   	 -96.64		
-65.00   	-90.03   	110.25   	-228.89		 31.52   	-106.82		
-65.61   	-89.11   	109.34   	-254.32		 31.09   	-137.33		
-66.53   	-87.89   	108.32   	-254.32		 30.54   	-152.59		
-68.05   	-86.06   	107.30   	-249.24		 29.93   	-183.11		
-69.27   	-83.01   	106.31   	-254.32		 29.20   	-249.24		
-69.27   	-77.82   	105.29   	-249.24		 28.20   	-381.48		
-67.44   	-71.72   	104.29   	-228.89		 26.67   	-412.00		
-64.70   	-66.83   	103.38   	-213.63		 25.03   	-193.29		
-62.26   	-66.22   	102.52   	-203.46		 24.25   	-289.93		
-61.34   	-69.27   	101.71   	-188.20		 23.09   	-523.90		
-61.04   	-73.85   	100.96   	-172.94		 21.00   	-350.97		
-59.81   	-75.99   	100.26   	-178.03		 19.59   	-264.50		
-57.07   	-73.85   	 99.55   	-178.03		 18.54   	-422.18		
-53.41   	-66.22   	 98.84   	-172.94		 16.85   	-406.92		
-49.74   	-55.24   	 98.15   	-188.20		 15.22   	-350.97		
-46.39   	-44.25   	 97.40   	-208.54		 13.81   	-457.78		
-43.64   	-35.40   	 96.56   	-218.72		 11.98   	-478.13		
-40.89   	-30.82   	 95.69   	-228.89		 10.07   	-356.05		
-38.15   	-30.82   	 94.77   	-254.32		  8.65   	-310.27		
-36.62   	-33.26   	 93.75   	-279.75		  7.41   	-320.45		
-36.32   	-35.71   	 92.63   	-295.01		  6.12   	-279.75		
-36.93   	-36.01   	 91.45   	-320.45		  5.01   	-228.89		
-37.54   	-33.26   	 90.17   	-330.62		  4.09   	-213.63		
-36.93   	-28.69   	 88.85   	-320.45		  3.23   	-183.11		
-35.10   	-24.41   	 87.57   	-284.84		  2.50   	-147.51		
-32.96   	-21.67   	 86.43   	-244.15		  1.91   	-106.82		
-31.13   	-20.75   	 85.45   	-183.11		  1.49   	 -66.12		
-29.91   	-21.06   	 84.72   	-111.90		  1.22   	 -40.69		
-28.99   	-20.75   	 84.27   	 -25.43		  1.06   	 -35.61		
-26.86   	-18.62   	 84.17   	  35.61		  0.92   	 -35.61		
-22.28   	-13.73   	 84.31   	  81.38		  0.77   	 -55.95		
-14.65   	 -4.58   	 84.64   	  86.47		  0.55   	 -66.12		
 -4.88   	  8.85   	 84.98   	  71.21		  0.28   	 -71.21		
  5.19   	 25.02   	 85.27   	  40.69		  0.00   	 -61.04		
 14.04   	 40.28   	 85.43   	  -5.09		 -0.24   	 -45.78		
 20.45   	 51.27   	 85.41   	 -55.95		 -0.43   	 -30.52		
 25.94   	 57.37   	 85.19   	-101.73		 -0.55   	 -15.26		
 32.65   	 60.42   	 84.78   	-132.25		 -0.61   	 -20.35		
 43.64   	 65.00   	 84.25   	-132.25		 -0.69   	 -10.17		
 57.98   	 73.55   	 83.72   	-132.25		 -0.73(D)	   5.09		
 72.02   	 85.14   	 83.19   	-122.07		 -0.71   	  20.35		
 81.18   	 97.05   	 82.71   	 -76.30		 -0.63   	  40.69		
 82.70   	105.59   	 82.40   	 -40.69		 -0.47   	  66.12		
 77.82   	107.73   	 82.24   	 -10.17		 -0.20   	 106.82		
 69.58   	103.15   	 82.20   	  10.17		  0.22   	 127.16		
 59.81   	 92.16   	 82.24   	  30.52		  0.73   	 127.16		
 49.13   	 75.68   	 82.36   	  15.26		  1.24   	 122.07		
 35.10   	 54.63   	 82.42   	   5.09		  1.73   	 122.07		
 16.48   	 30.21   	 82.44   	   0.00		  2.22   	  96.64		
 -4.88   	  3.36   	 82.44   	 -15.26		  2.60   	  86.47		
-25.94   	-22.89   	 82.38   	 -20.35		  2.95   	  61.04		
-42.42   	-44.86   	 82.30   	 -35.61		  3.19   	  45.78		
-52.19   	-60.73   	 82.16   	 -40.69		  3.38   	  30.52		
-55.85   	-70.50   	 81.99   	 -30.52		  3.50   	  25.43		
-55.54   	-75.38   	 81.87   	 -35.61		  3.60   	   0.00		
-53.71   	-76.60   	 81.73   	 -45.78		  3.60   	 -25.43		
-53.10   	-74.46   	 81.55   	 -40.69		  3.50   	 -40.69		
-54.02   	-70.50   	 81.38   	 -45.78		  3.34   	 -40.69		
-56.15   	-65.31   	 81.20   	 -50.86		  3.17   	 -35.61		
-58.29   	-60.42   	 81.00   	 -50.86		  3.03   	 -40.69		
-59.51   	-57.98   	 80.79   	 -50.86		  2.87   	 -40.69		
-59.20   	-58.29   	 80.59   	 -66.12		  2.71   	 -30.52		
-58.29   	-59.81   	 80.33   	 -66.12		  2.58   	 -20.35		
-58.29   	-59.51   	 80.06   	 -66.12		  2.50   	 -15.26		
-61.34   	-50.96   	 79.80   	 -71.21		  2.44   	   5.09		
-68.97   	-26.25   	 79.51   	 -76.30		  2.46   	   5.09		
-78.74   	 17.70   	 79.21   	 -71.21		  2.48   	  15.26		
-82.09   	 76.29   	 78.92   	 -71.21		  2.54   	  30.52		
-64.39   	140.69   	 78.64   	 -71.21		  2.67   	  45.78		
-10.68   	206.30   	 78.35   	-147.51		  2.85   	 172.94		
219.73   	307.31   	 77.76   	 -66.12		  3.54   	 137.33		
349.43   	278.32   	 77.50   	 -71.21		  4.09   	 162.77		
422.97   	149.84   	 77.21   	 -76.30		  4.74   	 157.68		
396.73   	-68.05   	 76.91   	 -76.30		  5.37   	 137.33		
260.31   	-308.53   	 76.60   	 -71.21		  5.92   	 122.07		
 56.46   	-482.48   	 76.32   	 -76.30		  6.41   	  76.30		
-135.80   	-542.60(R)	 76.01   	 -81.38		  6.71(E)	  20.35		
-244.14   	-515.75   	 75.69   	 -81.38		  6.80   	  -5.09		
-244.75   	-467.53   	 75.36   	 -76.30		  6.78   	 -35.61		
-167.24   	-437.93   	 75.06   	 -66.12		  6.63   	 -55.95		
-72.33   	-415.95   	 74.79   	 -55.95		  6.41   	 -71.21		
-10.07   	-363.77   	 74.57   	 -55.95		  6.12   	 -55.95		
  5.19   	-263.37   	 74.34   	 -61.04		  5.90   	 -25.43		
 -8.85   	-139.47   	 74.10   	 -61.04		  5.80   	  15.26		
-25.94   	-38.76   	 73.86   	 -61.04		  5.86   	  66.12		
-31.43   	  8.24   	 73.61   	 -71.21		  6.12   	 137.33		
-25.63   	  7.63   	 73.33   	 -76.30		  6.67   	 142.42		
-16.78   	-11.29   	 73.02   	 -81.38		  7.24   	  35.61		
-11.29   	-21.97   	 72.70   	 -81.38		  7.39   	-101.73		
-10.38   	-15.87   	 72.37   	 -76.30		  6.98   	 -25.43		
-10.68   	  0.31   	 72.06   	 -61.04		  6.88   	 386.57		
 -9.77   	 14.95   	 71.82   	 -50.86		  8.42   	 676.50		
 -6.71   	 20.75   	 71.62   	 -55.95		 11.13   	 625.63		
 -3.36   	 19.23   	 71.39   	 -45.78		 13.63   	 508.65		
 -0.61   	 16.48   	 71.21   	 -91.56		 15.67   	 915.56		
  2.75   	 21.97   	 70.84   	 -55.95		 19.33   	 661.24		
  4.27   	 27.77   	 70.62   	 -55.95		 21.97   	 661.24		
  7.32   	 32.35   	 70.40   	 -55.95		 24.62   	 574.77		
 11.60   	 35.40   	 70.17   	 -61.04		 26.92   	 534.08		
 16.78   	 38.15   	 69.93   	 -66.12		 29.05   	 432.35		
 22.28   	 43.95   	 69.66   	 -71.21		 30.78   	 274.67		
 28.08   	 54.32   	 69.38   	 -61.04		 31.88   	 172.94		
 34.48   	 67.75   	 69.14   	 -61.04		 32.57   	 101.73		
 41.81   	 81.79   	 68.89   	 -50.86		 32.98(S)	 -20.35		
 50.05   	 94.30   	 68.69   	 -40.69		 32.90   	-127.16		
 58.59   	104.37   	 68.52   	 -40.69		 32.39   	-172.94		
 66.22   	112.30   	 68.36   	 -30.52		 31.70   	-193.29		
 73.85   	119.93   	 68.24   	 -30.52		 30.93   	-208.54		
 81.79   	128.78   	 68.12   	 -35.61		 30.09   	-188.20		
 89.72   	138.85   	 67.98   	 -30.52		 29.34   	-172.94		
 97.96   	148.62   	 67.85   	 -25.43		 28.65   	-142.42		
105.59   	157.78   	 67.75   	 -20.35		 28.08   	-101.73		
113.22   	166.02   	 67.67(D)	   5.09		 27.67   	 -55.95		
120.54   	174.87   	 67.69   	  55.95		 27.45   	 -10.17		
128.48   	184.63   	 67.91   	 142.42		 27.41   	  35.61		
136.41   	195.01   	 68.48   	 310.27		 27.55   	  71.21		
144.35   	204.77   	 69.73   	 564.60		 27.83   	 101.73		
151.37   	214.23   	 71.98   	 879.96		 28.24   	 101.73		
157.17   	223.08   	 75.50   	1190.23		 28.65   	 111.90		
162.05   	231.02   	 80.26   	1388.60		 29.09   	 147.51		
165.71   	237.73   	 85.82   	1424.21		 29.68   	 152.59		
168.15   	242.61   	 91.52   	1302.13		 30.29   	 111.90		
170.29   	247.19   	 96.72   	1073.24		 30.74   	  86.47		
172.73   	251.77   	101.02   	 788.40		 31.09   	  86.47		
176.39   	256.04   	104.17   	 528.99		 31.43   	  71.21		
179.75   	256.65   	106.29   	 315.36		 31.72   	  40.69		
180.66   	250.55   	107.55   	 162.77		 31.88   	  20.35		
177.31   	236.21   	108.20   	 106.82		 31.96   	  -5.09		
168.76   	216.98   	108.63   	 106.82		 31.94   	   5.09		
154.72   	196.23   	109.05   	 157.68		 31.96   	   5.09		
135.50   	176.39   	109.68   	 239.06		 31.98   	 -25.43		
112.61   	156.86   	110.64   	 320.45		 31.88   	 -20.35		
 86.67   	135.50   	111.92   	 366.22		 31.80   	 -15.26		
 60.73   	111.69   	113.39   	 361.14		 31.74   	  -5.09		
 36.62   	 85.45   	114.83   	 320.45		 31.72   	   0.00		
 15.26   	 57.07   	116.11   	 239.06		 31.72   	  15.26		
 -3.05   	 28.69   	117.07   	 132.25		 31.78   	  35.61		
-18.62   	  1.83   	117.60   	  35.61		 31.92   	  30.52		
-31.43   	-21.36   	117.74(S)	 -50.86		 32.04   	  20.35		
-40.89   	-39.98   	117.54   	-127.16		 32.13   	  15.26		
-46.39   	-53.71   	117.03   	-167.85		 32.19   	   5.09		
-48.52   	-63.17   	116.36   	-183.11		 32.21   	   5.09		
-48.83   	-70.19   	115.63   	-172.94		 32.23   	   5.09		
-48.83   	-75.38   	114.93   	-142.42		 32.25   	  -5.09		
-49.13   	-79.65   	114.36   	-122.07		 32.23   	 -25.43		
-50.05   	-83.31   	113.88   	-106.82		 32.13   	 -55.95		
-51.57   	-86.67   	113.45   	-106.82		 31.90   	 -61.04		
-53.10   	-90.33   	113.02   	-116.99		 31.66   	 -61.04		
-55.24   	-94.30   	112.55   	-137.33		 31.41   	 -76.30		
-57.37   	-97.96   	112.00   	-162.77		 31.11   	 -81.38		
-59.51   	-100.40   	111.35   	-203.46		 30.78   	 -76.30		
-61.04   	-101.93   	110.54   	-239.06		 30.48   	-101.73		
-61.95   	-102.84   	109.58   	-274.67		 30.07   	-122.07		
-61.34   	-102.84   	108.48   	-279.75		 29.58   	-127.16		
-60.42   	-102.23   	107.36   	-279.75		 29.07   	-172.94		
-59.20   	-100.10   	106.25   	-274.67		 28.38   	-259.41		
-58.29   	-96.74   	105.15   	-254.32		 27.34   	-391.66		
-57.68   	-93.08   	104.13   	-233.98		 25.78   	-432.35		
-57.37   	-89.42   	103.19   	-208.54		 24.05   	-218.72		
-57.37   	-86.06   	102.36   	-183.11		 23.17   	-274.67		
-56.76   	-81.48   	101.63   	-162.77		 22.08   	-523.90		
-55.85   	-75.07   	100.98   	-157.68		 19.98   	-366.22		
-54.02   	-68.05   	100.35   	-172.94		 18.51   	-264.50		
-51.88   	-61.34   	 99.65   	-172.94		 17.46   	-427.26		
-49.44   	-55.54   	 98.96   	-183.11		 15.75   	-417.09		
-47.30   	-50.96   	 98.23   	-193.29		 14.08   	-376.40		
-45.17   	-48.52   	 97.46   	-213.63		 12.57   	-452.69		
-43.33   	-48.52   	 96.60   	-228.89		 10.76   	-437.43		
-41.50   	-50.05   	 95.69   	-244.15		  9.01   	-345.88		
-39.98   	-51.88   	 94.71   	-259.41		  7.63   	-320.45		
-39.06   	-51.57   	 93.67   	-284.84		  6.35   	-300.10		
-38.45   	-48.83   	 92.53   	-295.01		  5.15   	-254.32		
-37.54   	-44.25   	 91.35   	-305.19		  4.13   	-198.37		
-35.71   	-39.37   	 90.13   	-315.36		  3.34   	-167.85		
