SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 36.83   	  91.56		 52.06   	 223.80		
 37.19   	 310.27		 52.96   	 269.58		
 38.43   	 427.26		 54.04   	 259.41		
 40.14   	 518.82		 55.08   	 259.41		
 42.22   	 584.94		 56.11   	 244.15		
 44.56   	 600.20		 57.09   	 233.98		
 46.96   	 584.94		 58.03   	 213.63		
 49.30   	 544.25		 58.88   	 198.37		
 51.47   	 473.04		 59.67   	 178.03		
 53.37   	 386.57		 60.39   	 162.77		
 54.91   	 279.75		 61.04   	 142.42		
 56.03   	 188.20		 61.61   	 122.07		
 56.79   	 106.82		 62.10   	 106.82		
 57.21   	  45.78		 62.52   	 101.73		
 57.40   	  20.35		 62.93   	  81.38		
 57.48   	  20.35		 63.26   	  76.30		
 57.56   	  30.52		 63.56   	  61.04		
 57.68   	  55.95		 63.80   	  55.95		
 57.90   	  86.47		 64.03   	  50.86		
 58.25   	 127.16		 64.23   	  40.69		
 58.76   	 167.85		 64.39   	  35.61		
 59.43   	 183.11		 64.54   	  35.61		
 60.16   	 193.29		 64.68   	  30.52		
 60.94   	 203.46		 64.80   	  25.43		
 61.75   	 188.20		 64.90   	  25.43		
 62.50   	 167.85		 65.00   	  15.26		
 63.17   	 137.33		 65.07   	   5.09		
 63.72   	 101.73		 65.09   	   0.00		
 64.13   	  71.21		 65.09   	 -15.26		
 64.41   	  45.78		 65.03   	 -25.43		
 64.60   	  25.43		 64.92   	 -30.52		
 64.70(S)	   0.00		 64.80   	 -45.78		
 64.70   	 -10.17		 64.62   	 -50.86		
 64.66   	 -20.35		 64.41   	 -61.04		
 64.58   	 -25.43		 64.17   	 -66.12		
 64.48   	 -15.26		 63.91   	 -76.30		
 64.41   	 -10.17		 63.60   	 -76.30		
 64.37   	   0.00		 63.30   	 -86.47		
 64.37   	   5.09		 62.95   	 -96.64		
 64.39   	  10.17		 62.56   	-106.82		
 64.44   	  10.17		 62.14   	-116.99		
 64.48   	   5.09		 61.67   	-142.42		
 64.50   	  10.17		 61.10   	-162.77		
 64.54   	   5.09		 60.45   	-198.37		
 64.56   	   5.09		 59.65   	-228.89		
 64.58   	   0.00		 58.74   	-279.75		
