SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-19.53   	-189.51   	 31.60   	 -25.43		 60.20   	  20.35		
-41.20   	-234.99   	 31.50   	 -30.52		 60.28   	 -45.78		
-57.98   	-269.47   	 31.37   	 -45.78		 60.10   	 -45.78		
-70.50   	-294.80   	 31.19   	 -66.12		 59.92   	 -96.64		
-79.65   	-313.11   	 30.93   	 -76.30		 59.53   	-162.77		
-86.67   	-326.23   	 30.62   	-101.73		 58.88   	-106.82		
-92.77   	-335.69   	 30.21   	-142.42		 58.45   	 -81.38		
-97.96   	-341.80   	 29.64   	-183.11		 58.13   	-122.07		
-101.32   	-345.15   	 28.91   	-208.54		 57.64   	-157.68		
-103.45   	-346.37   	 28.08   	-254.32		 57.01   	-178.03		
-104.37   	-345.76   	 27.06   	-305.19		 56.30   	-208.54		
-104.06   	-344.24   	 25.84   	-325.53		 55.46   	-218.72		
-103.15   	-341.80   	 24.54   	-356.05		 54.59   	-193.29		
-100.71   	-337.22   	 23.11   	-371.31		 53.81   	-172.94		
-94.91   	-329.28   	 21.63   	-391.66		 53.12   	-167.85		
-83.92   	-315.25   	 20.06   	-391.66		 52.45   	-213.63		
-67.14   	-293.58   	 18.49   	-386.57		 51.60   	-228.89		
-44.86   	-263.67   	 16.95   	-356.05		 50.68   	-203.46		
-21.67   	-229.49   	 15.52   	-315.36		 49.87   	-122.07		
 -0.92   	-195.92   	 14.26   	-269.58		 49.38   	 -25.43		
 14.95   	-167.24   	 13.18   	-244.15		 49.28   	  20.35		
 25.63   	-145.57   	 12.21   	-223.80		 49.36   	 -10.17		
 33.26   	-128.17   	 11.31   	-208.54		 49.32   	 -71.21		
 38.15   	-112.00   	 10.48   	-208.54		 49.03   	-147.51		
 39.98   	-96.13   	  9.64   	-208.54		 48.44   	-183.11		
 40.28   	-81.79   	  8.81   	-203.46		 47.71   	-116.99		
 41.20   	-72.02   	  8.00   	-188.20		 47.24   	 -76.30		
 45.78   	-69.58   	  7.24   	-152.59		 46.94   	 -45.78		
 54.32   	-76.29   	  6.63   	-116.99		 46.75   	 -30.52		
