SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 45.35   	 -40.69		 17.27   	 584.94		
 45.19   	 -81.38		 19.61   	 686.67		
 44.86   	 -35.61		 22.36   	 681.58		
 44.72   	 -30.52		 25.09   	 656.15		
 44.60   	 -25.43		 27.71   	 625.63		
 44.50   	 -15.26		 30.21   	 590.03		
 44.44   	  -5.09		 32.57   	 544.25		
 44.41(D)	  10.17		 34.75   	 493.39		
 44.46   	  45.78		 36.72   	 437.43		
 44.64   	  86.47		 38.47   	 386.57		
 44.98   	 152.59		 40.02   	 335.71		
 45.59   	 239.06		 41.36   	 289.93		
 46.55   	 320.45		 42.52   	 249.24		
 47.83   	 412.00		 43.52   	 218.72		
 49.48   	 513.73		 44.39   	 188.20		
 51.54   	 584.94		 45.15   	 167.85		
 53.88   	 651.07		 45.82   	 157.68		
 56.48   	 707.02		 46.45   	 147.51		
 59.31   	 742.62		 47.04   	 152.59		
 62.28   	 737.54		 47.65   	 152.59		
 65.23   	 717.19		 48.26   	 157.68		
 68.10   	 671.41		 48.89   	 172.94		
 70.78   	 620.55		 49.58   	 183.11		
 73.27   	 559.51		 50.32   	 193.29		
 75.50   	 478.13		 51.09   	 198.37		
 77.42   	 401.83		 51.88   	 213.63		
 79.02   	 569.68		 52.74   	 249.24		
 81.30   	 183.11		 53.73   	 244.15		
 82.03   	 116.99		 54.71   	 239.06		
 82.50   	  45.78		 55.67   	 228.89		
 82.69(S)	   0.00		 56.58   	 213.63		
 82.69   	 -25.43		 57.44   	 198.37		
 82.58   	 -45.78		 58.23   	 183.11		
 82.40   	 -66.12		 58.96   	 162.77		
 82.14   	 -66.12		 59.61   	 142.42		
 81.87   	 -71.21		 60.18   	 122.07		
 81.59   	 -71.21		 60.67   	  96.64		
 81.30   	 -81.38		 61.06   	  76.30		
 80.98   	-101.73		 61.36   	  61.04		
 80.57   	-111.90		 61.61   	  45.78		
 80.12   	-122.07		 61.79   	  20.35		
 79.63   	-132.25		 61.87   	  10.17		
 79.10   	-152.59		 61.91(S)	   0.00		
 78.49   	-162.77		 61.91   	 -15.26		
 77.84   	-167.85		 61.85   	 -20.35		
 77.17   	-172.94		 61.77   	 -30.52		
 76.48   	-167.85		 61.65   	 -35.61		
 75.81   	-162.77		 61.51   	 -40.69		
 75.16   	-157.68		 61.34   	 -45.78		
 74.53   	-147.51		 61.16   	 -55.95		
 73.94   	-127.16		 60.94   	 -61.04		
 73.43   	-208.54		 60.69   	 -81.38		
 72.59   	 -76.30		 60.37   	 -91.56		
 72.29   	 -61.04		 60.00   	-111.90		
 72.04   	 -55.95		 59.55   	-127.16		
 71.82   	 -55.95		 59.04   	-152.59		
 71.60   	 -50.86		 58.43   	-183.11		
 71.39   	 -61.04		 57.70   	-203.46		
 71.15   	 -86.47		 56.89   	-239.06		
 70.80   	-106.82		 55.93   	-269.58		
 70.38   	-137.33		 54.85   	-300.10		
 69.83   	-167.85		 53.65   	-345.88		
 69.16   	-198.37		 52.27   	-381.48		
 68.36   	-239.06		 50.74   	-432.35		
 67.41   	-269.58		 49.01   	-478.13		
 66.33   	-279.75		 47.10   	-523.90		
 65.21   	-279.75		 45.00   	-559.51		
 64.09   	-269.58		 42.77   	-590.03		
 63.01   	-249.24		 40.41   	-615.46		
 62.01   	-223.80		 37.94   	-635.81		
 61.12   	-188.20		 35.40   	-645.98		
 60.37   	-157.68		 32.82   	-651.07		
 59.74   	-127.16		 30.21   	-640.89		
 59.23   	-101.73		 27.65   	-620.55		
 58.82   	 -81.38		 25.17   	-605.29		
 58.49   	 -55.95		 22.75   	-579.86		
 58.27   	-101.73		 20.43   	-579.86		
 57.86   	 -40.69		 18.11   	-528.99		
 57.70   	 -45.78		 15.99   	-478.13		
 57.52   	 -55.95		 14.08   	-437.43		
 57.29   	 -61.04		 12.33   	-386.57		
 57.05   	 -66.12		 10.78   	-340.79		
 56.79   	 -66.12		  9.42   	-300.10		
 56.52   	 -76.30		  8.22   	-259.41		
 56.22   	 -86.47		  7.18   	-213.63		
 55.87   	 -81.38		  6.33   	-178.03		
 55.54   	 -76.30		  5.62   	-137.33		
 55.24   	 -76.30		  5.07   	-111.90		
 54.93   	 -76.30		  4.62   	 -76.30		
 54.63   	 -71.21		  4.31   	 -50.86		
 54.34   	 -61.04		  4.11   	 -30.52		
 54.10   	 -61.04		  3.99   	  -5.09		
 53.86   	 -66.12		  3.97(D)	  10.17		
 53.59   	 -55.95		  4.01   	  20.35		
 53.37   	 -45.78		  4.09   	  35.61		
 53.18   	 -91.56		  4.23   	  50.86		
 52.82   	 -45.78		  4.44   	  45.78		
 52.63   	 -35.61		  4.62   	  45.78		
 52.49   	 -40.69		  4.80   	  35.61		
 52.33   	 -45.78		  4.94   	  35.61		
 52.15   	 -45.78		  5.09(E)	  20.35		
 51.96   	 -45.78		  5.17   	  15.26		
 51.78   	 -45.78		  5.23   	  10.17		
 51.60   	 -50.86		  5.27   	   5.09		
 51.39   	 -50.86		  5.29   	   5.09		
 51.19   	 -55.95		  5.31   	   5.09		
 50.97   	 -50.86		  5.33   	  10.17		
 50.76   	 -50.86		  5.37   	  15.26		
 50.56   	 -55.95		  5.43   	  20.35		
 50.34   	 -45.78		  5.51   	  45.78		
 50.15   	 -50.86		  5.70   	  66.12		
 49.95   	 -45.78		  5.96   	  96.64		
 49.77   	 -45.78		  6.35   	 142.42		
 49.58   	 -45.78		  6.92   	 183.11		
 49.40   	 -50.86		  7.65   	 228.89		
 49.20   	 -50.86		  8.57   	 289.93		
 48.99   	 -45.78		  9.73   	 340.79		
 48.81   	 -50.86		 11.09   	 406.92		
 48.61   	 -50.86		 12.72   	 452.69		
 48.40   	 -50.86		 14.53   	 508.65		
 48.20   	-101.73		 16.56   	 640.89		
 47.79   	 -50.86		 19.13   	 661.24		
 47.59   	 -45.78		 21.77   	 656.15		
 47.41   	 -40.69		 24.39   	 645.98		
 47.24   	 -35.61		 26.98   	 620.55		
 47.10   	 -20.35		 29.46   	 595.11		
 47.02(D)	   0.00		 31.84   	 554.42		
