SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 71.11   	254.52   	 50.38   	 305.19		 30.09   	 193.29		
 75.07   	273.74   	 51.60   	 269.58		 30.86   	 183.11		
 80.26   	285.34   	 52.68   	 244.15		 31.60   	 193.29		
 72.63   	253.60   	 53.65   	 213.63		 32.37   	 183.11		
 64.39   	220.64   	 54.51   	 188.20		 33.10   	 172.94		
 48.83   	173.95   	 55.26   	 157.68		 33.79   	 157.68		
 35.40   	115.97   	 55.89   	 132.25		 34.43   	 152.59		
 19.84   	 58.90   	 56.42   	 106.82		 35.04   	 142.42		
 10.38   	  2.14   	 56.85   	  86.47		 35.61   	 132.25		
  0.31   	-52.19   	 57.19   	  66.12		 36.13   	 122.07		
 -6.10   	-94.60   	 57.46   	  40.69		 36.62   	 111.90		
 -9.16   	-129.70   	 57.62   	  25.43		 37.07   	 101.73		
-17.09   	-159.30   	 57.72   	  10.17		 37.48   	  96.64		
-18.92   	-178.53   	 57.76(S)	 -15.26		 37.86   	  86.47		
-19.84   	-189.51   	 57.70   	 -30.52		 38.21   	  71.21		
-21.06   	-197.14   	 57.58   	 -45.78		 38.49   	  66.12		
-21.36   	-197.45   	 57.40   	 -55.95		 38.76   	  61.04		
-18.92   	-198.67   	 57.17   	 -66.12		 39.00   	  45.78		
-17.70   	-199.89   	 56.91   	 -71.21		 39.19   	  40.69		
-18.31   	-199.89   	 56.62   	 -76.30		 39.35   	  25.43		
-14.65   	-202.33   	 56.32   	 -81.38		 39.45   	  20.35		
-14.65   	-202.64   	 55.99   	 -86.47		 39.53   	   5.09		
-14.65   	-206.91   	 55.65   	 -86.47		 39.55(S)	 -10.17		
-13.73   	-205.69   	 55.30   	 -96.64		 39.51   	 -20.35		
-13.43   	-203.25   	 54.91   	-106.82		 39.43   	 -35.61		
-13.12   	-203.86   	 54.49   	-111.90		 39.29   	 -55.95		
-13.43   	-200.20   	 54.04   	-127.16		 39.06   	 -66.12		
-12.21   	-200.20   	 53.53   	-142.42		 38.80   	 -91.56		
-11.90   	-202.33   	 52.96   	-157.68		 38.43   	-106.82		
-10.68   	-203.86   	 52.33   	-183.11		 38.01   	-122.07		
 -8.85   	-202.64   	 51.60   	-193.29		 37.52   	-142.42		
 -9.77   	-201.42   	 50.82   	-203.46		 36.95   	-167.85		
 -8.85   	-203.25   	 50.01   	-198.37		 36.28   	-183.11		
 -5.49   	-198.06   	 49.22   	-193.29		 35.54   	-198.37		
  0.00   	-177.31   	 48.44   	-172.94		 34.75   	-218.72		
 14.34   	-144.04   	 47.75   	-152.59		 33.88   	-233.98		
 27.77   	-107.42   	 47.14   	-137.33		 32.94   	-244.15		
 36.01   	-73.85   	 46.59   	-122.07		 31.96   	-259.41		
 43.64   	-75.99   	 46.10   	-106.82		 30.93   	-269.58		
 47.91   	-102.84   	 45.68   	 -96.64		 29.85   	-279.75		
 63.17   	-94.91   	 45.29   	 -81.38		 28.73   	-279.75		
 77.21   	-88.81   	 44.96   	 -71.21		 27.61   	-284.84		
 87.28   	-75.38   	 44.68   	 -71.21		 26.47   	-284.84		
 83.62   	-70.19   	 44.39   	 -66.12		 25.33   	-289.93		
 57.07   	-120.85   	 44.13   	 -66.12		 24.17   	-284.84		
 19.84   	-190.73   	 43.87   	 -66.12		 23.03   	-274.67		
-10.99   	-245.67   	 43.60   	 -71.21		 21.93   	-274.67		
-35.10   	-269.17   	 43.32   	 -71.21		 20.83   	-269.58		
-42.72   	-274.66   	 43.03   	 -76.30		 19.76   	-254.32		
-37.84   	-272.83   	 42.73   	 -71.21		 18.74   	-244.15		
-34.79   	-270.69   	 42.44   	 -76.30		 17.76   	-239.06		
-31.43   	-275.88   	 42.14   	 -66.12		 16.81   	-218.72		
-34.18   	-278.93   	 41.87   	 -66.12		 15.93   	-208.54		
-33.87   	-279.54   	 41.61   	 -61.04		 15.10   	-198.37		
-25.63   	-305.79   	 41.36   	 -61.04		 14.30   	-183.11		
 10.38   	-423.89   	 41.12   	 -50.86		 13.57   	-172.94		
 64.70   	-437.93   	 40.92   	 -50.86		 12.88   	-152.59		
142.82   	-152.89   	 40.71   	 -45.78		 12.27   	-142.42		
151.06   	517.58   	 40.53   	 -45.78		 11.70   	-132.25		
-95.83   	1381.53(R)	 40.35   	 -61.04		 11.17(E)	-122.07		
-538.02   	675.66   	 40.10   	 -61.04		 10.68   	-101.73		
-629.58   	-77.21   	 39.86   	 -45.78		 10.27   	 -91.56		
-376.59   	-971.98   	 39.67   	 -40.69		  9.91   	 -81.38		
-133.67   	-898.44   	 39.51   	 -50.86		  9.58   	 -71.21		
-11.90   	-180.66   	 39.31   	 -66.12		  9.30   	 -55.95		
 35.71   	-12.21   	 39.04   	 -61.04		  9.07   	 -45.78		
-12.82   	-92.47   	 38.80   	 -55.95		  8.89   	 -35.61		
-61.95   	-245.97   	 38.58   	 -45.78		  8.75   	 -25.43		
-30.52   	-274.35   	 38.39   	 -35.61		  8.65   	 -15.26		
 -8.54   	-223.08   	 38.25   	 -45.78		  8.59   	  -5.09		
 -9.46   	-109.86   	 38.07   	 -45.78		  8.57(D)	   0.00		
-22.89   	-101.32   	 37.88   	 -40.69		  8.57   	  10.17		
-26.55   	-178.83   	 37.72   	 -40.69		  8.61   	  20.35		
-14.34   	-198.36   	 37.56   	 -40.69		  8.69   	  20.35		
 -8.85   	-124.82   	 37.40   	 -40.69		  8.77   	  30.52		
 -8.24   	-78.74   	 37.23   	 -45.78		  8.89   	  35.61		
-10.07   	-114.75   	 37.05   	 -45.78		  9.03   	  45.78		
 -9.16   	-139.77   	 36.87   	 -35.61		  9.22   	  45.78		
 -4.58   	-111.08   	 36.72   	 -40.69		  9.40   	  50.86		
 -1.83   	-74.77   	 36.56   	 -40.69		  9.60   	  55.95		
 -3.66   	-82.70   	 36.40   	 -50.86		  9.83   	  66.12		
 -1.22   	-94.30   	 36.20   	 -40.69		 10.09   	  71.21		
  2.75   	-83.31   	 36.03   	 -35.61		 10.38   	  81.38		
  6.71   	-62.26   	 35.89   	 -35.61		 10.70   	  86.47		
  8.24   	-54.63   	 35.75   	 -45.78		 11.05   	 127.16		
 10.07   	-49.74   	 35.56   	 -40.69		 11.56   	 127.16		
 11.29   	-36.93   	 35.40   	 -40.69		 12.07   	 142.42		
 16.17   	-20.75   	 35.24   	 -40.69		 12.63   	 147.51		
 16.48   	 -9.16   	 35.08   	 -40.69		 13.22   	 157.68		
 19.84   	  0.92   	 34.91   	 -40.69		 13.86   	 162.77		
 21.06   	 15.26   	 34.75   	 -30.52		 14.51   	 172.94		
 20.75   	 28.99   	 34.63   	 -10.17		 15.20   	 178.03		
 21.67   	 40.59   	 34.59(D)	  25.43		 15.91   	 183.11		
 26.55   	 57.98   	 34.69   	  66.12		 16.64   	 193.29		
 28.69   	 75.68   	 34.95   	 116.99		 17.42   	 193.29		
 32.04   	 93.08   	 35.42   	 172.94		 18.19   	 198.37		
 34.79   	107.42   	 36.11   	 223.80		 18.98   	 198.37		
 36.01   	119.02   	 37.01   	 274.67		 19.78   	 203.46		
 37.23   	134.89   	 38.11   	 315.36		 20.59   	 198.37		
 39.67   	149.23   	 39.37   	 350.97		 21.38   	 203.46		
 41.50   	159.00   	 40.77   	 376.40		 22.20   	 193.29		
 43.03   	174.56   	 42.28   	 386.57		 22.97   	 198.37		
 46.39   	190.43   	 43.82   	 386.57		 23.76   	 188.20		
 50.66   	206.60   	 45.37   	 381.48		 24.52   	 188.20		
 53.10   	227.36   	 46.90   	 361.14		 25.27   	 183.11		
 60.73   	245.67   	 48.34   	 340.79		 26.00   	 172.94		
 66.53   	265.20   	 49.70   	 305.19		 26.69   	 167.85		
 71.72   	283.20   	 50.93   	 279.75		 27.37   	 162.77		
 76.60   	296.94   	 52.04   	 244.15		 28.02   	 152.59		
 78.13   	301.82   	 53.02   	 213.63		 28.63   	 157.68		
 65.92   	258.18   	 53.88   	 183.11		 29.26   	 147.51		
 55.54   	214.54   	 54.61   	 152.59		 29.85   	 137.33		
 36.62   	154.72   	 55.22   	 132.25		 30.40   	 127.16		
 21.06   	 91.55   	 55.75   	 116.99		 30.91   	 111.90		
  7.63   	 23.80   	 56.22   	  91.56		 31.35   	 106.82		
 -7.02   	-38.76   	 56.58   	  76.30		 31.78   	  96.64		
-14.04   	-88.81   	 56.89   	  50.86		 32.17   	  86.47		
-19.84   	-132.45   	 57.09   	  35.61		 32.51   	  76.30		
-25.94   	-162.66   	 57.23   	  15.26		 32.82   	  66.12		
-28.99   	-182.80   	 57.29(S)	   0.00		 33.08   	  55.95		
-30.21   	-201.11   	 57.29   	 -20.35		 33.31   	  45.78		
-32.96   	-208.13   	 57.21   	 -35.61		 33.49   	  40.69		
-32.65   	-211.79   	 57.07   	 -50.86		 33.65   	  30.52		
-30.21   	-213.93   	 56.87   	 -61.04		 33.77   	  25.43		
-30.82   	-212.71   	 56.62   	 -66.12		 33.88   	  10.17		
-28.08   	-210.88   	 56.36   	 -71.21		 33.92   	   5.09		
-27.77   	-211.49   	 56.07   	 -76.30		 33.94(S)	  -5.09		
-28.38   	-209.96   	 55.77   	 -91.56		 33.92   	 -20.35		
-30.52   	-208.44   	 55.40   	 -91.56		 33.84   	 -30.52		
-29.60   	-209.66   	 55.04   	 -91.56		 33.71   	 -40.69		
-28.99   	-209.05   	 54.67   	-101.73		 33.55   	 -61.04		
-29.60   	-211.49   	 54.26   	-111.90		 33.31   	 -71.21		
-24.72   	-213.93   	 53.81   	-132.25		 33.02   	 -91.56		
-22.28   	-212.40   	 53.29   	-147.51		 32.66   	-106.82		
-24.72   	-214.84   	 52.70   	-162.77		 32.23   	-127.16		
-24.11   	-212.71   	 52.04   	-183.11		 31.72   	-137.33		
-24.41   	-209.66   	 51.31   	-198.37		 31.17   	-162.77		
-28.08   	-209.66   	 50.52   	-213.63		 30.52   	-178.03		
-27.77   	-211.49   	 49.66   	-213.63		 29.81   	-193.29		
-24.72   	-213.93   	 48.81   	-203.46		 29.03   	-208.54		
-26.55   	-210.88   	 48.00   	-188.20		 28.20   	-218.72		
-18.01   	-198.06   	 47.24   	-167.85		 27.32   	-233.98		
 -3.97   	-169.37   	 46.57   	-147.51		 26.39   	-244.15		
 10.38   	-130.62   	 45.98   	-132.25		 25.41   	-249.24		
 24.11   	-103.45   	 45.45   	-111.90		 24.41   	-259.41		
 33.26   	-97.05   	 45.00   	-101.73		 23.38   	-264.50		
 37.84   	-115.97   	 44.60   	 -81.38		 22.32   	-264.50		
 54.02   	-105.90   	 44.27   	 -81.38		 21.26   	-264.50		
 71.72   	-88.50   	 43.95   	 -71.21		 20.20   	-264.50		
 85.14   	-80.57   	 43.66   	 -71.21		 19.15   	-259.41		
 86.98   	-64.09   	 43.38   	 -66.12		 18.11   	-254.32		
 62.87   	-113.53   	 43.11   	 -66.12		 17.09   	-249.24		
 20.45   	-189.82   	 42.85   	 -71.21		 16.09   	-239.06		
-16.78   	-238.65   	 42.56   	 -71.21		 15.14   	-233.98		
-43.03   	-269.17   	 42.28   	 -76.30		 14.20   	-218.72		
-57.07   	-277.10   	 41.97   	 -71.21		 13.33   	-213.63		
-52.49   	-274.96   	 41.69   	 -71.21		 12.47   	-198.37		
-46.08   	-271.00   	 41.40   	 -61.04		 11.68   	-183.11		
-47.61   	-280.76   	 41.16   	 -66.12		 10.95   	-178.03		
-50.96   	-285.34   	 40.90   	 -71.21		 10.23   	-157.68		
-53.10   	-284.73   	 40.61   	 -61.04		  9.60   	-147.51		
-48.83   	-304.87   	 40.37   	 -66.12		  9.01   	-137.33		
-20.14   	-414.43   	 40.10   	 -55.95		  8.46   	-116.99		
 41.81   	-487.06   	 39.88   	 -55.95		  8.00   	-111.90		
130.31   	-301.51   	 39.65   	 -55.95		  7.55   	 -96.64		
213.01   	255.13   	 39.43   	 -50.86		  7.16   	 -81.38		
 21.97   	1154.48(R)	 39.23   	 -55.95		  6.84(E)	 -71.21		
-495.00   	898.13   	 39.00   	 -55.95		  6.55   	 -61.04		
-700.68   	198.97   	 38.78   	 -55.95		  6.31   	 -55.95		
-551.15   	-781.25   	 38.56   	 -50.86		  6.08   	 -40.69		
-251.46   	-1018.68   	 38.35   	 -50.86		  5.92   	 -30.52		
-77.82   	-370.48   	 38.15   	 -50.86		  5.80   	 -20.35		
  9.16   	-73.85   	 37.94   	 -45.78		  5.72   	 -15.26		
