SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  LPA     	  LPA'		  RV     	  RV'		
101.93   	 20.14   	 57.68   	 -61.04		 41.61   	 -71.21		 19.88   	 361.14		
104.68   	 17.09   	 57.44   	  40.69		 41.32   	 -96.64		 21.32   	 467.95		
108.64   	 16.78   	 57.60   	  45.78		 40.94   	-116.99		 23.19   	 590.03		
112.61   	 19.84   	 57.78   	 -10.17		 40.47   	 -96.64		 25.55   	 630.72		
114.75   	 25.94   	 57.74   	 -81.38		 40.08   	 -61.04		 28.08   	 610.37		
114.44   	 32.96   	 57.42   	-142.42		 39.84   	 -55.95		 30.52   	 610.37		
112.30   	 37.54   	 56.85   	-142.42		 39.61   	 -20.35		 32.96   	 661.24		
110.17   	 37.84   	 56.28   	 -61.04		 39.53   	   0.00		 35.61   	 696.84		
109.25   	 32.96   	 56.03   	  25.43		 39.53   	   0.00		 38.39   	 686.67		
110.78   	 25.02   	 56.13   	  61.04		 39.53   	  35.61		 41.14   	 656.15		
114.14   	 17.40   	 56.38   	   5.09		 39.67   	  66.12		 43.76   	 615.46		
118.41   	 13.73   	 56.40   	-132.25		 39.94   	  20.35		 46.23   	 549.34		
122.68   	 15.26   	 55.87   	-223.80		 40.02   	 -20.35		 48.42   	 478.13		
127.56   	 19.84   	 54.97   	-178.03		 39.94   	 -20.35		 50.34   	 396.74		
134.28   	 23.80   	 54.26   	 -50.86		 39.86   	  -5.09		 51.92   	 340.79		
142.52   	 25.33   	 54.06(D)	  91.56		 39.84   	  -5.09		 53.29   	 274.67		
151.98   	 22.58   	 54.43   	 152.59		 39.82   	 -15.26		 54.38   	 193.29		
160.52   	 16.78   	 55.04   	 116.99		 39.76   	  30.52		 55.16   	 122.07		
167.54   	 10.38   	 55.50   	  45.78		 39.88   	  86.47		 55.65   	  45.78		
174.26   	  4.27   	 55.69   	 -15.26		 40.22   	  96.64		 55.83   	 -25.43		
182.19   	 -0.31   	 55.63   	  71.21		 40.61   	  91.56		 55.73   	 -81.38		
191.04   	 -3.05   	 55.91   	 361.14		 40.98   	 101.73		 55.40   	-101.73		
200.20   	 -3.36   	 57.35   	 696.84		 41.38   	 132.25		 54.99   	-106.82		
208.44   	 -2.14   	 60.14   	 961.34		 41.91   	 167.85		 54.57   	-106.82		
214.54   	  0.61   	 63.99   	1052.90		 42.58   	 198.37		 54.14   	-122.07		
216.98   	  4.58   	 68.20   	 890.13		 43.38   	 254.32		 53.65   	-111.90		
215.76   	  9.77   	 71.76   	 651.07		 44.39   	 315.36		 53.20   	 -50.86		
211.18   	 18.31   	 74.36   	 503.56		 45.66   	 340.79		 53.00   	   5.09		
204.77   	 30.52   	 76.38   	 483.21		 47.02   	 371.31		 53.02   	  50.86		
198.67   	 45.17   	 78.31   	 574.77		 48.50   	 427.26		 53.22   	 106.82		
193.18   	 61.04   	 80.61   	 564.60		 50.21   	 488.30		 53.65   	 183.11		
187.68   	 76.29   	 82.87   	 340.79		 52.17   	 513.73		 54.38   	 249.24		
179.75   	 90.03   	 84.23   	  35.61		 54.22   	 513.73		 55.38   	 284.84		
168.46   	104.06   	 84.37   	-147.51		 56.28   	 513.73		 56.52   	 300.10		
154.72   	119.32   	 83.78   	 -86.47		 58.33   	 518.82		 57.72   	 335.71		
139.77   	135.50   	 83.44   	 208.54		 60.41   	 473.04		 59.06   	 366.22		
125.12   	150.15   	 84.27   	 528.99		 62.30   	 412.00		 60.53   	 371.31		
110.17   	161.74   	 86.39   	 630.72		 63.95   	 376.40		 62.01   	 335.71		
 93.99   	167.54   	 88.91   	 452.69		 65.45   	 356.05		 63.36   	 279.75		
 75.68   	164.79   	 90.72   	 162.77		 66.88   	 300.10		 64.48   	 259.41		
 56.76   	152.89   	 91.37   	  10.17		 68.08   	 259.41		 65.51   	 233.98		
 39.37   	132.75   	 91.41   	 101.73		 69.11   	 254.32		 66.45   	 162.77		
 26.86   	109.56   	 91.82   	 244.15		 70.13   	 233.98		 67.10   	  71.21		
 19.84   	 88.81   	 92.80   	 269.58		 71.07   	 167.85		 67.39   	  20.35		
 17.40   	 72.63   	 93.88   	 162.77		 71.74   	 106.82		 67.47(S)	 -10.17		
 16.17   	 60.12   	 94.53(S)	  -5.09		 72.17   	  66.12		 67.43   	 -71.21		
 12.82   	 50.66   	 94.51   	 -66.12		 72.43   	  20.35		 67.14   	-142.42		
  7.32   	 44.25   	 94.24   	 -20.35		 72.51(S)	 -30.52		 66.57   	-198.37		
  1.53   	 40.59   	 94.16   	  50.86		 72.39   	-106.82		 65.78   	-228.89		
 -2.44   	 39.98   	 94.36   	  15.26		 71.96   	-142.42		 64.86   	-264.50		
 -2.44   	 39.37   	 94.42   	 -91.56		 71.39   	-147.51		 63.80   	-305.19		
  0.31   	 37.84   	 94.06   	-188.20		 70.80   	-183.11		 62.58   	-335.71		
  5.49   	 38.45   	 93.31   	-213.63		 70.07   	-218.72		 61.24   	-371.31		
 11.60   	 46.69   	 92.45   	-162.77		 69.20   	-213.63		 59.76   	-381.48		
 18.92   	 65.92   	 91.80   	 -76.30		 68.34   	-198.37		 58.23   	-396.74		
 28.38   	 96.74   	 91.50   	 -76.30		 67.55   	-223.80		 56.64   	-422.18		
 39.98   	134.89   	 91.19   	-127.16		 66.65   	-244.15		 54.95   	-467.95		
 52.80   	174.56   	 90.68   	-178.03		 65.68   	-228.89		 53.08   	-503.56		
 65.00   	210.88   	 89.97   	-228.89		 64.76   	-162.77		 51.07   	-483.21		
 74.77   	239.56   	 89.05   	-244.15		 64.11   	 -55.95		 49.14   	-447.61		
 79.96   	259.40   	 88.08   	-172.94		 63.89   	 -66.12		 47.34   	-483.21		
 80.87   	271.91   	 87.39   	-147.51		 63.62   	-239.06		 45.41   	-569.68		
 79.65   	278.02   	 86.80   	-233.98		 62.67   	-462.87		 43.13   	-630.72		
 78.74   	278.63   	 85.86   	-295.01		 60.81   	-518.82		 40.61   	-640.89		
 78.74   	272.22   	 84.68   	-356.05		 58.74   	-406.92		 38.05   	-605.29		
 79.65   	258.48   	 83.26   	-366.22		 57.11   	-518.82		 35.63   	-590.03		
 79.04   	237.43   	 81.79   	-330.62		 55.04   	-701.93		 33.27   	-620.55		
 74.77   	210.57   	 80.47   	-295.01		 52.23   	-564.60		 30.78   	-651.07		
 66.83   	179.14   	 79.29   	-259.41		 49.97   	-391.66		 28.18   	-605.29		
 57.07   	144.65   	 78.25   	-279.75		 48.40   	-417.09		 25.76   	-518.82		
 48.22   	108.64   	 77.13   	-315.36		 46.73   	-432.35		 23.68   	-473.04		
 40.59   	 73.55   	 75.87   	-284.84		 45.00   	-295.01		 21.79   	-483.21		
 33.26   	 43.03   	 74.73   	-254.32		 43.82   	-188.20		 19.86   	-483.21		
 24.72   	 18.92   	 73.71   	-218.72		 43.07   	-167.85		 17.92   	-432.35		
 14.95   	  3.66   	 72.84   	-142.42		 42.40   	-132.25		 16.20   	-361.14		
  3.97   	 -2.75   	 72.27   	 -76.30		 41.87   	 -71.21		 14.75   	-335.71		
 -6.71   	 -4.27   	 71.96   	 -86.47		 41.59   	 -66.12		 13.41   	-335.71		
-16.17   	 -5.49   	 71.62   	 -86.47		 41.32   	 -71.21		 12.07   	-320.45		
-23.80   	 -9.77   	 71.27   	 -96.64		 41.04   	   5.09		 10.78   	-295.01		
-29.30   	-17.70   	 70.88   	-142.42		 41.06   	 162.77		  9.60   	-244.15		
-32.35   	-25.94   	 70.32   	-162.77		 41.71   	 300.10		  8.63   	-208.54		
-33.26   	-31.43   	 69.66   	-152.59		 42.91   	 315.36		  7.79   	-193.29		
-33.57   	-33.57   	 69.05   	-127.16		 44.17   	 259.41		  7.02   	-188.20		
-33.57   	-33.87   	 68.55   	-106.82		 45.21   	 289.93		  6.27   	-188.20		
-34.79   	-33.26   	 68.12   	-116.99		 46.37   	 366.22		  5.51   	-162.77		
-36.93   	-31.43   	 67.65   	-172.94		 47.83   	 340.79		  4.86   	-111.90		
-39.37   	-28.38   	 66.96   	-172.94		 49.20   	 233.98		  4.42   	 -55.95		
-41.20   	-25.33   	 66.27   	-111.90		 50.13   	 193.29		  4.19   	  -5.09		
-41.50   	-24.41   	 65.82   	 -76.30		 50.91   	 167.85		  4.17   	  30.52		
-41.20   	-26.25   	 65.51   	 -66.12		 51.58   	  55.95		  4.29   	  25.43		
-40.89   	-29.91   	 65.25   	 -61.04		 51.80   	 -71.21		  4.39   	 -10.17		
-42.42   	-32.96   	 65.00   	 -66.12		 51.52   	-132.25		  4.35   	 -15.26		
-45.17   	-33.87   	 64.74   	-101.73		 50.99   	-178.03		  4.29   	  25.43		
-47.61   	-32.04   	 64.33   	-116.99		 50.27   	-284.84		  4.39   	  61.04		
-49.13   	-28.69   	 63.87   	 -66.12		 49.14   	-401.83		  4.64   	 101.73		
-50.05   	-24.72   	 63.60   	  -5.09		 47.53   	-391.66		  5.05   	 142.42		
-50.35   	-20.45   	 63.58   	  40.69		 45.96   	-340.79		  5.62   	 152.59		
-50.96   	-15.56   	 63.74   	  15.26		 44.60   	-356.05		  6.23   	  91.56		
-51.27   	-10.99   	 63.80   	 -81.38		 43.17   	-406.92		  6.59   	  20.35		
-50.05   	 -7.32   	 63.48   	-147.51		 41.55   	-381.48		  6.67   	  -5.09		
-47.91   	 -5.80   	 62.89   	-142.42		 40.02   	-305.19		  6.65   	 -15.26		
-47.61   	 -6.41   	 62.32   	 -91.56		 38.80   	-244.15		  6.59   	 -45.78		
-51.27   	 -8.54   	 61.95   	 -35.61		 37.82   	-223.80		  6.41   	-106.82		
-59.51   	-13.12   	 61.81   	   0.00		 36.93   	-172.94		  5.98   	-127.16		
-68.66   	-23.19   	 61.81   	 -20.35		 36.24   	-101.73		  5.47   	-101.73		
-68.97   	-38.45   	 61.73   	 -86.47		 35.83   	 -61.04		  5.07   	 -81.38		
-41.50   	-43.33   	 61.38   	-162.77		 35.58   	 -40.69		  4.74   	 -96.64		
 32.65   	 -3.97   	 60.73   	-167.85		 35.42   	 -15.26		  4.35   	-122.07		
153.81   	108.34   	 60.06   	-116.99		 35.36   	 -25.43		  3.87   	-106.82		
284.42   	279.54   	 59.59   	 -50.86		 35.26   	 -50.86		  3.44   	 -55.95		
349.12   	438.23   	 59.39   	  20.35		 35.06   	 -35.61		  3.21   	 -35.61		
277.40   	497.13(R)	 59.47   	  15.26		 34.91   	 -30.52		  3.07(E)	-106.82		
-236.21   	256.04   	 59.53   	-111.90		 34.79   	 -20.35		  2.64   	 -76.30		
-485.84   	 96.74   	 59.08   	-167.85		 34.71   	 -15.26		  2.34   	 -71.21		
-592.04   	  4.88   	 58.41   	-157.68		 34.65   	 -15.26		  2.05   	 -50.86		
-541.69   	-36.62   	 57.78   	 -91.56		 34.59   	 -25.43		  1.85   	 -50.86		
-400.39   	-85.75   	 57.42   	 -25.43		 34.49   	 -40.69		  1.65   	 -66.12		
-253.60   	-165.10   	 57.31   	  -5.09		 34.32   	 -30.52		  1.38   	 -61.04		
-152.28   	-235.29   	 57.29   	 -66.12		 34.20   	   5.09		  1.14   	  -5.09		
-99.18   	-238.65   	 57.03   	-137.33		 34.22   	   5.09		  1.12(D)	  40.69		
-72.94   	-159.61   	 56.48   	-152.59		 34.24   	 -25.43		  1.28   	  55.95		
-57.07   	-43.64   	 55.87   	-101.73		 34.14   	 -35.61		  1.51   	  71.21		
-48.83   	 39.67   	 55.46   	 -55.95		 34.00   	 -30.52		  1.79   	 132.25		
-49.13   	 54.32   	 55.24   	 -30.52		 33.88   	 -10.17		  2.32   	 188.20		
-54.63   	 19.84   	 55.12   	 -50.86		 33.84   	 -25.43		  3.07   	 178.03		
-58.29   	-19.84   	 54.91   	 -96.64		 33.73   	 -55.95		  3.78   	 157.68		
-57.07   	-35.71   	 54.53   	-142.42		 33.51   	 -86.47		  4.42   	 142.42		
-52.80   	-27.47   	 53.96   	-137.33		 33.16   	 -66.12		  4.98   	 142.42		
-48.83   	-10.99   	 53.41   	-106.82		 32.90   	 -45.78		  5.55   	 203.46		
-47.00   	  0.00   	 52.98   	 -96.64		 32.72   	-106.82		  6.37   	 350.97		
-46.69   	  3.36   	 52.59   	 -91.56		 32.29   	-239.06		  7.77   	 447.61		
-47.61   	  3.36   	 52.23   	 -96.64		 31.33   	-264.50		  9.56   	 427.26		
-49.13   	  4.58   	 51.84   	 -81.38		 30.27   	-137.33		 11.27   	 376.40		
-50.66   	  7.02   	 51.52   	 -30.52		 29.73   	 -45.78		 12.78   	 417.09		
-51.88   	  7.63   	 51.39   	   0.00		 29.54   	-101.73		 14.45   	 559.51		
-52.49   	  6.10   	 51.39   	 -30.52		 29.14   	-152.59		 16.68   	 645.98		
-52.80   	  3.97   	 51.27   	 -71.21		 28.52   	 -81.38		 19.27   	 605.29		
-52.80   	  4.88   	 50.99   	 -91.56		 28.20   	   0.00		 21.69   	 549.34		
-53.71   	  9.16   	 50.62   	-111.90		 28.20   	  20.35		 23.89   	 564.60		
-56.15   	 15.56   	 50.17   	 -96.64		 28.28   	  45.78		 26.14   	 625.63		
-59.20   	 20.45   	 49.79   	 -61.04		 28.46   	  86.47		 28.65   	 635.81		
-61.34   	 19.53   	 49.54   	 -55.95		 28.81   	  76.30		 31.19   	 564.60		
-61.65   	 13.12   	 49.32   	 -71.21		 29.11   	 -10.17		 33.45   	 493.39		
-59.81   	  4.27   	 49.03   	 -81.38		 29.07   	 -81.38		 35.42   	 462.87		
-56.46   	 -0.92   	 48.71   	-116.99		 28.75   	 -86.47		 37.27   	 412.00		
-52.80   	  1.53   	 48.24   	-106.82		 28.40   	 -45.78		 38.92   	 325.53		
-49.13   	 10.68   	 47.81   	 -35.61		 28.22   	   0.00		 40.22   	 223.80		
-45.17   	 19.84   	 47.67(D)	  45.78		 28.22   	   0.00		 41.12   	 172.94		
-40.89   	 21.36   	 47.85   	  71.21		 28.22   	 -35.61		 41.81   	 106.82		
-36.62   	 13.12   	 48.14   	  50.86		 28.08   	 -25.43		 42.24   	  45.78		
-32.04   	  0.31   	 48.34   	  10.17		 27.98   	 -35.61		 42.42   	   5.09		
-27.77   	-10.07   	 48.38   	  -5.09		 27.83   	 -55.95		 42.44   	 -50.86		
-22.58   	-14.04   	 48.36   	  30.52		 27.61   	 -20.35		 42.24   	-101.73		
-16.78   	-12.82   	 48.48   	 183.11		 27.53(D)	  35.61		 41.83   	-122.07		
-10.38   	-11.29   	 49.22   	 422.18		 27.67   	  81.38		 41.34   	-137.33		
 -5.80   	-10.07   	 50.91   	 707.02		 28.00   	 142.42		 40.79   	-122.07		
 -5.19   	 -7.02   	 53.73   	 946.08		 28.57   	 213.63		 40.31   	-101.73		
 -8.54   	  1.53   	 57.52   	 956.25		 29.42   	 289.93		 39.90   	 -81.38		
-14.04   	 15.26   	 61.34   	 732.45		 30.58   	 356.05		 39.57   	 -50.86		
-19.23   	 32.04   	 64.27   	 437.43		 32.00   	 391.66		 39.37   	   0.00		
-22.89   	 47.61   	 66.02   	 279.75		 33.57   	 442.52		 39.37   	  55.95		
-26.86   	 60.73   	 67.14   	 330.62		 35.34   	 483.21		 39.59   	 116.99		
-33.26   	 71.72   	 68.46   	 498.47		 37.27   	 488.30		 40.06   	 172.94		
-43.03   	 80.87   	 70.46   	 610.37		 39.23   	 488.30		 40.75   	 218.72		
-54.93   	 88.81   	 72.90   	 447.61		 41.18   	 508.65		 41.63   	 259.41		
-66.53   	 97.66   	 74.69   	  45.78		 43.21   	 498.47		 42.67   	 295.01		
-77.51   	109.86   	 74.87   	-239.06		 45.21   	 462.87		 43.85   	 305.19		
-88.50   	126.95   	 73.92   	-228.89		 47.06   	 447.61		 45.07   	 305.19		
-100.71   	146.18   	 73.00   	 -15.26		 48.85   	 427.26		 46.29   	 300.10		
-114.44   	159.30   	 72.94   	 300.10		 50.56   	 391.66		 47.49   	 284.84		
-128.17   	158.39   	 74.14   	 518.82		 52.13   	 335.71		 48.63   	 274.67		
-140.69   	141.91   	 76.22   	 483.21		 53.47   	 259.41		 49.73   	 244.15		
-151.37   	116.58   	 78.15   	 269.58		 54.51   	 218.72		 50.70   	 193.29		
-160.52   	 92.16   	 79.23   	  50.86		 55.38   	 178.03		 51.47   	 127.16		
-167.85   	 76.29   	 79.43   	 -25.43		 56.09   	 116.99		 51.98   	  66.12		
-174.26   	 68.36   	 79.33   	  55.95		 56.56   	  66.12		 52.25   	  15.26		
-179.14   	 63.78   	 79.55   	 208.54		 56.83   	  40.69		 52.31(S)	 -35.61		
-182.50   	 58.29   	 80.39   	 279.75		 56.99   	  10.17		 52.17   	-101.73		
-184.33   	 50.66   	 81.51   	 157.68		 57.03   	 -35.61		 51.76   	-162.77		
-185.85   	 41.20   	 82.14   	 -45.78		 56.89   	 -66.12		 51.11   	-223.80		
-186.77   	 30.82   	 81.95   	-157.68		 56.62   	 -96.64		 50.21   	-269.58		
-187.07   	 21.36   	 81.32   	-122.07		 56.24   	-142.42		 49.14   	-289.93		
-187.07   	 16.78   	 80.83   	   0.00		 55.67   	-167.85		 47.98   	-320.45		
-185.24   	 20.75   	 80.83   	  55.95		 54.99   	-172.94		 46.69   	-356.05		
-181.58   	 35.71   	 81.06   	  30.52		 54.30   	-213.63		 45.27   	-396.74		
-176.09   	 61.04   	 81.18   	 -40.69		 53.45   	-249.24		 43.68   	-417.09		
-169.37   	 91.55   	 81.02   	-132.25		 52.45   	-249.24		 42.01   	-412.00		
-160.83   	121.15   	 80.49   	-208.54		 51.45   	-259.41		 40.37   	-432.35		
-150.76   	146.18   	 79.65   	-208.54		 50.42   	-300.10		 38.64   	-483.21		
-140.38   	166.63   	 78.82   	-172.94		 49.22   	-264.50		 36.70   	-483.21		
-130.92   	184.33   	 78.13   	-152.59		 48.16   	-147.51		 34.77   	-473.04		
-124.21   	202.03   	 77.52   	-152.59		 47.57   	 -71.21		 32.88   	-523.90		
-120.54   	220.03   	 76.91   	-167.85		 47.28   	-193.29		 30.78   	-590.03		
-118.41   	235.29   	 76.24   	-218.72		 46.51   	-467.95		 28.42   	-600.20		
-115.66   	243.84   	 75.36   	-295.01		 44.64   	-554.42		 26.02   	-579.86		
-113.22   	243.53   	 74.18   	-345.88		 42.42   	-386.57		 23.70   	-595.11		
-112.30   	233.15   	 72.80   	-300.10		 40.87   	-366.22		 21.32   	-635.81		
-115.66   	213.93   	 71.60   	-213.63		 39.41   	-539.16		 18.78   	-635.81		
-122.07   	188.60   	 70.74   	-208.54		 37.25   	-523.90		 16.24   	-595.11		
-129.70   	162.96   	 69.91   	-249.24		 35.16   	-356.05		 13.86   	-564.60		
-136.11   	140.99   	 68.91   	-295.01		 33.73   	-325.53		 11.60   	-554.42		
-140.38   	121.46   	 67.73   	-345.88		 32.43   	-356.05		  9.38   	-539.16		
-143.43   	 97.96   	 66.35   	-356.05		 31.01   	-264.50		  7.22   	-508.65		
-147.09   	 64.39   	 64.92   	-295.01		 29.95   	-183.11		  5.19   	-483.21		
-151.98   	 24.41   	 63.74   	-178.03		 29.22   	-162.77		  3.26   	-462.87		
-158.08   	-11.29   	 63.03   	 -61.04		 28.57   	-132.25		  1.40   	-437.43		
-166.02   	-32.35   	 62.79   	  -5.09		 28.04   	 -61.04		 -0.35   	-412.00		
-174.87   	-36.93   	 62.77   	   0.00		 27.79   	 -30.52		 -1.99   	-371.31		
-184.33   	-32.65   	 62.77   	 -35.61		 27.67   	 -20.35		 -3.48   	-320.45		
-192.57   	-28.38   	 62.62   	-106.82		 27.59   	 -10.17		 -4.76   	-269.58		
-197.75   	-28.08   	 62.20   	-162.77		 27.55   	  35.61		 -5.84   	-228.89		
-200.20   	-30.52   	 61.55   	-157.68		 27.69   	  91.56		 -6.75   	-188.20		
-201.11   	-33.87   	 60.92   	-142.42		 28.06   	 116.99		 -7.51   	-122.07		
-201.42   	-39.37   	 60.35   	-162.77		 28.52   	 147.51		 -8.00   	 -45.78		
-202.33   	-47.61   	 59.69   	-172.94		 29.11   	 284.84		 -8.18   	  -5.09		
-203.25   	-57.07   	 59.00   	-152.59		 30.25   	 457.78		 -8.20(D)	  25.43		
-203.55   	-63.17   	 58.39   	-111.90		 32.09   	 345.88		 -8.10   	  55.95		
-202.94   	-61.65   	 57.94   	 -81.38		 33.47   	 -30.52		 -7.87   	  86.47		
-201.72   	-51.27   	 57.62   	 -86.47		 33.35   	 -91.56		 -7.53   	  86.47		
-200.50   	-36.01   	 57.27   	-132.25		 32.98   	 157.68		 -7.18   	  91.56		
-199.28   	-24.11   	 56.74   	-157.68		 33.61   	 127.16		 -6.82   	 101.73		
-198.36   	-23.50   	 56.11   	-147.51		 34.12   	 -96.64		 -6.41   	 116.99		
-197.14   	-34.79   	 55.52   	 -91.56		 33.73   	-111.90		 -5.94   	 147.51		
-195.31   	-50.96   	 55.16   	   5.09		 33.29   	 -25.43		 -5.35   	 172.94		
-192.87   	-59.20   	 55.18   	  50.86		 33.18   	 -96.64		 -4.66   	 198.37		
-189.82   	-53.41   	 55.38   	  30.52		 32.80   	-254.32		 -3.87   	 203.46		
-186.77   	-38.15   	 55.50   	   0.00		 31.78   	-239.06		 -3.05   	 193.29		
-185.55   	-25.02   	 55.50   	 -61.04		 30.82   	-116.99		 -2.28   	 193.29		
-185.85   	-24.41   	 55.26   	 -86.47		 30.36   	-228.89		 -1.51   	 198.37		
-186.77   	-34.48   	 54.91   	 -55.95		 29.44   	-412.00		 -0.71   	 183.11		
-186.46   	-44.56   	 54.69   	 -35.61		 27.79   	-325.53		  0.02   	 142.42		
-184.02   	-43.03   	 54.55   	 -61.04		 26.49   	-111.90		  0.59   	 101.73		
-181.88   	-29.60   	 54.30   	 -45.78		 26.04   	 -86.47		  1.00   	 106.82		
-181.58   	-16.17   	 54.12   	 -15.26		 25.70   	-172.94		  1.42   	 137.33		
-183.11   	-17.09   	 54.06   	 -40.69		 25.00   	-127.16		  1.97   	 127.16		
-181.27   	-36.32   	 53.90   	 -45.78		 24.50   	 -20.35		  2.48   	  81.38		
-160.83   	-52.80   	 53.71   	 -25.43		 24.41   	 -25.43		  2.81   	  10.17		
-103.45   	-21.97   	 53.61   	 -40.69		 24.31   	 -76.30		  2.85   	 -25.43		
  0.92   	 92.16   	 53.45   	 -35.61		 24.01   	 -66.12		  2.75   	 -50.86		
133.06   	281.68   	 53.31   	 -30.52		 23.74   	 -35.61		  2.54   	-111.90		
231.32   	478.52   	 53.18   	-111.90		 23.60   	 -71.21		  2.10   	-300.10		
 54.02   	546.57(R)	 52.74   	 -50.86		 23.32   	 -15.26		  0.90   	-106.82		
-221.86   	387.88   	 52.53   	 -35.61		 23.26   	  25.43		  0.47   	 -96.64		
-502.62   	202.64   	 52.39   	 -10.17		 23.36   	  66.12		  0.08   	-101.73		
-672.61   	 74.46   	 52.35   	  35.61		 23.62   	 101.73		 -0.33   	-132.25		
-684.20   	 14.04   	 52.49   	  71.21		 24.03   	  86.47		 -0.85   	-122.07		
-578.00   	-32.96   	 52.78   	  25.43		 24.37   	  45.78		 -1.34   	 -86.47		
-437.93   	-114.44   	 52.88   	 -61.04		 24.56   	  81.38		 -1.69   	 -61.04		
-327.15   	-215.76   	 52.63   	-116.99		 24.88   	  96.64		 -1.93   	 -55.95		
-260.01   	-272.52   	 52.17   	-101.73		 25.27   	  66.12		 -2.16   	 -66.12		
-218.20   	-238.34   	 51.76   	 -61.04		 25.53   	  55.95		 -2.42   	 -20.35		
-184.02   	-131.23   	 51.52   	 -20.35		 25.76   	  81.38		 -2.50   	  71.21		
-157.47   	-17.40   	 51.43   	 -10.17		 26.08   	  66.12		 -2.22   	 152.59		
-146.18   	 43.03   	 51.39   	 -35.61		 26.35   	  50.86		 -1.61   	 172.94		
-149.54   	 41.20   	 51.25   	 -81.38		 26.55   	  25.43		 -0.92   	 162.77		
-157.78   	 11.90   	 50.93   	 -91.56		 26.65   	 -15.26		 -0.26   	 198.37		
-161.44   	 -7.93   	 50.56   	 -66.12		 26.59   	 -20.35		  0.53   	 295.01		
-158.69   	 -6.41   	 50.29   	 -81.38		 26.51   	 -40.69		  1.71   	 442.52		
-153.81   	  3.97   	 49.97   	 -66.12		 26.35   	 -71.21		  3.48   	 579.86		
-149.84   	  9.46   	 49.70   	 -25.43		 26.06   	 -91.56		  5.80   	 681.58		
-147.71   	  5.19   	 49.60   	 -20.35		 25.70   	-116.99		  8.52   	 732.45		
-146.79   	 -2.44   	 49.52   	  -5.09		 25.23   	-183.11		 11.45   	 752.79		
-145.57   	 -6.71   	 49.50   	  10.17		 24.50   	-116.99		 14.47   	 717.19		
-143.43   	 -6.10   	 49.54   	 -40.69		 24.03   	  45.78		 17.33   	 712.10		
-140.69   	 -3.05   	 49.38   	-101.73		 24.21   	  10.17		 20.18   	 762.97		
-138.24   	 -0.92   	 48.97   	-122.07		 24.25   	 -91.56		 23.23   	 813.83		
-136.41   	  0.31   	 48.48   	-101.73		 23.89   	 -55.95		 26.49   	 773.14		
-135.19   	  1.53   	 48.08   	 -45.78		 23.66   	 -30.52		 29.58   	 676.50		
-133.97   	  3.66   	 47.89   	  15.26		 23.54   	-101.73		 32.29   	 569.68		
-131.84   	  6.10   	 47.96   	  10.17		 23.13   	-157.68		 34.57   	 467.95		
-129.09   	  8.24   	 48.00   	 -35.61		 22.50   	-101.73		 36.44   	 356.05		
-125.43   	  9.77   	 47.85   	-101.73		 22.10   	  61.04		 37.86   	 279.75		
-121.77   	 10.38   	 47.45   	-162.77		 22.34   	 183.11		 38.98   	 193.29		
-117.80   	 10.68   	 46.80   	-142.42		 23.07   	 127.16		 39.76   	  55.95		
-113.83   	 10.68   	 46.23   	 -35.61		 23.58   	  20.35		 39.98   	 -45.78		
-109.86   	  9.77   	 46.08   	  25.43		 23.66   	   0.00		 39.80   	-111.90		
-104.68   	  7.02   	 46.18   	  40.69		 23.66   	   5.09		 39.35   	-183.11		
-98.27   	  3.36   	 46.35   	  20.35		 23.68   	  25.43		 38.62   	-223.80		
-89.72   	 -1.22   	 46.43   	 -20.35		 23.78   	  81.38		 37.72   	-228.89		
-79.65   	 -4.88   	 46.35   	 -55.95		 24.11   	 132.25		 36.81   	-178.03		
-68.66   	 -6.41   	 46.12   	 -45.78		 24.64   	 152.59		 36.09   	-116.99		
-57.98   	 -4.58   	 45.94(D)	  30.52		 25.25   	 188.20		 35.63   	 -61.04		
-48.52   	 -0.31   	 46.06   	 116.99		 26.00   	 269.58		 35.38   	 -10.17		
-40.59   	  3.97   	 46.53   	 178.03		 27.08   	 330.62		 35.34   	  66.12		
-34.18   	  4.27   	 47.24   	 279.75		 28.40   	 361.14		 35.61   	 142.42		
-28.69   	  1.53   	 48.36   	 457.78		 29.85   	 396.74		 36.17   	 218.72		
-24.41   	 -1.53   	 50.19   	 635.81		 31.43   	 417.09		 37.05   	 315.36		
-21.06   	  0.31   	 52.74   	 747.71		 33.10   	 447.61		 38.31   	 381.48		
-19.23   	  8.54   	 55.73   	 762.97		 34.89   	 503.56		 39.84   	 417.09		
-20.14   	 21.97   	 58.78   	 615.46		 36.91   	 559.51		 41.51   	 452.69		
-23.80   	 36.62   	 61.24   	 447.61		 39.15   	 559.51		 43.32   	 503.56		
-28.99   	 50.96   	 63.03   	 371.31		 41.38   	 534.08		 45.33   	 523.90		
-33.87   	 64.70   	 64.52   	 381.48		 43.52   	 595.11		 47.43   	 513.73		
-37.54   	 79.35   	 66.04   	 412.00		 45.90   	 640.89		 49.48   	 518.82		
-41.20   	 95.52   	 67.69   	 417.09		 48.46   	 600.20		 51.56   	 488.30		
