SAMPLE NUMBER:   7
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RV     	  RV'		
 90.94   	 86.06   	 68.06   	-167.85		  5.21   	  40.69		
 90.94   	 64.39   	 67.39   	-132.25		  5.37   	 -81.38		
 88.81   	 36.62   	 66.86   	-111.90		  5.05   	-157.68		
 84.23   	  5.49   	 66.41   	-106.82		  4.42   	-152.59		
 75.07   	-26.55   	 65.98   	-101.73		  3.80   	 -96.64		
 58.59   	-57.07   	 65.57   	-101.73		  3.42   	  -5.09		
 34.18   	-83.01   	 65.17   	-111.90		  3.40   	  86.47		
  5.80   	-101.62   	 64.72   	-116.99		  3.74   	 147.51		
-19.23   	-112.92   	 64.25   	-101.73		  4.33   	 183.11		
-34.79   	-119.02   	 63.85   	 -86.47		  5.07   	 172.94		
-39.37   	-122.68   	 63.50   	 -81.38		  5.76   	 132.25		
-36.93   	-126.04   	 63.17   	 -71.21		  6.29   	  71.21		
-33.87   	-129.39   	 62.89   	 -76.30		  6.57   	  30.52		
-34.18   	-132.14   	 62.58   	 -76.30		  6.69   	   0.00		
-37.84   	-133.97   	 62.28   	 -76.30		  6.69   	  20.35		
-40.59   	-133.36   	 61.97   	 -71.21		  6.78   	  55.95		
-30.52   	-122.68   	 61.69   	 -71.21		  7.00   	  91.56		
 12.82   	-85.45   	 61.40   	 -71.21		  7.37   	 101.73		
104.06   	 -0.92   	 61.12   	 -76.30		  7.77   	 116.99		
217.59   	143.43   	 60.81   	 -76.30		  8.24   	 116.99		
267.94   	331.42   	 60.51   	 -66.12		  8.71   	  81.38		
153.50   	513.61   	 60.24   	-116.99		  9.03   	  66.12		
-596.92   	610.66   	 59.78   	 -55.95		  9.30   	 -15.26		
-952.15   	430.60   	 59.55   	 -66.12		  9.24   	 -50.86		
-1061.71   	107.42   	 59.29   	 -81.38		  9.03   	 -71.21		
-897.22   	-273.44   	 58.96   	 -76.30		  8.75   	 -50.86		
-578.61   	-581.67   	 58.66   	 -76.30		  8.55   	  10.17		
-277.40   	-699.77(R)	 58.35   	 -76.30		  8.59(E)	  96.64		
-95.21   	-593.87   	 58.05   	 -61.04		  8.97   	 203.46		
-25.33   	-347.29   	 57.80   	 -55.95		  9.79   	 249.24		
 -4.88   	-111.08   	 57.58   	 -50.86		 10.78   	 259.41		
 12.21   	  0.61   	 57.38   	 -40.69		 11.82   	 239.06		
 34.18   	-21.36   	 57.21   	 -50.86		 12.78   	 239.06		
 50.05   	-98.88   	 57.01   	 -66.12		 13.73   	 447.61		
 55.85   	-145.87   	 56.74   	 -71.21		 15.52   	 854.52		
 57.37   	-133.67   	 56.46   	 -76.30		 18.94   	1388.60		
 61.04   	-90.33   	 56.15   	 -71.21		 24.50   	1775.17		
 65.92   	-57.98   	 55.87   	 -61.04		 31.60   	1734.48		
 70.50   	-52.80   	 55.63   	 -61.04		 38.53   	1658.18		
 74.77   	-61.95   	 55.38   	 -55.95		 45.17   	1515.76		
 79.65   	-66.83   	 55.16   	 -66.12		 51.23   	1073.24		
 83.62   	-61.04   	 54.89   	 -71.21		 55.52   	 544.25		
 85.45   	-49.13   	 54.61   	 -81.38		 57.70   	 116.99		
